TGSC ID,Content Data Category,Content TGSC ID,Content Name,Content Header,Concentration %,Concentration Min %,Concentration Max %
1004321,rw,1696141,4-freesia acetate,also (can) contains,,,
1004341,rw,1028391,(E)-4-decenal,also (can) contains,,0.1,6.0
1004381,rw,1696151,(Z)-nerolidyl acetate,also (can) contains,,,
1004441,rw,1337991,myrmac carboxaldehyde,also (can) contains,,,
1004481,rw,1429661,(Z)-citronellyl tiglate,also (can) contains,,,
1004501,rw,1129651,"(E)-6-methyl-3,5-heptadien-2-one",also (can) contains,,,
1004501,rw,1129661,"(Z)-6-methyl-3,5-heptadien-2-one",also (can) contains,,,
1004561,rw,1003422,para-tolualdehyde,also (can) contains,,,
1004561,rw,1051061,meta-tolualdehyde,also (can) contains,,,
1004561,rw,1055241,ortho-tolualdehyde,also (can) contains,,,
1004641,rw,1018551,para-alpha-dimethyl styrene,also (can) contains,,9.0,11.0
1004661,rw,1121781,(E)-4-methyl-2-pentenal,also (can) contains,,,
1004661,rw,1121791,(Z)-4-methyl-2-pentenal,also (can) contains,,,
1004751,rw,1451991,(E)-6-nonen-1-ol,also (can) contains,,0.1,5.0
1004841,rw,1383861,(E)-patchouli ethanol,also (can) contains,,,
1004841,rw,1383871,(Z)-patchouli ethanol,also (can) contains,,,
1004861,rw,1021171,methyl isovalerate,also (can) contains,,5.0,8.0
1004871,rw,1551631,ethyl (S)-2-methyl butyrate,also (can) contains,,,
1004871,rw,1623811,ethyl (R)-2-methyl butyrate,also (can) contains,,,
1005051,rw,1589311,(E)-buchu mercaptan,also (can) contains,,,
1005051,rw,1589321,(Z)-buchu mercaptan,also (can) contains,,,
1005161,rw,1018712,dipropylene glycol,also (can) contains,,,
1005161,rw,1441821,hexahydrotetramethyl methanonaphthalene-8-methanol,also (can) contains,,,
1005191,rw,1596911,(E)-3-hexen-1-yl pyruvate,also (can) contains,,0.1,3.0
1005211,rw,1422361,"2,4-dimethyl cyclohex-3-ene-1-methyl acetate",also (can) contains,,,
1005361,rw,1470561,(E)-3-hexen-1-yl isobutyrate,also (can) contains,,0.1,3.0
1005441,rw,1028961,jasmin pyranol,also (can) contains,,,
1005441,rw,1452711,"1,3-nonane diyl diacetate",also (can) contains,,,
1005441,rw,1452761,nonane diol diacetate,also (can) contains,,,
1005441,rw,1618211,jasmopyrane (Givaudan),also (can) contains,,,
1005481,rw,1465951,"(Z,E)-1,3,5-undecatriene",also (can) contains,,,
1005481,rw,1531131,"(E,Z)-1,3,5-undecatriene",also (can) contains,,,
1005481,rw,1532081,"(E,E)-1,3,5-undecatriene",also (can) contains,,,
1005481,rw,1586431,"(Z,Z)-1,3,5-undecatriene",also (can) contains,,,
1005551,rw,1033161,neryl formate,also (can) contains,,0.1,25.0
1005571,rw,1423931,neryl phenyl acetate,also (can) contains,,,
1005571,rw,1559321,geranyl phenyl acetate,also (can) contains,,,
1005621,rw,1551831,(Z)-2-octenal,also (can) contains,,0.1,3.0
1005631,rw,1011712,vanillin,also (can) contains,,18.0,20.0
1005641,rw,1038261,dihydronootkatone,also (can) contains,,3.0,4.0
1005931,rw,1040181,(E)-3-hexen-1-ol,also (can) contains,,0.1,8.0
1005932,rw,1040181,(E)-3-hexen-1-ol,also (can) contains,,0.1,8.0
1006291,rw,1056891,(-)-camphene,also (can) contains,,,
1006292,rw,1056891,(-)-camphene,also (can) contains,,,
1006321,rw,1006281,ascorbic acid,also (can) contains,,,
1006321,rw,1252181,ferric chloride,also (can) contains,,,
