Stimulus,TGSC ID,CID,Concentration %,Solvent
189440-77-5,1612571,10986465,100.0,
18996-35-5,1230761,23662352,100.0,
18999-28-5,1044321,29373,1.0,propylene glycol
1900-69-2,1489891,36081,100.0,
19009-56-4,1027651,29381,1.0,dipropylene glycol
1901-38-8,1037791,61284,100.0,
19041-15-7,1555201,7057988,,
19089-92-0,1026941,5366038,10.0,dipropylene glycol
19139-31-2,1002301,5271574,100.0,
19141-40-3,1524981,177050,100.0,
19162-00-6,1451811,87947,,
1922-67-4,1026361,102714,100.0,
19224-26-1,1036131,517637,100.0,
19238-49-4,1594421,87975,100.0,
19269-28-4,1443911,140511,,
19317-11-4,1044051,68150,100.0,
19322-27-1,1037181,4564493,10.0,dipropylene glycol
19329-89-6,1045071,86851,100.0,
19342-01-9,1140151,103034,0.1,propylene glycol
19407-28-4,1568171,86869,100.0,
19431-84-6,1021541,167812,100.0,
19435-97-3,1384361,3084311,100.0,
19464-94-9,1600701,569008,100.0,
19487-61-7E,1018361,5363207,100.0,
194934-66-2,1021591,44256573,100.0,
195863-84-4,1586841,152743294,100.0,
196109-18-9E,1130941,15376222,10.0,dipropylene glycol
1963-36-6,1376911,230995,0.5,dipropylene glycol
1968-40-7,1023051,74786,100.0,
19700-21-1,1454691,29746,1.0,dipropylene glycol
197098-61-6,1546591,21967387,100.0,
1975-78-6,1042151,74791,10.0,dipropylene glycol
19788-49-9,1022801,519709,0.1,dipropylene glycol
19788-50-2,1590451,22251515,0.1,propylene glycol
19819-98-8,1052291,88267,100.0,
19825-93-5,1013721,140615,10.0,dipropylene glycol
198404-98-7,1493091,10561017,10.0,dipropylene glycol
19846-22-1,1551801,586728,,
19870-74-7,1104871,88288,100.0,
19872-52-7,1038251,88290,0.1,propylene glycol
19888-33-6,1551811,5318103,100.0,
19894-97-4,1487871,88301,100.0,
19902-08-0,1010291,10290825,10.0,dipropylene glycol
19912-62-0,1103341,3084331,100.0,
19961-52-5,1583841,519732,,
20053-88-7,1374491,6433750,100.0,
20073-13-6,1459361,5319693,100.0,
2009-74-7,1538371,137281,,
20125-81-9,1594281,5366203,100.0,
20125-84-2,1036361,5364519,1.0,dipropylene glycol
20175-19-3,1376201,89284,100.0,
20184-89-8,1120961,140649,100.0,
2021-28-5,1023091,16237,100.0,
202188-43-0,1594041,11105826,10.0,dipropylene glycol
202188-46-3,1594051,526993,10.0,dipropylene glycol
20273-24-9,1458151,15306,,
20279-43-0,1596971,523918,100.0,
20279-51-0,1044731,519757,100.0,
20286-45-7,1471141,89307,100.0,
20298-69-5,1613221,88480,100.0,
20298-72-0,1489981,11008915,100.0,
20307-83-9,1103651,5321277,100.0,
20307-84-0,1511301,12004383,100.0,
20333-39-5,1495051,123388,0.1,propylene glycol
20347-65-3,1106101,443131,100.0,
2035-93-0,1456901,99870,100.0,
2035-99-6,1019811,16255,100.0,
203719-53-3,1600711,10953718,,
203719-54-4,1374471,441245,100.0,
2040-10-0,1421731,74879,10.0,dipropylene glycol
20407-84-5,1005071,5283361,1.0,dipropylene glycol
20425-54-1,1424381,6708682,100.0,
2044-73-7,1035641,256071,0.1,propylene glycol
2046-17-5,1032961,281254,100.0,
20483-36-7,1042201,577126,,
20489-53-6,1038261,71587038,100.0,
2049-96-9,1047711,16296,100.0,
2050-01-3,1003311,519786,100.0,
2050-08-0,1012551,16299,100.0,
2050-09-1,1045091,74901,100.0,
2050-87-5,1018581,16315,0.1,propylene glycol
2051-04-9,1576971,74915,,
2051-50-5,1455211,97987,,
2051-78-7,1017881,16324,10.0,dipropylene glycol
2051-96-9,1039521,98054,100.0,
2052-14-4,1013801,16330,10.0,dipropylene glycol
2052-15-5,1013561,16331,100.0,
20582-85-8,1037011,519793,0.1,propylene glycol
20662-84-4,1051411,30215,100.0,
20664-46-4,1551831,6427080,1.0,propylene glycol
20665-85-4,1024071,539829,100.0,
20675-95-0,1581991,5352905,0.1,dipropylene glycol
20691-52-5,1013241,88655,10.0,dipropylene glycol
20702-77-6,1003941,30231,100.0,
20770-40-5,1041371,89382,100.0,
20777-49-5,1019221,30248,100.0,
2078-54-8,1040071,4943,100.0,
20780-48-7,1015911,89385,100.0,
20780-49-8,1017891,30249,100.0,
207983-28-6,1590591,547907,,
20815-27-4,1447181,72919,1.0,dipropylene glycol
20834-59-7,1046551,88710,100.0,
2084-18-6S,1032251,7364127,0.1,propylene glycol
2084-19-7,1038421,62424,0.1,propylene glycol
20859-10-3,1546761,5462986,1.0,dipropylene glycol
20884-13-3,1628281,23279512,,
209051-79-6,1023481,53430823,,
2092-49-1,1407621,95086,100.0,
20920-83-6,1036481,3486665,1.0,dipropylene glycol
20921-04-4,1662321,12263583,100.0,
2094-69-1,1412451,74977,100.0,
2100-17-6,1582111,16418,0.1,propylene glycol
2102-59-2,1053801,330573,100.0,
21040-45-9,1106381,5282110,100.0,
21063-71-8,1007001,5352774,100.0,
2109-22-0,1041921,95560,10.0,dipropylene glycol
2110-18-1,1023331,459494,0.1,dipropylene glycol
2111-75-3,1399441,16441,10.0,dipropylene glycol
21112-37-8,1042581,88792,100.0,
211238-85-6,1553581,57375717,100.0,
21129-27-1,1006311,89437,100.0,
211299-54-6,1612511,66731260,100.0,
211323-05-6,1383271,71587638,100.0,
21145-77-7,1016651,89440,10.0,isopropyl myristate
21188-58-9,1036571,519845,10.0,dipropylene glycol
21188-61-4,1052441,89464,10.0,dipropylene glycol
21195-59-5,1603551,527424,1.0,
2120-70-9,1018811,75033,10.0,dipropylene glycol
21280-29-5,1004851,89479,10.0,dipropylene glycol
21284-22-0,1443131,11770062,100.0,
21391-99-1,1054371,528708,100.0,
2142-94-1,1033161,5354882,100.0,
215231-33-7,1612531,22476645,100.0,
2153-26-6,1034851,16537,100.0,
2153-28-8,1034831,578423,100.0,
21593-77-1,1593931,9793905,0.1,propylene glycol
21653-20-3,1053541,11967982,1.0,dipropylene glycol
21661-97-2,1018271,5362695,0.1,dipropylene glycol
21661-99-4,1551841,6429282,,
21662-09-9,1004341,5362620,0.1,dipropylene glycol
21662-13-5,1021341,6430759,10.0,dipropylene glycol
21662-16-8,1021321,5367530,100.0,
2167-14-8,1593901,579338,0.1,dipropylene glycol
21722-83-8,1016511,30771,100.0,
2173-56-0,1005951,62433,100.0,
2173-57-1,1020171,16582,100.0,
2174-16-5,1055351,25213,,
2179-57-9,1002791,16590,0.1,propylene glycol
2179-58-0,1009831,62434,0.1,propylene glycol
2179-59-1,1009851,16591,0.1,propylene glycol
2179-60-4,1035471,16592,0.1,propylene glycol
21835-00-7,1422621,89539,,
21835-01-8,1017211,62752,0.5,propylene glycol
2186-92-7,1032871,75140,100.0,
21862-63-5,1053371,7391,10.0,dipropylene glycol
21944-83-2,1551851,5352808,0.1,dipropylene glycol
21944-98-9,1054851,6430180,1.0,dipropylene glycol
21948-70-9,1009241,519907,0.1,propylene glycol
21963-26-8,1590471,89559,1.0,dipropylene glycol
21964-44-3,1044781,89560,100.0,
2197-63-9,1238351,75143,100.0,
2198-61-0,1019751,16617,100.0,
22014-48-8,1037411,5463935,0.1,propylene glycol
22029-76-1,1015851,519915,100.0,
22030-19-9,1015871,90720,1.0,ethyl alcohol
22047-25-2,1012201,30914,0.1,propylene glycol
22047-26-3,1583561,527821,0.01,propylene glycol
22047-27-4,1583531,30915,0.01,propylene glycol
2206-94-2,1412091,75153,1.0,dipropylene glycol
220621-22-7,1581981,10125362,100.0,
22094-00-4,1038271,5463936,100.0,
22104-78-5,1452091,29060,1.0,dipropylene glycol
22104-79-6,1451981,61896,10.0,dipropylene glycol
22104-80-9,1013871,87630,100.0,
22104-81-0,1021381,90733,10.0,dipropylene glycol
2216-45-7,1412161,75187,100.0,
2216-51-5,1030471,16666,10.0,dipropylene glycol
2216-52-6,1060561,439263,10.0,dipropylene glycol
2216-81-1,1026101,16670,100.0,
2217-33-6,1028401,551316,100.0,
2217-60-9,1056041,95779,,
2219-82-1,1043221,16678,100.0,
2226-05-3,1004841,94046,100.0,
2230-70-8,1055381,102771,,
2235-83-8,1058351,16701,100.0,
224031-71-4,1600821,15405345,1.0,dipropylene glycol
22414-70-6,1443881,90773,1.0,dipropylene glycol
22418-66-2,1012511,90776,100.0,
2243-33-6,1374391,443160,,
2244-16-8,1007121,16724,100.0,
22451-50-9,1593881,527108,100.0,
22451-73-6,1012901,90785,100.0,
22457-23-4,1010311,90787,100.0,
22457-25-6,1377281,89723,100.0,
22460-95-3,1424971,90790,100.0,
22463-19-0,1052851,89724,,
22471-55-2,1378121,11735763,100.0,
2253-73-8,1499071,75263,0.01,propylene glycol
22567-17-5,1042381,16213732,,
2257-09-2,1049131,16741,0.01,propylene glycol
22628-11-1,1054601,6427787,100.0,
22629-49-8,1013951,90818,1.0,dipropylene glycol
22694-96-8SS,1009461,6999041,0.1,dipropylene glycol
2270-60-2,1035931,61290,1.0,dipropylene glycol
22717-57-3,1473481,89802,100.0,
2272-55-1,1001641,256043,100.0,
227456-27-1,1576741,6430888,0.1,propylene glycol
227456-28-2,1352731,527435,0.1,propylene glycol
227456-33-9,1584181,6430892,0.1,propylene glycol
2277-16-9,1593831,5283337,10.0,dipropylene glycol
2277-19-2,1031551,5362720,1.0,dipropylene glycol
22771-44-4,1399261,155626,10.0,dipropylene glycol
2278-53-7,1513991,16058296,100.0,
22810-10-2,1012931,90843,100.0,
22874-79-9,1455521,90848,100.0,
22882-89-9,1042861,6436546,10.0,dipropylene glycol
2294-76-0,1009181,16800,0.1,propylene glycol
22940-86-9,1583211,579675,1.0,dipropylene glycol
2305-05-7,1013371,16821,100.0,
2305-21-7,1451611,13577,0.1,dipropylene glycol
2305-25-1,1020221,61293,100.0,
2306-78-7,1004381,5363426,100.0,
2306-88-9,1455901,61294,100.0,
2306-91-4,1001591,75320,100.0,
2306-92-5,1048221,75321,100.0,
2307-10-0,1036061,61295,0.1,propylene glycol
2308-18-1,1003181,61296,100.0,
23089-26-1,1412691,442343,100.0,
2311-46-8,1034151,16832,10.0,dipropylene glycol
2311-59-3,1450111,16833,100.0,
2313-01-1,1551501,281853,,
23147-57-1,1612371,90884,10.0,propylene glycol
2315-68-6,1034001,16846,100.0,
23267-57-4,1378141,90899,100.0,
23283-97-8,1137841,45056,10.0,dipropylene glycol
23328-62-3,1009011,10887828,0.1,propylene glycol
23333-91-7,1019861,1213,1.0,dipropylene glycol
233665-90-2,1594231,53422473,10.0,dipropylene glycol
233665-96-8,1545861,22213645,0.1,dipropylene glycol
233665-98-0,1584251,57509241,0.1,propylene glycol
23433-05-8,1455151,90927,,
2344-70-9,1033831,61302,100.0,
23445-02-5,1016721,11276107,,
2345-24-6,1006571,5365991,100.0,
2345-26-8,1016431,6086514,100.0,
2345-28-0,1037671,61303,10.0,dipropylene glycol
2346-00-1,1047391,16867,0.1,propylene glycol
2349-07-7,1008581,16872,100.0,
2349-13-5,1008521,61304,1.0,
23495-12-7,1031491,31954,100.0,
2351-90-8,1022971,23832,100.0,
23550-40-5,1036031,4682590,0.1,dipropylene glycol
2363-88-4,1537401,16899,1.0,dipropylene glycol
2363-89-5,1452211,16900,1.0,propylene glycol
236391-76-7,1612281,21933618,100.0,
23654-92-4,1008161,32033,0.01,propylene glycol
23696-85-7,1021911,5366074,10.0,dipropylene glycol
2370-13-0,1444281,16912,100.0,
2371-13-3,1452111,102248,10.0,dipropylene glycol
2371-42-8,1384871,16913,100.0,
23726-91-2,1000881,5374527,1.0,dipropylene glycol
23726-92-3,1378861,1616260,1.0,dipropylene glycol
23726-93-4,1441071,5366074,1.0,dipropylene glycol
23726-94-5,1418841,6436548,1.0,dipropylene glycol
23727-16-4,1452341,12313057,,
23747-43-5S,1043771,7015740,100.0,
23747-45-7,1476981,90246,0.1,propylene glycol
23747-48-0S,1035761,6931359,0.1,dipropylene glycol
23769-39-3,1596691,17696,0.01,propylene glycol
23787-80-6,1001571,32093,0.1,dipropylene glycol
23787-90-8,1007011,90978,100.0,
2379-55-7,1043041,16925,0.01,propylene glycol
23811-08-7,1027151,161437,100.0,
23832-18-0,1036541,90984,0.1,dipropylene glycol
2385-77-5,1106481,75427,100.0,
23911-56-0,1040681,16205025,10.0,dipropylene glycol
2396-77-2,1032721,61310,100.0,
2396-78-3,1035941,61310,10.0,dipropylene glycol
2396-83-0,1022721,61312,100.0,
2396-84-1,1023161,1550470,100.0,
2396-85-2,1377141,61313,100.0,
23986-74-5,1384451,6436582,100.0,
24048-14-4,1057431,91116,1.0,dipropylene glycol
24048-52-0,1053881,6428574,,
24050-16-6,1047381,32196,0.01,propylene glycol
2407-43-4,1428471,16997,,
2408-20-0,1002921,61319,10.0,dipropylene glycol
2408-37-9,1009311,17000,10.0,dipropylene glycol
2409-55-4,1039111,17004,100.0,
2412-73-9,1017401,75486,100.0,
2412-80-8,1032771,17008,10.0,dipropylene glycol
24168-70-5,1008681,520098,0.1,dipropylene glycol
24202-00-4,1597531,71356702,100.0,
24237-00-1,1040511,91147,100.0,
24276-84-4,1547941,23669636,100.0,
24295-03-2,1025671,520108,0.1,dipropylene glycol
2430-93-5,1127551,5312350,100.0,
2432-51-1,1035781,62444,0.1,propylene glycol
2432-77-1,1468541,75515,0.1,dipropylene glycol
2432-91-9,1040631,102815,0.1,dipropylene glycol
24323-38-4,1593731,13026600,10.0,dipropylene glycol
24330-52-7,1036721,520119,0.01,ethyl alcohol
2435-16-7,1044381,102816,10.0,dipropylene glycol
24351-71-1,1013791,91704044,0.01,propylene glycol
2436-90-0,1020331,17090,100.0,
2437-25-4,1004961,17092,10.0,dipropylene glycol
2438-10-0,1618181,2724161,100.0,
2438-20-2,1471981,102817,100.0,
2439-44-3,1032941,12255414,10.0,dipropylene glycol
24401-36-3,1036661,562563,100.0,
24406-05-1,1443261,12306048,100.0,
2441-06-7,1582571,520125,100.0,
24415-26-7,1551861,181106,1.0,dipropylene glycol
2442-10-6,1019271,17121,100.0,
24427-77-8,1618341,440244,100.0,
2444-46-4,1033291,2998,100.0,
2444-49-7,1582941,75552,0.01,propylene glycol
2445-67-2,1045211,102820,10.0,dipropylene glycol
2445-69-4,1470211,97883,100.0,
2445-72-9,1048881,75554,100.0,
2445-76-3,1008601,88454,100.0,
2445-77-4,1032311,62445,1.0,
2445-78-5,1020361,17129,10.0,dipropylene glycol
2445-83-2,1012751,17131,100.0,
24545-81-1,1524041,91195,10.0,dipropylene glycol
24587-53-9,1554851,2724898,1.0,dipropylene glycol
2463-53-8,1438521,17166,2.0,propylene glycol
2463-63-0,1414121,17167,0.1,dipropylene glycol
2463-77-6,1419881,62447,1.0,dipropylene glycol
246511-74-0,1584201,10920542,,
24680-50-0,1031801,641294,100.0,
24683-00-9,1013601,32594,0.1,dipropylene glycol
24691-15-4,1016151,90586,100.0,
24703-35-3,1551871,5315347,100.0,
24717-85-9,1004481,6386037,100.0,
24717-86-0,1012641,91226,100.0,
24720-09-0,1006041,5366077,1.0,dipropylene glycol
247219-77-8,1015421,91748646,10.0,dipropylene glycol
2478-38-8,1181431,17198,100.0,
24817-51-4,1029301,520148,100.0,
2482-39-5,1475231,81834,,
24851-98-7,1015271,102861,100.0,
2497-18-9,1031091,2733294,10.0,dipropylene glycol
2497-21-4,1026601,17244,1.0,propylene glycol
2497-25-8,1551511,5354834,100.0,
2500-83-6,1696121,98478,100.0,
25013-16-5,1007421,24667,100.0,
2511-00-4,1043591,160641,100.0,
25152-83-4,1551881,6427087,1.0,dipropylene glycol
25152-84-5,1028121,5283349,1.0,dipropylene glycol
25152-85-6,1001381,5367706,100.0,
25166-87-4,1135351,5283308,1.0,dipropylene glycol
25168-73-4,1303881,5360773,100.0,
2520-60-7,1048841,102835,10.0,dipropylene glycol
25225-08-5,1017321,91337,100.0,
25225-09-6,1507531,91338,100.0,
25225-10-9,1005121,91339,100.0,
25231-21-4,1359831,62793,100.0,
25246-27-9,1465731,5317401,,
25265-71-8,1018711,32857,100.0,
2527-76-6,1530931,75664,0.01,propylene glycol
252736-36-0,1584241,15743318,0.1,propylene glycol
252736-39-3,1584291,124155846,0.1,propylene glycol
252736-40-6,1597491,71587678,,
252736-41-7,1595351,57373560,,
2530-10-1,1036701,520191,0.1,propylene glycol
25304-14-7,1003571,91388,100.0,
25312-34-9,1015831,101696,100.0,
25339-09-7,1099901,91410,100.0,
25343-57-1,1551891,520194,,
253596-70-2,1594131,6366434,,
25394-57-4,1116321,5353001,100.0,
25395-31-7,1235201,66021,100.0,
25415-62-7,1001051,95978,100.0,
25415-67-2,1477041,117477,100.0,
25435-63-6,1376531,117483,100.0,
2548-87-0,1005621,5283324,1.0,dipropylene glycol
25485-88-5,1027511,101330,100.0,
25496-72-4,1026301,5283468,100.0,
2550-11-0,1020691,102844,100.0,
2550-26-7,1024231,17355,100.0,
2550-40-5,1010211,17356,0.1,propylene glycol
2550-52-9,1439821,75695,10.0,dipropylene glycol
2550-59-6,1547661,6432858,100.0,
25524-95-2,1038021,6438070,5.0,dipropylene glycol
2555-49-9,1380981,17365,100.0,
2556-10-7,1019191,102849,100.0,
25564-22-1,1013891,117549,100.0,
2563-07-7,1096541,75715,10.0,dipropylene glycol
25634-93-9,1047251,117568,100.0,
2565-82-4,1024981,5365849,100.0,
25679-28-1,1501611,1549040,100.0,
2568-06-1,1460961,95632,100.0,
2568-25-4,1005031,595928,100.0,
25680-57-3,1046451,528308,0.1,dipropylene glycol
25680-58-4,1031841,33135,0.1,dipropylene glycol
25773-40-4,1107761,33166,0.1,dipropylene glycol
258823-39-1,1006001,11240503,0.1,propylene glycol
259854-70-1,1300021,54543965,10.0,dipropylene glycol
259854-71-2,1697251,11855994,100.0,
26001-58-1,1588091,5364959,,
2601-13-0,1046661,102855,,
26131-91-9,1584111,574068,0.1,propylene glycol
26161-33-1,1367381,78738,100.0,
26184-62-3,1141301,2724896,,
2623-23-6,1002031,220674,100.0,
26266-77-3,1027331,101602,,
2628-17-3,1005801,62453,0.01,propylene glycol
26303-90-2,1100911,93732,10.0,dipropylene glycol
26330-64-3,1452131,117305,1.0,dipropylene glycol
26370-28-5,1595631,11196,1.0,dipropylene glycol
2639-63-6,1023951,17525,2.0,dipropylene glycol
2639-68-1,1047791,5363453,100.0,
26446-31-1,1027951,5463954,100.0,
26446-32-2,1027971,175553,100.0,
26486-13-5,1551901,526177,0.01,propylene glycol
26486-14-6,1037191,5463955,0.1,propylene glycol
26486-21-5,1584301,20442793,0.1,propylene glycol
26489-01-0,1007031,8842,100.0,
26494-10-0,1427201,5743410,0.1,propylene glycol
26516-27-8,1687471,13129857,,
26549-24-6,1140381,6993810,100.0,
26549-25-7,1117471,6998928,100.0,
26553-46-8,1433091,5362622,100.0,
26553-47-9,1043851,5364397,100.0,
26563-75-7,1527631,23617539,100.0,
26643-91-4Z,1022441,5363896,100.0,
26693-24-3,1120041,526931,0.01,propylene glycol
26728-44-9,1546571,549715,100.0,
2679-87-0,1013341,17586,,
26838-05-1,1655461,23686662,100.0,
26896-48-0,1000981,160138,100.0,
26912-64-1,1023921,102779,100.0,
26927-89-9,1012601,117336,100.0,
26927-90-2,1551921,6428443,100.0,
26942-95-0,1368531,168634,100.0,
26946-66-7,1500431,3015339,100.0,
27039-84-5,1548391,5363537,,
2705-87-5,1000321,17617,100.0,
27178-16-1,1024411,33733,,
2719-08-6,1015551,17623,100.0,
27195-16-0,1303871,5360827,100.0,
2721-22-4,1029461,520296,100.0,
27214-38-6,1300221,79050,100.0,
27215-95-8,1047921,33744,,
27300-27-2,1551931,520300,0.1,propylene glycol
27372-03-8,1594651,656467,,
27519-02-4,1033921,5365075,100.0,
27538-09-6,1029161,93111,0.1,propylene glycol
27538-10-9,1491201,33931,1.0,dipropylene glycol
2756-56-1,1021491,17685,100.0,
2758-18-1,1036151,17691,1.0,dipropylene glycol
27593-23-3,1005401,33960,1.0,dipropylene glycol
27606-09-3,1007991,119674,100.0,
27625-35-0,1036561,520326,1.0,dipropylene glycol
2765-11-9,1419491,17697,100.0,
27817-67-0,1038821,98781,0.1,propylene glycol
27829-72-7,1022711,5364778,100.0,
2785-87-7,1017131,17739,100.0,
2785-89-9,1028451,62465,10.0,dipropylene glycol
27939-60-2,1587151,3034463,10.0,dipropylene glycol
28043-10-9,1021971,119800,100.0,
28060-90-4,1495721,108335,100.0,
28069-72-9,1031571,5362833,1.0,dipropylene glycol
28069-74-1,1007551,5366352,2.0,dipropylene glycol
28217-92-7,1017481,16204532,0.1,dipropylene glycol
28219-60-5,1013511,6438195,100.0,
28219-61-6Z,1009651,21910464,10.0,dipropylene glycol
28231-03-0,1002831,119831,100.0,
2825-91-4,1555471,1714996,100.0,
28296-85-7,1001781,101306697,100.0,
28343-22-8,1582001,35960,10.0,dipropylene glycol
2835-39-4,1003061,17816,10.0,dipropylene glycol
28371-99-5,1352851,6438191,10.0,dipropylene glycol
28462-85-3,1437681,119965,100.0,
28467-92-7,1376211,1565622,,
2847-30-5,1031911,17898,0.1,dipropylene glycol
28588-73-0,1036411,642117,0.1,propylene glycol
28588-74-1,1035411,34286,0.1,propylene glycol
28588-75-2,1035721,526624,0.1,propylene glycol
28588-76-3,1012481,24832089,0.1,propylene glycol
285977-85-7,1620691,11367306,100.0,
28631-86-9,1037311,99611,10.0,dipropylene glycol
28645-51-4,1026271,5355293,10.0,dipropylene glycol
28664-35-9,1028801,62835,1.0,propylene glycol
2867-05-2,1053601,17868,10.0,dipropylene glycol
287-92-3,1233031,9253,100.0,
2874-76-2,1510361,102895,10.0,propylene glycol
28787-36-2,1046011,120048,10.0,dipropylene glycol
288-47-1,1037111,9256,0.1,propylene glycol
2882-20-4,1046991,76152,0.1,propylene glycol
2882-21-5,1464141,520395,0.1,propylene glycol
28839-13-6,1036841,527144,100.0,
28897-58-7,1051931,5282650,100.0,
28940-11-6,1002351,120101,10.0,dipropylene glycol
28973-97-9,1551951,5317319,100.0,
28977-58-4,1424541,5362854,1.0,dipropylene glycol
290-37-9,1040421,9261,0.1,propylene glycol
29021-37-2,1057981,119853,100.0,
290311-72-7,1002221,5320530,100.0,
29127-83-1,1548381,6438193,1.0,dipropylene glycol
29171-20-8,1020411,62842,100.0,
2918-13-0,1551411,520420,,
292-46-6,1576921,67521,,
29214-60-6,1006881,121790,100.0,
292605-05-1,1595421,59870763,100.0,
29414-47-9,1590481,122370,,
29414-56-0,1424281,119847,1.0,dipropylene glycol
29460-90-0,1045581,34590,0.1,dipropylene glycol
29460-92-2,1045261,34591,1.0,dipropylene glycol
29461-13-0,1442141,90978,100.0,
2949-92-0,1260071,18064,0.1,propylene glycol
29548-14-9,1035371,520440,0.1,dipropylene glycol
29548-30-9,1023681,94403,100.0,
29587-89-1,1555511,1714993,100.0,
29606-79-9,1034221,34645,100.0,
29710-25-6,1361731,5463971,100.0,
29725-66-4,1593821,23341028,0.1,propylene glycol
29759-11-3,1412121,62341,1.0,dipropylene glycol
29790-29-2,1551981,5363876,,
298-14-6,1099511,516893,100.0,
29811-50-5,1037031,520455,100.0,
2983-36-0,1022601,62469,100.0,
2983-37-1,1023191,102916,100.0,
29837-12-5,1551991,6427091,100.0,
2986-53-0,1017141,11264326,,
2986-54-1,1022251,76334,100.0,
29873-99-2,1552001,12309452,100.0,
29887-38-5,1053631,100197,100.0,
29895-73-6,1033811,78476,100.0,
29896-45-5,1026981,5355857,100.0,
299-27-4,1099571,16760467,100.0,
299-28-5,1098091,9290,100.0,
299-29-6,1347781,25199601,100.0,
29926-41-8,1038521,169110,0.1,propylene glycol
29926-42-9,1581881,6428990,0.1,propylene glycol
29957-43-5,1424981,103850,100.0,
30021-74-0,1054161,6432308,100.0,
3008-43-3S,1035751,7019252,1.0,dipropylene glycol
30086-02-3,1581951,5352876,1.0,dipropylene glycol
30100-15-3,1010501,100495,100.0,
3016-19-1,1020231,5368821,100.0,
30168-23-1,1023851,6438291,1.0,dipropylene glycol
302-72-7,1043861,602,100.0,
30207-98-8,1022111,15448,100.0,
3025-30-7,1029341,5281162,2.0,dipropylene glycol
30310-41-9,1043001,121777,10.0,dipropylene glycol
3033-23-6,1000221,1712087,1.0,dipropylene glycol
30361-28-5,1453591,5283329,10.0,dipropylene glycol
30361-29-6,1005781,5367531,1.0,dipropylene glycol
30364-38-6,1513131,121677,10.0,dipropylene glycol
30364-51-3,1355461,23687235,100.0,
30390-50-2,1582031,61875,1.0,propylene glycol
30399-84-9,1300801,21859,100.0,
30408-61-8,1583271,121694,0.1,propylene glycol
30418-89-4,1047951,6365451,100.0,
30453-31-7,1582981,35349,0.1,propylene glycol
30460-92-5,1054321,121719,100.0,
304877-33-6,1020081,5244370,,
305-84-0,1253461,439224,100.0,
3054-92-0,1457521,18280,,
30557-76-7,1020371,6428327,100.0,
30640-46-1,1046691,121731,10.0,dipropylene glycol
30673-36-0,1039981,35408,,
30673-38-2,1045171,121738,100.0,
30673-60-0,1049681,121739,100.0,
30689-75-9,1596531,14297102,100.0,
3073-66-3,1435931,18309,,
30772-69-1,1454631,161675,100.0,
30772-79-3,1048111,161676,100.0,
3080-69-1,1437231,95401,100.0,
3085-26-5,1094441,14862,1.0,dipropylene glycol
308805-43-8,1596641,527441,0.1,propylene glycol
30895-79-5,1002961,53423725,100.0,
30897-75-7,1027681,169211,1.0,dipropylene glycol
30925-07-6,1041521,134944,,
30954-98-4,1049671,95016,100.0,
30960-39-5,1014941,161683,100.0,
3100-36-5Z,1017301,5362739,10.0,dipropylene glycol
31087-44-2,1140441,7014876,,
31147-36-1,1384101,6442050,100.0,
31308-55-1,1454321,121774,100.0,
31323-51-0,1555241,5325912,10.0,dipropylene glycol
31331-53-0,1552011,525462,,
31375-17-4,1025171,35785,100.0,
313973-37-4,1584171,15897831,10.0,dipropylene glycol
31416-78-1,1041651,5366040,100.0,
3142-66-3,1036801,62484,100.0,
3142-72-1,1006481,18458,10.0,dipropylene glycol
3149-28-8,1008711,18467,1.0,dipropylene glycol
31499-70-4,1135681,53425122,0.1,propylene glycol
31499-71-5,1583041,525358,0.1,propylene glycol
31499-72-6,1028041,35821,10.0,dipropylene glycol
31501-11-8,1007981,5352543,2.0,
31502-14-4,1052141,5364941,100.0,
31539-84-1,1552021,6429308,0.1,propylene glycol
3155-71-3,1131571,5369997,100.0,
31565-19-2,1381781,169321,100.0,
31704-80-0S,1028321,643322,10.0,dipropylene glycol
317803-03-5,1600741,3458885,0.1,propylene glycol
317807-28-6,1697451,18433856,,
31823-43-5,1552031,6431042,0.1,propylene glycol
3184-13-2,1253911,76654,100.0,
3188-00-9S,1036001,7060523,10.0,dipropylene glycol
31883-01-9,1521211,40380,0.1,propylene glycol
319002-92-1,1375031,16063805,100.0,
31906-04-4,1007971,91604,100.0,
3194-17-0,1048811,231325,10.0,dipropylene glycol
31983-27-4,1374091,1551245,10.0,dipropylene glycol
3208-16-0,1022621,18554,10.0,dipropylene glycol
3208-25-1,1058491,154271,,
3208-40-0,1017821,62490,100.0,
3209-13-0,1016391,76674,10.0,dipropylene glycol
32210-23-4,1001371,36081,100.0,
32214-91-8,1023611,5832948,100.0,
32231-50-8,1620751,6950479,,
32263-00-6,1096591,520567,1.0,dipropylene glycol
3230-94-2,1438401,18599,,
3234-85-3,1371161,18605,100.0,
32350-16-6,1049711,122594,0.1,propylene glycol
32388-55-9,1026471,16220111,100.0,
32388-56-0,1046821,122549,,
3240-09-3,1035951,228604,10.0,dipropylene glycol
3240-29-7,1096681,101362,100.0,
32449-92-6,1233891,92283,100.0,
324742-96-3,1593761,29933357,0.1,propylene glycol
3249-68-1,1005531,238498,100.0,
3254-39-5,1607811,135565913,100.0,
32540-03-7,1457181,6504440,10.0,dipropylene glycol
326-61-4,1020671,9473,100.0,
32659-21-5,1022671,5317247,100.0,
32665-23-9,1034211,61914,100.0,
32669-00-4,1690631,56841839,1.0,dipropylene glycol
