Stimulus,TGSC ID,CID,Concentration %,Solvent
108-98-5,1007501,7969,0.1,propylene glycol
1080-12-2,1005791,5354238,100.0,
108576-21-2,1032701,6210220,10.0,dipropylene glycol
108766-16-1,1593851,11586787,,
108861-12-7,1555491,11435352,100.0,
108861-13-8,1555481,12242463,100.0,
108910-53-8,1017091,3032853,100.0,
108943-47-1,1555501,6566009,100.0,
109-05-7,1108251,7974,1.0,propylene glycol
109-06-8,1180531,7975,,
109-08-0,1009001,7976,1.0,dipropylene glycol
109-15-9,1029281,61024,100.0,
109-19-3,1029431,7981,100.0,
109-20-6,1025041,6433150,100.0,
109-21-7,1014091,7983,100.0,
109-25-1,1003611,66955,100.0,
109-29-5,1000301,7984,10.0,dipropylene glycol
109-42-2,1002261,61027,100.0,
109-43-3,1028411,7986,100.0,
109-49-9,1038661,7989,100.0,
109-52-4,1009341,7991,1.0,propylene glycol
109-60-4,1033971,7997,10.0,dipropylene glycol
109-73-9,1007671,8007,0.1,propylene glycol
109-79-5,1007541,8012,0.1,propylene glycol
109-80-8,1036951,8013,0.1,propylene glycol
109-87-5,1238941,8020,,
109-89-7,1237921,8021,0.1,dipropylene glycol
109-94-4,1015051,8025,1.0,dipropylene glycol
109-95-5,1022941,8026,1.0,propylene glycol
109-97-7,1009261,8027,0.1,propylene glycol
109351-28-2,1552441,5283336,,
109537-55-5,1584091,526616,0.1,propylene glycol
109682-87-3,1697861,528707,,
110-00-9,1044201,8029,0.1,propylene glycol
110-01-0,1287701,1127,0.01,propylene glycol
110-02-1,1289141,8030,0.1,propylene glycol
110-15-6,1040431,1110,100.0,
110-17-8,1024321,723,100.0,
110-19-0,1013631,8038,10.0,dipropylene glycol
110-25-8,1301761,5879967,100.0,
110-27-0,1019331,8042,100.0,
110-36-1,1040581,8047,100.0,
110-38-3,1015411,8048,100.0,
110-39-4,1031851,61030,100.0,
110-40-7,1029491,8049,100.0,
110-41-8,1000411,61031,1.0,dipropylene glycol
110-42-9,1040271,8050,100.0,
110-43-0,1002111,8051,10.0,dipropylene glycol
110-45-2,1019851,8052,10.0,dipropylene glycol
110-58-7,1220111,8060,0.1,propylene glycol
110-60-1,1148651,1045,,
110-62-3,1009331,8063,1.0,dipropylene glycol
110-66-7,1156071,8067,0.1,propylene glycol
110-74-7,1034091,8073,10.0,dipropylene glycol
110-81-6,1042351,8077,0.1,triacetin
110-85-0,1274981,4837,0.1,dipropylene glycol
110-86-1,1009251,1049,0.01,propylene glycol
110-89-4,1009201,8082,1.0,propylene glycol
110-93-0,1008311,9862,10.0,dipropylene glycol
110-94-1,1248291,743,,
110-97-4,1238661,8086,100.0,
110-98-5,1234871,8087,100.0,
11028-42-5,1104851,3080674,100.0,
11029-12-2,1586701,145858,,
11031-45-1,1034511,6435840,100.0,
110458-85-0,1032851,86114,100.0,
11050-62-7,1582381,6435841,100.0,
110516-60-4,1491141,3066538,0.1,propylene glycol
110682-09-2,1024251,5355851,100.0,
11099-07-3,1055001,93066,100.0,
111-02-4,1284311,638072,100.0,
111-11-5,1008791,8091,100.0,
111-12-6,1026731,8092,1.0,dipropylene glycol
111-13-7,1001751,8093,10.0,dipropylene glycol
111-14-8,1008501,8094,1.0,propylene glycol
111-26-2,1250251,8102,0.1,propylene glycol
111-27-3,1002711,8103,10.0,dipropylene glycol
111-28-4,1044441,8104,1.0,dipropylene glycol
111-30-8,1097231,3485,50.0,water
111-31-9,1107661,8106,0.1,propylene glycol
111-41-1,1167661,8112,100.0,
111-42-2,1236621,8113,,
111-45-5,1408881,8116,,
111-46-6,1234831,8117,100.0,
111-47-7,1043191,8118,0.1,propylene glycol
111-55-7,1246051,8121,100.0,
111-60-4,1299941,24762,100.0,
111-61-5,1022961,8122,100.0,
111-62-6,1023041,5363269,100.0,
111-66-0,1155991,8125,100.0,
111-70-6,1014251,8129,1.0,dipropylene glycol
111-71-7,1014291,8130,1.0,dipropylene glycol
111-77-3,1018921,8134,100.0,
111-79-5,1015351,8136,100.0,
111-80-8,1008391,8137,1.0,dipropylene glycol
111-81-9,1019631,8138,100.0,
111-82-0,1023441,8139,100.0,
111-84-2,1269671,8141,,
111-87-5,1021071,957,10.0,dipropylene glycol
111-88-6,1155981,8144,0.1,dipropylene glycol
111-90-0,1002161,8146,100.0,
1113-13-9,1593711,529388,0.1,propylene glycol
1113-21-9,1041741,5365872,100.0,
1113-60-6,1465121,964,1.0,propylene glycol
1115-11-3,1015161,10336,1.0,dipropylene glycol
1115-84-0,1036201,16217806,100.0,
1117-52-8,1488991,1711945,,
1117-55-1,1029181,14228,100.0,
1117-59-5,1044771,70694,,
1117-61-9,1056991,101977,100.0,
1117-65-3,1582631,161528,10.0,dipropylene glycol
111753-60-7,1005761,4100752,50.0,dipropylene glycol
111753-62-9,1450561,3034267,50.0,dipropylene glycol
1118-27-0,1030641,14234,100.0,
1118-39-4,1004301,14235,100.0,
111879-79-9,1123011,11608392,100.0,
111879-80-2,1103401,9856149,100.0,
111879-81-3,1123021,6537739,100.0,
1119-06-8,1027011,517970,100.0,
1119-38-6,1556301,5281525,,
1119-44-4,1008511,14243,10.0,dipropylene glycol
1119831-25-2,1119501,57422431,,
112-02-7,1228011,8154,100.0,
112-05-0,1012131,8158,10.0,dipropylene glycol
112-06-1,1003731,8159,100.0,
112-12-9,1021151,8163,100.0,
112-14-1,1003461,8164,100.0,
112-17-4,1015431,8167,100.0,
112-19-6,1006581,61035,1.0,
112-23-2,1002141,8169,1.0,
112-30-1,1000231,8174,100.0,
112-31-2,1000171,8175,10.0,dipropylene glycol
112-32-3,1007161,8176,100.0,
112-37-8,1008061,8180,100.0,
112-38-9,1035691,5634,100.0,
112-39-0,1057631,8181,100.0,
112-43-6,1007081,8185,100.0,
112-44-7,1026811,8186,1.0,dipropylene glycol
112-45-8,1000331,8187,1.0,dipropylene glycol
112-53-8,1014271,8193,100.0,
112-54-9,1000371,8194,2.0,dipropylene glycol
112-55-0,1153991,8195,0.1,propylene glycol
112-61-8,1040351,8201,100.0,
112-62-9,1260141,5364509,100.0,
112-63-0,1036091,5284421,100.0,
112-66-3,1015071,8205,100.0,
112-70-9,1156881,8207,,
112-72-1,1050721,8209,100.0,
112-80-1,1029521,445639,5.0,
112-92-5,1155941,8221,100.0,
112-95-8,1242491,8222,100.0,
1120363-98-5,1120811,45274957,,
1122-62-9,1012221,14286,1.0,propylene glycol
1123-85-9,1032861,14295,100.0,
1124-11-4,1009291,14296,10.0,dipropylene glycol
1125-12-8,1137041,11027,10.0,dipropylene glycol
1125-21-9,1029401,62374,1.0,dipropylene glycol
1125-88-8,1022451,62375,100.0,
1126-61-0,1009881,70775,,
1126-79-0,1226201,14311,10.0,dipropylene glycol
1128-08-1,1009071,62378,100.0,
1129-47-1,1017421,70792,100.0,
1129-67-5,1378681,70796,100.0,
1129-69-7,1044751,70797,0.1,propylene glycol
112945-52-5,1282321,24261,100.0,
1131-62-0,1042571,14328,10.0,dipropylene glycol
113486-29-6,1552451,529481,10.0,dipropylene glycol
1135-66-6,1382091,102562,100.0,
113889-23-9,1573161,44153588,100.0,
1139-30-6,1023631,14350,100.0,
114-76-1,1274201,23667645,,
114099-96-6,1583461,19872333,100.0,
1142-85-4,1034871,585911,100.0,
114791-16-1,1552461,6431196,100.0,
115-10-6,1259861,8254,100.0,
115-18-4,1040251,8257,10.0,dipropylene glycol
115-71-9,1343671,5368797,100.0,
115-95-7,1007891,8294,100.0,
115-99-1,1030561,61040,100.0,
1153-51-1,1010781,101989,100.0,
115482-83-2,1058441,14195262,100.0,
115724-27-1,1547121,16206258,10.0,dipropylene glycol
116-02-9,1023671,8298,100.0,
116-09-6,1132561,8299,10.0,dipropylene glycol
116-26-7,1016371,61041,1.0,dipropylene glycol
