TGSC ID,Concentration %,Solvent
1002341,,
1002342,5.0,benzyl alcohol
1002342,,
1002351,10.0,dipropylene glycol
1002352,10.0,dipropylene glycol
1002361,100.0,
1002362,100.0,
1002391,100.0,
1002411,100.0,
1002441,,
1002461,100.0,
1002462,100.0,
1002471,100.0,
1002472,100.0,
1002472,,
1002481,100.0,
1002521,100.0,
1002541,100.0,
1002541,,
1002551,100.0,
1002571,100.0,
1002571,,
1002581,10.0,dipropylene glycol
1002591,10.0,dipropylene glycol
1002592,10.0,dipropylene glycol
1002601,100.0,
1002611,10.0,propylene glycol
1002611,1.0,
1002631,10.0,dipropylene glycol
1002631,,
1002632,10.0,dipropylene glycol
1002632,,
1002651,10.0,dipropylene glycol
1002652,10.0,dipropylene glycol
1002652,,
1002661,100.0,
1002671,10.0,dipropylene glycol
1002711,10.0,dipropylene glycol
1002711,,
1002741,100.0,
1002751,100.0,
1002761,100.0,
1002771,100.0,
1002791,0.1,propylene glycol
1002791,,
1002801,0.1,propylene glycol
1002801,0.1,propylene glycol
1002831,100.0,
1002841,100.0,
1002841,,
1002871,100.0,
1002871,,
1002881,10.0,dipropylene glycol
1002911,100.0,
1002921,10.0,dipropylene glycol
1002921,,
1002941,100.0,
1002961,100.0,
1002971,0.1,propylene glycol
1002971,,
1002981,0.01,propylene glycol
1003001,0.1,propylene glycol
1003001,,
1003011,100.0,
1003031,100.0,
1003051,100.0,
1003061,10.0,dipropylene glycol
1003061,,
1003111,10.0,dipropylene glycol
1003111,,
1003151,10.0,dipropylene glycol
1003181,100.0,
1003191,10.0,dipropylene glycol
1003191,,
1003201,10.0,dipropylene glycol
1003201,,
1003221,100.0,
1003271,100.0,
1003281,10.0,propylene glycol
1003281,,
1003291,100.0,
1003291,,
1003292,100.0,
1003292,,
1003311,100.0,
1003311,,
1003331,100.0,
1003351,100.0,
1003371,100.0,
1003372,100.0,
1003372,,
1003381,100.0,
1003391,100.0,
1003391,1.0,
1003401,10.0,dipropylene glycol
1003411,1.0,dipropylene glycol
1003411,,
1003421,5.0,dipropylene glycol
1003422,5.0,dipropylene glycol
1003431,100.0,
1003432,100.0,
1003432,,
1003451,100.0,
1003452,100.0,
1003452,,
1003461,100.0,
1003462,100.0,
1003491,100.0,
1003501,10.0,dipropylene glycol
1003511,100.0,
1003521,100.0,
1003531,100.0,
1003551,100.0,
1003561,100.0,
1003561,1.0,ethyl alcohol
1003562,100.0,
1003562,1.0,ethyl alcohol
1003571,100.0,
1003581,100.0,
1003591,1.0,dipropylene glycol
1003601,10.0,dipropylene glycol
1003611,100.0,
1003621,100.0,
1003641,100.0,
1003651,,
1003661,100.0,
1003691,100.0,
1003691,5.0,
1003711,10.0,dipropylene glycol
1003731,100.0,
1003731,,
1003761,100.0,dipropylene glycol
1003762,100.0,dipropylene glycol
1003821,10.0,dipropylene glycol
1003821,1.0,
1003831,10.0,dipropylene glycol
1003832,10.0,dipropylene glycol
1003851,0.1,dipropylene glycol
1003881,100.0,
1003891,1.0,dipropylene glycol
1003901,100.0,
1003911,10.0,dipropylene glycol
1003921,100.0,
1003931,1.0,dipropylene glycol
1003932,1.0,dipropylene glycol
1003932,,
1003941,100.0,
1003941,,
1003951,10.0,dipropylene glycol
1003961,100.0,
1003971,10.0,dipropylene glycol
1003991,1.0,dipropylene glycol
1003991,,
1004001,1.0,dipropylene glycol
1004031,10.0,dipropylene glycol
1004031,,
1004041,100.0,
1004061,100.0,
1004071,1.0,dipropylene glycol
1004091,,
1004101,100.0,
1004111,100.0,
1004112,100.0,
1004131,100.0,
1004131,,
1004151,100.0,
1004151,,
1004161,100.0,
1004171,5.0,benzyl alcohol
1004172,5.0,benzyl alcohol
1004172,,
1004191,10.0,dipropylene glycol
1004191,,
1004211,10.0,dipropylene glycol
1004211,,
1004231,10.0,dipropylene glycol
1004231,,
1004241,100.0,
1004271,100.0,
1004281,50.0,dipropylene glycol
1004301,100.0,
1004321,100.0,
1004331,100.0,
1004331,,
1004341,0.1,dipropylene glycol
1004351,100.0,
1004361,100.0,
1004361,,
1004371,100.0,
1004381,100.0,
1004391,100.0,
1004392,100.0,
1004392,,
1004401,100.0,
1004411,100.0,
1004412,100.0,
1004431,100.0,
1004432,100.0,
1004441,100.0,
1004451,1.0,dipropylene glycol
1004471,100.0,
1004471,1.0,
1004481,100.0,
1004491,100.0,
1004491,,
1004501,1.0,dipropylene glycol
1004501,,
1004511,100.0,
1004511,,
1004521,100.0,
1004531,10.0,dipropylene glycol
1004532,10.0,dipropylene glycol
1004541,100.0,
1004561,1.0,dipropylene glycol
1004561,,
1004571,1.0,propylene glycol
1004631,100.0,
1004631,,
1004641,10.0,dipropylene glycol
1004641,,
1004661,1.0,dipropylene glycol
1004661,,
1004691,10.0,propylene glycol
1004691,,
1004731,100.0,
1004731,100.0,
1004751,10.0,dipropylene glycol
1004751,,
1004771,100.0,
1004771,,
1004791,1.0,propylene glycol
1004792,1.0,propylene glycol
1004792,,
1004811,1.0,dipropylene glycol
1004811,2.0,
1004831,1.0,dipropylene glycol
1004831,,
1004841,100.0,
1004851,10.0,dipropylene glycol
1004861,10.0,dipropylene glycol
1004861,,
1004871,10.0,dipropylene glycol
1004871,,
1004881,100.0,
1004891,100.0,
1004891,,
1004911,100.0,
1004912,100.0,
1004912,5.0,
1004921,10.0,dipropylene glycol
1004931,10.0,dipropylene glycol
1004931,2.0,
1004951,100.0,
1004951,,
1004961,10.0,dipropylene glycol
1004971,100.0,
1004981,100.0,
1004991,10.0,dipropylene glycol
1004991,1.0,
1004992,10.0,dipropylene glycol
1004992,1.0,
1005011,100.0,
1005031,100.0,
1005041,100.0,
1005041,,
1005051,1.0,dipropylene glycol
1005051,,
1005061,1.0,dipropylene glycol
1005061,,
1005071,1.0,dipropylene glycol
1005091,100.0,
1005092,100.0,
1005101,0.1,dipropylene glycol
1005111,100.0,
1005121,100.0,
1005141,100.0,
1005161,100.0,
1005191,100.0,
1005191,1.0,
1005201,100.0,
1005211,100.0,
1005221,100.0,
1005231,10.0,dipropylene glycol
1005261,1.0,dipropylene glycol
1005281,100.0,
1005291,10.0,dipropylene glycol
1005361,10.0,dipropylene glycol
1005361,1.0,
1005371,1.0,dipropylene glycol
1005371,,
1005381,0.1,dipropylene glycol
1005381,,
1005401,1.0,dipropylene glycol
1005401,,
1005411,100.0,
1005411,,
1005421,100.0,
1005422,100.0,
1005441,100.0,
1005451,100.0,
1005451,,
1005481,1.0,dipropylene glycol
1005481,,
1005491,1.0,dipropylene glycol
1005491,,
1005501,10.0,dipropylene glycol
1005501,10.0,ethyl alcohol
1005511,0.1,propylene glycol
1005511,,
1005521,10.0,dipropylene glycol
1005531,100.0,
1005531,,
1005541,1.0,dipropylene glycol
1005551,100.0,
1005551,,
1005571,100.0,
1005571,2.0,
1005581,10.0,propylene glycol
1005581,1.0,
1005591,100.0,
1005591,,
1005601,10.0,propylene glycol
1005601,1.0,
1005621,1.0,dipropylene glycol
1005631,100.0,
1005631,1.0,ethyl alcohol
1005641,100.0,
1005641,,
1005651,10.0,dipropylene glycol
1005661,10.0,dipropylene glycol
1005661,,
1005671,10.0,dipropylene glycol
1005671,,
1005681,10.0,benzyl benzoate
1005691,100.0,
1005691,,
1005701,100.0,
1005711,10.0,dipropylene glycol
1005711,,
1005721,1.0,dipropylene glycol
1005721,,
1005741,100.0,
1005761,50.0,dipropylene glycol
1005771,100.0,
1005781,1.0,dipropylene glycol
1005781,,
1005791,100.0,
1005791,,
1005801,0.01,propylene glycol
1005801,,
1005811,0.1,dipropylene glycol
1005811,,
1005821,10.0,dipropylene glycol
1005831,0.1,propylene glycol
1005831,,
1005841,100.0,
1005861,100.0,
1005881,100.0,
1005891,100.0,
1005891,,
1005921,100.0,
1005931,10.0,dipropylene glycol
1005931,,
1005932,10.0,dipropylene glycol
1005932,,
1005951,100.0,
1005961,100.0,
1005971,100.0,
1005972,100.0,
1005972,,
1005991,100.0,
1006001,0.1,propylene glycol
1006021,100.0,
1006021,,
1006041,1.0,dipropylene glycol
1006051,100.0,
1006052,100.0,
1006071,100.0,
1006081,100.0,
1006091,100.0,
1006091,5.0,
1006101,100.0,
1006111,10.0,propylene glycol
1006121,100.0,
1006131,100.0,
1006171,10.0,dipropylene glycol
1006201,100.0,
1006231,100.0,
1006231,,
1006241,10.0,dipropylene glycol
1006242,10.0,dipropylene glycol
1006242,,
1006281,100.0,
1006291,10.0,dipropylene glycol
1006291,10.0,
1006292,10.0,dipropylene glycol
1006292,10.0,
1006301,50.0,dipropylene glycol
1006311,100.0,
1006331,0.1,dipropylene glycol
1006341,10.0,dipropylene glycol
1006351,10.0,dipropylene glycol
1006351,10.0,
1006361,10.0,dipropylene glycol
1006361,,
1006371,100.0,
1006381,10.0,dipropylene glycol
1006382,10.0,dipropylene glycol
1006382,,
1006391,10.0,dipropylene glycol
1006411,100.0,
1006421,100.0,
1006431,100.0,
1006441,100.0,
1006451,100.0,
1006461,100.0,
1006462,100.0,
1006471,10.0,dipropylene glycol
1006481,10.0,dipropylene glycol
1006481,,
1006491,100.0,
1006501,100.0,
1006501,,
1006511,1.0,dipropylene glycol
1006511,1.0,
1006541,10.0,dipropylene glycol
1006542,10.0,dipropylene glycol
1006542,,
1006551,10.0,dipropylene glycol
1006571,100.0,
1006571,,
1006581,100.0,
1006581,1.0,
1006631,10.0,dipropylene glycol
1006632,10.0,dipropylene glycol
1006632,,
1006691,10.0,dipropylene glycol
1006691,,
1006711,10.0,dipropylene glycol
1006711,10.0,dipropylene glycol
1006711,,
1006712,10.0,dipropylene glycol
1006712,10.0,dipropylene glycol
1006712,,
1006751,100.0,
1006752,100.0,
1006752,2.0,
1006771,100.0,
1006772,100.0,
1006791,100.0,
1006792,100.0,
1006792,1.0,
1006801,10.0,dipropylene glycol
1006801,,
1006811,100.0,
1006811,,
1006831,0.1,dipropylene glycol
1006851,10.0,dipropylene glycol
1006861,100.0,
1006861,1.0,
1006881,100.0,
1006891,10.0,dipropylene glycol
1006892,10.0,dipropylene glycol
1006892,,
1006901,100.0,
1006911,100.0,
1006911,,
1006931,100.0,
1006951,10.0,dipropylene glycol
1006961,10.0,dipropylene glycol
1006961,,
1006971,100.0,
1006981,100.0,
1006991,100.0,
1006992,100.0,
1006992,2.0,
1007001,100.0,
1007011,100.0,
1007021,0.1,propylene glycol
1007021,,
1007031,100.0,
1007032,100.0,
1007032,,
1007041,10.0,dipropylene glycol
1007041,,
1007071,10.0,dipropylene glycol
1007081,100.0,
1007091,100.0,
1007101,10.0,dipropylene glycol
1007121,100.0,
1007151,100.0,
1007161,100.0,
1007171,10.0,dipropylene glycol
1007171,1.0,
1007181,100.0,
1007191,100.0,
1007201,100.0,
1007221,1.0,dipropylene glycol
1007231,100.0,
1007232,100.0,
1007251,1.0,dipropylene glycol
1007251,,
1007261,10.0,dipropylene glycol
1007281,100.0,
1007301,100.0,
1007321,100.0,
1007331,1.0,dipropylene glycol
1007341,100.0,
1007342,100.0,
1007391,100.0,
1007401,10.0,dipropylene glycol
1007421,100.0,
1007431,100.0,
1007432,100.0,
1007441,100.0,
1007441,,
1007491,,
1007501,0.1,propylene glycol
1007501,,
1007511,10.0,dipropylene glycol
1007521,0.1,propylene glycol
1007521,,
1007541,0.1,propylene glycol
1007541,,
1007551,10.0,dipropylene glycol
1007551,2.0,
1007571,100.0,
1007581,1.0,dipropylene glycol
1007581,,
1007591,100.0,
1007591,,
1007601,100.0,
1007611,10.0,dipropylene glycol
1007621,100.0,dipropylene glycol
1007631,10.0,dipropylene glycol
1007641,100.0,
1007651,100.0,
1007651,,
1007661,100.0,
1007671,0.1,propylene glycol
1007681,1.0,dipropylene glycol
1007681,1.0,
1007691,100.0,
1007701,0.01,dipropylene glycol
1007711,100.0,
1007721,0.01,dipropylene glycol
1007731,100.0,
1007732,100.0,
1007741,1.0,propylene glycol
1007751,100.0,
1007761,10.0,dipropylene glycol
1007761,1.0,
1007771,100.0,
1007781,100.0,
1007782,100.0,
1007801,1.0,dipropylene glycol
1007831,100.0,
1007851,100.0,
1007871,100.0,
1007872,100.0,
1007872,,
1007891,100.0,
1007892,100.0,
1007892,,
1007901,1.0,dipropylene glycol
1007931,100.0,
1007941,100.0,
1007951,1.0,propylene glycol
1007951,,
1007971,100.0,
1007972,100.0,
1007981,100.0,
1007981,2.0,
1007991,100.0,
1008001,100.0,
1008001,,
1008021,1.0,dipropylene glycol
1008021,,
1008041,100.0,
1008041,,
1008051,1.0,dipropylene glycol
1008051,1.0,
1008061,100.0,
1008061,,
1008081,0.1,propylene glycol
1008101,0.1,propylene glycol
1008101,,
1008111,1.0,dipropylene glycol
1008111,1.0,propylene glycol
1008121,0.1,dipropylene glycol
1008121,,
1008131,10.0,dipropylene glycol
1008131,,
1008141,0.1,dipropylene glycol
1008141,,
1008151,10.0,dipropylene glycol
1008161,0.01,propylene glycol
1008171,100.0,
1008181,100.0,
1008191,10.0,dipropylene glycol
1008191,,
1008211,100.0,
1008211,,
1008221,0.1,dipropylene glycol
1008231,1.0,dipropylene glycol
1008241,0.1,propylene glycol
1008241,,
1008251,100.0,
1008251,,
1008261,1.0,dipropylene glycol
1008261,,
1008271,100.0,
1008281,0.1,dipropylene glycol
1008281,,
1008291,1.0,dipropylene glycol
1008291,,
1008311,10.0,dipropylene glycol
1008311,,
1008331,100.0,
1008331,,
1008351,0.1,propylene glycol
1008361,0.1,propylene glycol
1008371,10.0,dipropylene glycol
1008381,1.0,dipropylene glycol
1008381,1.0,
1008391,1.0,dipropylene glycol
1008392,1.0,dipropylene glycol
1008401,0.1,water
1008401,,
1008421,100.0,
1008431,10.0,dipropylene glycol
1008431,,
1008441,1.0,dipropylene glycol
1008441,,
1008451,0.1,dipropylene glycol
1008451,0.1,propylene glycol
1008461,100.0,
1008471,10.0,dipropylene glycol
1008471,,
1008472,10.0,dipropylene glycol
1008472,,
1008481,100.0,
1008501,1.0,propylene glycol
1008501,,
1008511,10.0,dipropylene glycol
1008511,,
1008521,100.0,
1008521,1.0,
1008541,10.0,propylene glycol
1008561,10.0,dipropylene glycol
1008561,,
1008581,100.0,
1008581,,
1008591,100.0,
1008601,100.0,
1008611,100.0,
1008612,100.0,
1008621,0.01,dipropylene glycol
1008621,,
1008641,1.0,triethyl citrate
1008641,1.0,
1008651,100.0,
1008661,0.1,dipropylene glycol
1008671,10.0,benzyl benzoate
1008681,0.1,dipropylene glycol
1008681,1.0,
1008691,10.0,benzyl benzoate
1008701,0.1,propylene glycol
1008711,1.0,dipropylene glycol
1008721,10.0,dipropylene glycol
1008721,1.0,
1008731,0.1,dipropylene glycol
1008731,0.1,propylene glycol
1008741,100.0,
1008751,10.0,benzyl benzoate
1008761,10.0,dipropylene glycol
1008761,,
1008781,0.01,propylene glycol
1008781,1.0,
1008791,100.0,
1008791,,
1008831,1.0,dipropylene glycol
1008831,,
1008861,100.0,
1008861,,
1008881,100.0,
1008881,,
1008901,1.0,dipropylene glycol
1008901,1.0,
1008911,10.0,dipropylene glycol
1008921,1.0,dipropylene glycol
1008921,,
1008931,10.0,dipropylene glycol
1008932,10.0,dipropylene glycol
1008951,100.0,
1008952,100.0,
1008952,,
1008961,0.1,dipropylene glycol
1008971,1.0,dipropylene glycol
1008981,1.0,dipropylene glycol
1009001,1.0,dipropylene glycol
1009001,,
1009011,0.1,propylene glycol
1009011,,
1009021,0.1,dipropylene glycol
1009021,1.0,
1009031,100.0,
1009032,100.0,
1009032,,
1009041,0.1,dipropylene glycol
1009041,,
1009051,0.1,propylene glycol
1009051,,
1009061,100.0,
1009061,10.0,
1009071,100.0,
1009071,,
1009081,10.0,dipropylene glycol
1009091,100.0,
1009101,100.0,
1009101,1.0,
1009121,1.0,dipropylene glycol
1009121,,
1009141,1.0,propylene glycol
1009141,,
1009151,100.0,
1009161,0.1,dipropylene glycol
1009161,,
1009171,100.0,
1009171,,
1009172,100.0,
1009172,,
1009181,0.1,propylene glycol
1009201,1.0,propylene glycol
1009211,10.0,dipropylene glycol
1009211,5.0,
1009221,0.1,propylene glycol
1009231,100.0,
1009231,100.0,
1009231,,
1009241,0.1,propylene glycol
1009251,0.01,propylene glycol
1009261,0.1,propylene glycol
1009271,100.0,
1009281,0.1,triacetin
1009281,,
1009291,10.0,dipropylene glycol
1009291,,
1009301,0.01,propylene glycol
1009311,10.0,dipropylene glycol
1009331,1.0,dipropylene glycol
1009331,,
1009341,1.0,propylene glycol
1009341,,
1009351,10.0,dipropylene glycol
1009352,10.0,dipropylene glycol
1009361,0.01,dipropylene glycol
1009371,100.0,
1009371,,
1009391,0.1,propylene glycol
1009391,,
1009401,100.0,
1009401,,
1009421,1.0,propylene glycol
1009421,,
1009431,1.0,triacetin
1009431,1.0,
1009441,,
1009461,0.1,dipropylene glycol
1009461,,
1009471,100.0,
1009472,100.0,
1009472,,
1009511,10.0,dipropylene glycol
1009541,0.1,propylene glycol
1009561,100.0,
1009621,,
1009651,10.0,dipropylene glycol
1009652,10.0,dipropylene glycol
1009671,100.0,
1009672,100.0,
1009701,,
1009711,100.0,
1009731,100.0,
1009751,100.0,
1009761,100.0,
1009831,0.1,propylene glycol
1009841,0.1,propylene glycol
1009851,0.1,propylene glycol
1009881,,
1009891,10.0,dipropylene glycol
1009891,,
1009911,10.0,dipropylene glycol
1009911,,
1009931,10.0,dipropylene glycol
1009931,2.0,
1009941,50.0,phenethyl alcohol
1009961,10.0,dipropylene glycol
1009971,100.0,
1009972,100.0,
1010001,10.0,dipropylene glycol
1010001,,
1010011,10.0,dipropylene glycol
1010031,100.0,
1010031,100.0,
1010032,100.0,
1010032,100.0,
1010051,100.0,
1010051,,
1010052,100.0,
1010052,,
1010061,100.0,
1010071,100.0,
1010072,100.0,
1010072,1.0,
1010081,100.0,
1010081,,
1010091,100.0,
1010091,1.0,
1010111,100.0,
1010111,,
1010131,100.0,
1010132,100.0,
1010151,100.0,
1010151,,
1010171,100.0,
1010172,100.0,
1010172,,
1010211,0.1,propylene glycol
1010211,,
1010231,100.0,
1010241,10.0,dipropylene glycol
1010241,,
1010251,100.0,
1010251,,
1010271,100.0,
1010291,10.0,dipropylene glycol
1010311,100.0,
1010351,1.0,dipropylene glycol
1010371,10.0,dipropylene glycol
1010371,,
1010401,,
1010451,100.0,
1010451,1.0,
1010461,20.0,water
1010471,100.0,
1010481,100.0,
1010501,100.0,
1010541,100.0,
1010551,,
1010571,100.0,
1010591,100.0,
1010651,100.0,
1010652,100.0,
1010661,,
1010731,100.0,
1010781,100.0,
1010791,10.0,dipropylene glycol
1010801,100.0,
1010851,100.0,
1010901,10.0,dipropylene glycol
1010911,100.0,
1010913,100.0,
1010921,100.0,
1010951,100.0,
1010991,100.0,
1011001,100.0,
1011021,,
1011051,100.0,
1011051,,
1011071,1.0,dipropylene glycol
1011071,2.0,
1011091,10.0,dipropylene glycol
1011092,10.0,dipropylene glycol
1011092,,
1011131,100.0,
1011132,100.0,
1011151,100.0,
1011171,10.0,dipropylene glycol
1011171,1.0,
1011221,100.0,
1011251,100.0,
1011252,100.0,
1011252,1.0,ethyl alcohol
1011271,100.0,
1011272,100.0,
1011272,,
1011291,100.0,
1011292,100.0,
1011292,,
1011301,10.0,dipropylene glycol
1011311,100.0,
1011312,100.0,
1011312,1.0,
1011431,10.0,dipropylene glycol
1011471,10.0,dipropylene glycol
1011471,5.0,
1011491,1.0,dipropylene glycol
1011531,100.0,
1011551,100.0,
1011551,,
1011561,10.0,dipropylene glycol
1011571,10.0,dipropylene glycol
1011591,100.0,
1011601,10.0,dipropylene glycol
1011631,100.0,
1011632,100.0,
1011651,0.1,propylene glycol
1011671,100.0,
1011711,10.0,dipropylene glycol
1011712,10.0,dipropylene glycol
1011712,,
1011771,100.0,
1011781,100.0,
1011781,,
1011791,100.0,
1011801,100.0,
1011811,100.0,
1011821,100.0,
1011821,,
1011841,100.0,
1011841,,
1011861,100.0,
1011871,100.0,
1011911,10.0,dipropylene glycol
1011931,,
1011951,10.0,dipropylene glycol
1011952,10.0,dipropylene glycol
1011971,10.0,dipropylene glycol
1011971,,
1011981,100.0,
1012031,0.1,dipropylene glycol
1012041,100.0,
1012051,10.0,dipropylene glycol
1012111,1.0,dipropylene glycol
1012112,1.0,dipropylene glycol
1012121,100.0,
1012121,,
1012131,10.0,dipropylene glycol
1012131,,
1012171,100.0,
1012172,100.0,
1012172,1.0,
1012201,0.1,propylene glycol
1012201,,
1012221,1.0,propylene glycol
1012221,,
1012241,1.0,dipropylene glycol
1012271,100.0,
1012281,100.0,
1012281,,
1012371,100.0,
1012381,10.0,dipropylene glycol
1012391,100.0,
1012391,,
1012411,100.0,
1012411,1.0,
1012421,0.1,propylene glycol
1012431,100.0,
1012432,100.0,
1012432,,
1012441,100.0,
1012441,,
1012451,100.0,
1012461,100.0,
1012481,0.1,propylene glycol
1012511,100.0,
1012521,10.0,dipropylene glycol
1012531,100.0,
1012531,,
1012551,100.0,
1012571,100.0,
1012591,100.0,
1012591,,
1012601,100.0,
1012611,100.0,
1012621,100.0,
1012631,100.0,
1012641,100.0,
1012651,100.0,
1012661,100.0,
1012671,100.0,
1012681,100.0,
1012681,,
1012691,100.0,
1012692,100.0,
1012711,10.0,dipropylene glycol
1012711,,
1012731,1.0,dipropylene glycol
1012741,1.0,propylene glycol
1012741,,
1012751,100.0,
1012761,1.0,dipropylene glycol
1012761,,
1012771,100.0,
1012772,100.0,
1012781,100.0,
1012811,100.0,
1012821,100.0,
1012821,,
1012831,10.0,dipropylene glycol
1012851,10.0,dipropylene glycol
1012851,,
1012861,10.0,dipropylene glycol
1012901,100.0,
1012911,100.0,
1012921,,
1012931,100.0,
1012941,0.01,dipropylene glycol
1012941,,
1012951,10.0,dipropylene glycol
1012961,10.0,propylene glycol
1012961,,
1013051,100.0,
1013081,10.0,dipropylene glycol
1013091,10.0,dipropylene glycol
1013111,10.0,dipropylene glycol
1013131,10.0,dipropylene glycol
1013131,2.0,
1013151,100.0,
1013161,10.0,dipropylene glycol
1013171,100.0,
1013181,100.0,
1013201,0.1,dipropylene glycol
1013221,1.0,dipropylene glycol
1013231,100.0,
1013231,,
1013241,10.0,dipropylene glycol
1013251,10.0,propylene glycol
1013251,,
1013261,100.0,
1013262,100.0,
1013271,100.0,
1013272,100.0,
1013272,,
1013281,10.0,dipropylene glycol
1013291,100.0,
1013301,100.0,
1013341,,
1013351,100.0,
1013351,,
1013371,100.0,
1013381,10.0,dipropylene glycol
1013391,100.0,
1013391,,
1013401,10.0,dipropylene glycol
1013411,100.0,
1013411,,
1013421,100.0,
1013461,100.0,
1013481,100.0,
1013491,100.0,
1013501,100.0,
1013501,2.0,
1013511,100.0,
1013521,,
1013531,10.0,dipropylene glycol
1013541,100.0,
1013551,100.0,
1013551,,
1013561,100.0,
1013571,100.0,
1013601,0.1,dipropylene glycol
1013621,0.1,propylene glycol
1013631,10.0,dipropylene glycol
1013631,,
1013651,,
1013661,0.1,propylene glycol
1013671,0.1,dipropylene glycol
1013681,10.0,dipropylene glycol
1013691,100.0,
1013701,100.0,
1013711,100.0,
1013721,10.0,dipropylene glycol
1013741,100.0,
1013761,1.0,propylene glycol
1013771,100.0,
1013771,,
1013772,100.0,
1013772,,
1013781,10.0,dipropylene glycol
1013791,0.01,propylene glycol
1013801,10.0,dipropylene glycol
