TGSC ID,TGSC OPL ID,Name,CAS Number,Other CAS Number,Deleted CAS Number,Concentration %,Concentration Min %,Concentration Max %,CID,Formula,Beilstein Number,CoE Number,Nikkaji Web,MDL,EC Number,ECHA Substance,FDA UNII,FDA Internal Number,FEMA Number,Molecular Weight,XlogP3-AA
1293271,1204-28-0,"1,3-dioxo-2-benzofuran-5-carbonyl chloride",1204-28-0,,,,,,,C9 H3 Cl O4,,,J60.340F,,214-874-8,100.013.522,56231EU26X,,,210.57171,1.8
1293331,2459-10-1,"trimethyl benzene-1,2,4-tricarboxylate",2459-10-1,,,,,,,C12 H12 O6,,,J1.813I,MFCD00043629,219-547-3,100.017.771,16O7DT5N66,,,252.22284,1.4
1293421,149-73-5,trimethoxymethane,149-73-5,,251301-35-6,,,,9005,C4 H10 O3,0969215,,J8.664I,MFCD00008483,205-745-7,100.005.224,XAM28819YJ,,,106.1213,0.2
1293461,5927-18-4,methyl 2-dimethoxyphosphorylacetate,5927-18-4,,51298-31-8,,,,80029,C5 H11 O5 P,1865177,,J227E,MFCD00008452,227-663-0,100.025.148,,,,182.112432,-0.6
1293541,630-19-3,"2,2-dimethylpropanal",630-19-3,,,,,,,C5 H10 O,506060,,J102.084F,MFCD00006962,211-134-6,100.010.123,SSC20260QW,,,86.1339,1.1
1293561,75-98-9,"2,2-dimethylpropanoic acid",75-98-9,,,,,,6417,C5 H10 O2,0969480,,J4.166A,MFCD00004194,200-922-5,100.000.839,813RE8BX41,,,102.1331,1.5
1293611,3282-30-2,"2,2-dimethylpropanoyl chloride",3282-30-2,,,,,,62493,C5 H9 Cl O,385668,,J33.810I,MFCD00000709,221-921-6,100.019.929,JQ82J0O21T,,,120.57793,2.2
1293631,593-81-7,trimethylazanium chloride,593-81-7,,,,,,11649,C3 H10 Cl N,3905063,,,MFCD00012478,209-810-0,100.008.920,UW38SRM77K,,,95.5717,
1293641,62637-93-8,"N,N-dimethylmethanamine oxide;dihydrate",62637-93-8,,,,,,,C3 H13 N O3,3612927,,,MFCD00149077,,,C73WZ0186W,,,111.14121,
1293651,1184-78-7,"N,N-dimethylmethanamine oxide",1184-78-7,,,,,,,C3 H9 N O,1734787,10494.0,J7.304K,MFCD00002048,214-675-6,100.013.341,FLD0K1SJ1A,,,75.11093,-0.3
1293701,287-27-4,thietane,287-27-4,,,,,,,C3 H6 S,102383,,J2.563A,MFCD00042751,206-015-0,100.005.469,1O7C19QQDB,,,74.14582,1.0
1293781,,,25723-16-4,,1044267-58-4,,,,,C14 H30 O6,,,,,500-041-9,,,,,294.3883,-0.3
1293791,15625-89-5,"2,2-bis(prop-2-enoyloxymethyl)butyl prop-2-enoate",15625-89-5,,100465-65-4,,,,27423,C15 H20 O6,,,J38.143H,MFCD00008628,239-701-3,100.036.077,4B67KGL96S,,,296.3196,2.7
1293801,3290-92-4,"2,2-bis(2-methylprop-2-enoyloxymethyl)butyl 2-methylprop-2-enoate",3290-92-4,,102068-89-3,,,,18689,C18 H26 O6,5961805,,J64.284C,MFCD00008588,221-950-4,100.019.956,S734UC120F,,,338.40042,3.8
1293861,77-99-6,"2-ethyl-2-(hydroxymethyl)propane-1,3-diol",77-99-6,,101164-61-8,,,,6510,C6 H14 O3,1698309,,J35.936J,MFCD00004694,201-074-9,100.000.978,090GDF4HBD,,,134.17518,-0.8
1293921,33581-77-0,trimethylsilyl 2-trimethylsilyloxyacetate,33581-77-0,,,,,,,C8 H20 O3 Si2,2045011,,J133.564B,MFCD00009840,251-580-9,100.046.877,WY41M9TKT0,,,220.4156,
1294231,3319-31-1,"tris(2-ethylhexyl) benzene-1,2,4-tricarboxylate",3319-31-1,,113816-97-0,,,,18725,C33 H54 O6,2683525,,J2.177F,MFCD00053799,222-020-0,100.020.019,378539Q830,,,546.78858,10.4
1294291,555-44-2,"2,3-di(hexadecanoyloxy)propyl hexadecanoate",555-44-2,,,,,,11147,C51 H98 O6,1811188,,J6.469F,MFCD00008995,209-098-1,100.008.272,D133ZRF50U,,,807.33726,21.9
1294351,115-86-6,triphenyl phosphate,115-86-6,,402955-02-6,,,,,C18 H15 O4 P,1888236,,J2.469D,,204-112-2,100.003.739,YZE19Z66EA,,,326.288112,4.6
1294431,603-33-8,triphenylbismuthane,603-33-8,,,,,,11774,C18 H15 Bi,3905930,,,MFCD00014064,210-033-4,100.009.122,R18732F41W,,,440.29795,
1294631,603-35-0,triphenylphosphane,603-35-0,,112771-47-8,,,,,C18 H15 P,0610776,,J1.652G,,210-036-0,100.009.124,26D26OA393,,,262.291312,4.6
1294761,6138-79-0,2-[(E)-1-(4-methylphenyl)-3-pyrrolidin-1-ium-1-ylprop-1-enyl]pyridine;chloride,6138-79-0,,,,,,,C19 H25 Cl N2 O,,,,MFCD00039044,,,YAN7R5L890,,,332.87345,
1294821,102-69-2,"N,N-dipropylpropan-1-amine",102-69-2,,,,,,7616,C9 H21 N,1098331,10495.0,J26.188B,MFCD00009363,203-047-7,100.002.771,06S624V3U2,,,143.27337,2.8
1294831,25498-49-1,2-[1-(1-methoxypropan-2-yloxy)propan-2-yloxy]propan-1-ol,25498-49-1,,11099-65-3,,,,,C10 H22 O4,,,,,247-045-4,100.042.754,1827NY57O3,,,206.28214,0.2
1294961,2451-62-9,"1,3,5-tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione",2451-62-9,,414867-60-0,,,,,C12 H15 N3 O6,0765833,,J22.973C,,219-514-3,100.017.741,58P91Z020D,,,297.26775,-1.5
1295051,78-51-3,tris(2-butoxyethyl) phosphate,78-51-3,,119166-98-2,,,,,C18 H39 O7 P,1716010,,J2.828B,,201-122-9,100.001.021,RYA6940G86,,,398.476992,2.8
1295091,78-42-2,tris(2-ethylhexyl) phosphate,78-42-2,,1546892-14-1,,,,,C24 H51 O4 P,1715839,,J1.953D,,201-116-6,100.001.015,BQC0BKB72S,,,434.641032,8.9
1295131,27676-62-6,"1,3,5-tris[(3,5-ditert-butyl-4-hydroxyphenyl)methyl]-1,3,5-triazinane-2,4,6-trione",27676-62-6,,113570-76-6,,,,,C48 H69 N3 O6,,,J52.299F,MFCD00134700,248-597-9,100.044.165,680V3MP8YT,,,784.09413,12.8
1295281,40601-76-1,"1,3,5-tris[(4-tert-butyl-3-hydroxy-2,6-dimethylphenyl)methyl]-1,3,5-triazinane-2,4,6-trione",40601-76-1,,1338721-68-8,,,,,C42 H57 N3 O6,,,J38.951J,MFCD01026105,254-996-9,100.049.980,253H13NWCQ,,,699.93249,10.0
1295381,77-86-1,"2-amino-2-(hydroxymethyl)propane-1,3-diol",77-86-1,,108195-86-4,,,,6503,C4 H11 N O3,741883,,J4.214E,MFCD00004679,201-064-4,100.000.969,023C2WHX2V,,,121.13627,-2.9
1295391,126-11-4,"2-(hydroxymethyl)-2-nitropropane-1,3-diol",126-11-4,,,,,,31337,C4 H9 N O5,1768985,,J2.509G,MFCD00007395,204-769-5,100.004.336,3E794G4ZRB,,,151.11873,-2.2
1295591,115-96-8,tris(2-chloroethyl) phosphate,115-96-8,,21343-84-0,,,,,C6 H12 Cl3 O4 P,1710938,,J4.095I,MFCD00000967,204-118-5,100.003.744,32IVO568B0,,,285.488202,1.3
1295661,9002-93-1,"2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethanol (poe-10)",9002-93-1,,,,,,5590,(C2 H4 O)mult-C14 H22 O,,,J1.219.380G,MFCD00128254,,,20CAX7IO75,,,,4.6
1295681,140-04-5,butyl (Z)-12-acetyloxyoctadec-9-enoate,140-04-5,,26302-38-5,,,,,C24 H44 O4,,,,MFCD00152308,205-393-4,100.004.904,L4C4J38313,,,396.61148,7.9
1295691,630-05-7,tritriacontane,630-05-7,,,,,,,C33 H68,1786920,,J122.868D,MFCD00010187,,,4Y81Q52008,,,464.90496,17.5
1295721,53188-07-1,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid",53188-07-1,,56305-04-5,,,,40634,C14 H18 O4,5052542,,J236.392E,MFCD00006846,258-422-8,100.053.094,S18UL9710X,,,250.29426,2.8
1295731,547-57-9,"sodium;4-[(2Z)-2-(2-hydroxy-4-oxocyclohexa-2,5-dien-1-ylidene)hydrazinyl]benzenesulfonate",547-57-9,,111886-17-0,,,,,C12 H9 N2 Na O5 S,4173410,,,MFCD00007499,208-924-8,100.008.114,NF91VMI73L,,,316.26849928,
1295741,529-17-9,"(1R,5S)-8-methyl-8-azabicyclo[3.2.1]octane",529-17-9,,,,,,,C8 H15 N,6379695,,J12.189D,MFCD00134482,,,62QFG0728A,,,125.21455,1.7
1295751,552-63-6,3-hydroxy-2-phenylpropanoic acid,552-63-6,,28845-94-5,,,,10726,C9 H10 O3,2209199,,J6.688E,MFCD00004255,208-465-3,100.007.697,9RM4U80765,,,166.1763,0.8
1295771,533-75-5,"2-hydroxycyclohepta-2,4,6-trien-1-one",533-75-5,,,,,,10789,C7 H6 O2,1904978,,J44.110D,MFCD00004158,208-577-2,100.007.799,7L6DL16P1T,,,122.12322,0.5
1295781,539-80-0,"cyclohepta-2,4,6-trien-1-one",539-80-0,,,,,,,C7 H6 O,1902335,,J99.871K,MFCD00014331,208-725-6,100.007.933,CO48X7SUFH,,,106.12402,1.6
1295831,9002-07-7,acetic acid;tert-butylN-[(2S)-1-[[(2S)-1-[[(2S)-5-(diaminomethylideneamino)-1-[(5-methyl-2-oxochromen-7-yl)amino]-1-oxopentan-2-yl]amino]-3-hydroxy-1-oxopropan-,9002-07-7,,146990-35-4,,,,,C35 H47 N7 O10,,,,,232-650-8,100.029.670,GV54A213NN,,,725.80059,
1295841,343-94-2,2-(1H-indol-3-yl)ethanamine;hydrochloride,343-94-2,,,,,,67652,C10 H13 Cl N2,3568419,,,MFCD00012682,206-446-4,100.005.861,2942LD1Q06,,,196.67961,
1295851,61-54-1,2-(1H-indol-3-yl)ethanamine,61-54-1,,,,,,,C10 H12 N2,0125513,,J4.816J,MFCD00005661,200-510-5,100.000.464,422ZU9N5TV,,,160.21964,1.6
1295861,526-55-6,2-(1H-indol-3-yl)ethanol,526-55-6,,,,,,10685,C10 H11 N O,0125553,,J6.661C,MFCD00005659,208-393-2,100.007.632,5809LZ7G1U,,,161.20387,1.8
1296021,,,9005-70-3,,111389-05-0,,,,,,,,,MFCD01779641,,,A7F3N56197,,,,
1296031,25301-02-4,"formaldehyde;oxirane;4-(2,4,4-trimethylpentan-2-yl)phenol",25301-02-4,,9014-50-0,,,,71388,C17 H28 O3,,,,MFCD00149002,,,Y27PUL9H56,,,280.40776,
1296041,60-19-5,4-(2-aminoethyl)phenol;hydrochloride,60-19-5,,,,,,66449,C8 H12 Cl N O,3627058,,,MFCD00012901,200-462-5,100.000.420,Z5KDH3H147,,,173.64184,
1296061,1852-04-6,undecanedioic acid,1852-04-6,,138950-82-0,,,,,C11 H20 O4,1780537,,J105.350G,MFCD00004444,217-440-6,100.015.855,7059GFK8NV,,,216.2772,2.7
1296071,2244-07-7,undecanenitrile,2244-07-7,,,,,,16722,C11 H21 N,,,J45.683G,MFCD00001945,218-826-7,100.017.116,BQC7C2WO2K,,,167.29537,4.2
1296101,557-08-4,zinc undec-10-enoate,557-08-4,,,,,,,C22 H38 O4 Zn,,,J6.479C,MFCD00067246,209-155-0,100.008.324,388VZ25DUR,,,431.92166,
1296121,66-22-8,"1H-pyrimidine-2,4-dione",66-22-8,,138285-60-6,,,,1174,C4 H4 N2 O2,606623,,J4.842I,MFCD00006016,200-621-9,100.000.565,56HH86ZVCT,,,112.08828,-1.1
1296141,124-43-6,hydrogen peroxide;urea,124-43-6,,12263-76-2,,,,,C H4 N2 O.H2 O2,3680414,,,MFCD00013119,204-701-4,100.004.275,31PZ2VAU81,,,,
1296171,57-13-6,urea,57-13-6,,30535-50-3,,,,1176,C H4 N2 O,773698,,J2.322A,MFCD00008022,200-315-5,100.000.286,8W8T17847W,,,60.05608,-1.4
1296181,51-79-6,ethyl carbamate,51-79-6,,121382-27-2,,,,5641,C3 H7 N O2,,,J2.306J,MFCD00007966,200-123-1,100.000.113,3IN71E75Z5,,,89.09419,-0.2
1296191,69-93-2,"7,9-dihydro-3H-purine-2,6,8-trione",69-93-2,,13154-20-6,,,,1175,C5 H4 N4 O3,1111913,,J2.372H,MFCD00005712,200-720-7,100.000.655,268B43MJ25,,,168.11248,-1.9
1296211,58-96-8,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",58-96-8,,12693-39-9,,,,6029,C9 H12 N2 O6,754904,,J4.593D,MFCD00006526,200-407-5,100.000.370,WHI7HQ7H85,,,244.20384,-2.0
1296231,128-13-2,"(4R)-4-[(3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",128-13-2,,50809-41-1,,,,31401,C24 H40 O4,3219888,,J2.520H,MFCD00003680,204-879-3,100.004.437,724L30Y2QR,,,392.5796,4.9
1296241,77-52-1,"(1S,2R,4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",77-52-1,,,,,,64945,C30 H48 O3,2228563,,J4.206D,MFCD00009621,201-034-0,100.000.941,P3M2575F3F,,,456.71016,7.3
1296251,545-46-0,"(3S,4aR,6aR,6bS,8aS,11R,12S,12aS,14aR,14bR)-8a-(hydroxymethyl)-4,4,6a,6b,11,12,14b-heptamethyl-2,3,4a,5,6,7,8,9,10,11,12,12a,14,14a-tetradecahydro-1H-picen-3-ol",545-46-0,,,,,,92802,C30 H50 O2,,,J14.120H,MFCD00009620,208-888-3,100.008.081,W599R31ROT,,,442.7269,7.4
1296261,2082-59-9,pentanoyl pentanoate,2082-59-9,,,,,,,C10 H18 O3,1770130,,J7.319I,MFCD00009477,218-212-9,100.016.557,,,,186.25106,2.6
1296271,110-59-8,pentanenitrile,110-59-8,,,,,,8061,C5 H9 N,1736706,,J5.095D,MFCD00001974,203-781-8,100.003.439,X44H3R47D4,,,83.13373,1.1
1296281,1009-14-9,1-phenylpentan-1-one,1009-14-9,,,,,,,C11 H14 O,1907717,,J30.878A,MFCD00009480,213-767-3,100.012.516,F27Q043NT1,,,162.23178,3.0
1296301,1314-62-1,dioxovanadiooxy(dioxo)vanadium,1314-62-1,,12503-98-9,,,,,O5 V2,,,,MFCD00011457,215-239-8,100.013.855,BVG363OH7A,,,181.879,
1296611,,,1318-00-9,,,,,,,,,,,,,,,,,,
1296621,2580-56-5,[4-[bis[4-(dimethylamino)phenyl]methylidene]naphthalen-1-ylidene]-phenylazanium;chloride,2580-56-5,,97930-07-9,,,,17407,C33 H32 Cl N3,4094258,,,MFCD00011878,219-943-6,100.018.131,Z1V8UTB56C,,,506.09104,
1296641,2390-60-5,[4-[bis[4-(diethylamino)phenyl]methylidene]naphthalen-1-ylidene]-ethylazanium;chloride,2390-60-5,,213762-89-1,,,,,C33 H40 Cl N3,,,,MFCD00011877,219-232-0,100.017.485,30F6F48H95,,,514.1548,
1296651,143-67-9,,143-67-9,,,,,,5388983,C46 H60 N4 O13 S,3659812,,,MLS000069550,205-606-0,100.005.097,N00W22YO2B,,,909.0668,
1296661,1617-90-9,,1617-90-9,,,,,,15376,C21 H26 N2 O3,,,J7.533G,MFCD00078054,216-576-3,100.015.070,996XVD0JHT,,,354.44982,
1296671,2068-78-2,,2068-78-2,,,,,,,C46 H56 N4 O10.H2 O4 S,,,,,218-190-0,100.016.537,T5IRO3534A,,,,
1296701,108-05-4,ethenyl acetate,108-05-4,,,,,,7904,C4 H6 O2,4290704,,J2.860F,MFCD00008713,203-545-4,100.003.224,L9MK238N77,,,86.09022,0.7
1296731,75-01-4,chloroethene,75-01-4,,1187028-37-0,,,,,C2 H3 Cl,1731576,,J2.387F,MFCD00040415,200-831-0,100.000.756,WD06X94M2D,,,62.49791,1.5
1296751,14861-06-4,ethenyl (E)-but-2-enoate,14861-06-4,,,,,,,C6 H8 O2,1743151,,J33.997K,,238-930-6,100.035.376,SMC9A01NVS,,,112.12816,1.4
1296761,4704-31-8,ethenyl decanoate,4704-31-8,,,,,,,C12 H22 O2,,,J10.947I,MFCD00027349,225-185-7,100.022.895,FF00I399LI,,,198.30574,4.7
1296771,105-38-4,ethenyl propanoate,105-38-4,,170016-12-3,,,,,C5 H8 O2,1741731,,J36.594G,MFCD00027004,203-293-5,100.002.994,2437OJ3190,,,100.11716,1.1
1296871,75-35-4,"1,1-dichloroethene",75-35-4,,,,,,,C2 H2 Cl2,1733365,,J2.391D,MFCD00011653,200-864-0,100.000.786,21SK105J9D,,,96.94194,2.3
1296921,2768-02-7,ethenyl(trimethoxy)silane,2768-02-7,,1029220-78-7,,,,,C5 H12 O3 Si,1099136,,J54.326H,MFCD00008605,220-449-8,100.018.591,0ZIU135UES,,,148.23354,
1296951,6252-76-2,sodium;4-[[9-(2-carboxyphenyl)-6-(2-methylanilino)xanthen-3-ylidene]amino]-3-methylbenzenesulfonate,6252-76-2,,102323-69-3,,,,,C34 H25 N2 Na O6 S,,,,MFCD00050495,228-377-9,100.025.798,824V98947A,,,612.63721928,
1296971,82-57-5,"4-methoxy-7-methylfuro[3,2-g]chromen-5-one",82-57-5,,,,,,6716,C13 H10 O4,0234955,,J4.613B,MFCD00005008,201-430-3,100.001.301,P64438MLBW,,,230.2195,2.3
1296981,84-80-0,"2-methyl-3-[(E)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione",84-80-0,,10485-69-5,,,,5280483,C31 H46 O2,2568816,,J20.960K,MFCD00214063,201-564-2,100.001.422,S5Z3U87QHF,,,450.70602,10.9
1297021,92-83-1,9H-xanthene,92-83-1,,,,,,7107,C13 H10 O,0133939,,J24.853C,MFCD00005055,202-194-4,100.001.996,A762Z8101Y,,,182.2219,3.5
1297041,69-89-6,"3,7-dihydropurine-2,6-dione",69-89-6,,16819-86-6,,,,1188,C5 H4 N4 O2,008733,,J2.371J,MFCD00078453,200-718-6,100.000.653,1AVZ07U9S7,,,152.11328,-0.7
1297051,90-47-1,xanthen-9-one,90-47-1,,,,,,,C13 H8 O2,,,J4.319B,MFCD00005060,201-997-7,100.001.816,9749WEV0CA,,,196.20516,3.4
1297101,1330-20-7,"1,2-xylene; 1,3-xylene; 1,4-xylene",1330-20-7,,8026-09-3,,,,7237,C24 H30,1901563,,,MFCD00077264,215-535-7,100.014.124,D856J1047R,,,318.5031,3.1
1297141,87-99-0,"(2S,4R)-pentane-1,2,3,4,5-pentol",87-99-0,,12426-00-5,,,,6912,C5 H12 O5,1720523,,J3.905E,MFCD00064292,201-788-0,100.001.626,VCQ006KQ1E,,,152.14664,-2.5
1297151,65-19-0,"methyl(1S,15R,18S,19R,20S)-18-hydroxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate;hydrochloride",65-19-0,,,,,,6169,C21 H27 Cl N2 O3,,,,MFCD00012674,200-600-4,100.000.546,NB2E1YP49F,,,390.90979,
1297161,146-48-5,"methyl(1S,15R,18S,19R,20S)-18-hydroxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate",146-48-5,,,,,,8969,C21 H26 N2 O3,0097276,,J9.366A,,205-672-0,100.005.157,2Y49VWD90Q,,,354.44982,2.9
1297351,1314-36-9,oxygen(2-);yttrium(3+),1314-36-9,,1123577-09-2,,,,,O3 Y2,,,,MFCD00011473,215-233-5,100.013.849,X8071685XT,,,225.8093,
1297381,17924-92-4,"(2E,11S)-15,17-dihydroxy-11-methyl-12-oxabicyclo[12.4.0]octadeca-1(14),2,15,17-tetraene-7,13-dione",17924-92-4,,18695-28-8,,,,5281576,C18 H22 O5,1350216,,J2.749I,MFCD00133085,241-864-0,100.038.043,5W827M159J,,,318.36934,3.6
1297401,,,1318-02-1,,37305-72-9,,,,,,,,,MFCD00132601,215-283-8,,,,,,
1297431,5970-45-6,zinc diacetate dihydrate,5970-45-6,,56368-38-8,,,,11192,C4 H10 O6 Zn,,,J6.484J,,,,H2ZEY72PME,,,219.4989,
1297441,557-34-6,zinc diacetate,557-34-6,,,,,,11192,C4 H6 O4 Zn,3563830,,J6.484J,MFCD00012454,209-170-2,100.008.338,H2ZEY72PME,,,183.46862,
1297481,7699-45-8,dibromozinc,7699-45-8,,,,,,,Br2 Zn,,,,MFCD00011294,231-718-4,100.028.836,OO7ZBU9703,,,225.188,
1297491,7646-85-7,dichlorozinc,7646-85-7,,,,,,,Cl2 Zn,,,,MFCD00011295,231-592-0,100.028.720,86Q357L16B,,,136.284,
1297551,20427-58-1,zinc;dihydrate,20427-58-1,,12141-50-3,,,,,H4 O2 Zn,,,,MFCD00049620,243-814-3,100.039.816,,,,101.41028,
1297561,10139-47-6,diiodozinc,10139-47-6,,,,,,,I2 Zn,,,,MFCD00011299,233-396-0,100.030.347,,,,319.18894,
1297581,7779-88-6,zinc;dinitrate,7779-88-6,,22842-96-2,,,,,H2 N2 O6 Zn,,,,,231-943-8,100.029.039,EDO66F5U49,,,191.40514,
1297631,7446-20-0,zinc sulfate heptahydrate,7446-20-0,,,,,,,H14 O11 S Zn,,,,,,,N57JI2K7WP,,,287.54778,
1297641,7446-19-7,zinc sulfate hydrate,7446-19-7,,,,,,,H2 O5 S Zn,,,,MFCD00149893,,,PTX099XSF1,,,179.45694,
1297651,1314-98-3,sulfanylidenezinc,1314-98-3,,209065-88-3,,,,,S Zn,,,,MFCD00011301,215-251-3,100.013.866,KPS085631O,,,97.445,
1297711,,,1000172-11-1,,,,,,,,,,,,,,,,,,
1297901,1314-23-4,dioxozirconium,1314-23-4,,10377-99-8,,,,62395,O2 Zr,,,,MFCD00011310,215-227-2,100.013.844,S38N85C5G0,,,123.2224,
1298091,8011-96-9,zinc;iron(3+);oxygen(2-),8011-96-9,,,,,,,OZn,,,,,,,,,,,
1298101,3578-72-1,calcium;docosanoate,3578-72-1,,,,,,,C44 H86 Ca O4,,,J216.214H,,222-700-7,100.020.637,J5VFA9V6YG,,,719.24422,
1298111,2090-05-3,calcium dibenzoate,2090-05-3,,1081802-93-8,,,,,C14 H10 Ca O4,,,J38.386D,,218-235-4,100.016.578,3QDE968MKD,,,282.3085,
1298121,504-61-0,(E)-but-2-en-1-ol,504-61-0,,542-72-3,,,,637922,C4 H8 O,1719374,,J1.570I,,207-996-8,100.007.270,L585TY5908,,,72.10696,0.4
1298131,62-33-9,calcium disodium 2-[2-[bis(2-oxido-2-oxoethyl)amino]ethyl-(2-oxido-2-oxoethyl)amino] acetate,62-33-9,,100333-49-1,,,,6109,C10 H12 Ca N2 Na2 O8,,,,MFCD00148919,200-529-9,100.000.482,8U5D034955,,,374.27077856,
1298141,26264-06-2,calcium;4-dodecan-3-ylbenzenesulfonate,26264-06-2,,105864-16-2,,,,,C36 H58 Ca O6 S2,,,,,247-557-8,100.043.219,7LE6D87CYE,,,691.06146,3.0
1298151,4696-56-4,calcium dodecanoate,4696-56-4,,,,,,,C24 H46 Ca O4,,,J98.116H,,225-166-3,100.022.878,0YIV695L8O,,,438.70542,
1298161,8061-52-7,calcium 3-(2-hydroxy-3-methoxyphenyl)-2-[2-methoxy-4-(3-sulfonatopropyl)phenoxy]propane-1-sulfonate,8061-52-7,,104782-63-0,,,,,C20 H24 Ca O10 S2,,,,MFCD00163202,,,6HPP8U6S23,,,528.61128,
1298171,5793-94-2,calcium 2-(2-octadecanoyloxypropanoyloxy)propanoate,5793-94-2,,90128-66-8,,,,,C48 H86 Ca O12,,,J3.076G,,227-335-7,100.024.851,30MXH4012A,,,895.28182,
1298181,814-71-1,calcium;2-sulfanylacetate,814-71-1,,,,,,,C4 H6 Ca O4 S2,,,,MFCD00050585,212-402-5,100.011.274,J96129652N,,,222.29662,
1298191,14350-94-8,"sodium;2-[1-(2-hydroxyethyl)-2-nonyl-4,5-dihydroimidazol-1-ium-1-yl]acetate;hydroxide",14350-94-8,,,,,,,C16 H31 N2 Na O4,,,,,238-303-7,100.034.806,,,,338.42363928,
1298201,136-26-5,"N,N-bis(2-hydroxyethyl)decanamide",136-26-5,,37345-28-1,,,,,C14 H29 N O3,1785093,,J115.263G,,205-234-9,100.004.759,SHH19DQ1DH,,,259.38973,2.4
1298221,13039-35-5,"sodium;2-[2-heptyl-1-(2-hydroxyethyl)-4,5-dihydroimidazol-1-ium-1-yl]acetate;hydroxide",13039-35-5,,,,,,,C14 H27 N2 Na O4,,,,,235-907-2,100.032.628,,,,310.36975928,
1298231,133-06-2,"2-(trichloromethylsulfanyl)-3a,4,7,7a-tetrahydroisoindole-1,3-dione",133-06-2,,120528-25-8,,,,8606,C9 H8 Cl3 N O2 S,0023177,,J2.947E,MFCD00041811,205-087-0,100.004.626,EOL5G26Q9F,,,300.58916,2.4
1298241,,,9007-16-3,,,,,,,,,,,,,,,,,,
1298261,,,9004-30-2,,,,,,,C2 H6 O2.x-C2 H4 O3.x-Na.x-Unspecified,,,,MFCD00676624,,,,,,,
1298261,,,9088-04-4,,56448-81-8,,,,,,,,,,,,,,,,
1298291,603-50-9,[4-[(4-acetyloxyphenyl)-pyridin-2-ylmethyl]phenyl] acetate,603-50-9,,,,,,2391,C22 H19 N O4,0323727,,J3.307C,MFCD00038039,210-044-4,100.009.132,10X0709Y6I,,,361.39723,3.8
1298301,,,9004-95-9,,111637-23-1,,,,,(C2 H4 O)mult-C16 H34 O,,,,,500-014-1,,,,,,
1298311,,,9004-95-9,,111637-23-1,,,,,(C2 H4 O)mult-C16 H34 O,,,,,500-014-1,,,,,,
1298321,,,9004-95-9,,111637-23-1,,,,,(C2 H4 O)mult-C16 H34 O,,,,,500-014-1,,,,,,
1298331,67762-27-0,,67762-27-0,,8005-44-5,,,,,C34 H72 O2,,,,,267-008-6,100.060.898,2DMT128M1S,,,512.94624,
1298341,85586-67-0,"[(1R,4R,6R)-1,7,7-trimethyl-6-bicyclo[2.2.1]heptanyl] 2-methylpropanoate",85586-67-0,,149714-10-3,,,,,C14 H24 O2,,,J331.066C,MFCD03424217,287-872-8,100.079.857,0HWY1Q2V54,,,224.34368,4.3
1298351,693-33-4,2-[hexadecyl(dimethyl)azaniumyl]acetate,693-33-4,,,,,,,C20 H41 N O2,3676787,,,,211-748-4,100.010.682,E945X08YA9,,,327.55217,8.3
1298361,112-69-6,"N,N-dimethylhexadecan-1-amine",112-69-6,,157970-55-3,,,,16221,C18 H39 N,1755921,,J106.586F,MFCD00015086,203-997-2,100.003.634,5E4QI660PW,,,269.51583,8.0
1298371,78-21-7,4-ethyl-4-hexadecylmorpholin-4-ium;ethyl sulfate,78-21-7,,8007-36-1,,,,60971,C24 H51 N O5 S,,,,,201-094-8,100.000.996,FU19SYM476,,,465.73847,
1298381,35274-05-6,hexadecyl 2-hydroxypropanoate,35274-05-6,,,,,,,C19 H38 O3,,,J260.566J,MFCD00152336,252-478-7,100.047.693,A7EVH2RK4O,,,314.50946,7.6
1298391,2599-01-1,,2599-01-1,,,,,,,C30 H60 O2,,,J111.011J,MFCD00056217,220-001-1,100.018.184,7OPL833Q4D,,,452.8066,14.1
1298401,3539-43-3,,3539-43-3,,175597-82-7,,,,19059,C16 H35 O4 P,,,J216.184B,,222-581-1,100.020.529,VT07D6X67O,,,322.425512,6.2
1298411,10401-55-5,,10401-55-5,,,,,,,C34 H66 O3,,,,,233-864-4,100.030.774,1P677500YD,,,522.89762,13.8
1298421,1190-63-2,,1190-63-2,,124487-61-2,,,,,C34 H68 O2,,,J24.703K,,214-724-1,100.013.386,06RI5UQA7L,,,508.91436,16.3
