TGSC ID,TGSC OPL ID,Name,CAS Number,Other CAS Number,Deleted CAS Number,Concentration %,Concentration Min %,Concentration Max %,CID,Formula,Beilstein Number,CoE Number,Nikkaji Web,MDL,EC Number,ECHA Substance,FDA UNII,FDA Internal Number,FEMA Number,Molecular Weight,XlogP3-AA
1008331,821-55-6,nonan-2-one,821-55-6,,,,,,13187,C9 H18 O,1743645,154.0,J7.123D,MFCD00009553,212-480-0,100.011.345,ZE5K73YN2Z,,,142.24166,3.1
1008351,104-90-5,5-ethyl-2-methylpyridine,104-90-5,,,,,,7728,C8 H11 N,0109269,11385.0,J5.037G,MFCD00006344,203-250-0,100.002.955,WG205CGK3Y,,,121.18267,2.0
1008361,13360-64-0,2-ethyl-5-methylpyrazine,13360-64-0,,,,,,,C7 H10 N2,0956719,728.0,J113.401I,,236-416-6,100.033.091,W41R8X574D,,,122.1707,1.0
1008371,941-98-0,1-naphthalen-1-ylethanone,941-98-0,,,,,,13663,C12 H10 O,1100618,,J70.964F,MFCD00004013,213-384-1,100.012.167,U44R403XVS,,,170.2109,2.9
1008381,13925-00-3,2-ethylpyrazine,13925-00-3,,,,,,,C6 H8 N2,0108200,2213.0,J27.869F,MFCD00006149,237-691-5,100.034.250,0QO4LUV16Z,,,108.14376,0.7
1008391,111-80-8,methyl non-2-ynoate,111-80-8,,,,,,8137,C10 H16 O2,1759870,479.0,J34.596B,MFCD00009547,203-909-2,100.003.554,8RN66UR57V,,,168.23592,3.7
1008392,111-80-8,methyl non-2-ynoate,111-80-8,,,,,,8137,C10 H16 O2,1759870,479.0,J34.596B,MFCD00009547,203-909-2,,8RN66UR57V,,,168.23592,3.7
1008401,64-18-6,formic acid,64-18-6,,1016316-60-1,,,,,C H2 O2,1209246,1.0,J1.402H,MFCD00003297,200-579-1,100.000.527,0YIW783RG1,,,46.02534,-0.2
1008421,9000-11-7,"acetic acid; 2,3,4,5,6-pentahydroxyhexanal",9000-11-7,,1125619-15-9,,,,,C8 H16 O8,,,,MFCD00149018,,,05JZI7B19X,,,240.20912,
1008431,101-41-7,methyl 2-phenylacetate,101-41-7,,,,,,7559,C9 H10 O2,0878795,2155.0,J363H,MFCD00008453,202-940-9,100.002.674,D4PDC41X96,,,150.1771,1.8
1008441,98-01-1,furan-2-carbaldehyde,98-01-1,,,,,,7362,C5 H4 O2,0105755,2014.0,J3.981K,MFCD00003229,202-627-7,100.002.389,DJ1HGI319P,,,96.08528,0.4
