CID,TGSC ID
3657,1370621
3672,1204091
3676,1546721
3681,1241671
3681,1306901
3686,1501141
3712,1448011
3720,1251631
3747,1098561
3776,1007401
3793,1743941
3806,1210311
3828,1253141
3830,1253151
3840,1253161
3848,1622301
3879,1699921
3884,1254501
3885,1529071
3893,1008181
3939,1344611
4004,1309501
4021,1191581
4044,1094181
4055,1178081
4093,1367221
4093,1257421
4101,1250041
4114,1037841
4133,1008472
4133,1008471
4173,1261271
4211,1150611
4276,1104961
4284,1263001
4377,1080931
4458,1383121
4534,1269731
4578,1094081
4581,1628021
4632,1131411
4650,1148301
4671,1301821
4678,1131321
4678,1136151
4684,1201641
4685,1148841
4696,1272171
4754,1271351
4764,1273421
4766,1273381
4775,1206621
4781,1273961
4788,1274381
4794,1071661
4825,1102161
4837,1274981
4840,1130601
4843,1771551
4871,1429501
4873,1099551
4875,1099601
4932,1781061
4933,1309931
4943,1040071
4947,1034121
4970,1279241
4971,1279251
4990,1783061
5053,1331131
5054,1009421
5055,1280301
5065,1785301
5143,1281441
5144,1010791
5146,1176731
5147,1281501
5154,1665421
5192,1281881
5202,1628941
5208,1681151
5234,1099851
5235,1099891
5238,1283421
5251,1440431
5281,1009271
5312,1196051
5333,1284961
5338,1547971
5350,1120281
5381,1800231
5411,1362641
5425,1499651
5429,1036961
5430,1168361
5443,1289191
5446,1389211
5447,1158721
5455,1288241
5510,1539591
5526,1291061
5541,1027131
5543,1310691
5558,1225691
5564,1304041
5565,1292781
5569,1310531
5570,1698551
5585,1195461
5590,1295661
5590,1361661
5590,1048151
5590,1361681
5590,1361691
5590,1361651
5590,1361671
5590,1047831
5590,1301681
5590,1044401
5590,1044791
5590,1611891
5590,1611901
5590,1047111
5590,1361631
5590,1361641
5590,1046481
5590,1007491
5610,1051461
5634,1035691
5641,1296181
5646,1372971
5727,1297491
5735,1044181
5742,1248841
5744,1469201
5754,1250751
5755,1278711
5757,1223181
5768,1699051
5770,1280121
5780,1034721
5789,1289311
5793,1365641
5794,1275011
5795,1278781
5798,1221941
5801,1171141
5821,1241801
5828,1198921
5833,1284291
5862,1018061
5865,1278721
5881,1133221
5892,1349891
5909,1133441
5910,1699241
5931,1371731
5942,1264301
5943,1227371
5944,1227121
5951,1254061
5952,1234661
5953,1279891
5957,1361271
5959,1228131
5960,1037291
5961,1037431
5962,1107871
5962,1775521
5963,1222871
5970,1241701
5971,1002981
5974,1228001
5977,1098411
5984,1098991
5987,1284941
5988,1661521
5988,1284821
5994,1278821
5997,1229271
6019,1279581
6021,1136831
6029,1296211
6033,1105941
6035,1133081
6036,1233801
6037,1098971
6042,1389481
6043,1171341
6047,1253531
6049,1131701
6050,1025131
6054,1010051
6054,1010052
6057,1037771
6060,1097431
6072,1665281
6076,1136631
6083,1097911
6099,1260831
6101,1309351
6106,1030281
6108,1205591
6109,1298131
6112,1543881
6114,1215481
6115,1220191
