Stimulus,Descriptors
105-85-1,sweet;mandarin;plum;floral;rose;cucumber;fruity;apricot;green;bergamot;citrus;peach;waxy
105-86-2,floral;rose;fruity;apple;fresh;green;rose tea rose;neroli;tropical;peach
105-87-3,floral;rose;lavender;green;waxy
105-89-5,floral;geranium;verbena;rose
105-90-8,vegetable;floral;rose;honey;fruity;powdery;geranium;tropical;citrus;waxy
105-91-9,sweet;berry;floral;fruity;jammy;powdery;green;tutti frutti
105-95-3,sweet;floral;ambrette;powdery;woody;musk
10519-06-9,floral;ylang
10519-11-6,floral;herbal;fruity;dusty;woody
10519-12-7,dry;floral;oily;sandalwood;woody
10519-17-2,waxy;green;reseda
10519-20-7,violet leaf;violet;oily;waxy
10521-91-2,floral;rose;verbena;carnation;lemon
10521-96-7,sweet;fruity;rummy
10522-18-6,meaty;fatty;floral;fruity;violet;green;milky;waxy
10522-26-6,balsam
10522-32-4,floral;honey;honeysuckle;rose
10544-63-5,fermented;estery;rummy;meaty;cognac;fruity;acidic;pineapple;pungent;sharp
105450-79-1,fishy;estery;pear;fruity
105463-44-3,herbal;rooty;camphoreous;patchouli;woody;earthy
10551-58-3,baked;bread
105657-89-4,shrimp
105683-99-6,cucumber;tallow;green
10580-25-3,floral;fruity;rose
10588-10-0,fruity;ethereal
10588-15-5,leafy;minty;tuberose;green
10599-70-9,sweet;musty;cocoa;nutty;powdery;roasted;earthy;leathery;corn
106-02-5,natural;animal;fruity;powdery;tobacco;coumarinic;licorice;brown;heliotrope;musk
106-11-6,bland
106-18-3,fermented;fruity;peanut;soapy;dairy;waxy
106-19-4,alcoholic;mild
106-21-8,musty;aldehydic;green;soapy;citrus;leathery;waxy
106-23-0,sweet;dry;aldehydic;floral;herbal;rose;green;citrus;waxy
106-24-1,sweet;floral;rose;fruity;citrus;waxy
106-25-2,sweet;natural;magnolia;neroli;citrus
106-26-3,sweet;lemon peel;lemon;citrus
106-27-4,banana;fruity;apricot;pear;green
106-28-5,sweet;floral;muguet;lily;waxy
106-29-6,sweet;rose;fruity;apricot;fresh;raspberry;green;tropical;peach;waxy
106-30-9,sweet;rummy;estery;seedy;berry;banana;cognac;fruity;pineapple;winey;green
106-31-0,butter
106-32-1,sweet;musty;banana;brandy;fruity;winey;apricot;pineapple;pear;creamy;dairy;waxy
106-33-2,sweet;clean;floral;soapy;waxy
106-35-4,sweet;musty;fatty;fruity;green;cheesy;ketonic
106-36-5,sweet;fruity;pineapple;winey;chemical;pungent;sharp
106-44-5,narcissus;animal;phenolic;mimosa
106-65-0,sweet;estery;rummy;bubble gum;floral;fruity;green;tutti frutti;papaya
106-68-3,sweet;musty;fermented;vegetable;mushroom;herbal;lavender;fresh;green;moldy;cheesy;ketonic
106-70-7,bacon;banana;strawberry;fruity;pineapple;apricot;ethereal;fruit tropical fruit
106-72-9,sweet;clean;floral;melon;ozone;oily;watermelon rind;fresh;green;watermelon
106-73-0,sweet;berry;floral;fruity;apple;green;orris;waxy
1064678-08-5,sweet;sulfurous;garlic;fruity;lychee;pear;onion
1066-33-7,ammoniacal;mild
106887-88-1,fatty
107-02-8,cherry;fruity;almond
