Experiment,ROI#,Xpos,Ypos
111L,101,-1796.82066666667,539.759333333333
111L,102,-1635.19793103448,373.743448275862
111L,103,-1322.34,1444.86444444444
111L,104,-1520.35304347826,601.130434782609
111L,105,-841.673043478261,1873.84956521739
111L,106,-618.656,1026.742
111L,107,-1654.536,517.732
111L,108,-1499.31636363636,731.727272727273
111L,109,-1009.19466666667,572.502666666667
111L,110,-1627.746,1236.597
111L,111,-1793.47448275862,649.033793103448
111L,112,-1058.012,1417.876
111R,1,1341.656,1296.428
111R,2,1304.15,719.55
111R,3,1447.03,1288.09333333333
111R,4,1194.39741935484,317.123870967742
111R,5,1098.76,1725.66333333333
111R,6,1395.51076923077,953.790769230769
111R,7,1375.59,871.36
111R,8,875.51,1844.73
111R,9,1192.02888888889,684.822222222222
111R,10,1047.56133333333,718.954666666667
111R,11,762.992,1900.096
111R,12,898.728,1585.76
111R,13,652.26,1112.47
111R,14,1071.15818181818,2145.91454545455
111R,15,1682.782,1137.474
111R,16,888.408888888889,1355.56444444444
111R,17,1068.14285714286,1988.88571428571
111R,18,523.668,2112.63
111R,19,1818.518,749.912
111R,20,828.875555555555,2177.12444444444
111R,21,1652.42,710.62
111R,22,1643.49,808.85
111R,23,1250.57,884.117142857143
111R,24,712.709230769231,529.272307692308
111R,25,1119.59666666667,2029.28333333333
111R,26,1341.656,857.072
111R,27,1533.35333333333,1216.65333333333
111R,28,1632.774,910.652
111R,29,1744.27142857143,396.794285714286
111R,30,1048.752,496.3
111R,31,1300.32285714286,310.045714285714
111R,32,1229.73333333333,1579.80666666667
111R,33,573.676,1278.568
111R,34,704.054,1623.266
111R,35,354.593333333333,2248.56444444444
111R,36,772.177142857143,1310.20571428571
111R,37,768.35,1174.98
111R,38,802.284,839.212
111R,39,953.895555555556,662.993333333333
111R,40,923.732,853.5
111R,41,911.23,1035.672
111R,42,968.637142857143,1103.54
111R,43,982.67,1353.58
111R,44,780.852,1576.83
111R,45,950.777142857143,1971.02571428571
111R,46,959.848888888889,2058.05777777778
111R,47,1146.12782608696,1862.97826086957
111R,48,988.623333333333,1856.63666666667
111R,49,1002.316,1696.492
111R,50,1071.97,1625.052
111R,51,1098.76,1546.468
111R,52,611.437142857143,700.414285714286
111R,53,1482.75,1576.83
111R,54,1238.66333333333,1422.04333333333
111R,55,1375.59,1442.88
111R,56,1416.668,1378.584
111R,57,1214.85,1255.35
111R,58,1268.43,1219.63
111R,59,1057.93714285714,942.8
111R,60,1252.63076923077,1114.53076923077
111R,61,1057.93714285714,942.8
111R,62,1154.32444444444,847.546666666667
111R,63,1089.83,353.42
111R,64,997.553333333334,561.786666666667
111R,65,1111.262,608.818
111R,66,1177.344,528.448
111R,67,1495.252,567.74
111R,68,1393.45,540.95
111R,69,1255.928,542.736
111R,70,1391.664,796.348
111R,71,1491.68,755.27
111R,72,1607.77,1014.24
111R,73,1607.77,1014.24
111R,74,1592.88666666667,1145.21333333333
111R,75,1491.68,1130.33
111R,76,1429.17,1192.84
111R,77,1393.45,1065.5875
111R,78,1000.53,1800.08
111R,79,1485.72666666667,999.356666666667
111R,80,934.051111111111,1688.95111111111
111R,81,1556.4225,1431.7175
111R,82,1582.60363636364,1277.26909090909
111R,83,1287.56571428571,491.197142857143
111R,84,1746.185,686.0625
111R,85,1015.41333333333,785.036666666667
111R,86,666.151111111111,323.653333333333
111R,87,654.4925,181.5175
111R,88,851.696666666666,835.64
111R,89,1000.53,296.268
111R,90,1853.75090909091,661.910909090909
111R,91,843.617142857143,1123.95142857143
111R,92,970.763333333334,462.068333333333
111R,93,1473.82,287.933333333333
111R,94,1330.94,1231.11142857143
111R,95,1718.75714285714,799.92
111R,96,1051.13333333333,573.693333333333
111R,97,967.786666666666,901.126666666667
111R,98,1605.33454545455,401.587878787879
111R,99,1090.51692307692,1234.05538461538
111R,100,762.667272727273,999.627272727273
111R,101,759.42,911.842666666667
111R,102,631.721,1394.658
111R,103,1052.324,1239.276
111R,104,960.750909090909,1066.19636363636
111R,105,1173.17666666667,1207.72333333333
111R,106,1284.83627906977,1775.15906976744
111R,107,1157.698,1455.382
111R,108,1314.866,1355.366
111R,109,1032.42285714286,1085.68
111R,110,1104.118,1375.012
111R,111,1414.28666666667,649.102222222222
111R,112,1392.17428571429,474.612857142857
111R,113,1519.74571428571,1057.61428571429
111R,114,1122.57333333333,774.122222222222
111R,115,1620.46,470.92
111R,116,1125.55,1244.1875
111R,117,854.078,1401.802
111R,118,1346.81555555556,1109.49333333333
111R,119,1082.686,1008.882
111R,120,1079.114,682.044
111R,121,1201.95111111111,1174.98
111R,122,802.284,1791.74533333333
111R,123,824.906666666667,1706.01733333333
111R,124,1319.94923076923,931.809230769231
111R,125,1188.06,458.028571428572
111R,126,1194.92923076923,739.470769230769
111R,127,1461.318,416.823
111R,128,227.741538461538,2007.98871794872
111R,129,724.975714285715,2110.07857142857
111R,130,1299.685,703.9225
112L,1,-1457.36,1299.43666666667
112L,2,-1332.34,796.38
112L,3,-1498.18285714286,1564.36
112L,4,-1324.68571428571,480.002857142857
112L,5,-1253.45833333333,1923.04833333333
112L,6,-1245.59142857143,770.865714285714
112L,7,-1400.80333333333,1193.765
112L,8,-1354.665,1035.2575
112L,9,-1171.6,782.092
112L,10,-668.272727272727,1830.63636363636
112L,11,-977.819,1634.907
112L,12,-744.583636363636,1129.22545454545
112L,13,-977.3725,2151.5075
112L,14,-1625.75428571429,1265.84285714286
112L,15,-957.28,1415.98461538462
112L,16,-999.6975,1933.83875
112L,17,-475.06,1885.84
112L,18,-1753.836,889.252
112L,19,-825.45619047619,2075.49619047619
112L,20,-1707.4,837.458
112L,21,-1671.68,921.4
112L,22,-1190.73571428571,966.05
112L,23,-705.616363636364,713.574545454545
112L,24,-1057.7425,1988.535
112L,25,-1516.298,1016.058
112L,26,-1562.53555555556,1250.81777777778
112L,27,-1631.495,376.67
112L,28,-1058.48666666667,522.526666666667
112L,29,-1248.14285714286,528.48
112L,30,-1277.27166666667,1728.07666666667
112L,31,-1481.17333333333,402.269333333333
112L,32,-1614.528,796.38
112L,33,-1620.65142857143,982.634285714286
112L,34,-621.019310344828,1576.67724137931
