CID,Experiment,ROI#,DeltaF
-1,113R,62,0.0
-1,113R,63,0.0
-1,113R,64,0.0
-1,113R,65,0.0
-1,113R,66,0.0
-1,113R,67,0.0
-1,113R,68,0.0
-1,113R,69,0.0
-1,113R,70,0.0
-1,113R,71,0.0
-1,113R,72,0.0
-1,113R,73,0.0
-1,113R,74,0.0
-1,113R,75,0.0
-1,113R,76,0.0
-1,113R,77,0.0
-1,113R,78,0.0
-1,113R,79,0.0
-1,113R,80,0.0
-1,113R,81,0.0
-1,113R,82,0.0
-1,113R,83,0.0
-1,113R,84,0.0
-1,113R,85,0.0
-1,113R,86,0.0
-1,113R,87,0.0
-1,113R,88,0.0
-1,113R,89,0.0
-1,113R,90,0.0
-1,113R,91,0.0
-1,113R,92,0.0
-1,113R,93,0.0
-1,113R,94,0.0
-1,113R,95,0.0
-1,113R,96,0.0
-1,113R,97,0.0
-1,113R,98,0.0
-1,113R,99,0.0
-1,113R,100,0.0
-1,113R,101,0.0
-1,113R,102,0.0
-1,113R,103,0.0
-1,113R,104,0.0
-1,113R,105,0.0
-1,113R,106,0.0
-1,113R,107,0.0
-1,113R,108,0.0
-1,113R,109,0.0
-1,113R,110,0.0
-1,113R,111,0.0
-1,113R,112,0.0
-1,113R,113,0.0
-1,113R,114,0.0
-1,113R,115,0.0
-1,113R,116,0.0
-1,113R,117,0.0
-1,113R,118,0.0
-1,113R,119,0.0
-1,113R,120,0.0
-1,113R,121,0.0
-1,113R,122,0.0
-1,113R,123,0.0
-1,113R,124,0.0
-1,113R,125,0.0
-1,113R,126,0.0
-1,113R,127,0.0
-1,113R,128,0.0
-1,113R,129,0.0
-1,113R,130,0.0
-1,113R,131,0.0
-1,113R,132,0.0
-1,113R,133,0.0
-1,113R,134,0.0
-1,113R,135,0.0
-1,113R,136,0.0
-1,113R,137,0.0
-1,113R,138,0.0
-1,113R,139,0.0
-1,114L,1,0.0
-1,114L,2,0.0
-1,114L,3,0.0
-1,114L,4,0.0
-1,114L,5,0.0
-1,114L,6,0.0
-1,114L,7,0.0
-1,114L,8,0.0
-1,114L,9,0.0
-1,114L,10,0.0
-1,114L,11,0.0
-1,114L,12,0.0
-1,114L,13,0.0
-1,114L,14,0.0
-1,114L,15,0.0
-1,114L,16,0.0
-1,114L,17,0.0
-1,114L,18,0.0
-1,114L,19,0.0
-1,114L,20,0.0
-1,114L,21,0.0
-1,114L,22,0.0
-1,114L,23,0.0
-1,114L,24,0.0
-1,114L,25,0.0
-1,114L,26,0.0
-1,114L,27,0.0
-1,114L,28,0.0
-1,114L,29,0.0
-1,114L,30,0.0
-1,114L,31,0.0
-1,114L,32,0.0
-1,114L,33,0.0
-1,114L,34,0.0
-1,114L,35,0.0
-1,114L,36,0.0
-1,114L,37,0.0
-1,114L,38,0.0
-1,114L,39,0.0
-1,114L,40,0.0
-1,114L,41,0.0
-1,114L,42,0.0
-1,114L,43,0.0
-1,114L,44,0.0
-1,114L,45,0.0
-1,114L,46,0.0
-1,114L,47,0.0
-1,114L,48,0.0
-1,114L,49,0.0
-1,114L,50,0.0
-1,114L,51,0.0
