Stimulus,Experiment,ImagePath
15037_1.83e-10,113R,images/113_1-furfurylpyrrole.csv
15037_1.83e-10,114L,images/114_1-furfurylpyrrole.csv
15037_1.83e-10,114R,images/114_1-furfurylpyrrole.csv
15406_5.27e-10,111L,images/111_fenchol.csv
15406_5.27e-10,111R,images/111_fenchol.csv
15406_5.27e-10,112L,images/112_fenchol.csv
15406_5.27e-10,112R,images/112_fenchol.csv
15406_5.27e-10,113L,images/113_fenchol.csv
15406_5.27e-10,113R,images/113_fenchol.csv
15406_5.27e-10,114L,images/114_fenchol.csv
15406_5.27e-10,114R,images/114_fenchol.csv
15559490_4.35e-11,111L,images/111_(+-)-geosmin.csv
15559490_4.35e-11,111R,images/111_(+-)-geosmin.csv
15559490_4.35e-11,112L,images/112_(+-)-geosmin.csv
15559490_4.35e-11,112R,images/112_(+-)-geosmin.csv
15559490_4.35e-11,113L,images/113_(+-)-geosmin.csv
15559490_4.35e-11,113R,images/113_(+-)-geosmin.csv
15559490_4.35e-11,114L,images/114_(+-)-geosmin.csv
15559490_4.35e-11,114R,images/114_(+-)-geosmin.csv
15717_1.98e-10,111L,images/111_allyl_phenylacetate.csv
15717_1.98e-10,111R,images/111_allyl_phenylacetate.csv
15717_1.98e-10,112L,images/112_allyl_phenylacetate.csv
15717_1.98e-10,112R,images/112_allyl_phenylacetate.csv
15717_1.98e-11,113L,images/113_allyl_phenylacetate.csv
15717_1.98e-11,113R,images/113_allyl_phenylacetate.csv
15717_1.98e-11,114L,images/114_allyl_phenylacetate.csv
15717_1.98e-11,114R,images/114_allyl_phenylacetate.csv
16224_6.10e-11,112L,"images/112_N,N-dimethyloctylamine.csv"
16224_6.10e-11,112R,"images/112_N,N-dimethyloctylamine.csv"
16224_6.10e-11,114L,"images/114_N,N-dimethyloctylamine.csv"
16224_6.10e-11,114R,"images/114_N,N-dimethyloctylamine.csv"
16224_6.10e-12,111L,"images/111_N,N-dimethyloctylamine.csv"
16224_6.10e-12,111R,"images/111_N,N-dimethyloctylamine.csv"
16224_6.10e-12,113L,"images/113_N,N-dimethyloctylamine.csv"
16224_6.10e-12,113R,"images/113_N,N-dimethyloctylamine.csv"
16259_9.77e-12,111L,images/111_3-phenylpropylamine.csv
16259_9.77e-12,111R,images/111_3-phenylpropylamine.csv
16259_9.77e-12,113L,images/113_3-phenylpropylamine.csv
16259_9.77e-12,113R,images/113_3-phenylpropylamine.csv
16259_9.77e-12,114L,images/114_3-phenylpropylamine.csv
16259_9.77e-12,114R,images/114_3-phenylpropylamine.csv
16259_9.77e-13,112L,images/112_3-phenylpropylamine.csv
16259_9.77e-13,112R,images/112_3-phenylpropylamine.csv
16590_7.35e-10,111L,images/111_allyl_disulfide.csv
16590_7.35e-10,111R,images/111_allyl_disulfide.csv
16590_7.35e-10,112L,images/112_allyl_disulfide.csv
16590_7.35e-10,112R,images/112_allyl_disulfide.csv
16590_7.35e-10,113L,images/113_allyl_disulfide.csv
16590_7.35e-10,113R,images/113_allyl_disulfide.csv
16590_7.35e-10,114L,images/114_allyl_disulfide.csv
16590_7.35e-10,114R,images/114_allyl_disulfide.csv
16666_5.85e-11,111L,images/111_(+-)-menthol.csv
16666_5.85e-11,111R,images/111_(+-)-menthol.csv
16666_5.85e-11,112L,images/112_(+-)-menthol.csv
16666_5.85e-11,112R,images/112_(+-)-menthol.csv
16666_5.85e-11,113L,images/113_(+-)-menthol.csv
16666_5.85e-11,113R,images/113_(+-)-menthol.csv
16666_5.85e-11,114L,images/114_(+-)-menthol.csv
16666_5.85e-11,114R,images/114_(+-)-menthol.csv
16867_3.83e-09,111L,images/111_2-methyl-2-thiazoline.csv
16867_3.83e-09,111R,images/111_2-methyl-2-thiazoline.csv
16867_3.83e-10,112L,images/112_2-methyl-2-thiazoline.csv
16867_3.83e-10,112R,images/112_2-methyl-2-thiazoline.csv
16867_3.83e-10,113L,images/113_2-methyl-2-thiazoline.csv
16867_3.83e-10,113R,images/113_2-methyl-2-thiazoline.csv
16867_3.83e-10,114L,images/114_2-methyl-2-thiazoline.csv
16867_3.83e-10,114R,images/114_2-methyl-2-thiazoline.csv
17355_4.97e-10,111L,images/111_4-phenyl-2-butanone.csv
17355_4.97e-10,111R,images/111_4-phenyl-2-butanone.csv
17355_4.97e-11,112L,images/112_4-phenyl-2-butanone.csv
17355_4.97e-11,112R,images/112_4-phenyl-2-butanone.csv
17355_4.97e-11,113L,images/113_4-phenyl-2-butanone.csv
17355_4.97e-11,113R,images/113_4-phenyl-2-butanone.csv
17355_4.97e-11,114L,images/114_4-phenyl-2-butanone.csv
17355_4.97e-11,114R,images/114_4-phenyl-2-butanone.csv
17898_4.45e-11,111L,images/111_2-methoxy-3-methylpyrazine.csv
17898_4.45e-11,111R,images/111_2-methoxy-3-methylpyrazine.csv
17898_4.45e-11,112L,images/112_2-methoxy-3-methylpyrazine.csv
17898_4.45e-11,112R,images/112_2-methoxy-3-methylpyrazine.csv
17898_4.45e-11,113L,images/113_2-methoxy-3-methylpyrazine.csv
17898_4.45e-11,113R,images/113_2-methoxy-3-methylpyrazine.csv
17898_4.45e-11,114L,images/114_2-methoxy-3-methylpyrazine.csv
17898_4.45e-11,114R,images/114_2-methoxy-3-methylpyrazine.csv
18467_3.21e-11,111L,images/111_2-methoxypyrazine.csv
18467_3.21e-11,111R,images/111_2-methoxypyrazine.csv
18467_3.21e-11,112L,images/112_2-methoxypyrazine.csv
18467_3.21e-11,112R,images/112_2-methoxypyrazine.csv
18467_3.21e-11,113L,images/113_2-methoxypyrazine.csv
18467_3.21e-11,113R,images/113_2-methoxypyrazine.csv
