Subject,Experiment,Mouse ID,Hemisphere,ROI#,Xpos,Ypos
111R_027,111R,111,R,27,1533.35333333333,1216.65333333333
111R_028,111R,111,R,28,1632.774,910.652
111R_029,111R,111,R,29,1744.27142857143,396.794285714286
111R_030,111R,111,R,30,1048.752,496.3
111R_031,111R,111,R,31,1300.32285714286,310.045714285714
111R_032,111R,111,R,32,1229.73333333333,1579.80666666667
111R_033,111R,111,R,33,573.676,1278.568
111R_034,111R,111,R,34,704.054,1623.266
111R_035,111R,111,R,35,354.593333333333,2248.56444444444
111R_036,111R,111,R,36,772.177142857143,1310.20571428571
111R_037,111R,111,R,37,768.35,1174.98
111R_038,111R,111,R,38,802.284,839.212
111R_039,111R,111,R,39,953.895555555556,662.993333333333
111R_040,111R,111,R,40,923.732,853.5
111R_041,111R,111,R,41,911.23,1035.672
111R_042,111R,111,R,42,968.637142857143,1103.54
111R_043,111R,111,R,43,982.67,1353.58
111R_044,111R,111,R,44,780.852,1576.83
111R_045,111R,111,R,45,950.777142857143,1971.02571428571
111R_046,111R,111,R,46,959.848888888889,2058.05777777778
111R_047,111R,111,R,47,1146.12782608696,1862.97826086957
111R_048,111R,111,R,48,988.623333333333,1856.63666666667
111R_049,111R,111,R,49,1002.316,1696.492
111R_050,111R,111,R,50,1071.97,1625.052
111R_051,111R,111,R,51,1098.76,1546.468
111R_052,111R,111,R,52,611.437142857143,700.414285714286
111R_053,111R,111,R,53,1482.75,1576.83
111R_054,111R,111,R,54,1238.66333333333,1422.04333333333
111R_055,111R,111,R,55,1375.59,1442.88
111R_056,111R,111,R,56,1416.668,1378.584
111R_057,111R,111,R,57,1214.85,1255.35
111R_058,111R,111,R,58,1268.43,1219.63
111R_059,111R,111,R,59,1057.93714285714,942.8
111R_060,111R,111,R,60,1252.63076923077,1114.53076923077
111R_061,111R,111,R,61,1057.93714285714,942.8
111R_062,111R,111,R,62,1154.32444444444,847.546666666667
111R_063,111R,111,R,63,1089.83,353.42
111R_064,111R,111,R,64,997.553333333334,561.786666666667
111R_065,111R,111,R,65,1111.262,608.818
111R_066,111R,111,R,66,1177.344,528.448
111R_067,111R,111,R,67,1495.252,567.74
111R_068,111R,111,R,68,1393.45,540.95
111R_069,111R,111,R,69,1255.928,542.736
111R_070,111R,111,R,70,1391.664,796.348
111R_071,111R,111,R,71,1491.68,755.27
111R_072,111R,111,R,72,1607.77,1014.24
111R_073,111R,111,R,73,1607.77,1014.24
111R_074,111R,111,R,74,1592.88666666667,1145.21333333333
111R_075,111R,111,R,75,1491.68,1130.33
111R_076,111R,111,R,76,1429.17,1192.84
111R_077,111R,111,R,77,1393.45,1065.5875
111R_078,111R,111,R,78,1000.53,1800.08
111R_079,111R,111,R,79,1485.72666666667,999.356666666667
111R_080,111R,111,R,80,934.051111111111,1688.95111111111
111R_081,111R,111,R,81,1556.4225,1431.7175
111R_082,111R,111,R,82,1582.60363636364,1277.26909090909
111R_083,111R,111,R,83,1287.56571428571,491.197142857143
111R_084,111R,111,R,84,1746.185,686.0625
111R_085,111R,111,R,85,1015.41333333333,785.036666666667
111R_086,111R,111,R,86,666.151111111111,323.653333333333
111R_087,111R,111,R,87,654.4925,181.5175
111R_088,111R,111,R,88,851.696666666666,835.64
111R_089,111R,111,R,89,1000.53,296.268
111R_090,111R,111,R,90,1853.75090909091,661.910909090909
111R_091,111R,111,R,91,843.617142857143,1123.95142857143
111R_092,111R,111,R,92,970.763333333334,462.068333333333
111R_093,111R,111,R,93,1473.82,287.933333333333
111R_094,111R,111,R,94,1330.94,1231.11142857143
111R_095,111R,111,R,95,1718.75714285714,799.92
111R_096,111R,111,R,96,1051.13333333333,573.693333333333
111R_097,111R,111,R,97,967.786666666666,901.126666666667
111R_098,111R,111,R,98,1605.33454545455,401.587878787879
111R_099,111R,111,R,99,1090.51692307692,1234.05538461538
111R_100,111R,111,R,100,762.667272727273,999.627272727273
111R_101,111R,111,R,101,759.42,911.842666666667
111R_102,111R,111,R,102,631.721,1394.658
111R_103,111R,111,R,103,1052.324,1239.276
111R_104,111R,111,R,104,960.750909090909,1066.19636363636
111R_105,111R,111,R,105,1173.17666666667,1207.72333333333
111R_106,111R,111,R,106,1284.83627906977,1775.15906976744
111R_107,111R,111,R,107,1157.698,1455.382
111R_108,111R,111,R,108,1314.866,1355.366
111R_109,111R,111,R,109,1032.42285714286,1085.68
111R_110,111R,111,R,110,1104.118,1375.012
111R_111,111R,111,R,111,1414.28666666667,649.102222222222
111R_112,111R,111,R,112,1392.17428571429,474.612857142857
111R_113,111R,111,R,113,1519.74571428571,1057.61428571429
111R_114,111R,111,R,114,1122.57333333333,774.122222222222
111R_115,111R,111,R,115,1620.46,470.92
111R_116,111R,111,R,116,1125.55,1244.1875
111R_117,111R,111,R,117,854.078,1401.802
111R_118,111R,111,R,118,1346.81555555556,1109.49333333333
111R_119,111R,111,R,119,1082.686,1008.882
111R_120,111R,111,R,120,1079.114,682.044
111R_121,111R,111,R,121,1201.95111111111,1174.98
111R_122,111R,111,R,122,802.284,1791.74533333333
111R_123,111R,111,R,123,824.906666666667,1706.01733333333
111R_124,111R,111,R,124,1319.94923076923,931.809230769231
111R_125,111R,111,R,125,1188.06,458.028571428572
111R_126,111R,111,R,126,1194.92923076923,739.470769230769
111R_127,111R,111,R,127,1461.318,416.823
111R_128,111R,111,R,128,227.741538461538,2007.98871794872
111R_129,111R,111,R,129,724.975714285715,2110.07857142857
111R_130,111R,111,R,130,1299.685,703.9225
112L_001,112L,112,L,1,-1457.36,1299.43666666667
112L_002,112L,112,L,2,-1332.34,796.38
112L_003,112L,112,L,3,-1498.18285714286,1564.36
112L_004,112L,112,L,4,-1324.68571428571,480.002857142857
112L_005,112L,112,L,5,-1253.45833333333,1923.04833333333
112L_006,112L,112,L,6,-1245.59142857143,770.865714285714
112L_007,112L,112,L,7,-1400.80333333333,1193.765
112L_008,112L,112,L,8,-1354.665,1035.2575
112L_009,112L,112,L,9,-1171.6,782.092
