stimulus,subject,thresholds
T1,269,7.164094087536494e-05
T1,270,7.8125e-05
T1,272,0.00022097086912079616
T1,273,0.00125
T1,274,6.024261036749771e-05
T1,275,0.00012048522073499545
T1,276,0.002292510108011678
T1,278,6.905339660024877e-06
T1,280,4.105939527606029e-06
T1,283,0.02
T1,287,7.8125e-05
T1,288,4.2597958307236644e-05
T1,290,0.0038555270635198522
T1,292,9.765625e-06
T1,297,0.00011048543456039808
T1,298,0.0006815673329157862
T1,299,3.480073117735703e-05
T1,301,0.0005731275270029196
T1,302,2.3226701464896908e-05
T1,307,0.000625
T1,308,0.00015625
T1,309,9.765625e-06
T1,310,8.519591661447329e-05
T1,311,0.0014865088937534015
T1,313,3.0121305183748856e-05
T1,315,3.4526698300124383e-06
T1,317,0.00026278012976678575
T1,318,3.0121305183748856e-05
T1,319,2.6623723942022915e-06
T1,320,0.0014865088937534015
T1,321,0.0035355339059327372
T1,323,0.0004052623608284406
T1,324,4.6453402929793816e-05
T1,325,0.00010131559020711014
T1,326,0.0002865637635014598
T1,328,6.024261036749771e-05
T1,329,3.90625e-05
T1,330,0.00012048522073499545
T1,331,3.582047043768246e-05
T1,332,0.0003125
T1,333,0.008408964152537146
T1,334,7.915280484930488e-07
T1,335,0.00022097086912079616
T1,336,0.0029730177875068025
T1,337,0.00020263118041422028
T1,338,3.4526698300124383e-06
T1,341,0.00012048522073499545
T1,342,0.0006815673329157862
T1,343,0.02
T1,344,6.905339660024877e-06
T1,345,0.00012048522073499545
T1,346,0.02
T1,347,0.00014328188175072987
T1,348,3.0121305183748856e-05
T1,349,6.024261036749771e-05
T1,350,6.905339660024877e-06
T1,351,0.00012048522073499545
T1,352,0.004585020216023356
T1,354,2.3226701464896908e-05
T1,356,9.765625e-06
T1,357,1.3810679320049755e-05
T1,359,5.80667536622422e-06
T1,360,0.02
T1,363,0.004204482076268573
T1,364,3.582047043768246e-05
T1,365,6.024261036749771e-05
T1,366,0.0035355339059327372
T1,369,0.02
T1,371,3.582047043768246e-05
T1,373,4.6453402929793816e-05
T1,374,3.0121305183748856e-05
T1,376,0.0004819408829399816
T1,377,4.8828125e-06
T1,379,7.164094087536494e-05
T1,380,0.002102241038134287
T1,381,0.00125
T1,382,0.00022097086912079616
T1,384,0.0001703918332289466
T1,385,1.953125e-05
T1,386,1.7263349150062191e-06
T1,388,1.953125e-05
T1,391,7.530326295937212e-06
T1,393,0.02
T1,394,0.0003125
T1,396,5.524271728019903e-05
T1,397,0.00013139006488339288
T1,399,8.519591661447329e-05
T1,401,0.02
T1,403,3.2847516220848246e-05
T1,404,4.6453402929793816e-05
T1,405,4.8828125e-06
T1,406,0.00011048543456039808
T1,407,3.582047043768246e-05
T1,409,1.953125e-05
T1,410,4.384617376208486e-05
T1,411,0.02
T1,413,0.0004819408829399816
T1,414,0.000625
T1,417,0.00022097086912079616
T1,420,0.010905077326652577
T1,421,1.642375811042412e-05
