stimulus,subject,rep,intensity
IP1,381,2,5.0
IP1,382,1,7.0
IP1,382,2,7.0
IP1,384,1,7.0
IP1,384,2,7.0
IP1,385,1,5.0
IP1,385,2,6.0
IP1,386,1,5.0
IP1,386,2,6.0
IP1,388,1,7.0
IP1,388,2,7.0
IP1,391,1,6.0
IP1,391,2,6.0
IP1,393,1,6.0
IP1,393,2,6.0
IP1,394,1,6.0
IP1,394,2,6.0
IP1,396,1,5.0
IP1,396,2,6.0
IP1,397,1,7.0
IP1,397,2,6.0
IP1,399,1,5.0
IP1,399,2,6.0
IP1,401,1,6.0
IP1,401,2,5.0
IP1,403,1,6.0
IP1,403,2,5.0
IP1,404,1,6.0
IP1,404,2,6.0
IP1,405,1,6.0
IP1,405,2,5.0
IP1,406,1,7.0
IP1,406,2,7.0
IP1,407,1,4.0
IP1,407,2,5.0
IP1,409,1,5.0
IP1,409,2,7.0
IP1,410,1,6.0
IP1,410,2,6.0
IP1,411,1,5.0
IP1,411,2,5.0
IP1,413,1,6.0
IP1,413,2,6.0
IP1,414,1,0.0
IP1,414,2,3.0
IP1,417,1,6.0
IP1,417,2,6.0
IP1,420,1,6.0
IP1,420,2,6.0
IP1,421,1,5.0
IP1,421,2,5.0
IP1,422,1,5.0
IP1,422,2,6.0
IP1,425,1,5.0
IP1,425,2,6.0
IP1,426,1,5.0
IP1,426,2,5.0
IP1,427,1,5.0
IP1,427,2,5.0
IP1,429,1,6.0
IP1,429,2,6.0
IP1,431,1,5.0
IP1,431,2,6.0
IP1,432,1,6.0
IP1,432,2,5.0
IP1,433,1,6.0
IP1,433,2,7.0
IP1,434,1,6.0
IP1,434,2,7.0
IP1,435,1,5.0
IP1,435,2,5.0
IP1,436,1,5.0
IP1,436,2,5.0
IP1,439,1,6.0
IP1,439,2,6.0
IP1,441,1,6.0
IP1,441,2,6.0
IP1,442,1,5.0
IP1,442,2,6.0
IP1,445,1,7.0
IP1,445,2,6.0
IP1,448,1,5.0
IP1,448,2,7.0
IP1,449,1,6.0
IP1,449,2,5.0
IP1,454,1,6.0
IP1,454,2,6.0
IP1,455,1,4.0
IP1,455,2,5.0
IP1,456,1,6.0
IP1,456,2,6.0
IP1,457,1,5.0
IP1,457,2,6.0
IP1,458,1,5.0
IP1,458,2,6.0
IP1,459,1,0.0
IP1,459,2,6.0
IP1,460,1,6.0
IP1,460,2,5.0
IP1,461,1,6.0
IP1,461,2,7.0
IP1,463,1,6.0
IP1,463,2,6.0
