stimulus,subject,rep,descriptor,value
D2,66,1,cologne,1
D2,66,1,aromatic,0
D2,66,1,musky,0
D2,66,1,incense,0
D2,66,1,sweaty,0
D2,66,1,light,0
D2,66,1,heavy,2
D2,66,1,cool,0
D2,66,1,warm,0
D2,66,1,fruity other,1
D2,66,1,vanilla,0
D2,66,1,musty moldy,0
D2,66,1,rose,0
D2,66,1,violets,0
D2,66,1,lavender,0
D2,66,2,sweet,0
D2,66,2,fragrant,1
D2,66,2,perfumery,0
D2,66,2,floral,0
D2,66,2,cologne,0
D2,66,2,aromatic,0
D2,66,2,musky,0
D2,66,2,incense,0
D2,66,2,sweaty,0
D2,66,2,light,0
D2,66,2,heavy,0
D2,66,2,cool,0
D2,66,2,warm,1
D2,66,2,fruity other,0
D2,66,2,vanilla,0
D2,66,2,musty moldy,0
D2,66,2,rose,0
D2,66,2,violets,0
D2,66,2,lavender,0
D2,67,1,sweet,3
D2,67,1,fragrant,3
D2,67,1,perfumery,2
D2,67,1,floral,2
D2,67,1,cologne,0
D2,67,1,aromatic,0
D2,67,1,musky,0
D2,67,1,incense,0
D2,67,1,sweaty,0
D2,67,1,light,0
D2,67,1,heavy,0
D2,67,1,cool,0
D2,67,1,warm,0
D2,67,1,fruity other,0
D2,67,1,vanilla,0
D2,67,1,musty moldy,0
D2,67,1,rose,1
D2,67,1,violets,0
D2,67,1,lavender,0
D2,67,2,sweet,2
D2,67,2,fragrant,3
D2,67,2,perfumery,3
D2,67,2,floral,3
D2,67,2,cologne,0
D2,67,2,aromatic,3
D2,67,2,musky,0
D2,67,2,incense,0
D2,67,2,sweaty,0
D2,67,2,light,0
D2,67,2,heavy,0
D2,67,2,cool,0
D2,67,2,warm,0
D2,67,2,fruity other,0
D2,67,2,vanilla,0
D2,67,2,musty moldy,0
D2,67,2,rose,0
D2,67,2,violets,0
D2,67,2,lavender,0
D2,68,1,sweet,0
D2,68,1,fragrant,5
D2,68,1,perfumery,0
D2,68,1,floral,0
D2,68,1,cologne,5
D2,68,1,aromatic,0
D2,68,1,musky,0
D2,68,1,incense,0
D2,68,1,sweaty,0
D2,68,1,light,0
D2,68,1,heavy,0
D2,68,1,cool,0
D2,68,1,warm,0
D2,68,1,fruity other,0
D2,68,1,vanilla,0
D2,68,1,musty moldy,0
D2,68,1,rose,0
D2,68,1,violets,0
D2,68,1,lavender,5
D2,68,2,sweet,0
D2,68,2,fragrant,5
D2,68,2,perfumery,0
D2,68,2,floral,0
D2,68,2,cologne,5
D2,68,2,aromatic,0
D2,68,2,musky,0
D2,68,2,incense,0
D2,68,2,sweaty,0
D2,68,2,light,0
D2,68,2,heavy,0
D2,68,2,cool,0
D2,68,2,warm,0
D2,68,2,fruity other,5
D2,68,2,vanilla,0
D2,68,2,musty moldy,0
D2,68,2,rose,0
D2,68,2,violets,0
D2,68,2,lavender,5
