CID,MolecularWeight,IsomericSMILES,IUPACName,name
241,78.11,C1=CC=CC=C1,benzene,benzene
7519,108.14,COC1=CC=CC=C1,anisole,anisole
84467,170.29,CCCCCCCC(=O)CCC,undecan-4-one,4-undecanone
1140,92.14,CC1=CC=CC=C1,toluene,toluene
7674,122.16,CCOC1=CC=CC=C1,ethoxybenzene,phenetole
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
82227,136.23,CC1=CC[C@@H]2C[C@H]1C2(C)C,"(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",(+)-alpha-pinene
62539,114.14,CCC(=O)C(=O)CC,"hexane-3,4-dione","3,4-hexanedione"
637759,146.19,CC(=O)/C=C/C1=CC=CC=C1,(E)-4-phenylbut-3-en-2-one,benzylideneacetone
6616,136.23,CC1(C2CCC(C2)C1=C)C,"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",camphene
19707,114.14,CCCC(=O)C(=O)C,"hexane-2,3-dione","2,3-hexanedione"
5282108,192.30,CC1=CCCC(C1/C=C/C(=O)C)(C)C,"(E)-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",alpha-ionone
7462,136.23,CC1=CC=C(CC1)C(C)C,"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",alpha-terpinene
