CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3
25304-14-7,"1-(3,3-Dimethylcyclohexyl)ethan-1-one",Herbal,Woody,Camphoraceous
25225-09-6,"1-(3,3-Dimethylcyclohexyl)ethanol",Floral,Minty,Fresh
56973-87-6,"1-(3,3-Dimethylcyclohexyl)pent-4-en-1-one",Herbal,Green,Pineapple
68480-14-8,"1-(3,5,6-Trimethyl-3-cyclohexen-1-yl)ethan-1-one",Green,Floral,Earthy
23911-56-0,1-(3-Methyl-2-benzofuranyl)ethanone,Floral,Neroli,Powdery
56973-85-4,"1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one",Green,Fruity,Galbanum
774-55-0,"1-(5,6,7,8-tetrahydro-2-naphthalenyl)ethanone",Floral,Neroli,Musk Like
1506-02-1,"1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one (Fixolid)",Musk like,Woody,Powdery
10152-77-9,1-(Methylthio)-1-propene,Sulfurous,Garlic,Acidic
1333-52-4,1-(Naphthyl)ethan-1-one,Floral,Ylang,Green
31375-17-4,1-(para-Menthen-6-yl)-1-propanone,Green,Leafy,Herbal
122-84-9,1-(p-Methoxyphenyl)-2-propanone,Balsamic,Anisic,Green
100520-15-8,"1,3-Cyclohexadiene-1-carboxylic acid, 4,6,6-trimethyl-, ethyl ester",Herbal,Spicy,Saffron
900779-74-0,"1,5-Cyclododecadiene, 9-methoxy-1,6,10-trimethyl-",Woody,Amber,Leathery
947237-75-4,"1,5-Cyclododecadiene, 9-methoxy-1,6,10-trimethyl-",Woody,Amber,Leathery
53834-70-1,"1,5,7-Octatrien-3-ol, 3,7-dimethyl-, (5E)-",Floral,Fruity,Ylang
39707-47-6,"1,6-Octadiene-3-thiol, 3,7-dimethyl-",Floral,Citrus,Sulfurous
67801-37-0,"1,1'-(2-Phenylethylidene)bis(1H-indole)",Animal like,Indolic,Phenolic
3910-35-8,"1,1,3-Trimethyl-3-phenylindane",Woody,Cedarwood,Musk Like
34764-02-8,"1,1-Diethoxydecane",Aldehydic,Mossy,Green
688-82-4,"1,1-Diethoxyheptane",Gourmand,Creamy,Buttery
3658-93-3,"1,1-Diethoxyhexane",Fruity,Hyacinth,Pear
33673-65-3,"1,1-Dihexyloxyhexane",Green,Grassy,Sweet
950-33-4,"1,1-Dimethoxycyclododecane",Woody,Cedarwood,Patchouli
534-15-6,"1,1-Dimethoxyethane",Green,Hay,Apple
151-05-3,"1,1-Dimethyl-2-phenylethyl acetate",Fruity,Plum,Jasmin
59354-71-1,"1,1-Dimethyl-2-phenylethyl isobutyrate",Fruity,Jasmin,Grape
89-88-3,"1,2,3,3a,4,5,6,8a-Octahydro-4,8-dimethyl-2-(1-methylethylidene)-6-azulenol",Woody,Vetiver,Grapefruit
41199-19-3,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethyl-2-naphthalenol",Amber,Woody,Animal Like
65405-72-3,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-tetramethyl-1-naphthyl formate",Woody,Dry,Amber
68991-96-8,"1,2,3,4,5,6,7,8-Octahydro-5,5-dimethylnaphthalene-2-carbaldehyde",Floral,Muguet,Fresh
68991-97-9,"1,2,3,4,5,6,7,8-Octahydro-8,8-dimethyl-2-naphthaldehyde",Floral,Muguet,Fresh
67715-79-1,"1,2-Di((1'-ethoxy)ethoxy)propane",Fruity,Fresh,Green
91-16-7,"1,2-Dimethoxybenzene",Gourmand,Phenolic,Creamy
