CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3
21662-09-9,cis-4-Decen-1-al,Aldehydic,Citrus,Muguet
57074-37-0,cis-4-Decenol,Green,Fruity,Oily
4634-89-3,cis-4-Hexenal,Aldehydic,Green,Oily
10411-92-4,cis-4-tert-Butylcyclohexyl acetate,Floral,Woody,Violet
64275-73-6,cis-5-Octen-1-ol,Green,Melon,Mushroom
41547-22-2,cis-5-Octenal,Fruity,Green,Apple
35854-86-5,cis-6-Nonen-1-ol,Fruity,Melon,Green
2277-19-2,cis-6-Nonenal,Green,Cucumber,Melon
115-71-9,cis-alpha-Santalol,Woody,Sandalwood,Dry
77-42-9,cis-beta Santalol,Woody,Sandalwood,Oily
3338-55-4,cis-beta-Ocimene,Floral,Herbal,Sweet
488-10-8,cis-Jasmone,Floral,Jasmin,Spicy
5989-33-3,"cis-Linalool oxide 3,6-oxide",Earthy,Floral,Sweet
65418-69-1,cis-Tetrahydro-2-isobutyl-4-methylpyran-4-ol,Floral,Fresh,Green
8016-26-0,Cistus absolute,Amber,Woody,Dry
8016-26-0,Cistus CO2 extract,Amber,Woody,Dry
8016-26-0,Cistus concrete,Amber,Woody,Dry
8016-26-0,Cistus extract,Amber,Woody,Dry
8016-26-0,Cistus oil,Amber,Woody,Dry
8016-26-0,Cistus oil,Amber,Woody,Dry
8016-26-0,"Cistus oil, pyrogenated",Amber,Woody,Dry
5392-40-5,Citral,Citrus,Lemon,Verbena
7492-66-2,Citral diethyl acetal,Citrus,Fresh,Green
7549-37-3,Citral dimethyl acetal,Citrus,Fresh,Green
10444-50-5,Citral propylene glycol acetal,Citrus,Sweet,Lemon
67801-47-2,Citral-methylanthranilate (Schiff base),Fruity,Sweet,Lemon
68991-25-3,Citron oil,Citrus,Zesty,Lemon
68991-25-3,Citron oil,Citrus,Zesty,Lemon
68991-25-3,"Citron oil, rectified",Citrus,Lemon,Lime
8000-29-1,Citronella oil terpenes,Citrus,Lemon,Herbal
8000-29-1,"Citronella oil, Ceylon type",Citrus,Lemon,Herbal
8000-29-1,"Citronella oil, Java type",Citrus,Lemon,Herbal
68916-56-3,"Citronella oil, reduced",Citrus,Lemon,Herbal
106-23-0,Citronellal,Citrus,Lemon,Herbal
67845-42-5,Citronellal methylanthranilate Schiff base,Citrus,Floral,Lemongrass
7492-67-3,Citronelloxyacetaldehyde,Aldehydic,Floral,Muguet
150-84-5,Citronellyl acetate,Floral,Citrus,Fruity
141-16-2,Citronellyl butyrate,Floral,Rose,Citrus
68039-38-3,Citronellyl crotonate,Floral,Rose,Citrus
60788-25-2,Citronellyl ethyl oxalate,Floral,Rose,Muguet
105-85-1,Citronellyl formate,Fruity,Rose,Citrus
10580-25-3,Citronellyl hexanoate,Floral,Green,Rose
97-89-2,Citronellyl isobutyrate,Fruity,Floral,Citrus
68922-10-1,Citronellyl isovalerate,Floral,Honey,Rose
51566-62-2,Citronellyl nitrile,Citrus,Rose,Green
139-70-8,Citronellyl phenylacetate,Floral,Honey,Rose
141-14-0,Citronellyl propionate,Floral,Rose,Fruity
24717-85-9,Citronellyl tiglate,Floral,Fruity,Sweet-Pea
7540-53-6,Citronellyl valerate,Floral,Rose,Herbal
91771-50-5,Citrus hystrix extract,Citrus,Lime,Fruity
233683-84-6,Citrus junos oil,Citrus,Fruity,Zesty
94266-47-4,Citrus peels extract,Citrus,Fruity,Zesty
68608-34-4,Citrus terpenes,Citrus,Fresh,Lemon
68916-26-7,Civet absolute,Animal like,Indolic,Warm
68916-26-7,Civet tincture,Animal like,Indolic,Warm
8016-63-5,Clary sage absolute,Herbal,Sage,Woody
8016-63-5,Clary sage absolute,Herbal,Sage,Woody
8016-63-5,Clary sage extract,Herbal,Sage,Woody
8016-63-5,Clary sage oil,Herbal,Sage,Woody
68917-29-3,Clove  bud oil terpenes,Spicy,Clove,Dry
8000-34-8,Clove bud absolute,Spicy,Warm,Woody
8000-34-8,Clove bud extract,Spicy,Warm,Woody
8000-34-8,Clove bud oil,Spicy,Clove,Floral
8000-34-8,Clove leaf oil,Spicy,Woody,Herbal
68917-29-3,Clove leaf oil terpenes,Spicy,Clove,Warm
8000-34-8,"Clove leaf oil, rectified",Spicy,Woody,Herbal
8000-34-8,Clove stem oil,Spicy,Woody,Herbal
91771-52-7,"Clove, extract, acetylated",Woody,Spicy,Clove
8001-31-8,Coconut absolute,Gourmand,Coconut,Oily
8001-31-8,Coconut extract,Gourmand,Coconut,Oily
8001-31-8,Coconut infusion,Gourmand,Coconut,Oily
8001-67-0,"Coffee bean, roasted, absolute",Food Like,Coffee,Nutty
8001-67-0,"Coffee bean, roasted, CO2 extract",Food Like,Coffee,Nutty
68916-18-7,"Coffee bean, roasted, extract",Food Like,Coffee,Roasted
8001-67-0,Coffee oil,Gourmand,Nutty,Roasted
84650-00-0,"Coffee, Coffea arabica, extract",Food Like,Coffee,Nutty
8016-21-5,Cognac CO2 extract,Fruity,Green,Plum
8016-21-5,"Cognac oil, green",Fruity,Green,Plum
8016-21-5,"Cognac oil, white",Fruity,Plum,Green
8016-21-5,"Cognac oil, white, rectified",Fruity,Green,Plum
8013-97-6,Copaiba balsam,Woody,Balsamic,Spicy
8013-97-6,Copaiba balsam oil,Woody,Balsamic,Spicy
8013-97-6,Copaiba balsam oleoresin,Woody,Balsamic,Smoky
8013-97-6,Copaiba oil,Woody,Balsamic,Smoky
8013-97-6,"Copaiba oil, rectified",Woody,Balsamic,Smoky
8008-52-4,Coriander herb oil,Spicy,Fresh,Green
8008-52-4,Coriander herb oil terpenless,Spicy,Fresh,Green
8008-52-4,"Coriander herb oil,  rectified",Spicy,Fresh,Green
8008-52-4,Coriander oleoresin,Spicy,Fresh,Green
8008-52-4,Coriander seed oil,Spicy,Fresh,Green
91-64-5,Coumarin,Powdery,Warm,Almond
1319-77-3,Cresol (mixed isomers),Floral,Ylang,Phenolic
8007-87-2,Cubeb oil,Spicy,Peppery,Dry
8007-87-2,"Cubeb oil, rectified",Spicy,Peppery,Dry
89998-01-6,Cucumber distillate,Green,Cucumber,Fresh
89998-01-6,Cucumber extract,Green,Cucumber,Fresh
8014-13-9,Cumin seed oil,Spicy,Woody,Aromatic
1335-44-0,Cuminacetaldehyde,Green,Leafy,Woody
122-03-2,Cuminaldehyde,Herbal,Spicy,Cumin
13816-33-6,Cuminyl nitrile,Spicy,Cumin,Green
876068-15-4,Curry leaf absolute,Spicy,Green,Aromatic
91-50-9,Cyclamen aldehyde-methyl anthranilate (Schiff base),Floral,Muguet,Neroli
118562-73-5,"Cyclododecaneethanol, .beta.-methyl-",Amber,Dry,Woody
59052-82-3,Cyclododecyl formate,Woody,Fresh,Clean
5120-20-7,cyclohexadec-8-en-1-one,Musk like,Balsamic,Powdery
3100-36-5,Cyclohexadec-8-en-1-one mixture of cis and trans isomer,Musk like,Fresh,Floral
5365-06-0,cyclohexadec-8-enone,Musk like,Balsamic,Powdery
2550-52-9,Cyclohexadecanone,Musk like,Animal Like,Powdery
88642-03-9,Cyclohexadecenone,Musk like,Balsamic,Powdery
33880-83-0,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1R,2R,4S)-rel-",Herbal,Waxy,Fresh
99-82-1,"Cyclohexane, 1-methyl-4-(1-methylethyl)-",Herbal,Woody,Pine
181258-87-7,"Cyclohexane, 1-(1,1-dimethylpropyl)-4-ethoxy-, cis-",Floral,Ozonic,Fresh
181258-89-9,"Cyclohexane, 1-(1,1-dimethylpropyl)-4-ethoxy-, trans-",Ozonic,Metallic,Marine
68845-33-0,"Cyclohexane, 1-ethenyl-1-methyl-2-(1-methylethenyl)-4-(1-methylethyl)-, didehydro",Woody,Peppery,Dry
"",derivative,,,
5292-21-7,Cyclohexaneacetic acid,Acidic,Cheesy,Food like
2511-00-4,"Cyclohexaneacetic acid, .alpha.-methyl-, ethyl ester",Fruity,Green,Pear
23059-38-3,"Cyclohexanecarboxylic acid, 1,4-dimethyl-, methyl ester, cis-",Herbal,Pine,Minty
23250-42-2,"Cyclohexanecarboxylic acid, 1,4-dimethyl-, methyl ester, trans-",Green,Pine,Herbal
22471-55-2,"Cyclohexanecarboxylic acid, 2,2,6-trimethyl-, ethyl ester, (1R,6S)-rel-",Fruity,Rose,Amber
7605-52-9,"Cyclohexanecarboxylic acid, 3-methyl, methyl ester, (1R,3S)-rel-",Fruity,Raspberry,Green
4802-20-4,"Cyclohexaneethanethiol, 3-mercapto-b,4-dimethyl-",Sulfurous,Grapefruit,Green
21722-83-8,Cyclohexaneethyl acetate,Floral,Rose,Fruity
68480-15-9,"Cyclohexanemethanol, 2,4-dimethyl-",Floral,Minty,Earthy
20009-20-5,"Cyclohexanemethanol, 4-(acetyloxy)-a,a,4-trimethyl-, acetate",Citrus,Woody,Fresh
95851-08-4,"Cyclohexanepropanol, 2,2,3,6-tetramethyl-a-propyl-",Woody,Amber,Warm
60241-52-3,"Cyclohexanepropanol, a-ethyl-2,2,6-trimethyl-",Woody,Cedarwood,Violet
699-61-6,"Cyclohexanepropionic acid, 1-hydroxy-, g-lactone",Fruity,Hay,Floral
108-93-0,Cyclohexanol,Camphoraceous,Minty,Earthy
23950-98-3,"Cyclohexanol, 2-methoxy-4-propyl-",Herbal,Basil,Parsley
38649-18-2,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, 1-benzoate, (1R,2S,5R)-rel-",Floral,Ylang,Jasmin
2230-87-7,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, acetate, (1a,2a,5b)-",Minty,Fresh,Green
830322-14-0,"Cyclohexanol,4-(3-methylbutyl)-",Floral,Rose,Citrus
108-94-1,Cyclohexanone,Aromatic,Minty,Floral
6413-26-9,"Cyclohexanone 1,3-butylene glycol ketal",Herbal,Eucalyptus,Artemisia
1670-47-9,Cyclohexanone diethyl ketal,Fruity,Tobacco,Woody
59471-80-6,"Cyclohexanone, 2-methyl-5-(1-methylethyl)-",Minty,Caraway,Spearmint
55739-89-4,"Cyclohexanone, 2-ethyl-4,4-dimethyl-",Herbal,Lavender,Fresh
5524-05-0,"Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, (2R,5R)-",Minty,Herbal,Menthol
19096-86-7,"Cyclohexanone,5-methyl-2-(1-methylethyl)-,oxime",Floral,Green,Aldehydic
68084-52-6,"Cyclohexenecarboxaldehyde, dimethyl-",Green,Grassy,Citrus
622-45-7,Cyclohexyl acetate,Fruity,Floral,Green
1551-44-6,Cyclohexyl butyrate,Fruity,Apple,Pineapple
65405-69-8,Cyclohexyl cyclopent-2-ene-1-acetate,Woody,Vetiver,Grapefruit
4927-39-3,Cyclohexyl methyl pentanone,Woody,Vetiver,Fresh
42288-75-5,Cyclohexyl phenylacetate,Floral,Honey,Rose
25485-88-5,Cyclohexyl salicylate,Floral,Ylang,Green
87731-18-8,Cyclooct-4-en-1-yl methyl carbonate,Floral,Violet,Green
502-72-7,Cyclopentadecanone,Musk like,Powdery,Animal Like
1266606-13-6,"Cyclopentaneacetonitrile, 2,4,4-trimethyl-α-methylene-",Fruity,Green,Woody
72402-00-7,"Cyclopentanol, 1,2-dimethyl-3-(1-methylethenyl)-",Herbal,Camphoraceous,Citrus
94346-09-5,"Cyclopentanol, 1,2-dimethyl-3-(1-methylethenyl)-, acetate",Herbal,Woody,Warm
1245725-35-2,"Cyclopentanol, 2-methyl-5-(1-methylethyl)-, 1-propanoate",Fruity,Floral,Green
34686-67-4,"Cyclopentanol, 2-(2-hexen-1-yl)-",Floral,Jasmin,Banana
120-92-3,Cyclopentanone,Minty,Powdery,Dry
188570-78-7,"Cyclopropanecarboxylic acid, (3Z)-3-hexenyl ester",Green,Fresh,Fruity
477218-42-1,"Cyclopropanecarboxylic acid, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methylpropyl",Musk like,Fruity,Sweet
"",ester,,,
676532-44-8,"Cyclopropanecarboxylic acid, 2-methyl-2-[(1,2,4-trimethyl-2-penten-1-yl)oxy]propyl",Musk like,Fruity,Berry
"",ester,,,
198404-98-7,"Cyclopropanemethanol, 1-methyl-2-[(1,2,2-trimethylbicyclo[3.1.0]hex-3-yl)methyl]-",Woody,Sandalwood,Creamy
94333-69-4,"Cymbopogon nardus, ext., reaction products with acetone",Citrus,Verbena,Herbal
84238-19-7,"Cymbopogon, ext., oxidized",Spicy,Ginger,Carnation
8013-86-3,Cypress,Woody,Fresh,Herbal
8013-86-3,Cypress oil,Woody,Pine,Herbal
68916-59-6,"Cypress oil, terpene-free",Woody,Resinous,Peppery
68916-60-9,Cypriol oil,Woody,Earthy,Amber
68916-60-9,"Cypriol oil, rectified",Woody,Earthy,Amber
69-79-4,"D-Glucose, 4-O-α-D-glucopyranosyl-",Gourmand,Sweet,Fruity
491-07-6,"d,l-Isomenthone",Herbal,Fresh,Minty
7705-14-8,"d,l-Limonene (isomer unspecified)",Citrus,Fresh,Herbal
"(6876-12-6)",,,,
1490-04-6,"d,l-Menthol (isomer unspecified)",Minty,Fresh,Cooling
63187-91-7,"d,l-Menthone 1,2-glycerol ketal",Minty,Cooling,Sweet
59-51-8,"D,L-Methionine",Sulfurous,Acidic,Dry
7785-70-8,d-.alpha.-Pinene,Herbal,Terpenic,Aromatic
7785-53-7,d-.alpha.-Terpineol,Herbal,Floral,Pine
1195-92-2,"d-8-p-Menthene-1,2-epoxide",Citrus,Minty,Fresh
7785-54-8,d-alpha-Terpineol acetate,Floral,Sweet,Fresh
8016-03-3,Davana oil,Fruity,Sweet,Herbal
464-49-3,d-Camphor,Minty,Camphoraceous,Menthol
2244-16-8,d-Carvone,Herbal,Fresh,Spicy
25225-10-9,d-Cyclocitronellene acetate,Floral,Rose,Fruity
825-51-4,Decahydro-beta-naphthol,Floral,Muguet,Clean
10519-11-6,Decahydro-beta-naphthyl acetate,Woody,Fruity,Floral
10519-12-7,Decahydro-beta-naphthyl formate,Woody,Dry,Floral
68480-11-5,"Decahydrospiro[furan-2(3H),5'-[4,7]methano[5H]indene]",Citrus,Dry,Grapefruit
112-31-2,Decanal,Aldehydic,Orange,Green
7779-41-1,Decanal dimethyl acetal,Floral,Waxy,Citrus
67874-67-3,Decanal-methylanthranilate (Schiff base),Floral,Fresh,Oily
1975-78-6,Decanenitrile,Citrus,Tropical-Fruit,Green
334-48-5,Decanoic acid,Acidic,Creamy,Buttery
112-17-4,Decyl acetate,Fruity,Floral,Apple
7289-52-3,Decyl methyl ether,Ozonic,Fresh,Clean
5454-19-3,Decyl propionate,Fruity,Oily,Pear
68606-82-6,Deer tongue pyrogenated,Powdery,Coumarin,Tobacco
68606-82-6,Deertongue leaf absolute,Powdery,Coumarin,Tobacco
68606-82-6,Deertongue leaf extract,Powdery,Coumarin,Tobacco
68606-82-6,Deertongue leaf incolore,Powdery,Coumarin,Tobacco
57378-68-4,"delta-1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one",Fruity,Apple,Rose
13466-78-9,delta-3-Carene,Herbal,Green,Pine
705-86-2,delta-Decalactone,Gourmand,Creamy,Coconut
713-95-1,delta-Dodecalactone,Fruity,Milky,Nutty
823-22-3,delta-Hexalactone,Fruity,Coconut,Creamy
698-76-0,delta-Octalactone,Fruity,Coconut,Minty
2721-22-4,delta-Tetradecalactone,Fruity,Creamy,Coconut
710-04-3,delta-Undecalactone,Fruity,Peach,Creamy
4695-62-9,d-Fenchone,Herbal,Camphoraceous,Aromatic
431-03-8,Diacetyl,Food Like,Buttery,Creamy
103-50-4,Dibenzyl ether,Powdery,Sweet,Floral
72903-27-6,"Diethyl 1,4-cyclohexane dicarboxylate",Fruity,Raspberry,Apple
96-22-0,Diethyl ketone,Fruity,Apple,Light
105-53-3,Diethyl malonate,Fruity,Green,Apple
123-25-1,Diethyl succinate,Fruity,Apple,Pear
68845-36-3,Diethyldimethylcyclohex-2-en-1-one,Herbal,Warm,Woody
19139-31-2,Dihexyl fumarate,Floral,Green,Magnolia
32480-08-3,Dihydro farnesal,Aldehydic,Green,Floral
26252-11-9,Dihydro-.beta.-terpinyl acetate,Herbal,Pine,Minty
13720-12-2,Dihydro-.gamma.-ionone,Woody,Amber,Earthy
33673-62-0,Dihydro-4-methyl-5-pentylfuran-2(3H)-one,Floral,Lactonic,Tuberose
31499-72-6,Dihydro-alpha-ionone,Floral,Orris,Woody
498-81-7,Dihydro-alpha-terpineol,Floral,Citrus,Pine
80-25-1,Dihydro-alpha-terpinyl acetate,Citrus,Floral,Fresh
3293-47-8,Dihydro-beta-ionol,Woody,Floral,Amber
17283-81-7,Dihydro-beta-ionone,Floral,Orris,Cedarwood
619-01-2,Dihydrocarveol (isomer unspecified),Aromatic,Spearmint,Herbal
38049-26-2,"Dihydrocarveol (R,R,R)",Woody,Sweet,Balsamic
20777-49-5,Dihydrocarvyl acetate,Floral,Rose,Cumin
119-84-6,Dihydrocoumarin,Tobacco like,Coumarin,Coconut
1209-61-6,Dihydroisocaryophyllene epoxide,Woody,Spicy,Tobacco
95-41-0,Dihydroisojasmone,Floral,Jasmin,Celery
2436-90-0,Dihydromyrcene,Herbal,Citrus,Lime
18479-58-8,Dihydromyrcenol,Citrus,Fresh,Floral
53767-93-4,Dihydromyrcenyl acetate,Citrus,Bergamot,Lime
20489-53-6,Dihydronootkatone,Citrus,Fruity,Grapefruit
473-55-2,Dihydropinene,Herbal,Pine,Green
94-58-6,Dihydrosafrole,Spicy,Sweet,Floral
58985-18-5,Dihydroterpinyl acetate,Herbal,Pine,Citrus
8006-75-5,Dill seed oil,Herbal,Green,Anisic
8006-75-5,Dill seed oleoresin,Herbal,Green,Minty
8006-75-5,Dill weed,Herbal,Green,Anisic
8006-75-5,Dill weed oil,Herbal,Green,Anisic
624-92-0,Dimethyl disulfide,Sulfurous,Onion,Cabbage
106-65-0,Dimethyl succinate,Fruity,Sweet,Floral
75-18-3,Dimethyl sulfide,Sulfurous,Vegetable,Food like
3658-80-8,Dimethyl trisulfide,Sulfurous,Onion,Savoury
68737-61-1,Dimethylcyclohex-3-ene-1-carbaldehyde (isomer mixture),Green,Grassy,Citrus
27939-60-2,Dimethylcyclohex-3-ene-1-carbaldehyde (isomer unspecified),Green,Grassy,Citrus
532-87-6,Dimyrcene,Herbal,Aromatic,Citrus
101-84-8,Diphenyl ether,Floral,Sweet,Green
101-81-5,Diphenylmethane,Green,Floral,Sweet
629-19-6,Dipropyl disulfide,Sulfurous,Onion,Green
21368-68-3,dl-Camphor,Herbal,Camphoraceous,Rosemary
106-22-9,dl-Citronellol,Floral,Rose,Citrus
5989-27-5,d-Limonene,Citrus,Fresh,Herbal
126-90-9,d-Linalool,Floral,Lavender,Petitgrain
138-86-3,dl-Limonene (racemic),Citrus,Fresh,Herbal
1074-95-9,dl-Menthone,Minty,Cooling,Sweet
29066-34-0,dl-Menthyl acetate,Minty,Sweet,Fresh
3623-51-6,dl-Neomenthol,Minty,Fresh,Aromatic
15356-60-2,d-Menthol,Minty,Fresh,Cooling
57345-19-4,"Dodecahydro-3,8,8,11a-tetramethyl-5H-3,5a-epoxynaphth[2,1-c]oxepin",Woody,Amber,Dry
14620-52-1,Dodecanal dimethyl acetal,Green,Fresh,Waxy
2437-25-4,Dodecanenitrile,Citrus,Orange,Mandarin
68527-06-0,"Dodecene, hydroformylation products",Aldehydic,Fresh,Herbal
6283-92-7,Dodecyl lactate,Gourmand,Buttery,Creamy
6091-50-5,d-Piperitone,Minty,Cooling,Herbal
89-82-7,d-Pulegone,Minty,Aromatic,Herbal
8023-89-0,Elemi absolute,Citrus,Fresh,Spicy
8023-89-0,Elemi CO2 extract,Citrus,Fresh,Spicy
8023-89-0,Elemi gum,Citrus,Fresh,Spicy
8023-89-0,Elemi oil,Citrus,Fresh,Spicy
8023-89-0,ELEMI oil  (low methyleugenol),Citrus,Fresh,Spicy
8023-89-0,"Elemi oil, rectified",Citrus,Fresh,Spicy
8023-89-0,Elemi resinoid,Citrus,Fresh,Spicy
639-99-6,Elemol,Woody,Resinous,Balsamic
28462-85-3,"endo-1,2,3,3-Tetramethylbicyclo[2.2.1]heptan-2-ol",Green,Mossy,Earthy
5579-78-2,epsilon-Decalactone,Gourmand,Sweet,Tonka
140-67-0,Estragole,Herbal,Anisic,Tarragon
111850-00-1,"Ethaneperoxoic acid, reaction products with aluminum isopropoxide and 1,5,10-",Woody,Cedarwood,Amber
"","trimethyl-1,5,9-cyclododecatriene",,,
854737-10-3,"Ethanone, 1-(2,3-dimethylbicyclo[2.2.1]hept-2-yl)-",Aromatic,Woody,Camphoraceous
32669-00-4,"Ethanone, 1-(3-cycloocten-1-yl)-",Herbal,Fruity,Artemisia
70801-04-6,"Ethanone, 1-(4,11,11,-trimethyl-8-methylenebicyclo[7.2.0]undec-4-enyl)-[1R-(1a,4E,9b]",Woody,Earthy,Carrot
185429-83-8,"Ethanone, 1-[(1R,2S)-1,2,3,4,5,6,7,8-octahydro-1,2,8,8-tetramethyl-2-naphthalenyl]-,",Woody,Amber,Floral
"",rel-,,,
80657-64-3,"Ethyl (3a.alpha.,4.alpha.,7.alpha.,7a.alpha.)-Octahydro-4,7-methano-3aH-indene-3a-",Fruity,Sweet,Apple
"",carboxylate,,,
80623-07-0,"Ethyl (3a.alpha.,4.beta.,7.beta.,7a.alpha.)-Octahydro-4,7-methano-3aH-indene-3a-",Fruity,Sweet,Floral
"",carboxylate,,,
26553-46-8,Ethyl (E)hex-3-enoate,Fruity,Passionfruit,Pineapple
687-47-8,Ethyl (L)-lactate,Gourmand,Creamy,Ethereal
67028-40-4,Ethyl (p-tolyloxy)acetate,Fruity,Almond,Cherry
692-86-4,Ethyl 10-undecenoate,Fruity,Waxy,Oily
97-41-6,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",Herbal,Fruity,Floral
77851-07-1,"Ethyl 2,3,6,6-tetramethylcyclohex-2-ene-1-carboxylate",Fruity,Rose,Spicy
93981-50-1,"Ethyl 2,3,6-trimethylcyclohexyl carbonate",Floral,Rose,Leathery
78417-28-4,"Ethyl 2,4,7-decatrienoate",Green,Fatty,Potato
6290-17-1,"Ethyl 2,4-dimethyldioxolane-2-acetate",Fruity,Strawberry,Apple
35044-59-8,"Ethyl 2,6,6-trimethylcyclohexa-1,3-ene-1-carboxylate",Herbal,Floral,Apple
68228-09-1,"Ethyl 2-[[[2,4(or3,5)-dimethyl-3-cyclohexen-1-yl]methyl]amino]benzoate",Green,Grassy,Fresh
94108-09-5,"Ethyl 2-[[[4-(1,1-dimethylethyl)phenyl]methylene]amino]benzoate",Aldehydic,Floral,Herbal
94333-50-3,"Ethyl 2-ethyl-3,6,6-trimethylcyclohexenecarboxylate",Fruity,Floral,Tropical-Fruit
57934-97-1,"Ethyl 2-ethyl-6,6-dimethylcyclohex-2-ene-1-carboxylate",Floral,Spicy,Fruity
2983-37-1,Ethyl 2-ethylhexanoate,Earthy,Orris,Herbal
29214-60-6,Ethyl 2-hexylacetoacetate,Floral,Jasmin,Green
19788-49-9,Ethyl 2-mercaptopropionate,Sulfurous,green,Onion
7335-26-4,Ethyl 2-methoxybenzoate,Floral,Ylang,Fruity
64988-06-3,Ethyl 2-methoxybenzyl ether,Green,Spicy,Rose
6413-10-1,"Ethyl 2-methyl-1,3-dioxolane-2-acetate",Fruity,Apple,Melon
55514-48-2,Ethyl 2-methyl-2-butenoate,Green,Pear,Grape
60523-21-9,"Ethyl 2-methyl-3,4-pentadienoate",Fruity,Apple,Plum
1617-23-8,Ethyl 2-methyl-3-pentenoate,Fruity,Berry,Green
59151-19-8,Ethyl 2-methyl-4-oxo-6-pentylcyclohex-2-ene-1-carboxylate,Floral,Jasmin,Honeysuckle
53399-81-8,Ethyl 2-methyl-4-pentenoate,Fruity,Banana,Tropical-Fruit
7452-79-1,Ethyl 2-methylbutyrate,Fruity,Strawberry,Peach
39255-32-8,Ethyl 2-methylpentanoate,Fruity,Sweet,Apple
67801-64-3,Ethyl 2-tert-butylcyclohexyl carbonate,Spicy,Woody,Floral
10031-90-0,Ethyl 3(2-furyl)propanoate,Fruity,Sweet,Balsamic
67707-75-9,"Ethyl 3,5,5-trimethylhexanoate",Fruity,Apple,Green
13058-12-3,"Ethyl 3,7-dimethylocta-2,6-dienoate",Floral,Grape,Green
2396-83-0,Ethyl 3-hexenoate,Gourmand,Pineapple,Green
5764-85-2,Ethyl 3-hydroxy-3-phenylpropionate,Fruity,Strawberry,Dry
5405-41-4,Ethyl 3-hydroxybutyrate,Fruity,Green,Grape
2305-25-1,Ethyl 3-hydroxyhexanoate,Fruity,Tropical-Fruit,Citrus
13327-56-5,Ethyl 3-methylthiopropionate,Fruity,Sulfurous,Pineapple
121-39-1,Ethyl 3-phenylglycidate,Fruity,Sweet,Strawberry
2021-28-5,Ethyl 3-phenylpropionate,Floral,Hyacinth,Rose
1968-40-7,Ethyl 4-pentenoate,Fruity,Green,Herbal
35044-58-7,"Ethyl 6,6-dimethyl-2-methylenecyclohex-3-enecarboxylate",Fruity,Plum,Tobacco
141-78-6,Ethyl acetate,Fruity,Pear,Apple
141-97-9,Ethyl acetoacetate,Fruity,Green,Apple
87-25-2,Ethyl anthranilate,Floral,Grape,Neroli
93-89-0,Ethyl benzoate,Floral,Medicinal,Fruity
94-02-0,Ethyl benzoylacetate,Fruity,Sweet,Powdery
105-54-4,Ethyl butyrate,Fruity,Sweet,Raspberry
103-36-6,Ethyl cinnamate,Spicy,Cinnamon,Balsamic
34495-71-1,Ethyl cis-4-octenoate,Fruity,Fresh,Juicy
5452-75-5,Ethyl cyclohexylacetate,Floral,Fruity,Pear
110-38-3,Ethyl decanoate,Fruity,Sweet,Brandy
109-94-4,Ethyl formate,Fruity,Apple,Pineapple
32659-21-5,Ethyl geranate,Woody,Rose,Green
106-30-9,Ethyl heptanoate,Fruity,Sweet,Plum
123-66-0,Ethyl hexanoate,Fruity,Pineapple,Banana
118-60-5,Ethyl hexyl salicylate,Floral,Aromatic,Balsamic
97-62-1,Ethyl isobutyrate,Fruity,Sweet,Apple
108-64-5,Ethyl isovalerate,Fruity,Berry,Pineapple
97-64-3,Ethyl lactate,Fruity,Caramel,Coconut
106-33-2,Ethyl laurate,Floral,Aldehydic,Sweet
539-88-8,Ethyl levulinate,Fruity,Fresh,Green
544-35-4,Ethyl linoleate,Fruity,Oily,Waxy
4940-11-8,Ethyl maltol,Gourmand,Sweet,Caramel
77-83-8,Ethyl methylphenylglycidate,Fruity,Strawberry,Floral
124-06-1,Ethyl myristate,Floral,Waxy,Violet
123-29-5,Ethyl nonanoate,Fruity,Rose,Tropical-Fruit
2351-90-8,Ethyl oct-2-enoate,Fruity,Green,Pineapple
106-32-1,Ethyl octanoate,Fruity,Fresh,Pineapple
111-62-6,Ethyl oleate,Acidic,Fatty,Waxy
628-97-7,Ethyl palmitate,Gourmand,Waxy,Creamy
94-30-4,Ethyl p-anisate,Anisic,Licorice,Powdery
1817-90-9,Ethyl phenethyl ether,Floral,Green,Fresh
2555-49-9,Ethyl phenoxyacetate,Floral,Green,Rose
2114-29-6,Ethyl phenyl carbinyl acetate,Floral,Green,Rose
101-97-3,Ethyl phenylacetate,Fruity,Berry,Honey
105-37-3,Ethyl propionate,Fruity,Apple,Pear
22719-81-9,Ethyl p-tolyl carbonate,Floral,Narcissus,Warm
617-35-6,Ethyl pyruvate,Fruity,Oily,Sweet
35044-57-6,Ethyl safranate,Floral,Rose,Fruity
118-61-6,Ethyl salicylate,Floral,Fruity,Sweet
2396-84-1,Ethyl sorbate,Fruity,Pineapple,Green
5837-78-5,Ethyl tiglate,Fruity,Sweet,Tropical-Fruit
3025-30-7,"Ethyl trans-2,cis-4-decadienoate",Fruity,Pear,Melon
623-70-1,Ethyl trans-2-butenoate,Fruity,Tropical-Fruit,Caramel
