CID,Name,MW,SMILES,IUPACName,abraham-2013,arctander-1960,bozza-cabinet,bushdid-2014,chae-2019,datta-cabinet,davison-2007,dravnieks-1985,enantiomers,flavornet,fleischmann-cabinet,fragrance-db,gerkin-cabinet,goodscents,gras,haddad-2008,leffingwell,mainland-cabinet,mainland-intensity,mainland-receptors,prestwick,rinberg-glomeruli,scott-2014,senselab,sigma-2014,smith-cabinet,sobel-2013,superscent,wakayama-2019
338,salicylic acid,138.12,C1=CC=C(C(=C1)C(=O)O)O,2-hydroxybenzoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
342,m-cresol,108.14,CC1=CC(=CC=C1)O,3-methylphenol,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
356,octane,114.23,CCCCCCCC,octane,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0
379,octanoic acid,144.21,CCCCCCCC(=O)O,octanoic acid,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
385,pimelic acid,160.17,C(CCC(=O)O)CCC(=O)O,heptanedioic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
389,dl-ornithine,132.16,C(CC(C(=O)O)N)CN,"2,5-diaminopentanoic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,hydrogen sulfide,34.08,S,sulfane,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,dl-aspartic acid,133.1,C(C(C(=O)O)N)C(=O)O,2-aminobutanedioic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
428,"1,3-diaminopropane",74.13,C(CN)CN,"propane-1,3-diamine",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,3-hydroxybutyric acid,104.1,CC(CC(=O)O)O,3-hydroxybutanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
453,hexitol,182.17,C(C(C(C(C(CO)O)O)O)O)O,"hexane-1,2,3,4,5,6-hexol",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
454,octanal,128.21,CCCCCCCC=O,octanal,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
460,guaiacol,124.14,COC1=CC=CC=C1O,2-methoxyphenol,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0
473,2-keto-4-methylthiobutyric acid,148.18,CSCCC(=O)C(=O)O,4-methylsulfanyl-2-oxobutanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
525,malic acid,134.09,C(C(C(=O)O)O)C(=O)O,2-hydroxybutanedioic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
527,propionaldehyde,58.08,CCC=O,propanal,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0
563,3-(methylthio)propionic acid,120.17,CSCCC(=O)O,3-methylsulfanylpropanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
564,6-aminohexanoic acid,131.17,C(CCC(=O)O)CCN,6-aminohexanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
568,dibenzofuran,168.19,C1=CC=C2C(=C1)C3=CC=CC=C3O2,dibenzofuran,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,dl-cysteine,121.16,C(C(C(=O)O)N)S,2-amino-3-sulfanylpropanoic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
602,dl-alanine,89.09,CC(C(=O)O)N,2-aminopropanoic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
611,dl-glutamic acid,147.13,C(CC(=O)O)C(C(=O)O)N,2-aminopentanedioic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
612,lactic acid,90.08,CC(C(=O)O)O,2-hydroxypropanoic acid,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
614,dl-proline,115.13,C1CC(NC1)C(=O)O,pyrrolidine-2-carboxylic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,"2,3-butanedione",86.09,CC(=O)C(=O)C,"butane-2,3-dione",0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0
660,dihydrocoumarin,148.16,C1CC(=O)OC2=CC=CC=C21,"3,4-dihydrochromen-2-one",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
670,"1,3-dihydroxyacetone",90.08,C(C(=O)CO)O,"1,3-dihydroxypropan-2-one",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
674,dimethylamine,45.08,CNC,N-methylmethanamine,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
679,dimethyl sulfoxide,78.14,CS(=O)C,methylsulfinylmethane,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
700,ethanolamine,61.08,C(CO)N,2-aminoethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
701,ethyl 2-methylacetoacetate,144.17,CCOC(=O)C(C)C(=O)C,ethyl 2-methyl-3-oxobutanoate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
702,ethanol,46.07,CCO,ethanol,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
712,formaldehyde,30.026,C=O,formaldehyde,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
713,formamide,45.041,C(=O)N,formamide,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
723,but-2-enedioic acid,116.07,C(=CC(=O)O)C(=O)O,but-2-enedioic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,dl-glutamine,146.14,C(CC(=O)N)C(C(=O)O)N,"2,5-diamino-5-oxopentanoic acid",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,glutaric acid,132.11,C(CC(=O)O)CC(=O)O,pentanedioic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
750,glycine,75.067,C(C(=O)O)N,2-aminoacetic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
753,glycerol,92.09,C(C(CO)O)O,"propane-1,2,3-triol",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
757,glycolic acid,76.051,C(C(=O)O)O,2-hydroxyacetic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
769,hydrogen carbonate,61.017,C(=O)(O)[O-],hydrogen carbonate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
772,heparin,1134.9,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,"6-[6-[6-[5-acetamido-4,6-dihydroxy-2-(sulfooxymethyl)oxan-3-yl]oxy-2-carboxy-4-hydroxy-5-sulfooxyoxan-3-yl]oxy-2-(hydroxymethyl)-5-(sulfoamino)-4-sulfooxyoxan-3-yl]oxy-3,4-dihydroxy-5-sulfooxyoxane-2-carboxylic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
773,dl-histidine,155.15,C1=C(NC=N1)CC(C(=O)O)N,2-amino-3-(1H-imidazol-5-yl)propanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
