essential_oil,smiles
Cardamom seed oil,CC(C)=CCCC(=C)C=C
Cardamom seed oil,CC(C)=CCC\C(C)=C\CO
Cardamom seed oil,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Cardamom seed oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Cardamom seed oil,CC1(C)C2CCC(=C)C1C2
Cardamom seed oil,CC(C)=CCC\C(C)=C\C=O
Cardamom seed oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cardamom seed oil,CC(C)=CCC\C(C)=C/C=O
Cardamom seed oil,CC(C)=C1CCC(=CC1)C
Carnation absolute,COc1cc(CC=C)ccc1O
Carnation absolute,CC\C=C/CCOC(=O)c1ccccc1
Carnation absolute,CC(C)=CCCC(C)(O)C=C
Carrot seed oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Carrot seed oil,CC1=CCC2CC1C2(C)C
Carrot seed oil,CC1(C)C2CCC(=C)C1C2
Carrot seed oil,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Carrot seed oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Carrot seed oil,CC(C)=CCCC(=C)C=C
Carrot seed oil,CC(C)C1=CC=C(C)CC1
Carrot seed oil,CC(C)C1=CCC(=CC1)C
Carrot seed oil,CC1(C)CC2C1CCC3(C)OC3CCC2=C
Carrot seed oil,CC(C)c1ccc(C)cc1
Carrot seed oil,CC(C)C1(O)CCC(=CC1)C
Carrot seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Carrot seed oil,CC(C)=CCC\C(C)=C\CO
Carrot seed oil,CC(C)=CCC\C(C)=C\CCC(=C)C=C
Carrot seed oil,CC(C)=CCC\C(C)=C/CO
Carrot seed oil,CC1(C)C2CCC(C2)C1=C
Carrot seed oil,CC(=O)OC\C=C(C)/CCC=C(C)C
Carrot seed oil,CC(C)=C1CCC(=CC1)C
