Stimulus,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26
4M3H,157.05,168.11,20.075,-3.9388,-13.678,46.897,9.7236,25.166,4.3504,0.39142,13.105,17.923,-6.7877,-5.8952,19.545,17.888,18.675,7.0809,-3.6419,-4.5625,6.1578,8.6314,8.7145,0.72692,2.4116,1.24
Pentanol,855.81,52.548,-253.05,-41.158,-20.471,89.07,-2.0606,-41.303,4.2151,-8.0592,13.183,28.255,-11.015,6.0175,-10.22,6.439,-3.0863,-7.5195,-2.1474,0.64286,-0.66606,2.6395,-2.8883,-0.43771,0.88282,-0.53804
3M1B,36.334,188.94,-158.83,-32.282,5.2829,36.325,-66.076,37.855,-3.0287,7.4006,-41.49,-39.884,9.3766,-10.611,-5.8984,-2.0045,9.7208,-3.3577,7.8685,3.7919,-0.45483,-6.5506,-0.074541,5.0584,-0.038033,-0.57589
1-octen-3-ol,360.23,165.68,-23.649,21.314,31.176,0.31604,63.291,37.696,25.752,-14.277,-16.703,-6.9756,22.157,3.1484,1.7594,-12.693,-11.54,17.767,-4.4183,-6.2024,-0.44663,-0.63772,1.444,-8.7559,-5.2637,-1.3992
Terpineol,163.4,189.48,51.75,87.073,51.66,-42.343,37.365,-4.484,-29.297,-17.314,32.333,-7.5015,-4.5569,24.119,-7.9742,0.61058,6.1196,-3.0579,16.069,4.3919,-5.5624,-0.12125,-6.4217,5.0885,1.8856,0.43467
Citral,0.78974,81.735,50.763,-0.76965,89.585,-6.6685,13.584,-18.471,8.0274,19.315,16.584,2.1313,7.3778,-18.039,-9.1797,16.128,-4.6121,-0.91753,5.7402,-0.30804,-8.192,0.24302,-2.7857,-7.4494,2.3155,-1.0862
E2-Hexenal,321.36,49.714,-56.914,48.675,2.8073,-59.406,-0.89712,-53.917,-25.905,50.326,11.021,-38.727,-16.972,-6.419,8.6364,-10.768,-6.8246,4.883,-11.35,5.7038,-2.0335,4.2243,5.3586,-2.6416,-1.8558,1.9386
Et. Isovalerate,167.43,-84.785,-11.695,20.069,-69.668,-10.879,19.201,-4.8979,22.958,-10.407,4.2992,-25.536,24.451,-25.274,-9.5084,-2.6331,-1.9005,-18.588,5.3722,1.4983,7.3848,1.9001,0.41495,-3.2784,5.8976,2.8937
Ger. Acetate,196.22,45.521,69.242,-27.044,78.161,-22.753,19.818,2.8541,-2.5992,29.125,-34.435,9.5327,-19.94,3.4886,-1.7806,5.257,-16.003,-2.9138,-2.1601,-15.552,9.0267,-7.5101,-0.83379,1.8577,5.6224,1.1747
M. salic,-184.89,15.119,-10.03,95.67,19.145,-21.389,21.67,-14.425,-18.588,4.6049,-3.5413,13.387,16.595,-19.979,14.151,-4.4264,10.454,-0.70614,7.0738,2.9673,13.195,-0.14927,-0.36124,2.6958,2.8347,-0.34006
Dod. Acetate,-307.87,-28.182,-0.505,26.157,55.39,19.056,2.9521,-4.1385,-12.505,-11.6,-8.9621,16.893,1.2994,4.2677,1.5685,8.2254,0.16085,-1.2271,-12.786,7.851,7.9809,-3.1042,-0.087233,-5.7727,-1.1608,3.5186
Veratrole,-282.19,-25.535,-5.5973,43.963,35.918,6.6887,-6.7944,-16.073,-14.096,-18.397,-20.498,9.0134,7.1195,-3.7687,13.726,-13.015,6.2926,3.2132,-7.1061,1.7433,-5.1961,-8.6581,-3.3228,4.7666,0.55653,1.3555
Cineole,-277.73,24.618,32.777,36.159,-42.731,-10.901,36.849,-24.276,24.891,6.3326,-26.56,12.362,-11.077,-7.6659,-1.4493,8.1987,0.45909,-2.1154,-3.5574,6.2164,-4.2031,-1.0726,-6.3285,3.4024,-5.1122,-5.962
Acetone,-334.79,2.0833,-40.954,28.115,-12.668,-19.513,14.028,-2.5839,20.737,-6.526,-27.459,-1.5498,-14.829,-0.82423,-15.299,-7.7548,3.7194,3.2713,-11.082,-6.5635,-1.2803,11.9,-5.4877,2.5325,-1.8018,3.6092
Acetic Acid,-360.36,38.662,-120.69,-193.43,33.277,-145.87,-13.533,-5.2798,26.054,-6.8848,14.581,14.049,9.0942,10.495,5.4491,-4.9614,8.433,-9.8692,-1.1115,0.39241,0.16876,-0.3252,4.3761,-0.26635,-0.18046,-0.62648
EtOH,-412.91,-34.209,-4.08,22.91,-0.025644,9.364,3.8773,-13.32,0.70106,-3.6252,-18.36,-8.4888,-2.593,5.3757,-3.3126,12.802,9.1795,-11.519,2.4274,-3.9339,-2.9486,1.4225,-3.1396,-4.8594,4.9823,-4.3225
Henkel 100,787.75,-105.74,77.369,-4.9517,-8.7873,-14.958,-8.0508,3.6555,-8.4809,11.245,-28.856,2.3783,23.42,18.238,19.028,15.656,18.322,-7.6502,-10.801,4.6235,-3.7929,-0.37132,0.94081,-1.4366,-1.4732,-0.092969
Heptanone,722.88,-54.27,100.12,-27.616,-37.801,-35.298,-14.717,-40.681,-14.911,-49.135,-23.639,-3.4683,-3.3638,5.3314,-12.218,4.7701,3.9008,3.4332,12.267,-5.4386,1.8447,-6.5533,2.0466,-1.0915,-4.0477,2.1305
Cylohexanone,-97.516,2.3517,-13.862,10.504,-39.456,-32.469,-38.12,-0.90098,-6.4486,-20.833,-21.177,33.706,-17.757,-19.072,4.4189,-11.957,-9.1512,9.9171,16.171,-1.3506,-9.798,2.9494,5.7913,-4.6514,3.0072,-0.13012
4MPA,-103.88,-66.711,55.905,-49.946,48.568,15.655,-27.177,-3.6772,1.3401,19.101,14.478,-11.121,-4.4032,-29.794,-7.7609,13.63,7.5169,-6.0636,-4.1558,-9.042,-5.1452,-2.0251,-2.432,-1.6586,-4.8619,1.0819
6M5H,480.45,44.653,153.27,-6.5747,-21.221,-35.236,-33.671,8.7338,24.654,-17.654,15.672,-4.9495,1.2853,-3.4239,-13.297,-8.2295,6.7248,9.2351,-17.618,7.8537,0.72458,4.6276,-1.6979,3.3847,4.9456,-4.5118
DEET,-392.08,-13.304,-34.183,60.848,29.53,-7.4362,14.951,-14.251,2.7145,3.0939,-5.3382,8.3614,10.154,6.7592,-7.6906,6.2496,-1.137,-7.3149,3.4038,-1.3833,3.5269,3.4762,11.559,7.4894,-4.4467,-1.5134
Camphor,-240.03,32.776,64.937,51.859,-45.168,-6.9758,-18.024,27.192,9.7483,-5.9595,15.461,4.7909,-2.4713,-9.3938,-12.616,4.6525,10.604,-6.212,7.801,-0.47832,4.6209,4.0501,-1.1838,-3.6087,-6.1586,1.8913
2-nonanone,-103.25,-18.636,65.003,2.6973,-37.474,10.645,-29.996,4.3244,21.306,-2.5767,7.1726,-22.975,5.9127,15.273,22.14,21.188,-27.627,-2.6788,7.8181,-5.6987,-4.1689,3.0158,3.6249,3.0342,0.22927,-2.0728
Ethyl Actetate,294.34,-162.88,-142.87,73.431,-16.245,-82.435,-7.5506,70.8,-44.97,5.375,3.8837,9.7137,-1.2003,0.080471,-12.179,14.913,-15.01,4.0564,-4.7135,1.715,0.58479,2.0659,-3.229,0.86607,0.46312,-0.80427
2-Acetylthiophene,5.3449,-55.603,24.331,34.317,-69.166,1.4486,-25.91,-4.8381,1.4843,40.857,1.8042,1.6412,-20.224,4.9653,-1.7169,-5.7273,15.229,21.529,7.9752,-3.8167,-0.16513,-3.1494,4.9604,-0.18266,0.97072,-0.72686
Linalool,28.376,13.175,81.878,-37.326,2.3493,13.14,-10.478,-2.485,34.397,-20.22,7.8259,-3.2231,-10.716,-2.4936,-5.6243,0.70008,-16.629,5.4497,-7.4596,3.1901,5.3032,-1.5066,-0.065163,7.9127,0.99673,4.1232
"2,4,5-TMT",-137.3,-84.1,-0.28502,20.213,111.72,42.662,-89.423,-11.738,-20.199,-22.431,24.256,-1.2219,21.535,3.1556,-3.1651,-9.9207,0.2239,13.454,-3.4253,-8.0212,1.7026,3.6742,-0.73822,-0.65351,-0.50208,-2.2525
"2,3-Butanedione",258.85,-183.87,-12.791,-111.8,52.556,33.165,92.674,17.638,-18.857,-21.644,6.0916,-18.599,-11.422,-23.123,12.651,-9.0645,6.2007,6.0971,7.7493,0.046461,-3.9399,4.4804,1.1557,5.212,-0.37242,-1.7031
Ethyl Pyrazine,53.227,-60.564,-38.592,62.395,-60.205,11.082,31.52,-1.6054,24.565,18.409,29.628,6.9787,30.882,12.673,-2.9923,-18.777,3.8772,-3.3782,-1.5617,-14.028,-4.3521,-9.0471,1.0836,0.55177,0.9364,0.46829
Tetra-MP,160.64,-114.23,61.706,9.5534,89.304,44.637,-3.8392,31.271,35.332,26.953,-5.6424,5.6096,-17.294,21.711,-11.386,-15.107,1.5878,-11.723,11.761,16.137,-1.8698,0.087127,6.0175,-2.8581,-0.09497,1.3537
2-M-Pyrazine,22.087,-74.088,-57.042,14.215,2.0601,1.2382,-15.415,10.919,24.503,10.154,11.789,-7.7647,-25.325,17.026,17.471,-7.4627,8.3281,-5.0575,4.1339,-11.161,4.739,3.0369,-10.916,1.0744,-1.5221,0.16439
"2,6-DMP",88.032,-22.117,-58.273,34.821,-1.8407,-0.09579,-17.167,-6.0744,32.845,2.3009,24.052,11.664,3.5037,-17.525,18.768,6.6966,-14.0,7.4347,5.5815,12.382,2.9517,-8.2245,-3.6918,2.0392,-3.1598,0.32451
Pyrazine,-380.4,-47.098,-33.05,21.303,-9.7642,21.937,-3.0667,-11.316,14.001,-14.77,-23.533,-8.9001,7.3777,11.593,13.713,-5.1766,-5.074,4.8617,-2.0978,6.1804,-5.3477,6.3276,-3.6982,-4.6312,4.1277,1.4208
