Stimulus,Subject,Normalization,Ave SSR (DeltaSpikes/s)
C24,HsOr271,Pentane,0.6
C24,HsOr32,Pentane,-8.4
C24,HsOr35,Pentane,-8.4
C24,HsOr36,Pentane,10.833333333333334
C24,HsOr37,Pentane,8.0
C24,HsOr378,Pentane,3.0
C24,HsOr4,Pentane,-3.0
C24,HsOr55,Pentane,-6.75
C24,HsOr59,Pentane,-4.833333333333333
C24,NoUAS,Pentane,-13.6
C25,HsOr161,Pentane,-1.0
C25,HsOr170,Pentane,-2.0
C25,HsOr174,Pentane,3.8
C25,HsOr175,Pentane,-2.8
C25,HsOr177,Pentane,10.0
C25,HsOr182,Pentane,7.2
C25,HsOr183,Pentane,7.6
C25,HsOr188,Pentane,15.0
C25,HsOr190,Pentane,18.0
C25,HsOr20,Pentane,5.4
C25,HsOr209,Pentane,-2.8
C25,HsOr210,Pentane,6.2
C25,HsOr212,Pentane,18.0
C25,HsOr224,Pentane,-10.8
C25,HsOr236,Pentane,-2.0
C25,HsOr259-L2,Pentane,2.2
C25,HsOr271,Pentane,-0.8
C25,HsOr32,Pentane,-6.4
C25,HsOr35,Pentane,-8.6
C25,HsOr36,Pentane,11.666666666666666
C25,HsOr37,Pentane,22.8
C25,HsOr378,Pentane,8.6
C25,HsOr4,Pentane,5.8
C25,HsOr55,Pentane,-8.5
C25,HsOr59,Pentane,-5.666666666666667
C25,NoUAS,Pentane,-2.2
C26,HsOr161,Pentane,0.6
C26,HsOr170,Pentane,10.0
C26,HsOr174,Pentane,2.4
C26,HsOr175,Pentane,2.4
C26,HsOr177,Pentane,11.0
C26,HsOr182,Pentane,5.4
C26,HsOr183,Pentane,6.0
C26,HsOr188,Pentane,15.4
C26,HsOr190,Pentane,14.8
C26,HsOr20,Pentane,3.0
C26,HsOr209,Pentane,2.8
C26,HsOr210,Pentane,5.8
C26,HsOr212,Pentane,6.2
C26,HsOr224,Pentane,-9.0
C26,HsOr236,Pentane,-6.2
C26,HsOr259-L2,Pentane,-2.0
C26,HsOr271,Pentane,-8.4
C26,HsOr32,Pentane,-13.2
C26,HsOr35,Pentane,-11.8
C26,HsOr36,Pentane,15.833333333333334
C26,HsOr37,Pentane,12.6
C26,HsOr378,Pentane,-2.2
C26,HsOr4,Pentane,-8.2
C26,HsOr55,Pentane,-7.75
C26,HsOr59,Pentane,-2.6666666666666665
C26,NoUAS,Pentane,12.6
C27,HsOr161,Pentane,0.4
C27,HsOr170,Pentane,19.8
C27,HsOr174,Pentane,4.4
C27,HsOr175,Pentane,3.4
C27,HsOr177,Pentane,5.8
C27,HsOr182,Pentane,19.6
C27,HsOr183,Pentane,-5.6
C27,HsOr188,Pentane,15.2
C27,HsOr190,Pentane,16.4
C27,HsOr20,Pentane,5.6
C27,HsOr209,Pentane,-4.2
C27,HsOr210,Pentane,12.6
C27,HsOr212,Pentane,13.0
C27,HsOr224,Pentane,-9.4
C27,HsOr236,Pentane,-0.6
C27,HsOr259-L2,Pentane,5.8
C27,HsOr271,Pentane,5.8
C27,HsOr32,Pentane,-6.8
C27,HsOr35,Pentane,4.2
C27,HsOr36,Pentane,8.333333333333334
C27,HsOr37,Pentane,4.0
C27,HsOr378,Pentane,3.2
C27,HsOr4,Pentane,8.0
C27,HsOr55,Pentane,-1.25
C27,HsOr59,Pentane,-4.0
C27,NoUAS,Pentane,-1.8
C28,HsOr161,Pentane,-2.4
C28,HsOr170,Pentane,5.6
C28,HsOr174,Pentane,7.4
C28,HsOr175,Pentane,0.8
C28,HsOr177,Pentane,9.6
C28,HsOr182,Pentane,6.0
C28,HsOr183,Pentane,11.4
C28,HsOr188,Pentane,8.4
C28,HsOr190,Pentane,22.0
C28,HsOr20,Pentane,3.0
C28,HsOr209,Pentane,14.4
C28,HsOr210,Pentane,19.2
C28,HsOr212,Pentane,4.0
C28,HsOr224,Pentane,-4.2
C28,HsOr236,Pentane,-4.0
C28,HsOr259-L2,Pentane,-0.6
C28,HsOr271,Pentane,1.0
C28,HsOr32,Pentane,-2.0
C28,HsOr35,Pentane,2.2
C28,HsOr36,Pentane,41.8333333333333
C28,HsOr37,Pentane,15.8
C28,HsOr378,Pentane,5.2
C28,HsOr4,Pentane,-0.8
C28,HsOr55,Pentane,-7.25
C28,HsOr59,Pentane,-6.166666666666667
C28,NoUAS,Pentane,-7.6
C29,HsOr161,Pentane,0.2
C29,HsOr170,Pentane,13.2
C29,HsOr174,Pentane,2.2
C29,HsOr175,Pentane,-5.6
C29,HsOr177,Pentane,16.4
C29,HsOr182,Pentane,14.8
C29,HsOr183,Pentane,7.4
C29,HsOr188,Pentane,27.4
C29,HsOr190,Pentane,19.8
C29,HsOr20,Pentane,0.4
C29,HsOr209,Pentane,6.2
C29,HsOr210,Pentane,11.6
C29,HsOr212,Pentane,17.0
C29,HsOr224,Pentane,-0.8
C29,HsOr236,Pentane,4.6
C29,HsOr259-L2,Pentane,5.0
C29,HsOr271,Pentane,5.4
C29,HsOr32,Pentane,0.4
C29,HsOr35,Pentane,-2.4
C29,HsOr36,Pentane,12.5
C29,HsOr37,Pentane,13.4
C29,HsOr378,Pentane,8.4
C29,HsOr4,Pentane,6.2
C29,HsOr55,Pentane,-3.0
C29,HsOr59,Pentane,-3.8333333333333335
C29,NoUAS,Pentane,2.6
C30,HsOr161,Pentane,-2.0
C30,HsOr170,Pentane,9.4
C30,HsOr174,Pentane,5.6
C30,HsOr175,Pentane,-3.4
C30,HsOr177,Pentane,19.6
C30,HsOr182,Pentane,12.2
C30,HsOr183,Pentane,-4.8
C30,HsOr188,Pentane,22.0
C30,HsOr190,Pentane,10.6
C30,HsOr20,Pentane,3.8
C30,HsOr209,Pentane,1.0
C30,HsOr210,Pentane,20.0
C30,HsOr212,Pentane,23.8
C30,HsOr224,Pentane,-10.8
C30,HsOr236,Pentane,-1.2
C30,HsOr259-L2,Pentane,3.6
C30,HsOr271,Pentane,7.8
C30,HsOr32,Pentane,-2.8
C30,HsOr35,Pentane,22.4
C30,HsOr36,Pentane,9.666666666666666
C30,HsOr37,Pentane,9.6
C30,HsOr378,Pentane,8.4
C30,HsOr4,Pentane,9.8
C30,HsOr55,Pentane,-4.25
C30,HsOr59,Pentane,-1.0
C30,NoUAS,Pentane,1.0
C31,HsOr161,Pentane,0.6
C31,HsOr170,Pentane,12.2
C31,HsOr174,Pentane,9.2
C31,HsOr175,Pentane,-8.0
C31,HsOr177,Pentane,10.6
C31,HsOr182,Pentane,18.0
C31,HsOr183,Pentane,8.8
