Stimulus,Subject,Normalization,Ave SSR (DeltaSpikes/s)
C34,HsOr59,No-UAS,0.19999999999999996
C34,NoUAS,No-UAS,0.0
C35,HsOr161,No-UAS,3.4
C35,HsOr170,No-UAS,43.0
C35,HsOr174,No-UAS,9.4
C35,HsOr175,No-UAS,12.4
C35,HsOr177,No-UAS,34.6
C35,HsOr182,No-UAS,30.6
C35,HsOr183,No-UAS,-0.6000000000000001
C35,HsOr188,No-UAS,25.6
C35,HsOr190,No-UAS,25.0
C35,HsOr20,No-UAS,19.2
C35,HsOr209,No-UAS,19.6
C35,HsOr210,No-UAS,16.0
C35,HsOr212,No-UAS,35.0
C35,HsOr224,No-UAS,-4.6
C35,HsOr236,No-UAS,25.2
C35,HsOr259-L2,No-UAS,6.6
C35,HsOr271,No-UAS,-4.6
C35,HsOr32,No-UAS,3.8
C35,HsOr35,No-UAS,4.0
C35,HsOr36,No-UAS,21.166666666666668
C35,HsOr37,No-UAS,17.4
C35,HsOr378,No-UAS,10.8
C35,HsOr4,No-UAS,17.8
C35,HsOr55,No-UAS,-9.25
C35,HsOr59,No-UAS,1.5
C35,NoUAS,No-UAS,0.0
C36,HsOr161,No-UAS,5.6
C36,HsOr170,No-UAS,27.2
C36,HsOr174,No-UAS,2.1999999999999997
C36,HsOr175,No-UAS,-4.4
C36,HsOr177,No-UAS,4.4
C36,HsOr182,No-UAS,8.4
C36,HsOr183,No-UAS,3.9999999999999996
C36,HsOr188,No-UAS,14.799999999999999
C36,HsOr190,No-UAS,16.4
C36,HsOr20,No-UAS,18.599999999999998
C36,HsOr209,No-UAS,3.6
C36,HsOr210,No-UAS,6.200000000000001
C36,HsOr212,No-UAS,11.0
C36,HsOr224,No-UAS,5.200000000000001
C36,HsOr236,No-UAS,49.4
C36,HsOr259-L2,No-UAS,15.6
C36,HsOr271,No-UAS,6.6
C36,HsOr32,No-UAS,-10.2
C36,HsOr35,No-UAS,3.6
C36,HsOr36,No-UAS,24.9
C36,HsOr37,No-UAS,19.2
C36,HsOr378,No-UAS,13.200000000000001
C36,HsOr4,No-UAS,5.800000000000001
C36,HsOr55,No-UAS,-9.1
C36,HsOr59,No-UAS,-1.6
C36,NoUAS,No-UAS,0.0
C37,HsOr161,No-UAS,-3.0
C37,HsOr170,No-UAS,28.6
C37,HsOr174,No-UAS,1.7999999999999998
C37,HsOr175,No-UAS,7.800000000000001
C37,HsOr177,No-UAS,6.6
C37,HsOr182,No-UAS,16.4
C37,HsOr183,No-UAS,1.4000000000000004
C37,HsOr188,No-UAS,29.200000000000003
C37,HsOr190,No-UAS,15.8
C37,HsOr20,No-UAS,-2.0
C37,HsOr209,No-UAS,4.6
C37,HsOr210,No-UAS,12.600000000000001
C37,HsOr212,No-UAS,30.200000000000003
C37,HsOr224,No-UAS,22.0
C37,HsOr236,No-UAS,2.1999999999999993
C37,HsOr259-L2,No-UAS,30.6
C37,HsOr271,No-UAS,1.5999999999999996
C37,HsOr32,No-UAS,-5.6
C37,HsOr35,No-UAS,4.4
C37,HsOr36,No-UAS,3.0
C37,HsOr37,No-UAS,7.0
C37,HsOr378,No-UAS,-3.4
C37,HsOr4,No-UAS,10.0
C37,HsOr55,No-UAS,-2.0
C37,HsOr59,No-UAS,-4.333333333333333
C37,NoUAS,No-UAS,0.0
C7-C40,HsOr161,No-UAS,0.0
C7-C40,HsOr170,No-UAS,1.0
C7-C40,HsOr174,No-UAS,2.5999999999999996
C7-C40,HsOr175,No-UAS,1.6
C7-C40,HsOr177,No-UAS,-0.4
C7-C40,HsOr182,No-UAS,2.0
C7-C40,HsOr183,No-UAS,-10.2
C7-C40,HsOr188,No-UAS,10.0
C7-C40,HsOr190,No-UAS,8.8
C7-C40,HsOr20,No-UAS,-4.6000000000000005
C7-C40,HsOr209,No-UAS,5.2
C7-C40,HsOr210,No-UAS,-8.799999999999999
C7-C40,HsOr212,No-UAS,-10.6
C7-C40,HsOr224,No-UAS,-8.6
C7-C40,HsOr236,No-UAS,-0.4
C7-C40,HsOr259-L2,No-UAS,6.8
C7-C40,HsOr271,No-UAS,-8.6
C7-C40,HsOr32,No-UAS,-16.0
C7-C40,HsOr35,No-UAS,-13.2
C7-C40,HsOr36,No-UAS,13.466666666666667
C7-C40,HsOr37,No-UAS,11.600000000000001
C7-C40,HsOr378,No-UAS,5.0
C7-C40,HsOr4,No-UAS,-7.6000000000000005
C7-C40,HsOr55,No-UAS,-5.45
C7-C40,HsOr59,No-UAS,-1.0333333333333334
C7-C40,NoUAS,No-UAS,0.0
