Stimulus,Subject,Normalization,Ave EAG Response
4M3H,HsOr236,Paraffin,195.66666666666666
4M3H,HsOr259-L2,Paraffin,196.4
4M3H,HsOr271,Paraffin,202.83333333333334
4M3H,HsOr32,Paraffin,245.8333333
4M3H,HsOr35,Paraffin,230.5
4M3H,HsOr36,Paraffin,185.75
4M3H,HsOr37,Paraffin,230.0
4M3H,HsOr378,Paraffin,199.16666666666666
4M3H,HsOr4,Paraffin,217.66666666666666
4M3H,HsOr55,Paraffin,311.0
4M3H,HsOr59,Paraffin,213.66666666666666
4M3H,NoUAS,Paraffin,318.83
4MPA,HsOr161,Paraffin,126.33333333333333
4MPA,HsOr170,Paraffin,143.83333333333334
4MPA,HsOr174,Paraffin,164.16666666666666
4MPA,HsOr175,Paraffin,152.16666666666666
4MPA,HsOr177,Paraffin,187.0
4MPA,HsOr182,Paraffin,187.4
4MPA,HsOr183,Paraffin,223.33333333333334
4MPA,HsOr188,Paraffin,183.8
4MPA,HsOr190,Paraffin,136.16666666666666
4MPA,HsOr20,Paraffin,190.375
4MPA,HsOr209,Paraffin,194.2
4MPA,HsOr210,Paraffin,152.2
4MPA,HsOr212,Paraffin,188.8
4MPA,HsOr224,Paraffin,185.33333333333334
4MPA,HsOr236,Paraffin,132.16666666666666
4MPA,HsOr259-L2,Paraffin,231.6
4MPA,HsOr271,Paraffin,137.83333333333334
4MPA,HsOr32,Paraffin,159.6666667
4MPA,HsOr35,Paraffin,158.16666666666666
4MPA,HsOr36,Paraffin,137.0
4MPA,HsOr37,Paraffin,158.66666666666666
4MPA,HsOr378,Paraffin,159.83333333333334
4MPA,HsOr4,Paraffin,144.83333333333334
4MPA,HsOr55,Paraffin,162.71
4MPA,HsOr59,Paraffin,204.33333333333334
4MPA,NoUAS,Paraffin,149.67
6M5H,HsOr161,Paraffin,232.16666666666666
6M5H,HsOr170,Paraffin,293.8333333333333
6M5H,HsOr174,Paraffin,346.0
6M5H,HsOr175,Paraffin,225.33333333333334
6M5H,HsOr177,Paraffin,310.4
6M5H,HsOr182,Paraffin,274.2
6M5H,HsOr183,Paraffin,234.16666666666666
6M5H,HsOr188,Paraffin,263.0
6M5H,HsOr190,Paraffin,240.0
6M5H,HsOr20,Paraffin,299.875
6M5H,HsOr209,Paraffin,301.4
6M5H,HsOr210,Paraffin,271.0
6M5H,HsOr212,Paraffin,297.4
6M5H,HsOr224,Paraffin,329.1666666666667
6M5H,HsOr236,Paraffin,219.66666666666666
6M5H,HsOr259-L2,Paraffin,326.2
6M5H,HsOr271,Paraffin,226.66666666666666
6M5H,HsOr32,Paraffin,264.6666667
6M5H,HsOr35,Paraffin,280.8333333333333
6M5H,HsOr36,Paraffin,275.5
6M5H,HsOr37,Paraffin,324.3333333333333
6M5H,HsOr378,Paraffin,324.0
6M5H,HsOr4,Paraffin,214.0
6M5H,HsOr55,Paraffin,337.29
6M5H,HsOr59,Paraffin,314.6666666666667
6M5H,NoUAS,Paraffin,302.17
Acetic Acid,HsOr161,Paraffin,28.166666666666668
Acetic Acid,HsOr170,Paraffin,30.166666666666668
Acetic Acid,HsOr174,Paraffin,251.83333333333334
Acetic Acid,HsOr175,Paraffin,54.833333333333336
Acetic Acid,HsOr177,Paraffin,121.2
Acetic Acid,HsOr182,Paraffin,95.4
Acetic Acid,HsOr183,Paraffin,99.5
Acetic Acid,HsOr188,Paraffin,143.2
Acetic Acid,HsOr190,Paraffin,78.83333333333333
Acetic Acid,HsOr20,Paraffin,181.25
Acetic Acid,HsOr209,Paraffin,123.0
Acetic Acid,HsOr210,Paraffin,64.0
Acetic Acid,HsOr212,Paraffin,133.6
Acetic Acid,HsOr224,Paraffin,88.0
Acetic Acid,HsOr236,Paraffin,84.16666666666667
Acetic Acid,HsOr259-L2,Paraffin,230.6
Acetic Acid,HsOr271,Paraffin,167.33333333333334
Acetic Acid,HsOr32,Paraffin,89.5
Acetic Acid,HsOr35,Paraffin,104.16666666666667
Acetic Acid,HsOr36,Paraffin,17.25
Acetic Acid,HsOr37,Paraffin,31.333333333333332
Acetic Acid,HsOr378,Paraffin,87.5
Acetic Acid,HsOr4,Paraffin,138.16666666666666
Acetic Acid,HsOr55,Paraffin,186.29
Acetic Acid,HsOr59,Paraffin,99.66666666666667
Acetic Acid,NoUAS,Paraffin,204.83
Acetone,HsOr161,Paraffin,130.5
Acetone,HsOr170,Paraffin,138.16666666666666
Acetone,HsOr174,Paraffin,153.33333333333334
Acetone,HsOr175,Paraffin,121.83333333333333
Acetone,HsOr177,Paraffin,102.4
Acetone,HsOr182,Paraffin,115.6
Acetone,HsOr183,Paraffin,100.66666666666667
Acetone,HsOr188,Paraffin,120.6
Acetone,HsOr190,Paraffin,119.66666666666667
Acetone,HsOr20,Paraffin,139.5
Acetone,HsOr209,Paraffin,110.8
Acetone,HsOr210,Paraffin,108.8
Acetone,HsOr212,Paraffin,116.0
Acetone,HsOr224,Paraffin,124.16666666666667
Acetone,HsOr236,Paraffin,110.0
Acetone,HsOr259-L2,Paraffin,130.6
Acetone,HsOr271,Paraffin,123.5
Acetone,HsOr32,Paraffin,125.3333333
Acetone,HsOr35,Paraffin,128.83333333333334
Acetone,HsOr36,Paraffin,95.0
Acetone,HsOr37,Paraffin,115.16666666666667
Acetone,HsOr378,Paraffin,113.16666666666667
Acetone,HsOr4,Paraffin,104.0
