smiles,regression_Or2a,regression_Or7a,regression_Or9a,regression_Or10a,regression_Or19a,regression_Or22a,regression_Or23a,regression_Or33b,regression_Or35a,regression_Or43a,regression_Or43b,regression_Or47a,regression_Or47b,regression_Or49b,regression_Or59b,regression_Or65a,regression_Or67a,regression_Or67c,regression_Or82a,regression_Or85a,regression_Or85b,regression_Or85f,regression_Or88a,regression_Or98a
CCOC(C)=O,-11,-11,34,-8,-22,49,-7,-15,1,-13,130,85,-54,7,175,-18,32,23,1,51,5,5,-21,11
CCCOC(C)=O,23,-21,158,53,-30,194,3,-12,85,-9,172,213,-81,3,64,-16,64,57,-1,-27,150,41,-15,142
CCCCOC(C)=O,43,-36,148,114,2,208,20,-13,46,-1,136,204,-85,11,46,5,153,39,20,-25,236,49,-26,215
CCCCCOC(C)=O,27,-21,82,-15,101,154,11,-37,174,-9,87,240,-71,0,63,16,205,11,5,16,177,28,-17,179
CCCCCCOC(C)=O,21,-36,41,-33,21,168,-7,-14,189,-24,14,200,-84,-11,37,24,39,-4,8,-23,21,-5,-23,66
CC(C)COC(C)=O,23,21,169,198,19,247,0,-10,9,4,175,182,-75,-11,42,-14,20,67,13,-37,120,32,-19,196
CC(C)CCOC(C)=O,57,-50,136,194,52,228,12,-19,5,-4,94,121,-85,3,44,-8,118,42,23,-30,218,20,-27,236
CCCC/C=C/OC(C)=O,14,187,27,-18,8,190,-5,-12,210,-38,5,58,-79,-2,43,18,62,6,12,-14,34,4,-28,191
CCCC(=O)OC,17,-18,140,29,-35,216,-7,-6,85,-11,172,147,-72,12,134,-15,104,69,9,-11,65,23,-18,57
CCCC(=O)OCC,4,-16,118,15,44,189,6,12,104,1,197,73,-63,-11,37,-26,156,106,11,111,89,19,-35,69
CCCCCCOC(=O)CCC,-4,-21,-1,-15,-23,35,-8,-21,208,-29,5,16,-64,-8,0,-10,51,0,-6,26,84,-6,-33,16
CCOC(=O)CC(C)O,45,-44,201,54,1,134,25,-25,70,14,144,75,-82,34,33,21,85,83,-11,196,222,65,-48,176
CCOC(=O)CC,13,68,55,24,-42,184,-14,56,-16,-20,166,54,-70,-13,97,-14,0,41,2,30,44,19,-31,29
CCOC=O,-5,91,21,-11,-46,9,-14,-25,-28,-35,7,-4,-58,-5,25,-15,-13,-5,-18,-13,9,1,-31,4
CCCCCC(=O)OC,31,23,50,3,7,252,0,-41,-27,-18,56,209,-80,4,0,1,76,15,2,-30,215,26,-53,176
CCCCCC(=O)OCC,14,-30,17,-28,13,220,4,-25,-38,-15,2,137,-78,-10,-10,-11,132,-9,-6,-36,76,3,-37,43
CCCCCCOC(=O)CCCCC,-7,-21,-6,-15,-54,27,-13,-24,109,-35,-3,-2,-43,-9,5,-20,-14,-10,-19,-9,4,2,-23,-7
CCCCCCCC(=O)OC,-7,-24,1,-27,-29,233,-12,-22,-7,-34,2,57,-73,-4,-10,4,-18,-4,0,-26,49,-6,-34,11
CCCCCCCC(=O)OCC,-7,-24,-1,-28,-37,91,-13,-29,-29,-33,1,17,-54,-14,-4,-11,-21,-5,-11,-22,26,-6,-31,10
CCCCCCCCCC(=O)OCC,-3,-29,-1,29,-46,2,-10,-24,-27,-29,5,-4,-50,-10,1,-22,-18,-9,-20,-34,15,-9,-31,0
CCOC(=O)\C=C\C,3,-19,100,132,-20,206,0,-29,-3,-43,189,43,-80,-5,-9,-16,93,28,0,77,67,17,-35,231
CCOC(=O)C(C)O,31,14,72,17,-5,66,2,-23,-12,-14,91,28,-75,26,131,13,28,282,26,25,64,70,-33,54
CCOC(=O)CCC(=O)OCC,8,-28,18,-27,-5,201,17,-33,-37,-29,2,35,-63,-11,-11,-13,164,1,16,-26,22,5,-21,-8
