CID,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates
7770,1.95861,0.05,0.56,0.0,0.45,3.783,1.1693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7803,1.23657,0.07,0.56,0.0,0.45,3.338,1.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7809,1.23657,0.613,0.52,0.0,0.16,3.839,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7819,3.04576,0.156,0.59,0.0,0.42,3.6,1.1263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7834,1.155,0.222,0.56,0.03,0.35,2.226,0.6223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7844,0.4437,0.1,0.08,0.0,0.07,1.529,0.6292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7845,0.492635,0.32,0.23,0.0,0.1,1.543,0.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1
7847,2.4437,0.324,0.61,0.0,0.46,1.7569,0.504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7848,4.88606,0.385,0.42,0.0,0.21,2.5982,0.6948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7852,1.21467,0.225,0.35,0.16,0.61,2.141,0.6311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7855,-0.94448,0.297,0.83,0.03,0.3,1.9951,0.5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7892,-0.8451,0.0,0.0,0.0,0.0,2.503,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7895,0.5409466666666667,0.143,0.68,0.0,0.51,2.7550000000000003,0.8287999999999999,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.3333333333333335,0.0,2
7904,0.921,0.223,0.64,0.0,0.43,2.152,0.7036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7907,0.02687,0.0,0.0,0.0,0.0,2.809,1.0949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
