CID,MolecularWeight,IsomericSMILES,IUPACName,name
7997,102.13,CCCOC(=O)C,propyl acetate,propyl acetate
7915,102.13,CC(C)OC(=O)C,propan-2-yl acetate,isopropyl acetate
31272,116.16,CCCCOC(=O)C,butyl acetate,butyl acetate
8038,116.16,CC(C)COC(=O)C,2-methylpropyl acetate,isobutyl acetate
7635,172.26,CCCCC(CC)COC(=O)C,2-ethylhexyl acetate,2-ethylhexyl acetate
7904,86.09,CC(=O)OC=C,ethenyl acetate,vinyl acetate
8054,118.13,CC(=O)OCCOC,2-methoxyethyl acetate,2-methoxyethyl acetate
21951529,131.15,CCOCCCC(=O)[O-],4-ethoxybutanoate,4-ethoxybutanoate
8160,160.21,CCCCOCCOC(=O)C,2-butoxyethyl acetate,2-butoxyethyl acetate
8121,146.14,CC(=O)OCCOC(=O)C,2-acetyloxyethyl acetate,ethylene glycol diacetate
6363,59.11,CC(C)N,propan-2-amine,isopropylamine
8007,73.14,CCCCN,butan-1-amine,butylamine
8021,73.14,CCNCC,N-ethylethanamine,diethylamine
8902,101.19,CCCNCCC,N-propylpropan-1-amine,dipropylamine
7912,101.19,CC(C)NC(C)C,N-propan-2-ylpropan-2-amine,diisopropylamine
8148,129.24,CCCCNCCCC,N-butylbutan-1-amine,dibutylamine
6567,74.13,CC(CN)N,"propane-1,2-diamine","1,2-diaminopropane"
3301,60.10,C(CN)N,"ethane-1,2-diamine",ethylenediamine
887,32.042,CO,methanol,methanol
3776,60.10,CC(C)O,propan-2-ol,isopropanol
263,74.12,CCCCO,butan-1-ol,1-butanol
6560,74.12,CC(C)CO,2-methylpropan-1-ol,2-methyl-1-propanol
6568,74.12,CCC(C)O,butan-2-ol,2-butanol
31260,88.15,CC(C)CCO,3-methylbutan-1-ol,isoamyl alcohol
6276,88.15,CCCCCO,pentan-1-ol,1-pentanol
8723,88.15,CCC(C)CO,2-methylbutan-1-ol,2-methyl-1-butanol
8103,102.17,CCCCCCO,hexan-1-ol,1-hexanol
7745,102.17,CCCC(C)CO,2-methylpentan-1-ol,2-methyl-1-pentanol
7358,102.17,CCC(CC)CO,2-ethylbutan-1-ol,2-ethyl-1-butanol
7720,130.23,CCCCC(CC)CO,2-ethylhexan-1-ol,2-ethylhexan-1-ol
7957,144.25,CC(C)CC(CC(C)C)O,"2,6-dimethylheptan-4-ol","2,6-dimethylheptan-4-ol"
32898,158.28,CC(C)CCCCCCCO,8-methylnonan-1-ol,isodecanol
8133,118.17,CCCCOCCO,2-butoxyethanol,2-butoxyethanol
521158,118.17,CC(C)COCCO,2-(2-methylpropoxy)ethanol,2-isobutoxyethanol
31256,116.16,CC(=O)CC(C)(C)O,4-hydroxy-4-methylpentan-2-one,diacetone alcohol
4,75.11,CC(CN)O,1-aminopropan-2-ol,1-aminopropan-2-ol
95102,89.14,CC(C)(CN)O,1-amino-2-methylpropan-2-ol,1-amino-2-methylpropan-2-ol
12379457,117.19,CCC(CC)(CN)O,3-(aminomethyl)pentan-3-ol,3-(aminomethyl)pentan-3-ol
1140,92.14,CC1=CC=CC=C1,toluene,toluene
7406,120.19,CC(C)C1=CC=CC=C1,cumene,cumene
7501,104.15,C=CC1=CC=CC=C1,styrene,styrene
7407,118.18,CC(=C)C1=CC=CC=C1,prop-1-en-2-ylbenzene,alpha-methylstyrene
7276,120.15,C1C(O1)C2=CC=CC=C2,2-phenyloxirane,styrene oxide
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
12586,74.08,C1COCO1,"1,3-dioxolane","1,3-dioxolane"
7975,93.13,CC1=CC=CC=N1,2-methylpyridine,2-methylpyridine
7728,121.18,CCC1=CN=C(C=C1)C,5-ethyl-2-methylpyridine,5-ethyl-2-methylpyridine
8083,87.12,C1COCCN1,morpholine,morpholine
7525,115.17,CCN1CCOCC1,4-ethylmorpholine,4-ethylmorpholine
527,58.08,CCC=O,propanal,propionaldehyde
