sub ID,recording,cell,odor series,region
170613_bulb_bank1_1_6_B,170613_bulb_bank1,1,6,B
170613_bulb_bank1_2_6_B,170613_bulb_bank1,2,6,B
170613_bulb_bank1_3_6_B,170613_bulb_bank1,3,6,B
170613_bulb_bank1_4_6_B,170613_bulb_bank1,4,6,B
170613_bulb_bank1_5_6_B,170613_bulb_bank1,5,6,B
170613_bulb_bank1_6_6_B,170613_bulb_bank1,6,6,B
170613_bulb_bank1_7_6_B,170613_bulb_bank1,7,6,B
170613_bulb_bank1_8_6_B,170613_bulb_bank1,8,6,B
170613_bulb_bank1_9_6_B,170613_bulb_bank1,9,6,B
170613_bulb_bank1_10_6_B,170613_bulb_bank1,10,6,B
170613_bulb_bank1_11_6_B,170613_bulb_bank1,11,6,B
170613_bulb_bank1_12_6_B,170613_bulb_bank1,12,6,B
170613_bulb_bank1_13_6_B,170613_bulb_bank1,13,6,B
170613_bulb_bank1_14_6_B,170613_bulb_bank1,14,6,B
170613_bulb_bank1_15_6_B,170613_bulb_bank1,15,6,B
170613_bulb_bank1_16_6_B,170613_bulb_bank1,16,6,B
170613_bulb_bank1_17_6_B,170613_bulb_bank1,17,6,B
170613_bulb_bank1_18_6_B,170613_bulb_bank1,18,6,B
170613_bulb_bank1_19_6_B,170613_bulb_bank1,19,6,B
170613_bulb_bank1_20_6_B,170613_bulb_bank1,20,6,B
170613_bulb_bank1_0_7_B,170613_bulb_bank1,0,7,B
170613_bulb_bank1_1_7_B,170613_bulb_bank1,1,7,B
170613_bulb_bank1_2_7_B,170613_bulb_bank1,2,7,B
170613_bulb_bank1_3_7_B,170613_bulb_bank1,3,7,B
170613_bulb_bank1_4_7_B,170613_bulb_bank1,4,7,B
170613_bulb_bank1_5_7_B,170613_bulb_bank1,5,7,B
170613_bulb_bank1_6_7_B,170613_bulb_bank1,6,7,B
170613_bulb_bank1_7_7_B,170613_bulb_bank1,7,7,B
170613_bulb_bank1_8_7_B,170613_bulb_bank1,8,7,B
170613_bulb_bank1_9_7_B,170613_bulb_bank1,9,7,B
170613_bulb_bank1_10_7_B,170613_bulb_bank1,10,7,B
170613_bulb_bank1_11_7_B,170613_bulb_bank1,11,7,B
170613_bulb_bank1_12_7_B,170613_bulb_bank1,12,7,B
170613_bulb_bank1_13_7_B,170613_bulb_bank1,13,7,B
170613_bulb_bank1_14_7_B,170613_bulb_bank1,14,7,B
170613_bulb_bank1_15_7_B,170613_bulb_bank1,15,7,B
170613_bulb_bank1_16_7_B,170613_bulb_bank1,16,7,B
170613_bulb_bank1_17_7_B,170613_bulb_bank1,17,7,B
170613_bulb_bank1_18_7_B,170613_bulb_bank1,18,7,B
170613_bulb_bank1_19_7_B,170613_bulb_bank1,19,7,B
170613_bulb_bank1_20_7_B,170613_bulb_bank1,20,7,B
170613_bulb_bank1_0_8_B,170613_bulb_bank1,0,8,B
170613_bulb_bank1_1_8_B,170613_bulb_bank1,1,8,B
170613_bulb_bank1_2_8_B,170613_bulb_bank1,2,8,B
170613_bulb_bank1_3_8_B,170613_bulb_bank1,3,8,B
170613_bulb_bank1_4_8_B,170613_bulb_bank1,4,8,B
170613_bulb_bank1_5_8_B,170613_bulb_bank1,5,8,B
170613_bulb_bank1_6_8_B,170613_bulb_bank1,6,8,B
170613_bulb_bank1_7_8_B,170613_bulb_bank1,7,8,B
170613_bulb_bank1_8_8_B,170613_bulb_bank1,8,8,B
170613_bulb_bank1_9_8_B,170613_bulb_bank1,9,8,B
170613_bulb_bank1_10_8_B,170613_bulb_bank1,10,8,B
170613_bulb_bank1_11_8_B,170613_bulb_bank1,11,8,B
170613_bulb_bank1_12_8_B,170613_bulb_bank1,12,8,B
170613_bulb_bank1_13_8_B,170613_bulb_bank1,13,8,B
170613_bulb_bank1_14_8_B,170613_bulb_bank1,14,8,B
170613_bulb_bank1_15_8_B,170613_bulb_bank1,15,8,B
170613_bulb_bank1_16_8_B,170613_bulb_bank1,16,8,B
170613_bulb_bank1_17_8_B,170613_bulb_bank1,17,8,B
170613_bulb_bank1_18_8_B,170613_bulb_bank1,18,8,B
170613_bulb_bank1_19_8_B,170613_bulb_bank1,19,8,B
170613_bulb_bank1_20_8_B,170613_bulb_bank1,20,8,B
170613_bulb_bank1_0_9_B,170613_bulb_bank1,0,9,B
170613_bulb_bank1_1_9_B,170613_bulb_bank1,1,9,B
170613_bulb_bank1_2_9_B,170613_bulb_bank1,2,9,B
170613_bulb_bank1_3_9_B,170613_bulb_bank1,3,9,B
170613_bulb_bank1_4_9_B,170613_bulb_bank1,4,9,B
170613_bulb_bank1_5_9_B,170613_bulb_bank1,5,9,B
170613_bulb_bank1_6_9_B,170613_bulb_bank1,6,9,B
170613_bulb_bank1_7_9_B,170613_bulb_bank1,7,9,B
170613_bulb_bank1_8_9_B,170613_bulb_bank1,8,9,B
170613_bulb_bank1_9_9_B,170613_bulb_bank1,9,9,B
170613_bulb_bank1_10_9_B,170613_bulb_bank1,10,9,B
170613_bulb_bank1_11_9_B,170613_bulb_bank1,11,9,B
170613_bulb_bank1_12_9_B,170613_bulb_bank1,12,9,B
170613_bulb_bank1_13_9_B,170613_bulb_bank1,13,9,B
170613_bulb_bank1_14_9_B,170613_bulb_bank1,14,9,B
170613_bulb_bank1_15_9_B,170613_bulb_bank1,15,9,B
170613_bulb_bank1_16_9_B,170613_bulb_bank1,16,9,B
170613_bulb_bank1_17_9_B,170613_bulb_bank1,17,9,B
170613_bulb_bank1_18_9_B,170613_bulb_bank1,18,9,B
170613_bulb_bank1_19_9_B,170613_bulb_bank1,19,9,B
170613_bulb_bank1_20_9_B,170613_bulb_bank1,20,9,B
170613_bulb_bank1_0_10_B,170613_bulb_bank1,0,10,B
170613_bulb_bank1_1_10_B,170613_bulb_bank1,1,10,B
170613_bulb_bank1_2_10_B,170613_bulb_bank1,2,10,B
170613_bulb_bank1_3_10_B,170613_bulb_bank1,3,10,B
170613_bulb_bank1_4_10_B,170613_bulb_bank1,4,10,B
170613_bulb_bank1_5_10_B,170613_bulb_bank1,5,10,B
170613_bulb_bank1_6_10_B,170613_bulb_bank1,6,10,B
170613_bulb_bank1_7_10_B,170613_bulb_bank1,7,10,B
170613_bulb_bank1_8_10_B,170613_bulb_bank1,8,10,B
170613_bulb_bank1_9_10_B,170613_bulb_bank1,9,10,B
170613_bulb_bank1_10_10_B,170613_bulb_bank1,10,10,B
170613_bulb_bank1_11_10_B,170613_bulb_bank1,11,10,B
170613_bulb_bank1_12_10_B,170613_bulb_bank1,12,10,B
170613_bulb_bank1_13_10_B,170613_bulb_bank1,13,10,B
170613_bulb_bank1_14_10_B,170613_bulb_bank1,14,10,B
170613_bulb_bank1_15_10_B,170613_bulb_bank1,15,10,B
170613_bulb_bank1_16_10_B,170613_bulb_bank1,16,10,B
170613_bulb_bank1_17_10_B,170613_bulb_bank1,17,10,B
170613_bulb_bank1_18_10_B,170613_bulb_bank1,18,10,B
170613_bulb_bank1_19_10_B,170613_bulb_bank1,19,10,B
170613_bulb_bank1_20_10_B,170613_bulb_bank1,20,10,B
170613_bulb_bank1_0_11_B,170613_bulb_bank1,0,11,B
170613_bulb_bank1_1_11_B,170613_bulb_bank1,1,11,B
170613_bulb_bank1_2_11_B,170613_bulb_bank1,2,11,B
170613_bulb_bank1_3_11_B,170613_bulb_bank1,3,11,B
170613_bulb_bank1_4_11_B,170613_bulb_bank1,4,11,B
170613_bulb_bank1_5_11_B,170613_bulb_bank1,5,11,B
170613_bulb_bank1_6_11_B,170613_bulb_bank1,6,11,B
170613_bulb_bank1_7_11_B,170613_bulb_bank1,7,11,B
170613_bulb_bank1_8_11_B,170613_bulb_bank1,8,11,B
170613_bulb_bank1_9_11_B,170613_bulb_bank1,9,11,B
