Stimulus,Odor Percepts,Odor Modifiers,Flavor Percepts,Flavor Modifiers
338,synthetic;odorless;acid,,nutty;phenolic,faint
342,tarry;empyreumatic;phenolic;sweet;distinctive;coal,,woody;plastic;leather;phenolic;fecal;medicinal,
356,gasoline,,gasoline;alkane,
370,,,bitter,
379,irritating;unpleasant;fruity;acid,slight;faint,cheese;waxy;rancid;oil;sweaty;fatty;vegetable;grassy,
389,,,green;bark,mild
402,odorless;oil;rotten;hydrocarbon;sulfur;egg,,rotten;egg,
453,odorless,,sweet,
454,fruity,strong,waxy;green;citrus;orange;fatty;lemon;soapy;aldehydic,
460,characteristic;aromatic;phenolic;sweet,,vanilla;woody;phenolic;spicy;sweet;burnt;medicinal;smoky,
473,,,,
474,,,sweet,
508,,,sweet,
527,pungent;characteristic;fruity;unpleasant;acetaldehyde;choking,suffocating,floral;pungent;nutty;earthy;cocoa;whiskey;solvent;wine;alcohol,
602,odorless,,odorless,
604,,,sweet,
612,acrid;odorless;unpleasant,weak,odorless,
620,,,sweet,
621,,,sweet,
622,,,sweet,
650,buttery;quinone;solution;chlorine,strong,creamy;pungent;pastry;oil;sweet;buttery;yeast;caramel,strong
653,,,bitter,
660,hay;coumarin;coconut;nitrobenzene;herbal;reminiscent,,creamy;tonka;cinnamon;coconut;coumarin;herbal;almond;sweet;dairy;tobacco,
670,characteristic,,minty;cool,
674,fishy;ammonia,,,
679,garlic;distinctive;oyster;sulfur,,cheese;oil;fatty;garlic;mushroom;bitter,
702,wine;ethereal;whiskey;pleasant,mild;weak,sweet;medicinal;ethereal;alcohol,strong
704,,,sweet,
743,,,odorless,
750,odorless,,odorless;waxy;oil;fatty;sweet,
753,odorless,mild,sweet;odorless,
768,sweet;characteristic;almond;bitter,,bitter,
784,ozone;odorless,sharp,bitter,
785,odorless,,,
791,,,sweet;nutty;odorless,
798,light;floral;pleasant;characteristic;fecal;jasmine;unpleasant;solution,highly,mothball;floral;honey;jasmine;moth;naphthelene;fecal;fishy;animal;burnt,
802,,,odorless;sour,mild
827,,,sweet,
840,,,sweet,
841,,,sweet,
871,,,sweet,
872,,,sweet,
875,,,caramel,mild
876,,faint,savory;acidic;sulfur,mild
878,disagreeable;pungent;cabbage;decayed;rotten;garlic;unpleasant;sulfide,powerful,pungent;cabbage;decayed;garlic;gasoline;sulfur,
880,pungent,,brown;savory;ethereal;sweet;acidic;rum,
887,characteristic;crude;alcohol;pungent,,alcohol,
927,,,sweet,
931,characteristic;aromatic;mothball,,tarry;pungent;dry,
932,,,can;bitter;reduce,
936,odorless,,odorless,
948,sweet;pleasant,weak,odorless,
957,aromatic;rose;fresh;orange,penetrating,rose;floral;metallic;waxy;green;almond;matches;fatty;aldehydic;chemical;mushroom;burnt;orange;bitter,
962,odorless,,odorless,
964,,,savory;cabbage;radish;sour,
971,odorless,,,
984,,,cardboard,
985,,,fatty;waxy,
990,,,sweet,
994,,slight,odorless,
996,tarry;acrid;sickening;sweet;distinctive;aromatic,,rubber;phenolic;plastic,
997,,,green;weedy;honey;phenolic;almond;sweet;acidic,
998,,,hawthorn;clover;floral;pungent;green;nutty;cocoa;honey;grapefruit;sweet;berry;geranium;hyacinth;peanut;bitter,
999,floral;honey;sweet;unpleasant;solution,suffocating,flowery;civet;floral;honeysuckle;waxy;honey;sweet;caramel;sour,
1001,fishy,,fishy;ammonia,
1004,odorless,,bland,
1008,,,sweet,
1009,,,sweet,
1030,odorless,,alcohol;odorless,slight
1031,ethanol,,musty;pungent;candy;alcohol;fermented;peanut;fusel,
1032,rancid;disagreeable;pungent,,soy;vinegar;cheese;pungent;rancid;fruity;fatty;acidic;silage,
1048,,,bitter,
1049,fishy;nauseating;sickening;burnt,sharp,putrid;rancid;sickening;amine;fishy;sour,
1060,,,caramel;acetic;sour,sharp
1068,cabbage;radish;wild;unpleasant,,radish;green;corn;onion;cabbage;earthy;sweet;tomato;wet;gasoline;vegetable;wild;sulfur;organic,
1101,,,sweet,
1103,,,,
1110,odorless,,odorless;sour,
1115,characteristic;caramel;heated;odorless,,sweet,
1119,characteristic;irritating;pungent,strong;suffocating,bitter,
1123,odorless,,bland;bitter,
1127,,,cabbage,
1130,characteristic,slight,bitter,
1136,,,nutty;cooked;fatty;juice;beef;sulfur,
1140,sweet;pungent;benzene,,sweet;paint,
1143,,,sweet;used;can;low,
1145,,,odorless,
1146,pungent;amine;ammonia;low;fishy,,rancid;fruity;oil;sweaty;fishy,
1182,,,odorless,
1183,sweet;vanilla;pleasant;aromatic,,sweet;vanilla;creamy;chocolate,
1213,,,musty;fresh;earthy;soil;beet,
1254,cooling;peppermint;menthol,,camphor;minty;cool,
1467,,,sweet,
1491,,,phenolic,mild
1548,,,sweet,
1549,,,sweet,
1601,,,sweet,
1603,,,sweet,
1736,,,sweet,
1737,,,sweet,
1813,,,sweet,
1889,,,bitter,
1907,,,sweet,
1912,,,sweet,
1913,,,sweet,
1914,,,sweet,
1983,odorless,,bitter,
2024,,,sweet,
2027,,,sweet,
2028,,,sweet,
2080,,,sweet,
2108,,,sweet,
2153,odorless,,bitter,
2164,odorless,,bitter,
2180,,,bitter,
2194,,,bitter,
2206,,,bitter,
2214,,,sweet;vanilla;vanillin,faint
2230,,,bitter,
2236,,,bitter,
2242,odorless,,sweet,
2251,,,sweet,
2265,,,bitter,
2294,,,bitter,
2331,,,bitter,
2345,aromatic;pleasant,faint,pineapple;balsamic;strawberry;cheese;herbal;oil;almond;sweet;balsam;cherry,faint
2346,,,dusty;watercress;oil;horseradish;medicinal,mild
2353,,,bitter,
2481,,,bitter,
2483,,,bitter,
2519,odorless,,odorless;bitter,
2537,aromatic;fragrant,penetrating,camphor;minty;cool,
2576,,,bitter,
2682,odorless,faint,flowery;floral;waxy,
2707,characteristic;acrid;aromatic;sweet,penetrating,bitter,
2719,odorless,,bitter,
2725,,,bitter,
2757,,,bitter,
2758,camphor,,eucalyptol;minty;eucalyptus;camphor;herbal;sweet;cool;pepper,
2764,,,bitter,
2879,sweet;tarry;phenolic,,pungent;mimosa;narcissus;phenolic;animal;medicinal;smoky,
2955,odorless,,bitter,
2969,rancid;unpleasant,,dusty;citrus;rancid;fatty;unpleasant;grassy;sour,
2972,,,bitter,
2998,,,savory;bland;odorless,
3026,aromatic,slight,,faint
3033,,,bitter,
3055,odorless,,bitter,
3100,,,bitter,
3102,sweet;rose;geranium,,rose;metallic;floral;peach;powdery;balsam;geranium;apricot,
3104,,,sweet,
3108,,,bitter,
3182,,,bitter,
3229,,,bitter,
3242,,,bitter,
3314,spicy;warm;floral;clove,,woody;cinnamon;honey;clove;spicy;sweet;burnt,
3325,,,bitter,
3368,,,sweet,
3371,,,bitter,
3426,,,sweet,
3429,,,sweet,
3473,,,pungent,
3476,,,bitter,
3485,sweet;pungent,,medicinal;fruity;pungent,
3495,,,sweet,
3516,characteristic,slight,bitter,
3559,,,bitter,
3594,,,sweet,
3611,,,woody;phenolic,
3776,ethanol;acetone;alcohol;pleasant,slight,woody;floral;musty;alcohol;bitter,
3778,,,bitter,
3828,,,bitter,
3871,,,sweet,
3872,,,sweet,
3879,,,metallic;fatty,
3893,characteristic;oil;bay,,metallic;coconut;oil;fatty;bay,mild
3948,,,bitter,
4004,mercaptan;skunk;garlic,,bitter,
4007,,,sweet,
4044,,,bitter,
4059,,,bitter,
4064,soup,,soup,
4091,,,bitter,
4095,,,bitter,
4114,odorless,,bitter,
4131,,,sweet,
4133,characteristic;wintergreen,,minty;almond;peppermint;caramel;wintergreen,sharp
4162,characteristic,slight,bitter,
4189,,,bitter,
4276,,,balsamic;woody;spicy;warm;balsam,
4403,,,sweet,
4453,,,sweet;bland,
4472,,,bitter,
4488,,,bitter,
4583,,,bitter,
4594,,,bitter,
4601,,,bitter,
4619,,,bitter,
4650,acrid;chlorine,penetrating,,
4679,,,bitter,
4680,,,bitter,
4740,,,bitter,
4754,odorless,,bitter,
4770,,,bitter,
4780,,,bitter,
4788,,,odorless;bitter,
4795,,,sweet,
4798,,,sweet,
4799,,,sweet,
4806,,,bitter,
4831,,,bitter,
4837,ammonia;amine,,savory;ammonia,
4848,,,bitter,
4873,odorless,,bitter,
4913,,,bitter,
4947,odorless,faint,bland;bitter,
4998,,,bitter,
5054,characteristic,faint,hawthorn;creamy;musty;floral;nutty;phenolic,
5143,aromatic;odorless,faint,sweet;odorless;bitter,
5144,sassafras,,woody;floral;spicy;sweet;warm;sassafras;anise,
5147,,,bitter,
5161,,,bitter,
5281,,,dairy;odorless;fatty,mild
5326,,,bitter,
5329,odorless,,bitter,
5330,,,bitter,
5344,odorless,,bitter,
5362,,,bitter,
5429,,,bitter,
5497,,,bitter,
5531,,,bitter,
5541,fruity;fatty,,tropical;clean;fruity;bitter,mild
5576,,,bitter,
5578,odorless,,bitter,
5590,,,bland;alcohol,
5610,,,meaty;savory;phenolic;cooked;rubber;dirty,mild
5634,,,sweet;woody;floral,
5743,,,bitter,
5750,,,bitter,
5754,odorless,,bitter,
5755,odorless,,bitter,
5780,odorless,,sweet;caramel;odorless,
5793,,,sweet,
5825,,,bitter,
5827,,,bitter,
5838,,,bitter,
5842,,,bitter,
5862,,,savory;sulfur,
5865,odorless,,bitter,
5883,,,bitter,
5917,,,bitter,
5950,odorless,,odorless,
5957,,,sweet,
5959,,,bitter,
5960,,,odorless,
5961,,,custard;cocoa;oil;dairy;milky,mild
5962,,,odorless,
5971,mustard;pungent,,pungent;mustard;garlic;sulfur;bitter,strong
5984,,,sweet,
5987,odorless,,bland;fatty,
5988,characteristic;caramel;heated;odorless,,sweet,
6022,,,sweet,
6027,,,sweet,
6036,,,sweet,
6037,odorless,,odorless,
6041,,,bitter,
6047,odorless,,odorless,
6048,,,bitter,
6050,buttery;fruity,,creamy;cheese;waxy;fatty;bitter,
6054,characteristic;rose;pea,extremely;mild,dried;rose;flowery;floral;watery;lilac;honey;fruity;spicy;wine;bitter,
6055,,,bitter,
6057,,,odorless,
6072,,,bitter,
6076,,,sweet,
6083,,,sweet,
6100,,,bitter,
6106,,,odorless;bitter,
6116,acetic;acid,slight,acetic,mild
6134,odorless,,sweet,
6140,,slight,odorless;bitter,
6167,odorless,,bitter,
6184,characteristic;green;fruity;grassy;aldehydic,strong;sharp,fresh;green;tallow;fruity;oil;sweaty;fatty;apple;leafy;grassy;aldehydic,
6197,,,bitter,
6202,characteristic,slight,bitter;sour,mild
6213,,,burnt;sulfur,
6224,,,odorless,
6251,odorless,,sweet;odorless,
6255,,,sweet,
6267,,,odorless,
6274,,,odorless;bitter,
6276,characteristic;fusel,mild,vanilla;balsamic;pungent;green;oil;fruity;sweet;balsam;yeast;fusel,
6282,odorless,,bitter,
6287,,,odorless,
6305,odorless,,bitter,
6306,,,odorless;bitter,
6322,,,,faint
6341,ammonia,,fishy;ammonia,
6343,garlic;skunk;leek,strong;penetrating,onion;earthy;fruity;rubber;sulfur,
6344,chloroform;ether;pleasant;sweet,penetrating,,
6354,sweet;apple;ether;reminiscent,,,
6363,ammonia,,fishy;ammonia,
6364,skunk;unpleasant,strong;extremely,meaty;savory;onion;ripe;gassy;sulfur,strong
6378,benzene;ethereal;ether;oxide;sweet;propylene;alcohol,,sweet;ethereal,
6386,camphor,,camphor,
6405,characteristic;camphor,,pungent,
6433,,,bitter,
6448,,,balsamic;cedar;fresh;woody;pine;floral;needle;camphor;green;herbal;spicy;sweet,
6454,,,bitter,
6463,characteristic,,bitter,
6464,,,bitter,
6465,,,bitter,
6473,,,bitter,
6489,,,bitter,
6493,,,green;leafy;fruity,powerful
6501,fruity;berry,strong,floral;honey;fruity;fatty;sweet;strawberry,
6505,sweet;herbal;odorless,faint,sweet;herbal;floral;wine,faint
6506,fruity,,fruity;wine;odorless;bitter,mild
6509,,,bitter,
6514,acrid;sulfide,strong,savory;roasted;sulfur,
6532,,,light;woody;fruity;bergamot;lavender,
6544,camphor;peppermint,,cedarwood;musty;woody;green;camphor;leather;fruity;spicy;sweet;cooling;tobacco,
6548,,,rose;woody;floral;lilac;green;oil;tea;bois;lily,
6549,flowery;woody;fresh;floral;camphor;oil;terpenic;lavender;spicy;bergamot;reminiscent;lily,,rose;flowery;woody;floral;citrus;green;coriander;lavender;sweet;blueberry;bois;orange;lemon,
6558,fishy;amine,,fishy;cheese,
6560,disagreeable;amyl;musty;oil;sweet;wine;alcohol;nonresidual;fusel,penetrating;suffocating,cocoa;ether;solvent;wine;apple;bitter,
6561,pungent,sharp;extremely,fresh;floral;pungent;green;cocoa;malt;caramel;burnt;aldehydic,
6568,sweet;wine;pleasant,strong,sweet;wine;apricot;oil,
6569,acetone;minty;pleasant;pungent;fragrant;sweet,sharp,acetone;pleasant;camphor;ether;ethereal;fruity;fragrant,
6584,fruity;pleasant;fragrant,,ester;green;ether;fruity;sweet;bitter,
6590,butyric;pungent;fatty;buttery;acid;unpleasant,sharp,cheese;rancid;sweaty;buttery;strawberry;burnt,
6616,insipid;minty;woody;trephy;pine;citrus;green;camphor;spicy;cooling,,mothball;woody;needle;camphor;herbal;oil;warm;fir,
6631,,,woody;pine;citrus;lime;cologne,
6651,,,bitter,
6654,turpentine;characteristic;pine,,turpentine;cedarwood;minty;fresh;woody;pine;camphor;earthy;terpene;sweet,harsh;sharp
6658,characteristic;acrid;fruity;sweet;hedonic;unpleasant;sulfur,sharp,pungent;fruity;aromatic;acrylic;sulfur,
6660,,,maple;caramel;smoky;syrup,
6669,powdery,,musk;powdery;dry;fatty;soapy,
6674,,,bitter,
6736,pleasant;characteristic;fecal;sweet;warm;low,,mothball;civet;indole;fecal;animal,strong
6781,aromatic;odorless,slight,bitter,
6782,,,,
6804,,,odorless,
6826,orange;mandarin,,musty;floral;grape;powdery;fruity;blossom;phenolic;sweet;wine;orange;neroli,
6847,,,bitter,
6849,odorless,,bitter,
6873,,,clover;floral;herbal;orchid;bitter,
6874,,,woody;metallic;floral;herbal;orchid;fruity;wintergreen;soapy;bitter;tobacco,
6877,orange;flowery;fruity,faint,floral;grape;blossom;sweet;wintergreen;orange,
6885,,,tonka;coconut;powdery;coumarin;phenolic;sweet;lactonic,
6902,,,sweet,
6904,,,sweet,
6912,,,sweet;odorless,
6915,,,whiskey;fruity;dry;acidic;berry;caramel;sour,
6919,,,odorless,
6920,,,sulfur,
6930,,,musk,
6943,,,creosote;heat;phenolic;medicinal,
6949,,,woody;powdery;dry;spicy;sweet;guaiacwood,
6954,odorless,,bitter,
6981,,,odorless,
6985,,,woody;floral;minty;mimosa;sweet,
6986,characteristic;peppermint;menthol,slight,minty;fresh;green;sweet;peppermint;cool,
6987,,,minty;fresh;camphor;herbal;fruity;sweet;medicinal,
6988,camphor;peppermint;pleasant,,minty;fresh;lime;camphor;buchu;herbal;peppermint;cool,
6989,herbal;spicy;aromatic;reminiscent;thyme;medicinal,,woody;camphor;phenolic;herbal;spicy;thyme;medicinal,
6998,benzaldehyde;pungent;phenolic;nitrobenzene;acetophenone;irritating;almond;bitter,,pungent;cinnamon;phenolic;almond;spicy;cooling;medicinal;wintergreen,
7002,,,camphor;medicinal;chemical;naphthyl,
7017,sweet;characteristic;phenolic,mild,,
7020,,,bitter,
7027,,,odorless,
7028,,,bitter,
7041,,,balsamic;woody;powdery;phenolic;bacon;medicinal;smoky,
7043,,,vanilla;creamy;musty;woody;earthy;phenolic;moss;sweet,
7047,offensive;pyridine;unpleasant,penetrating,musty;earthy;rubber;medicinal;tobacco,
7055,,,,
7058,,,creamy;artichoke;woody;meaty;savory;roasted;rubber;sulfur,
7059,,,civet;tonka;leather;castoreum;fecal;tobacco,
7092,date;delicate;tonka;coconut;herbal;dry;sweet;fig,,vanilla;creamy;floral;coconut;powdery;sweet;balsam;anise;bitter,
7095,characteristic;buttery;pleasant;peculiar,,rose;floral;pungent;green;geranium,
7119,,,floral;blossom;sweet;naphthyl;acacia;orange;neroli,
7122,,,powdery;blossom;sweet;orange;neroli,
7127,spicy;carnation;herbal;clove,mild,creamy;vanilla;fresh;coconut;chocolate;oil;spicy;warm;balsam;anise;cinnamon;sweet;banana;raspberry;musty;peach;apricot;bitter;clove;plum;mesquite;carnation,
7129,,,floral;naphthalic;grape;powdery;blossom;orange,
7136,,,woody;fresh;floral;clove;malt;spicy;sweet;carnation,
7144,,,vanilla;leather;phenolic;clove;spicy;mesquite;bacon;carnation;medicinal;smoky;bitter,
7146,,,fresh;floral;lilac;green;leaf;hyacinth,sharp
7147,,,sweet;floral;balsam,
7148,flowery;agreeable,strong;persistent,lilac;hawthorn;fruity,
7150,fragrant;medicinal;fruity;cananga,,violet;floral;prune;phenolic;herbal;almond;sweet;lettuce;wintergreen;cananga,
7151,,,heat;warm;herbal;tobacco,
7165,,,flowery;balsam;berry;anise;grape;sweet;cranberry;banana;camomile;strawberry;celery;wintergreen;raspberry;musty;dry;fatty;bitter;minty;fruity;plum;cherry,
7170,,,acetophenone;fruity;sweet;cherry;bitter,
7175,odorless,faint,hawthorn;woody;sweet;burnt;smoky,
7184,odorless,,phenolic,faint
7187,benzaldehyde,faint,benzaldehyde,mild
7193,,,sweet;balsamic;waxy;green,
7194,,,rose;honey;floral;balsam,soft
7196,,,bitter,
7197,,,,
7222,quinoline;unpleasant,,meaty;nutty;cooked;rubber;gasoline;vegetable;sulfur;coffee,
7225,,,meaty;powdery;phenolic;capers;burnt;tobacco,
7237,sweet;aromatic,,geranium,
7247,aromatic;distinctive,,plastic,
7249,,,flat;phenolic;dry,
7267,,,phenolic;sweet;bacon;naphthyl;smoky,
7269,,,rancid;sweet,
7283,,,fishy,
7284,,,musty;nutty;cocoa;almond;malt;hazelnut;fermented;coffee,
7288,acetone,,acetone;ethereal;ether,
7302,pleasant,faint,creamy;cheese;nutty;oil;fatty;sweet;roasted;caramel,
7304,,,smoky;woody;herbal,powerful
7311,,,,
7330,,,bitter,
7335,,,minty;green;fruity;sweet;spearmint,
7336,,,sweet;warm;minty;fruity,
7341,,,dairy;cheese;sour,
7342,,,strawberry;ethereal;fruity;sweet;rubber;alcohol;rum;fusel,
7344,buttery;butterscotch;fruity,,floral;cheese;pungent;fruity;buttery;rubber;butterscotch;tart,sharp
7351,pineapple;reminiscent;fruity,,pineapple;tropical;grape;fruity;skin,
7353,,,green;tropical;fruity;sweet;apple;banana,
7359,,,green;cocoa;ethereal;fruity;sweet,
7360,odorless,mild,nutty;oil;warm;vegetable;caramel;cauliflower,faint
7361,burnt,faint,bread;musty;cooked;sweet;alcohol;chemical;caramel;burnt;bitter;coffee,
7362,benzaldehyde;almond;peculiar,,bread;woody;potato;fragrant;almond;spicy;sweet;burnt;baked,
7363,,,meaty;chocolate;oil;fatty;roasted;burnt;fishy;smoky;sulfur;coffee,
7364,,,sulfur,
7393,,,leather;oakmoss,
7405,,,sweet;ethereal,mild
7409,gardenia;floral;almond;hyacinth;bitter,mild;weak,rose;gardenia;fresh;floral;honey;acetophenone;sweet;hyacinth,
7410,pungent;blossom;jasmine;sweet;acacia;orange,,hawthorn;meaty;musty;flowery;pungent;mimosa;almond;sweet;chemical;acacia;bitter,
7413,,,metallic;cheese;tropical;fruity;acidic,
7427,,,sweet;used;can;low,
7438,,,minty;fresh;fatty;spearmint;caraway,
7439,,,minty;fennel;basil;licorice;caraway;bitter,
7447,,,sweet,
7456,characteristic;odorless,faint,odorless,
7459,,,pine,
7460,,,turpentine;woody;fresh;minty;citrus;green;herbal;terpene;spicy;pepper,
7461,,,turpentine;woody;citrus;lime;tropical;herbal;terpene;oil;lemon;gasoline;bitter,
7462,,,woody;citrus;camphor;herbal;terpene;lemon;medicinal;bitter,
7463,sweet;aromatic;pleasant;citrus,mild;weak,woody;fresh;citrus;solvent;terpene;spicy;gasoline,
7465,,,spicy;warm;medicinal;woody,
7469,,,hawthorn;balsam;sweet;mimosa,mild
7476,hawthorn;floral;pleasant;heliotrope;methylacetophenone,,hawthorn;vanilla;balsamic;powdery;sweet;buttery;anisic;caramel;acacia;bitter,
7478,,,savory;putrid;cadaverous;sweet,faint
7500,gasoline;sweet;aromatic;pungent,,,
7501,floral;pleasant;aldehyde;sweet;aromatic;unpleasant,penetrating;extremely;sharp,balsamic;floral;plastic;sweet;balsam;gasoline,
7505,volatile;oil;almond,,rancid,
7507,,,,
7509,garlic;repulsive;leek,,minty;savory;onion;alliaceous;horseradish;garlic;sulfur;coffee,sharp
7519,agreeable;sweet;aromatic;spicy;anise,,cheese;ethereal;phenolic;buttery;alcohol;gasoline;anise,
7520,,,woody;floral;toluene;solvent;spicy,
7523,,,green;grassy,
7531,,,rose;floral;green;clean;oil;cortex;bitter;rhubarb,
7533,odorless,,sweet,
7535,,,bitter,
7559,,,floral;waxy;honey;almond;spicy;sweet;jasmine,
7583,geranium,,green;leaf;phenolic;geranium,
7590,,,rose;melon;floral;cocoa;chocolate;honey;fruity;grapefruit;sweet;balsam;raspberry;anise;bitter,
7593,,,benzaldehyde;plastic;almond;seedy;grassy;bitter,
7599,,,woody;floral;honey;balsam;anise,
7600,,,floral;mango;cocoa;chocolate;honey;castoreum;jasmine;sweet;balsam;animal,
7601,,,rose;floral;honey;sweet;balsam;hyacinth,
7616,amine,,fishy;ammonia,
7632,,,rose;violet;fresh;linalool;floral;green;clean;lily,
7633,,,rose;floral;narcissus;green;sweet;deep;balsam;leafy,
7643,,,flowery;floral;honey;fruity;wine;balsam,
7646,,,rose;tropical;fruity;oil;jasmine;sweet,
7650,,,melon;fresh;cheese;peach;fruity;jasmine;buttery;plum;pear;berry;apricot;loganberry,
7651,,,pineapple;herbal;fruity;sweet;apple,
7654,,,rose;flowery;floral;tropical;honey;fruity;sweet;tobacco,
7655,,,rose;floral;peach;green;pastry;fruity;tea;bitter,
7657,benzaldehyde;almond,slight;faint,rose;plastic;earthy;chocolate;fruity;almond;sweet;cherry;mushroom,
7658,,,musty;floral;sweet;strawberry;yeast,
7662,,,sweet;bitter;fruity;balsam,
7663,,,fruity,
7664,,,floral,
7668,,,,
7685,,,floral;narcissus;green;fruity;animal;lily,
7695,,,vanilla;creamy;tonka;coumarin;powdery;fruity;almond;sweet;plum;balsam;cherry,
7702,,,fennel;floral;licorice;sweet;sassafras;anise,
7704,,,creamy;waxy;tonka;coconut;fruity;fatty;sweet;dairy,
7707,,,fresh;green;cinnamon;chocolate;honey;clove;storax;leaf;balsam;strawberry;cortex;hyacinth;foliage,
7708,,,pineapple;floral;black;fruity;almond;spicy;cranberry;tea;apricot,
7710,coconut;reminiscent,strong,creamy;peach;waxy;coconut;oil;sweet;buttery,
7711,,,rose;watercress;green;herbal;hyacinth;bitter,
7714,,,creamy;peach;coconut;fruity;fatty;lactonic;ketonic;apricot,
7720,rose;floral;oil;sweet;reminiscent;unpleasant,mild;intense,rose;fresh;floral;citrus;green;oil;sweet,
7725,floral,,phenolic;deep;fruity;cherry,
7728,aromatic,strong;penetrating;sharp,savory;potato;earthy;nutty;roasted;raw,strong
7731,floral;pungent;fruity;sweet;ylang,strong;sharp,cedar;floral;camphor;nutty;cresol;powdery;naphthyl;ylang,
7733,,,pineapple;woody;floral;fruity;sweet,
7738,,,hawthorn;vanilla;rose;flowery;floral;lilac;chocolate;herbal;powdery;honey;sweet;caramel;hyacinth,
7742,,,hay;nutty;coconut;tonka;fruity;fatty;sweet;caramel,
7749,pineapple;fruity;buttery;reminiscent;rum,,pineapple;grape;fruity;sweet;apple;juice;strawberry;rum,
7755,,,cheese;green;savory;fruity;sweaty;acidic;animal,sharp
7757,agreeable,,green;fresh;fruity;citrus,
7761,,,sweet;apple;fruity;green,
7762,pineapple,,pineapple;cheese;fruity;buttery;apple;banana;cognac;juice;strawberry,
7765,green;woody;solvent;pungent,,tart;creamy;pleasant;green;tropical;nutty;earthy;ether;honey;fruity;sweet;vegetable,
7768,unpleasant,,spicy;amine;bitter,
7770,,,pineapple;rancid;solvent;fruity;sweaty;sweet;apricot,
7772,,,pineapple;tropical;ripe;fruity;sweet;tomato;banana;apple;apricot;bitter,
7775,,,pineapple;peach;green;tropical;fruity;spicy;sweet,
7778,,,rose;peach;cucumber;honey;fruity;bergamot;plum;apricot,
7781,,,rose;floral;geranium;verbena,
7790,,,alcohol,mild
7792,,,musty;floral;citrus;green;leather;waxy;aldehydic;soapy;bitter,
7793,,,rose;floral;waxy;powdery;oil;geranium,
7794,rose;lemon;citronella,intense,rose;floral;waxy;citrus;herbal;dry;sweet;leaf;fatty;cherry;lemon;aldehydic,
7795,,,melon;papaya;tropical;green;hop;whiskey;oil;fruity;banana;pear;apricot,
7797,,,pineapple;melon;brandy;fruity;wine;plum;cognac;rum,
7798,pungent,,buttery,
7799,,,pineapple;floral;brandy;waxy;fruity;fatty;sweet;wine;banana;pear;apricot,
7800,,,floral;waxy;clean;fruity;sweet;leaf;soapy,
7802,green;fruity,powerful,green;cool;fruity;fatty,powerful
7803,,,pineapple;pungent;fruity;sweet;apple;banana;chemical;bitter,sharp
7809,sweet;aromatic;characteristic,,,
7820,wine;ethereal;pleasant,,green;floral;fruity;sweet,
7823,,,sweet,
7824,,,ester;pineapple;fresh;ether;fruity;sweet,
7826,,,floral;waxy;green;fruity;orris;sweet;berry,
7845,,,,
7847,disagreeable;pungent;acrid;fatty;sweet;choking;hot;burnt,extremely;sharp,almond;cherry,
