behavioral scores raw,,,,,,,,,,,,,,,,,,
,dC/H (s),fC/H,1'dOI (s),3'dOI (s),1'fOI,3'fOI,1'Z3 (s),3'Z3 (s),1'Z1 (s),3'Z1 (s),RAS,WAA,dSGR (s) ,fSGR,dDIG (s) ,fDIG,REA,DIT (m)
AMB,0,0,3.37,9.61,5,13,23.44,62.29,22.71,86.94,10,9,7.68,3,3.29,4,28,6.38317
AMB,0,0,3.63,8.39,3,10,31.71,101.44,15.34,47.93,8,2,11.65,14,1.47,4,38,5.94589
ANI,0,0,4.77,10.75,5,11,26.52,71.97,25.05,75.47,6,1,3.60,5,0.00,0,23,6.50708
ANI,0,0,2.12,2.75,5,7,20.38,42.81,25.99,98.71,8,7,14.01,8,0.00,0,16,4.52907
ANI,0,0,1.79,9.96,4,9,18.51,72.95,33.58,80.33,2,1,2.29,5,6.17,10,18,4.49336
ANI,0,0,1.86,6.4,6,11,25.19,80.02,23.26,63.33,6,5,0.46,2,0.00,0,33,7.54871
ANI,3.32,2,2.47,9.17,6,12,26.50,75.74,21.76,72.22,4,1,1.22,5,6.02,7,18,5.67694
AST,8.32,2,6.23,13.5,5,13,22.91,85.22,29.19,80.25,3,2,1.56,3,2.10,4,15,3.24517
AST,11.58,5,9.10,15.9,5,12,34.25,89.02,14.97,66.50,2,0,2.50,1,1.00,1,16,3.87084
AST,1.59,3,6.17,15.03,3,10,28.67,76.00,18.78,79.72,8,6,1.37,2,0.48,3,16,3.7879
AST,9.16,3,2.83,10.05,3,10,24.52,82.88,21.95,61.27,4,4,6.34,1,1.03,3,28,6.16392
AST,4.46,3,3.25,12.36,4,13,42.55,82.76,11.21,70.31,2,0,0.38,1,0.00,0,14,2.82441
BFA,0.19,1,1.32,4.72,2,11,12.66,58.94,18.48,68.58,2,2,3.41,4,2.37,5,23,5.13247
BFA,0,0,3.25,6.53,4,11,25.27,62.41,22.65,69.63,5,3,5.41,3,7.81,11,19,4.87607
BFA,0,0,2.28,3.54,5,7,18.78,80.67,19.91,56.23,9,3,9.88,2,0.00,0,26,5.42734
BFA,0,0,1.15,3.93,2,6,24.53,62.06,25.45,77.59,3,1,0.50,2,1.97,4,51,8.29755
BFA,2.5,2,4.88,7.98,4,14,30.01,75.27,14.85,59.76,5,1,2.78,3,1.15,4,26,4.75948
BZL,0,0,0.00,3.8,0,5,14.70,45.96,30.66,94.52,12,12,0.38,1,0.17,1,14,4.78164
BZL,0,0,0.22,2.17,1,4,14.45,40.44,25.29,105.16,8,8,2.78,5,0.13,1,11,3.86996
BZL,0,0,1.15,2.27,3,8,14.58,39.81,30.70,100.66,12,12,1.04,3,6.99,8,28,6.94998
BZL,0,0,2.40,6.89,2,6,21.33,60.96,24.95,77.05,8,7,11.63,6,2.47,3,28,4.15516
BZL,0,0,0.00,0.94,0,4,10.84,43.83,33.78,95.87,13,12,0.00,0,0.19,1,17,5.08333
C3H,0.8,2,3.36,13.15,7,17,26.45,72.96,20.54,68.06,14,7,6.37,3,3.00,4,45,5.90183
C3H,0,0,1.81,5.49,3,7,20.03,48.85,26.94,91.64,6,5,0.47,2,9.40,7,25,5.39688
C3H,0,0,1.81,5.26,4,8,17.41,43.39,26.87,81.01,9,9,8.21,4,0.22,1,16,4.34189
C3H,0.32,2,2.14,6.05,3,9,15.60,59.98,33.80,92.28,10,10,1.62,3,24.93,19,25,6.91457
C3H,1.65,1,2.21,9.65,3,12,16.63,61.30,29.58,79.08,6,6,0.00,0,9.60,11,23,6.00164
CAD,0,0,3.46,4.62,6,9,16.96,56.77,32.58,79.84,4,2,3.18,12,0.00,0,25,4.15386
CAD,0,0,4.60,13.31,2,11,21.94,74.67,26.82,68.01,4,1,1.26,5,0.00,0,9,2.80124
CAD,0,0,3.86,11.68,5,10,23.85,70.44,29.27,73.33,4,3,1.00,3,6.33,7,17,5.1558
CAD,0,0,3.31,5,5,10,20.37,65.86,23.23,76.41,4,4,1.41,5,0.00,0,22,5.799
