"Mixture.Number","Mixture.Cids","Experiment"
"89","1031 180 7363 7150 8025 6561 443158 264 11552 12020 527 263 6584 6569 6276 10448 7284 5284503 637566 638011 31266 8842 10430","Exp4,5"
"90","1068 1031 61138 19310 11552 12020 8063 6276 10448 8857 7895 638011 24915","Exp4,5"
"91","1031 176 7363 14286 8025 7793 443158 527 263 6584 6276 10448 8857 7895 11173 5318042 637566 638011 10890 31266","Exp4,5"
"92","1031 180 7363 7150 8025 6561 443158 264 11552 12020 527 263 6584 6569 6276 10448 7284 5284503 637566 638011 31266 8842 10430","Exp4,5"
"93","1068 3776 7150 61138 19310 443158 264 12020 22386 62336 7284 5284503 8103 637566 24915 31266","Exp4,5"
"94","6590 3776 7363 7150 61138 8025 7793 443158 12020 22386 263 6569 84682 6276 10448 8857 7895 11173 261 5284503 8103 638011 10890 24915 31266 3314 8842 10430","Exp4,5"
"95","6590 180 3776 443158 22386 263 9609 1032 84682 7284 11173 10890 3314 10430","Exp4,5"
"96","1068 6590 31244 180 3776 7363 7150 61138 8025 19310 264 11552 22386 527 1032 6569 8063 6276 10448 8857 261 5284503 5318042 8103 638011 10890 24915 31266 3314 10430","Exp4,5"
"97","6590 31244 1031 7150 19310 6561 7793 264 12020 62336 263 9609 84682 8063 6276 10448 8857 11173 261 5284503 5318042 637566 638011 24915 8842 10430","Exp4,5"
"98","6590 180 3776 7363 8025 19310 12020 22386 263 1032 6569 10448 7284 637776 31266","Exp4,5"
"99","1068 31244 180 7363 7150 8025 7793 443158 264 527 9609 6584 1032 84682 6276 10448 8857 7284 11173 5284503 8103 637566 638011 637776 3314 10430","Exp4,5"
"100","1031 61138 8025 19310 6561 7793 11552 22386 527 9609 1032 10448 7284 11173 261 5284503 8103 638011","Exp4,5"
"101","3776 7363 7150 6561 7793 12020 22386 527 6584 1032 6569 84682 8063 6276 7284 5318042 8103 637566 637776 31266 8842 10430","Exp4,5"
"102","7799 6590 31244 176 7363 14286 61138 6561 62336 9609 6584 1032 84682 11173 5284503 3314","Exp4,5"
"103","1068 3776 7150 14286 61138 8025 19310 6561 7793 443158 11552 22386 62336 263 6584 84682 6276 10448 8857 7895 5284503 5318042 8103 637566 638011 24915 3314 10430","Exp4,5"
"104","1068 6590 31244 1031 176 7363 14286 61138 8025 19310 6561 11552 62336 527 263 9609 8063 6276 10448 7895 261 5284503 5318042 8103 637566 638011 24915 3314 8842 10430","Exp4,5"
"105","7799 3776 7150 19310 6561 6569 84682 6276 11173 637566 31266","Exp4,5"
"106","7799 1068 6590 176 7363 14286 8025 6561 7793 11552 263 9609 1032 6569 84682 8063 10448 7895 7284 11173 261 8103 637566 638011 10890 31266 8842 10430","Exp4,5"
"107","31244 180 8025 19310 22386 263 10448 7895 10890 3314 10430","Exp4,5"
"108","180 3776 7150 6561 7793 264 11552 22386 527 8857 7895 261 8842","Exp4,5"
"109","176 180 7363 264 12020 263 9609 1032 84682 6276 7895 11173 638011 10430","Exp4,5"
"110","3776 14286 8025 19310 443158 264 11552 12020 22386 62336 527 263 1032 6569 8063 10448 8857 7895 7284 261 5284503 8103 637566 637776 10890 24915 31266 8842","Exp4,5"
"111","7799 1068 31244 3776 7150 14286 19310 6561 7793 12020 62336 263 6584 6276 10448 7284 5284503 8103 637566 637776 31266 8842","Exp4,5"
"112","1068 6590 31244 1031 3776 7363 7150 14286 6561 11552 12020 62336 527 9609 1032 6569 8063 6276 7284 11173 5318042 8103 3314 8842","Exp4,5"
"113","3776 7363 7150 8025 19310 264 12020 263 9609 84682 10448 7895 7284 5284503 5318042 8103 638011 24915 3314 10430","Exp4,5"
"114","7799 1068 31244 1031 180 7363 7150 14286 8025 6561 264 22386 62336 263 9609 1032 84682 8063 6276 10448 11173 5284503 8103 637566 638011 24915 10430","Exp4,5"
"115","7799 1068 31244 176 180 3776 7363 7150 14286 61138 19310 7793 443158 11552 12020 263 6584 1032 6569 84682 7895 11173 261 5318042 8103 637566 637776 24915 31266 10430","Exp4,5"
"116","7799 31244 1031 7363 14286 8025 19310 7793 12020 62336 8063 6276 7895 637776 31266 3314 8842 10430","Exp4,5"
"117","6590 1031 176 180 7363 7150 14286 8025 19310 6561 7793 264 11552 62336 263 84682 8063 6276 10448 7895 11173 261 5284503 5318042 10890 31266 8842 10430","Exp4,5"
"118","1068 1031 180 3776 14286 61138 8025 6561 7793 264 11552 12020 22386 263 6584 1032 8063 7284 5284503 8103 637776 10890 24915 8842 10430","Exp4,5"
"119","7799 3776 264 62336 6569 10448 261 5284503 638011 10890 24915 31266 8842 10430","Exp4,5"
"120","7799 1068 7150 19310 7793 264 527 263 6569 8857 7284 11173 261 8103 10890 24915 31266 8842","Exp4,5"
"201","3314 7406 7685 7888 8174 10890 13187 82229 439570 5323652","Exp6"
"202","326 6501 6997 7059 7519 7685 7749 7888 62378","Exp6"
"203","2758 6501 6997 8130 8892 637563 638014 1712087 5352438","Exp6"
"204","263 3314 6501 8042 13187 62378 637511 1712087 5365049","Exp6"
"205","3314 7406 8130 8174 10882 13187 61072 1712087 5281167 5363374","Exp6"
"206","3314 8174 12265 13187 62378 102861 111418 637511 1712087 5365049","Exp6"
"207","263 6501 7888 8130 10890 61072 61832 62378 82227 5281167","Exp6"
"208","1213 2758 6501 7600 7685 8130 62378 637563 638014 1712087","Exp6"
"211","3314 7128 7731 10890 13187 102861 637511 1712087 5366074","Exp6"
"212","660 3314 7128 7519 7655 7710 8797 31252 61072 61832","Exp6"
"213","263 660 999 1213 6501 9017 82227 91497 637563 5365049","Exp6"
"214","1213 6544 6997 8892 10890 637563 1712087 5323652 5352438","Exp6"
"215","1213 6501 6997 7600 7749 10882 439570 5284503 5352438 5363374","Exp6"
"216","660 7600 7685 7710 8129 10882 31252 638014 5363233 5365049","Exp6"
"217","999 3314 7059 7600 8130 31252 62240 111418 637563 1712087","Exp6"
"218","263 325 3314 6501 7128 10890 111418 439570 637563 5281167","Exp6"
"221","660 999 6305 7655 7749 9017 10890 91497 102861 5352438","Exp6"
"222","3314 7059 8129 8892 12265 13187 18458 62378 82229 5363374","Exp6"
"223","6106 6544 7059 7519 7966 439570 637511 5323652 5363233 5365049","Exp6"
"224","7059 8892 13187 62378 82229 638014 5352438 5363233 5363374","Exp6"
"225","6544 7600 7749 8130 8797 18458 637511 637563 638011 5352438","Exp6"
"226","7059 7685 8129 31252 61072 62378 111418 439570 5281167 5365049","Exp6"
"227","3314 6106 6501 6544 8892 61832 62240 93375 5363233","Exp6"
"228","3314 6997 7600 7731 8892 9017 10890 31252 1712087","Exp6"
"231","1213 2758 6106 6305 7685 8797 82229 5284503 5323652 5363233","Exp6"
"232","263 326 6305 7128 7600 7888 13187 93375 5284503 5363374","Exp6"
"233","1213 7888 8130 8174 26331 61832 82227 93375 111418 5363233","Exp6"
"234","326 999 2758 6305 8129 8130 12265 93375 5281167 5352438","Exp6"
"235","999 6501 7406 7710 7749 8174 8797 22201 31252 5323652","Exp6"
"236","2758 6501 7600 7685 7749 10890 62378 91497 5281167 5365049","Exp6"
"237","326 7655 8892 82229 93375 637511 637563 638011 5363374 5365049","Exp6"
"238","263 2758 3314 6106 6305 7519 10890 638011 5281167 5363233","Exp6"
"241","263 325 1213 3314 6305 7406 7888 8797","Exp6"
"242","263 6501 7406 7731 7966 61072 111418 637511 1712087 5284503","Exp6"
"243","999 7406 7600 8129 8174 9017 31252 62378 93375","Exp6"
"244","326 7888 9017 18458 26331 31252 62240 5284503 5352438 5363233","Exp6"
"245","325 660 1213 7655 7731 7966 12265 111418 638011 5281167","Exp6"
"246","325 6106 7731 7966 8797 19310 31252 61832 5365049","Exp6"
"247","263 2758 6997 7966 8174 61832 62240 62378 638011 5352438","Exp6"
"248","325 1213 6501 7128 7519 7749 12265 26331 82227 5281167","Exp6"
"251","326 999 6544 7059 7655 8042 8129 18458 62378 5363233","Exp6"
"252","263 325 660 999 7128 7655 7710 7731 8797 18458 22201 61072 82227 637563 638014 1712087 5284503 5366074","Exp6"
"253","263 999 7059 7710 7749 7966 8129 8797 10882 22201 91497 638011 5284503","Exp6"
"254","999 7128 7519 7655 7710 8174 637563 5363233 5363374 5366074","Exp6"
"255","999 1213 8129 22201 82229 91497 102861 439570 5284503 5323652 5363233 5365049","Exp6"
"256","326 999 7059 7128 7710 7749 7888 11002 18458 31252 61072 638011 5363233 5363374","Exp6"
"257","1213 7406 8129 11002 31252 439570 5284503 5323652 5365049","Exp6"
"258","263 999 7059 7710 7749 7966 8129 8797 8892 10882 22201 91497 111418 638011 5284503 5366074","Exp6"
"261","263 999 7685 7749 62378 82227 637563 638014 5323652 5352438","Exp6"
"262","325 1213 6544 7406 7888 8174 12265 26331 62240 82229 637563 638014 1712087 5365049 5366074","Exp6"
"263","6106 6544 7059 10890 62240 62378 1712087 5352438 5363374","Exp6"
"264","263 325 660 6106 7128 7406 7519 7655 7685 7966 8129 8174 8797 18458 22201 62378 637511 5284503 5363374","Exp6"
"265","263 326 7406 7519 7966 8042 8174 9017 10890 22201 61072 638014 5323652 5365049","Exp6"
