Stimulus 1,Stimulus 2,Subject,TrialOrderInSession,Choice,CorrectChoiceOnScreen,IsCorrect,RT_Discrimination,Confidence,RT_Confidence
286,286,M535,2,1,1,1,8.918810701,0.871676301,0.55177386
286,286,M569,2,1,1,1,13.14514523,0.711271676,1.7824983
286,286,M569,2,1,1,1,10.24956863,0.502312139,0.543809725
286,286,M570,2,0,1,0,10.2130822,0.973988439,1.796727805
286,286,M570,2,0,1,0,11.56254135,0.626300578,0.894321685
286,286,M579,2,1,1,1,8.212855249,0.744219653,0.968203145
286,286,M579,2,0,1,0,8.52117996,0.509248555,0.926184287
286,286,W164,2,1,1,1,8.717121473,0.697398844,2.023836234
286,286,W164,2,1,1,1,11.14889458,0.63583815,2.635270473
286,286,W242,2,1,1,1,8.70824336,0.972254335,1.224093446
286,286,W242,2,1,1,1,7.796385916,0.986127168,1.125835051
286,286,W260,2,0,1,0,10.51490207,0.664450867,1.348110623
286,286,W260,2,0,1,0,12.65578779,0.657514451,2.236231865
286,286,W333,2,1,1,1,18.83612908,0.007225434,1.309579244
286,286,W333,2,0,1,0,20.36530989,0.007225434,1.10615706
286,286,W354,2,1,1,1,13.02330601,0.937572254,1.823444084
286,286,W354,2,0,1,0,15.02562445,0.959248555,1.878987563
286,286,W390,2,1,1,1,10.62410649,0.53699422,1.871964447
286,286,W390,2,1,1,1,13.40158453,0.870809249,0.933342648
286,286,W450,2,1,1,1,11.21265642,0.732080925,1.468729814
286,286,W450,2,0,1,0,16.81062019,0.661849711,1.605883412
286,286,W458,2,0,1,0,14.64788096,0.292485549,1.554185577
286,286,W458,2,1,1,1,1.034584114,0.256069364,0.800206199
286,286,W475,2,1,1,1,1.256998143,0.786705202,0.735463972
286,286,W475,2,0,1,0,1.343177565,0.654913295,0.768369074
286,286,W490,2,0,1,0,1.876125472,0.795375723,2.3038366
286,286,W490,2,0,1,0,1.918900694,0.762427746,1.24032611
286,286,W491,2,1,1,1,10.17806296,0.949710983,0.749711023
286,286,W491,2,0,1,0,7.269582726,0.372254335,2.40295044
286,286,W493,2,1,1,1,11.95268611,0.49017341,1.303033242
286,286,W493,2,1,1,1,10.66673584,0.817052023,0.969558276
286,286,W494,2,1,1,1,8.368519869,0.915895954,1.048467765
286,286,W494,2,0,1,0,10.12285749,0.919364162,0.936400339
286,286,W495,2,1,1,1,1.36329948,0.92283237,1.002115441
286,286,W495,2,1,1,1,1.024238014,0.868208092,0.699974605
286,286,W523,2,1,1,1,1.360399583,0.739017341,1.282288934
286,286,W523,2,0,1,0,1.43594072,0.576878613,0.993819279
286,286,W545,2,0,1,0,13.24946467,0.386127168,0.826143449
286,286,W545,2,0,1,0,17.55125548,0.452023121,1.347934766
286,286,W666,2,1,1,1,19.94962101,0.90982659,0.989523964
286,286,W666,2,0,1,0,6.817160632,0.974855491,1.03828669
286,286,W676,2,1,1,1,7.410534465,0.534393064,0.865678216
286,286,W676,2,1,1,1,4.980241817,0.753757225,0.693484562
286,286,W695,2,0,1,0,11.18372121,0.978323699,1.073588011
286,286,W695,2,1,1,1,7.321218504,0.823121387,0.555724215
286,286,W704,2,0,1,0,12.50478432,0.817052023,1.055817904
286,286,W704,2,0,1,0,10.02908151,0.911560694,1.078132409
286,286,W705,2,1,1,1,13.24707309,0.838728324,0.941752225
286,286,W705,2,1,1,1,14.54158205,0.843930636,0.75447716
286,286,W707,2,0,1,0,6.870527853,0.429479769,0.664339325
286,286,W707,2,0,1,0,6.662643914,0.675722543,0.643862484
286,286,W709,2,1,1,1,10.68853048,0.800578035,1.001676142
286,286,W709,2,1,1,1,16.54882119,0.794508671,1.482168877
286,286,W725,2,0,1,0,6.984195954,0.970520231,1.049782335
286,286,W725,2,0,1,0,7.05117577,0.985260116,0.96003746
286,296,M101,2,1,0,0,35.56409309,0.804046243,1.046082807
286,296,M101,2,1,0,0,3.859633609,0.825722543,1.686488268
286,296,M101,2,0,0,1,18.01115684,0.803179191,1.622179971
286,296,M101,2,0,0,1,18.96925058,0.886416185,2.705871693
286,296,M307,12,2,2,1,15.42610418,0.771315029,1.639724651
286,296,M307,16,1,2,0,17.58929923,0.756358382,1.10352168
286,296,M307,16,3,2,0,15.41704116,0.975072254,1.348268866
286,296,M307,18,3,1,0,17.32259248,0.876011561,1.543807404
286,296,M314,5,2,2,1,17.88874768,0.636705202,1.249833012
286,296,M314,15,1,1,1,11.28090055,0.230924855,0.663877398
286,296,M314,15,1,1,1,11.41197314,0.600072254,0.935308558
286,296,M314,15,2,3,0,11.36003027,0.322615607,1.343297889
286,296,M411,7,2,3,0,17.29914697,0.688728324,0.884076706
286,296,M411,7,1,3,0,9.317150417,0.975072254,0.91958014
286,296,M411,14,2,2,1,18.06092161,0.820086705,1.289747682
286,296,M411,18,2,2,1,19.64765066,0.800578035,1.396402202
286,296,M431,2,3,2,0,24.76173088,0.491907514,0.880281515
286,296,M431,2,3,2,0,25.36470454,0.401734104,2.055378674
286,296,M431,16,3,3,1,21.75708471,0.202312139,1.367273954
286,296,M438,2,0,0,1,9.904789006,0.853468208,1.507532132
286,296,M438,2,0,0,1,11.18080378,0.987861272,1.888089701
286,296,M438,2,0,0,1,13.43483867,0.913294798,1.309769176
286,296,M438,2,0,0,1,9.174952559,0.906358382,3.557192837
286,296,M535,2,1,0,0,7.513414436,0.670520231,0.581740554
286,296,M535,2,0,0,1,7.158902092,0.575144509,1.043782519
286,296,M535,2,1,0,0,9.084355766,0.620231214,0.594119184
286,296,M535,2,1,0,0,12.53344168,0.724277457,0.767562414
286,296,M569,2,0,0,1,8.523075937,0.94017341,1.333960669
286,296,M569,2,0,0,1,9.623078238,0.814450867,0.681988302
286,296,M569,2,0,0,1,8.570801628,0.636705202,1.239550554
286,296,M569,2,1,0,0,9.539514739,0.808381503,0.739249692
286,296,M570,2,1,0,0,15.78003809,0.671387283,1.009431136
286,296,M570,2,1,0,0,9.651663937,0.39566474,0.834337291
286,296,M570,2,0,0,1,9.614941638,0.85433526,0.813269174
286,296,M570,2,0,0,1,13.17407073,0.719942197,0.650424437
286,296,M579,2,0,0,1,11.13941388,0.715606936,1.010045308
286,296,M579,2,0,0,1,10.05650003,0.967919075,1.994465753
286,296,M579,2,0,0,1,14.88638932,0.655780347,1.207798078
286,296,M579,2,1,0,0,11.75083026,0.706936416,0.836005398
286,296,W164,2,0,0,1,10.31546072,0.827456647,1.636354596
286,296,W164,2,0,0,1,20.66166479,0.878612717,2.144987537
286,296,W164,2,1,0,0,15.46321388,0.353179191,1.631789145
286,296,W164,2,1,0,0,26.89089702,0.32283237,1.127733348
286,296,W194,11,2,1,0,16.56443699,0.487572254,2.458564644
286,296,W194,18,2,2,1,15.40054733,0.882947977,0.748123248
286,296,W226,10,3,2,0,22.27519087,0.205780347,1.035438314
286,296,W226,12,1,2,0,21.09471294,0.562138728,1.853939164
286,296,W242,2,0,0,1,6.014611843,0.98265896,1.198064246
286,296,W242,2,0,0,1,5.810481871,0.99132948,1.164403635
286,296,W242,2,0,0,1,6.703050912,0.948843931,1.241998163
286,296,W242,2,0,0,1,7.878327207,0.984393064,1.500210599
286,296,W260,2,0,0,1,12.3989104,0.664450867,1.159771841
286,296,W260,2,0,0,1,16.88538122,0.495375723,0.877969012
286,296,W260,2,0,0,1,19.4524087,0.140751445,0.678919802
286,296,W260,2,1,0,0,21.17946838,0.352312139,0.881872356
286,296,W260,12,1,2,0,16.26120875,0.474566474,0.889697864
286,296,W260,13,3,3,1,17.50104953,0.8125,1.373361371
286,296,W333,2,0,0,1,11.02615249,0.809248555,0.763430154
286,296,W333,2,0,0,1,9.494571359,0.276011561,0.565876772
286,296,W333,2,0,0,1,9.704285549,0.523121387,0.708315424
286,296,W333,2,0,0,1,14.46689848,0.227456647,1.05827273
286,296,W335,2,3,3,1,14.73317052,0.979190751,1.091766639
286,296,W335,14,1,1,1,13.57213329,0.949060694,0.649433965
286,296,W335,17,2,1,0,18.88650007,0.345375723,0.67029608
286,296,W354,2,0,0,1,13.34074,0.987861272,1.089546486
286,296,W354,2,1,0,0,11.97482139,0.848265896,1.783229522
286,296,W354,2,1,0,0,18.00476583,0.864739884,0.904154959
286,296,W354,2,1,0,0,17.67498228,0.821387283,2.143707816
286,296,W390,2,0,0,1,9.706477203,0.915895954,1.424263058
286,296,W390,2,1,0,0,13.20327959,0.975722543,1.366205951
286,296,W390,2,0,0,1,10.47876936,0.639306358,1.662556322
286,296,W390,2,0,0,1,10.04085209,0.149421965,0.673837031
286,296,W390,4,1,1,1,21.5732166,0.973121387,1.048422783
286,296,W429,16,3,3,1,34.12923764,0.983742775,1.451938768
286,296,W438,7,3,3,1,22.30278581,0.882947977,1.352069489
286,296,W438,17,3,2,0,15.43114306,0.862138728,1.34432278
286,296,W438,20,3,1,0,36.62377025,0.486705202,1.012304115
286,296,W438,20,3,1,0,20.53031058,0.964234104,1.409833659
286,296,W450,2,0,0,1,17.29161342,0.124277457,1.117115544
286,296,W450,2,0,0,1,9.430495892,0.959248555,2.173739313
286,296,W450,2,0,0,1,11.94877204,0.923699422,1.164025947
286,296,W450,2,0,0,1,10.27417113,0.876878613,1.691660873
286,296,W458,2,0,0,1,1.722859544,0.98699422,1.468241468
286,296,W458,2,0,0,1,0.974144201,0.964450867,1.134077287
286,296,W458,2,0,0,1,1.128383193,0.646242775,1.076134114
286,296,W458,2,1,0,0,0.958245363,0.728612717,0.921837183
286,296,W475,2,0,0,1,1.913781803,0.54132948,0.777960046
286,296,W475,2,0,0,1,1.446802286,0.821387283,0.869629161
286,296,W475,2,0,0,1,1.626871198,0.725144509,0.626311107
286,296,W475,2,1,0,0,1.770062879,0.773699422,0.508053998
286,296,W490,2,0,0,1,1.218842739,0.295953757,0.628468664
286,296,W490,2,0,0,1,9.072914094,0.200578035,0.783711761
286,296,W490,2,1,0,0,1.926595261,0.742485549,2.068231605
286,296,W490,2,1,0,0,2.558149359,0.32283237,0.655538548
286,296,W490,14,1,1,1,24.18316637,0.78583815,1.221441565
286,296,W490,18,3,3,1,23.11723178,0.977239884,1.101293735
286,296,W491,2,0,0,1,9.729407631,0.291618497,1.143742334
286,296,W491,2,0,0,1,8.255692234,0.849132948,1.09988227
286,296,W491,2,0,0,1,6.924092318,0.932369942,0.728302654
286,296,W491,2,1,0,0,8.057289088,0.667919075,0.960143988
286,296,W493,2,1,0,0,10.83097223,0.866473988,1.27157448
286,296,W493,2,0,0,1,11.18656141,0.646242775,0.769872624
286,296,W493,2,1,0,0,8.883066223,0.736416185,1.378036583
