"Subject","Comparison.number","TrialOrderInSession","Choice","CorrectChoiceOnScreen","IsCorrect","RT_Discrimination","Confidence","RT_Confidence","Mixture.number","Mixture.number.1","Experiment"
"W226",3,12,2,1,0,16.35392814,0.612427746,4.635474833,3,13,"Exp4"
"W226",4,8,2,2,1,19.6126481,0.648843931,2.396065232,4,14,"Exp4"
"W226",5,1,3,3,1,30.83563554,0.641040462,2.18198484,5,15,"Exp4"
"W226",6,15,2,1,0,16.43225061,0.489306358,1.419439757,6,16,"Exp4"
"W226",7,11,1,2,0,22.01660946,0.529190751,2.453206904,7,17,"Exp4"
"W226",8,14,1,1,1,24.16870317,0.505780347,3.209792575,8,18,"Exp4"
"W226",9,5,1,2,0,19.96652278,0.512716763,1.268242359,9,19,"Exp4"
"W226",10,17,2,2,1,19.95666769,0.77716763,2.46350673,10,20,"Exp4"
"W226",11,16,2,1,0,14.13095182,0.384393064,1.658077919,21,31,"Exp4"
"W226",12,3,2,2,1,25.50121916,0.564739884,1.209529585,22,32,"Exp4"
"W226",13,13,3,1,0,17.06452722,0.471098266,1.741923621,23,33,"Exp4"
"W226",14,7,1,1,1,26.5637917,0.501445087,0.791717804,24,34,"Exp4"
"W226",15,9,3,3,1,19.79332483,0.91849711,1.187500374,25,35,"Exp4"
"W226",16,4,2,2,1,19.70462941,0.884682081,1.287620281,26,36,"Exp4"
"W226",17,6,2,3,0,21.13068113,0.282947977,1.218074857,27,37,"Exp4"
"W226",18,19,3,1,0,19.78461021,0.336705202,0.839662927,28,38,"Exp4"
"W226",19,18,2,2,1,21.88886271,0.375722543,1.031945883,29,39,"Exp4"
"W226",20,20,3,3,1,13.57032028,0.898554913,1.084309677,30,40,"Exp4"
"W260",1,18,3,1,0,16.26846857,0.368786127,0.816017714,1,11,"Exp4"
"W260",2,12,1,2,0,16.26120875,0.474566474,0.889697864,2,12,"Exp4"
"W260",3,19,2,1,0,19.08852052,0.815317919,0.975611143,3,13,"Exp4"
"W260",4,14,1,2,0,18.45327319,0.728612717,1.056317207,4,14,"Exp4"
"W260",5,3,1,2,0,15.21896261,0.787572254,0.732080072,5,15,"Exp4"
"W260",6,17,2,1,0,15.36047682,0.769364162,0.857991025,6,16,"Exp4"
"W260",7,20,1,2,0,13.72255083,0.582080925,0.973930569,7,17,"Exp4"
"W260",8,5,2,3,0,16.01508412,0.60982659,1.379680699,8,18,"Exp4"
"W260",9,11,2,3,0,12.85689031,0.610693642,0.759473009,9,19,"Exp4"
"W260",10,15,2,1,0,23.28357065,0.381791908,0.665924876,10,20,"Exp4"
"W260",11,10,3,3,1,15.92251098,0.840462428,0.891864651,21,31,"Exp4"
"W260",12,4,2,2,1,16.26115572,0.84566474,1.2098332,22,32,"Exp4"
"W260",13,8,3,3,1,17.47669304,0.901156069,1.107521277,23,33,"Exp4"
"W260",14,2,2,2,1,16.55531228,0.794508671,1.427753256,24,34,"Exp4"
"W260",15,6,3,3,1,14.83279951,0.910693642,1.250020312,25,35,"Exp4"
"W260",16,1,1,1,1,15.55315747,0.748554913,1.756556593,26,36,"Exp4"
"W260",17,7,1,2,0,19.87082027,0.451156069,0.779569345,27,37,"Exp4"
"W260",18,13,1,1,1,19.30185128,0.537861272,0.701705719,28,38,"Exp4"
"W260",19,16,3,3,1,19.95512225,0.592485549,0.739954398,29,39,"Exp4"
"W260",20,9,1,1,1,18.4632245,0.681791908,1.268216273,30,40,"Exp4"
"W335",1,6,2,1,0,15.35492879,0.947109827,0.872248113,1,11,"Exp4"
"W335",2,17,2,1,0,18.88650007,0.345375723,0.67029608,2,12,"Exp4"
"W335",3,7,3,1,0,16.6906956,0.253468208,2.156231425,3,13,"Exp4"
"W335",4,2,1,1,1,16.83308559,0.450289017,1.157609239,4,14,"Exp4"
"W335",5,19,2,2,1,14.91244891,0.538728324,1.073503113,5,15,"Exp4"
"W335",6,5,2,2,1,16.24531812,0.491040462,1.12972838,6,16,"Exp4"
"W335",7,10,2,3,0,15.17462281,0.239595376,0.94393381,7,17,"Exp4"
"W335",8,15,1,1,1,14.50107463,0.902023121,0.637931978,8,18,"Exp4"
"W335",9,18,1,1,1,15.99639125,0.426878613,1.309802582,9,19,"Exp4"
"W335",10,20,3,2,0,19.26957142,0.228323699,0.589918434,10,20,"Exp4"
"W335",11,4,3,1,0,17.75291706,0.990462428,1.638646543,21,31,"Exp4"
"W335",12,1,1,1,1,24.27960783,0.99566474,1.555674911,22,32,"Exp4"
"W335",13,16,3,1,0,15.54246038,0.375722543,0.913599226,23,33,"Exp4"
"W335",14,14,1,2,0,14.53824098,0.936705202,0.601623016,24,34,"Exp4"
"W335",15,13,3,3,1,16.96696965,0.690462428,0.715412878,25,35,"Exp4"
"W335",16,8,1,1,1,14.99061187,0.465895954,1.122159808,26,36,"Exp4"
"W335",17,12,1,2,0,17.658816,0.456358382,0.952123297,27,37,"Exp4"
"W335",18,9,1,1,1,15.35030657,0.308092486,0.762294065,28,38,"Exp4"
"W335",19,11,3,3,1,15.57053367,0.175433526,0.8824235,29,39,"Exp4"
"W335",20,3,3,3,1,16.65470736,0.985260116,0.922389957,30,40,"Exp4"
"W335",1,18,2,2,1,12.65118628,0.021965318,0.957823994,1,11,"Exp4"
"W335",2,2,3,3,1,14.73317052,0.979190751,1.091766639,2,12,"Exp4"
"W335",3,14,1,1,1,13.29641743,0.932369942,0.888287978,3,13,"Exp4"
"W335",4,1,3,3,1,14.22767295,0.947976879,1.605912971,4,14,"Exp4"
"W335",5,13,1,1,1,12.65465134,0.864739884,0.722182643,5,15,"Exp4"
"W335",6,6,1,2,0,14.06288385,0.944508671,0.857843921,6,16,"Exp4"
"W335",7,8,1,2,0,13.99671796,0.119942197,1.02173372,7,17,"Exp4"
"W335",8,10,1,2,0,13.27241172,0.24132948,0.782652964,8,18,"Exp4"
"W335",9,4,1,1,1,13.86058073,0.829190751,0.670330718,9,19,"Exp4"
"W335",10,16,1,1,1,13.66497298,0.960982659,1.085738807,10,20,"Exp4"
