Stimulus,Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Dilution2,Dilution3
152,mono-molecule,"Exp4,5",11552,,,19,,10.00%,,
153,mono-molecule,"Exp4,5",12020,,,20,,100.00%,,
154,mono-molecule,"Exp4,5",22386,,,21,,100.00%,,
155,mono-molecule,"Exp4,5",62336,,,22,,100.00%,,
156,mono-molecule,"Exp4,5",527,,,23,,10.00%,,
157,mono-molecule,"Exp4,5",263,,,24,,100.00%,,
158,mono-molecule,"Exp4,5",9609,,,25,,10.00%,,
159,mono-molecule,"Exp4,5",6584,,,26,,100.00%,,
160,mono-molecule,"Exp4,5",1032,,,27,,10.00%,,
161,mono-molecule,"Exp4,5",6569,,,28,,100.00%,,
162,mono-molecule,"Exp4,5",84682,,,29,,100.00%,,
163,mono-molecule,"Exp4,5",8063,,,30,,100.00%,,
164,mono-molecule,"Exp4,5",6276,,,31,,100.00%,,
165,mono-molecule,"Exp4,5",10448,,,32,,1.00%,,
166,mono-molecule,"Exp4,5",8857,,,33,,100.00%,,
167,mono-molecule,"Exp4,5",7895,,,34,,100.00%,,
168,mono-molecule,"Exp4,5",7284,,,35,,100.00%,,
169,mono-molecule,"Exp4,5",11173,,,36,,100.00%,,
170,mono-molecule,"Exp4,5",261,,,37,,10.00%,,
171,mono-molecule,"Exp4,5",5284503,,,38,,100.00%,,
172,mono-molecule,"Exp4,5",5318042,,,39,,100.00%,,
173,mono-molecule,"Exp4,5",8103,,,40,,100.00%,,
174,mono-molecule,"Exp4,5",637566,,,41,,100.00%,,
175,mono-molecule,"Exp4,5",638011,,,42,,100.00%,,
176,mono-molecule,"Exp4,5",637776,,,43,,10.00%,,
177,mono-molecule,"Exp4,5",10890,,,44,,100.00%,,
178,mono-molecule,"Exp4,5",24915,,,45,,100.00%,,
179,mono-molecule,"Exp4,5",31266,,,46,,100.00%,,
180,mono-molecule,"Exp4,5",6184,,,47,,100.00%,,
181,mono-molecule,"Exp4,5",3314,,,48,,100.00%,,
182,mono-molecule,"Exp4,5",8842,,,49,,100.00%,,
183,mono-molecule,"Exp4,5",10430,,,50,,10.00%,,
184,mono-molecule,"Exp4,5",Blank,,,51,,100.00%,,
185,mono-molecule,Exp6,263,,,1,,10.00%,0.01,0.10%
186,mono-molecule,Exp6,325,,,2,,10.00%,0.01,0.10%
187,mono-molecule,Exp6,326,,,3,,10.00%,0.01,0.10%
188,mono-molecule,Exp6,342,,,4,,10.00%,0.01,0.10%
189,mono-molecule,Exp6,660,,,5,,10.00%,0.01,0.10%
190,mono-molecule,Exp6,999,,,6,,10.00%,0.01,0.10%
191,mono-molecule,Exp6,1213,,,7,,10.00%,0.01,0.10%
192,mono-molecule,Exp6,2758,,,8,,10.00%,0.01,0.10%
193,mono-molecule,Exp6,3314,,,9,,10.00%,0.01,0.10%
194,mono-molecule,Exp6,6106,,,10,,10.00%,0.01,0.10%
195,mono-molecule,Exp6,6305,,,11,,10.00%,0.01,0.10%
196,mono-molecule,Exp6,6501,,,12,,10.00%,0.01,0.10%
197,mono-molecule,Exp6,6544,,,13,,10.00%,0.01,0.10%
198,mono-molecule,Exp6,6997,,,14,,10.00%,0.01,0.10%
199,mono-molecule,Exp6,7059,,,15,,10.00%,0.01,0.10%
200,mono-molecule,Exp6,7128,,,16,,10.00%,0.01,0.10%
