CIDs,FOV,High or Low Conc.,cell,delF
1049,1,h,28,-0.022606192849493775
1049,1,l,28,0.0028712129754838033
1049,1,h,29,0.05016118083324003
1049,1,l,29,0.016667571585486537
1049,1,h,30,0.035802392753101236
1049,1,l,30,0.07389311423974639
1049,1,h,31,-0.046096321130279165
1049,1,l,31,-0.05375535717837555
1049,1,h,32,-0.04173474464688909
1049,1,l,32,-0.05350916938019992
1049,1,h,33,-0.023030053098935622
1049,1,l,33,0.006371562246601646
1049,1,h,34,-0.029206519895007384
1049,1,l,34,-0.02729643072583317
1049,1,h,35,-0.003054152852310428
1049,1,l,35,0.08526339024172362
1049,1,h,36,-0.07985393832343773
1049,1,l,36,-0.025240413403637932
1049,1,h,37,0.0488461776331812
1049,1,l,37,0.21428380418841544
1049,1,h,38,0.03982815214402559
1049,1,l,38,0.08316649315357234
1049,1,h,39,0.05034824633834589
1049,1,l,39,0.1505492180590628
1049,1,h,40,-0.009556436920030947
1049,1,l,40,-0.007665052849196132
1049,1,h,41,0.0011324058736913209
1049,1,l,41,0.015575197798860694
1049,1,h,42,-0.02472339559791754
1049,1,l,42,0.0005013559757756
1049,1,h,43,-0.012105324140771978
1049,1,l,43,0.012056575584832384
1049,1,h,44,-0.04252540755113226
1049,1,l,44,0.0319451597151679
1049,1,h,45,0.00499194607983889
1049,1,l,45,0.025933210959751516
1049,1,h,46,0.0006640314951165208
1049,1,l,46,0.01417870217517412
1049,1,h,47,-0.017280619964119982
1049,1,l,47,0.07271593182678861
1049,1,h,48,-0.053155316023990436
1049,1,l,48,-0.007102058603831164
1049,1,h,49,-0.034193801661302974
1049,1,l,49,-0.015320869276693315
1049,1,h,50,-0.03309175921498331
1049,1,l,50,0.03423510463295551
1049,1,h,51,-0.03764977310334917
1049,1,l,51,-0.001904847408205532
1049,1,h,52,-0.03116181025484627
1049,1,l,52,-0.023737695244094442
1049,1,h,53,0.043599128523987556
1049,1,l,53,0.07163017079024893
1049,1,h,54,0.010730427965435723
1049,1,l,54,0.028894259754071505
1049,1,h,55,-0.04734314034704687
1049,1,l,55,-0.053773517229581104
1049,1,h,56,-0.016391119907420985
1049,1,l,56,0.009116221341647223
1049,1,h,57,0.004257435508302188
1049,1,l,57,0.1046839499282823
1049,1,h,58,0.019882441754659884
1049,1,l,58,0.039102006711415546
1049,1,h,59,-0.06248092190573438
1049,1,l,59,-0.07971838292652897
1049,1,h,60,-0.05775948487875663
1049,1,l,60,-0.013669055887850667
1049,1,h,61,0.007340887805468447
1049,1,l,61,0.03721014413219705
1049,1,h,62,0.046072278997902096
1049,1,l,62,0.06731256944715987
