Subject,Animal,Hemibulb,Glom,Cell,FOV
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_03,1.0,left,3,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_04,1.0,left,4,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_05,1.0,left,5,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_06,1.0,left,6,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_07,1.0,left,7,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_08,1.0,left,8,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
