CIDs,High or Low Conc.,FOV,cell,delF
1049,h,2,122,0.05572712064316218
1049,h,2,123,0.12660599796998148
1049,l,2,0,0.3328364893274239
1049,l,2,1,0.19871876831939547
1049,l,2,2,0.08558784137768234
1049,l,2,3,0.24629467911830494
1049,l,2,4,0.0026356604127016326
1049,l,2,5,0.37546800723929863
1049,l,2,6,0.29810591504511336
1049,l,2,7,0.03166243747353502
1049,l,2,8,0.07889366945354959
1049,l,2,9,0.018849946008745285
1049,l,2,10,0.06318680586533754
1049,l,2,11,0.1732636462624352
1049,l,2,12,0.004606459700821547
1049,l,2,13,0.032997476884065007
1049,l,2,14,0.23367171747093451
1049,l,2,15,0.17399267997708134
1049,l,2,16,0.1452264849883327
1049,l,2,17,0.12371142933973528
1049,l,2,18,0.09279100530975541
1049,l,2,19,0.4765807162106459
1049,l,2,20,0.0033888695820378846
1049,l,2,21,-0.028546848920908946
1049,l,2,22,0.07943693800377352
1049,l,2,23,0.15555640547395747
1049,l,2,24,0.23746482507521224
1049,l,2,25,0.08362283728943175
1049,l,2,26,0.19917894599711858
1049,l,2,27,0.10286415563251596
1049,l,2,28,0.16511584968461102
1049,l,2,29,0.24304722810643944
1049,l,2,30,0.09280080786425432
1049,l,2,31,0.021149626654426084
1049,l,2,32,-0.009000089274467498
1049,l,2,33,0.13193367202919928
1049,l,2,34,0.15828261264184018
1049,l,2,35,0.20964489746441553
1049,l,2,36,0.051758936012105065
1049,l,2,37,-0.023272225294336212
1049,l,2,38,0.08652221252723774
1049,l,2,39,0.22673755632826534
1049,l,2,40,-0.029516232689605373
1049,l,2,41,0.1463434187004979
1049,l,2,42,0.43146419651782447
1049,l,2,43,0.08821910163802893
1049,l,2,44,0.14328223319439012
1049,l,2,45,0.2076250121053839
1049,l,2,46,0.024399073427342034
1049,l,2,47,0.1673423437038386
1049,l,2,48,0.05725089567204228
1049,l,2,49,0.004214537359918686
1049,l,2,50,0.383051444685713
1049,l,2,51,0.04530717730201631
1049,l,2,52,0.1305349784841914
1049,l,2,53,0.07057798981417931
1049,l,2,54,0.12615101220064925
1049,l,2,55,-0.13960363086489647
1049,l,2,56,0.2200517921284161
1049,l,2,57,0.20025175315512556
1049,l,2,58,-0.03189921956968955
1049,l,2,59,0.07647348034016278
1049,l,2,60,0.12142585671444978
1049,l,2,61,0.08270406420404726
1049,l,2,62,0.054873524993918406
1049,l,2,63,0.06871845138462226
1049,l,2,64,-0.020080158072986857
1049,l,2,65,0.03444483325804348
1049,l,2,66,0.028820395635411153
1049,l,2,67,-0.00037429893088058996
1049,l,2,68,-0.00037429893088058996
1049,l,2,69,-0.02115823663111768
1049,l,2,70,0.013502311838909148
1049,l,2,71,-0.028925015475160593
1049,l,2,72,0.20016404828754422
1049,l,2,73,0.025095779786005325
1049,l,2,74,0.19123953788782524
1049,l,2,75,-0.02717543722921542
1049,l,2,76,0.020102188084613618
1049,l,2,77,0.03406537470817031
1049,l,2,78,0.00012207850230759598
1049,l,2,79,0.048025209154840875
1049,l,2,80,0.065559263492385
1049,l,2,81,0.12497777001779253
1049,l,2,82,0.08269353280123588
1049,l,2,83,0.08343627403956706
1049,l,2,84,0.17300864566169713
1049,l,2,85,0.006025670707303733
1049,l,2,86,0.08788426818205301
1049,l,2,87,-0.062427141389820806
1049,l,2,88,0.037411382273524536
1049,l,2,89,0.07472305340999917
