smiles,regression_pred_pKd
CSCc1ccccc1,4.817682599301707
CCC(C)C(=O)OCc1ccccc1,5.725801616995696
CCCCCCCC(=O)OCc1ccccc1,5.319005983993947
CCCCCCCCOCc1ccccc1,5.533530203947756
O=C(Cc1ccccc1)OCc1ccccc1,4.82799427687454
CCC(=O)OCc1ccccc1,5.2980810275916514
O=C(OCc1ccccc1)c1ccccc1O,5.408279145382901
C/C=C(\C)C(=O)OCc1ccccc1,5.570231027325238
CCCCC(=O)OCc1ccccc1,5.336542146170953
CCCC(=O)C(CC)Cc1ccccc1,6.5390450473316335
c1ccc(-c2ccccc2)cc1,3.4254708359853154
CSCSC,3.89837559371824
CC(C)=CCC/C(C)=C1\CC=C(C)CC1,5.5694158139323315
CC(C)=CC/C=C(\C)C1CC=C(C)CC1,5.940500059106642
C=C(CCC=C(C)C)[C@H]1CC=C(C)CC1,6.095791289971803
CC(C)=CCC[C@](C)(O)[C@@H]1CC=C(C)CC1,6.524017869811808
Cc1cc(SSc2cc(C)oc2C)c(C)o1,4.742062989103499
CCSC(C)SCC,4.3133994346977405
c1coc(CSSCc2ccco2)c1,5.962557123544331
c1coc(CSCc2ccco2)c1,5.418253396364454
Cc1occc1SSc1ccoc1C,5.636018395992602
Cc1coc(SSSSc2occ(C)c2C)c1C,4.651794567800682
CC1(C)C2CCC1(C)C(O)C2,4.19508264275909
CC(=O)OC1CC2CCC1(C)C2(C)C,5.147132016292001
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,5.190706952610866
CCCC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,5.490642964107769
CC1(C)C2CCC1(C)C(OC=O)C2,5.095578529216893
CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,5.837735484474063
CCCCC(=O)O[C@@H]1CC2CCC1(C)C2(C)C,5.724353048979363
C=C1CCC2C1C1C(C(C)C)CCC21C,4.909379144449331
CCCC/C=C1/OC(=O)C(C)=C1C,6.010804386356032
CCCC(OCC)OCC,4.3085511588084415
CCCCCOC(CCC)OCC,5.240261493729133
CCCC(OCC)OCCC(C)C,5.0895394719539055
CCC(S)CS,3.597694726986426
CC(S)CCS,3.7095849629061535
CC(S)C(C)S,2.707651518012272
SCCCCS,2.728018037649361
CCCCS,4.591598275725524
CCC(C)S,3.8668947453645917
CCC(C)O,4.393383728950521
CCC(C)=O,5.162308505796209
C/C=C/C(OCC)OCC,4.717260249025609
C/C=C/C=O,4.285478235927524
C/C=C/C(=O)O,5.284852252611524
C/C=C\CO,4.4544445280611455
C=CC(C)O,4.68902426997317
O=C1C=CCO1,4.437107824200816
C=CC(C)=O,4.9656914408686434
CCC=CSC,4.760097992072447
CCCCOCCO,4.769110229696771
CCCCOCCOC(C)=O,5.494128149440853
CCC(C)OC(C)=O,4.999086177936672
CCCCOC(C)=O,6.097809636901926
CCCCOC(=O)CC(C)=O,5.294823772416108
CCCCOC(=O)C(C)OC(C)=O,5.8829124689626315
CCCCO,5.196200493248372
C/C=C(/C)C(=O)OCCCC,5.6603147699707375
CCCCOC(=O)c1ccccc1N,6.845837123355366
CCCCOC(=O)c1ccccc1,6.3680933357620395
CCCC(=O)OC(C)CC,4.959533189262907
CC=CC(=O)OCCCC,6.364243011348295
CCCCOC(=O)CCC,5.456340399878795
CCCCOC(=O)COC(=O)CCC,5.149032310702818
CCCCOC(=O)C(C)OC(=O)CCC,5.37822066819551
CCCCOC(=O)/C=C/c1ccccc1,6.245717186386943
CCCCC/C=C\C=C\C(=O)OCCCC,6.15909135163963
CCCCCCCCCC(=O)OCCCC,4.667706767235342
CCCCCCC/C=C/C(=O)OCCCC,5.632977341420029
CCOC(C)CC,4.180874423547296
CCCCOC(=O)CC(=O)OCC,5.247703329180911
CCCCOC=O,5.849470839713726
CCC(C)OC=O,4.9540015259862145
CCCCOC(=O)c1ccco1,6.662838696915437
CCCCCCC(=O)OCCCC,4.811556209833398
CCCCCCCCCCCCCCCC(=O)OCCCC,4.667706767235342
CCCCCC(=O)OCCCC,5.252018296152777
CCCCCC(=O)OC(C)CC,5.502798570684507
CCCC=CC(=O)OCCCC,6.044989650576385
CC/C=C/CC(=O)OCCCC,5.307635960115446
CCCCOC(=O)c1ccc(O)cc1,5.792246543750807
CCCCOC(=O)C(C)C,6.067969719083406
CCCCN=C=S,4.200403760002601
CCCCOC(=O)CC(C)C,6.101925561597555
CCCCOC(=O)C(C)O,6.032502083214508
CCC(C)OC(=O)C(C)O,4.845309956843226
CCCCCCCCCCCC(=O)OCCCC,4.667706767235342
CCCCOC(=O)CCC(C)=O,5.050622493105512
CCC(C)SC(=O)CC(C)C,5.341648899725709
CCC(C)SC(=O)C=C(C)C,5.014588078489499
CCCCOC(=O)C(C)CC,5.8305756395503865
C/C=C(\C)C(=O)OCCCC,5.469497930870521
CCCCOC(=O)C(C)CCC,5.732787411464919
CCCCCCCCCCCCCC(=O)OCCCC,4.667706767235342
CCCCCCCCC(=O)OCCCC,4.667706767235342
CCCCCCCC(=O)OCCCC,4.7774042449757035
CCCCC/C=C\C(=O)OCCCC,6.223255088116973
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,5.040390080441597
CCCCOC(=O)Cc1ccccc1,5.993280614304839
CCCCOC(=O)CC,5.330794102772925
CCC(=O)OC(C)(C)C,5.545288244835096
CCCCCCCCCCCCCCCCCC(=O)OCCCC,4.667706767235342
CCCCSCCCC,4.683365027375163
C=CCCCCCCCCC(=O)OCCCC,5.457859672932663
CCCCOC(=O)CCCC,4.916450532138682
CCCCN,4.558770494412025
CCC(C)N,3.8561171442310016
C/C=C(\C=O)CCCC,5.6241912619208705
CCCC/C(C=O)=C\c1ccccc1,6.405295802400035
CCC(C)C1CCCCC1=O,5.397258617185968
CCCCc1sc(C)nc1C,5.450334874407762
CCCCc1nc(C)c(C)s1,5.297379682984903
CCC(C)C1N=C(C)C(C)S1,4.9801283754937575
CCCCc1ccc(CC)s1,5.645158612664468
CCCCc1ccco1,6.456757252514317
CCC/C=C1/OC(=O)c2ccccc21,6.992451514528159
CCCCC1OCCOC1=O,6.1007663244019135
CCCCC1OC(=O)c2ccccc21,6.986932849345611
CCCCc1ccccn1,5.632370501730413
CCCCc1cccnc1,5.140336325950492
CC(C)(C)c1ccncc1,5.635895606018341
