Stimulus,Odorant,CID
Decanoic_Acid,Decanoic_Acid,2969.0
Dihydrojasmone,Dihydrojasmone,62378.0
Dimethyl_anthranilate,Dimethyl anthranilate,6826.0
Dimethyl_anthranilate,Dimethyl anthranilate,6826.0
Eugenol,Eugenol,3314.0
Eugenol_methyl_ether,Eugenol methyl ether,7127.0
Eugenol_methyl_ether,Eugenol methyl ether,7127.0
Eugenol_methyl_ether,Eugenol methyl ether,7127.0
Furfuryl_methyl_disulfide,Furfuryl methyl disulfide,62131.0
Heptanal,Heptanal,8130.0
Hexanoic_Acid,Hexanoic Acid,8892.0
Hexanoic_Acid,Hexanoic Acid,8892.0
Hexanoic_Acid,Hexanoic Acid,8892.0
Iso_E_Super,Iso E Super,108242.0
Lyral,Lyral,91604.0
Methyl_salicylate,Methyl salicylate,4133.0
Neryl_isobutyrate,Neryl isobutyrate,5365991.0
Nonanal,Nonanal,31289.0
Nonanal,Nonanal,31289.0
Nonanal,Nonanal,31289.0
Nonanethiol,Nonanethiol,15077.0
Nonanoic_Acid,Nonanoic Acid,8158.0
Nonanoic_Acid,Nonanoic Acid,8158.0
Nonanoic_Acid,Nonanoic Acid,8158.0
Nonanoic_Acid,Nonanoic Acid,8158.0
Octanal,Octanal,454.0
Octanal,Octanal,454.0
Octyl_formate,Octyl formate,8176.0
Olibanum_Coeur_MD,Olibanum Coeur MD,
Olibanum_Coeur_MD,Olibanum Coeur MD,
Pentanoic_Acid,Pentanoic Acid,7991.0
Pentanoic_Acid,Pentanoic Acid,7991.0
Piperonal,Piperonal,8438.0
Piperonal,Piperonal,8438.0
Piperonyl_acetate,Piperonyl acetate,9473.0
Piperonyl_acetate,Piperonyl acetate,9473.0
Quinoline,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",7047.0
Quinoline,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",7047.0
Quinoline,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",7047.0
Quinoline,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",7047.0
Vanillin,Vanillin,1183.0
a-Amylcinnamaldehyde_dimethyl_acetal,a-Amylcinnamaldehyde dimethyl acetal,6005821.0
benzyl_benzoate,benzyl benzoate (Pentamethylbenzaldehyde),2345.0
benzyl_benzoate,benzyl benzoate (Pentamethylbenzaldehyde),2345.0
beta-Damascone,beta-Damascone,32052.0
beta-ionone,beta-ionone,638014.0
beta-ionone,beta-ionone,638014.0
cis-4-Decenal,cis-4-Decenal,5362620.0
cis-6-Nonenal,cis-6-Nonenal,5362720.0
decanedioic_acid,decanedioic acid (sebacic acid),5192.0
ethyl_maltol,ethyl maltol,21059.0
ethyl_maltol,ethyl maltol,21059.0
ethyl_maltol,ethyl maltol,21059.0
galaxolide,galaxolide,91497.0
galaxolide,galaxolide,91497.0
galaxolide,galaxolide,91497.0
helional,helional,64805.0
helional,helional,64805.0
helional,helional,64805.0
n-Decyl_acetate,n-Decyl acetate,8167.0
trans-2-Methyl-2-butenal,trans-2-Methyl-2-butenal (2MB),5321950.0
