CID,Olfactory Receptor
12756,MOR258-1
12756,MOR271-1
12756,MOR272-1
12756,MOR185-1
12810,OR1D2
12813,OR1D2
12813,OR1G1
12844,OR1D2
13187,OR1A1
13187,OR1G1
13187,OR2W1
13187,MOR203-1
13187,MOR103-15
14489,OR2W1
14489,MOR203-1
14489,MOR180-1
14489,MOR258-1
14489,MOR139-1
14489,MOR271-1
14489,MOR272-1
14489,MOR250-1
14525,MOR105-1
14525,MOR136-2
14525,MOR189-1
14525,MOR1-1
14525,MOR139-1
14525,MOR107-1
14525,MOR106-1
14525,MOR273-1
14525,MOR271-1
14525,MOR272-1
15077,OR1A1
15077,OR2C1
15077,OR2W1
15077,MOR203-1
15077,MOR261-1
15077,MOR260-1
15077,MOR268-1
15717,OR1A1
15717,OR2W1
15717,OR5K1
15717,OR51L1
15717,MOR203-1
15717,MOR236-1
15717,MOR261-1
15717,MOR1-1
15717,MOR2-1
15717,MOR268-1
15717,MOR223-1
15717,MOR139-1
15717,MOR222-1
15717,MOR256-17
15717,MOR271-1
15717,MOR272-1
16724,OR1A1
16724,OR2C1
16724,OR2W1
16724,OR5P3
16724,OR9G1
16724,MOR105-1
16724,MOR203-1
16724,MOR232-5
16724,MOR136-6
16724,MOR189-1
16724,MOR1-1
16724,MOR204-6
16724,MOR41-1
16724,MOR139-1
16724,MOR129-1
16724,MOR106-1
16724,MOR271-1
16724,MOR272-1
16724,MOR250-1
16724,MOR184-1
17355,OR1D2
17356,OR2M7
17617,OR1D2
18698,OR1D2
18827,OR1D2
19707,OR2W1
19707,MOR203-1
19707,MOR41-1
19707,MOR256-17
19707,MOR271-1
20083,OR1G1
20083,MOR139-3
20499,OR9G1
20861,MOR103-15
20959,OR1D2
21574,MOR103-15
22311,OR1G1
22311,MOR276-1
24114,OR51E1
24433,OR8B3
24433,OR10A6
25311,OR1G1
25612,OR1D2
25612,OR1G1
29096,OR1D2
31219,OR1D2
31229,MOR203-1
31229,MOR41-1
31229,MOR223-1
31229,MOR139-1
31229,MOR106-1
31229,MOR250-1
31244,OR2J2
31244,OR52D1
31265,OR52D1
31276,OR1G1
31276,OR52D1
31286,MOR103-15
31289,OR1A1
31289,OR1A2
31289,OR1D2
31289,OR1G1
31289,OR2W1
31289,OR52D1
31289,MOR103-15
31289,MOR33-1
31289,MOR30-1
31289,MOR40-1
31289,MOR37-1
31289,MOR139-3
31291,MOR103-15
32594,OR52D1
60979,OR1D2
61005,OR1D2
61006,MOR103-15
61014,OR2J2
61016,MOR103-15
61030,MOR103-15
61031,MOR103-15
61052,OR14A2
61177,MOR103-15
61204,OR1D2
61235,OR1G1
61235,OR52D1
61401,OR1D2
61875,OR1A1
61875,OR1A2
62002,OR1L3
62002,OR2G2
62002,OR2T10
62002,OR2T34
62002,OR5AC2
62098,OR1G1
62341,OR1D2
62378,OR1A1
62378,OR1N2
62378,OR2W1
62378,MOR189-1
62378,MOR41-1
62378,MOR139-1
62378,MOR205-1
62378,MOR273-1
62378,MOR271-1
62378,MOR272-1
62444,OR1G1
62444,OR52D1
62465,MOR174-9
62465,MOR139-3
62539,OR2W1
62539,MOR203-1
62539,MOR41-1
62539,MOR256-17
62539,MOR271-1
62835,OR10A6
62902,OR1G1
62902,OR5AC2
64805,OR1A1
64805,OR1A2
64805,OR1D2
64805,OR3A1
64805,OR52D1
64813,OR3A1
64832,OR3A1
64832,OR7D4
80865,OR2M4
80865,OR2T34
80865,OR5AC2
82229,MOR189-1
82229,MOR107-1
82229,MOR273-1
85979,OR1D2
85979,OR3A1
86209,MOR103-15
86751,OR1D2
91604,OR1G1
91604,OR2AT4
91604,OR10J5
91604,MOR267-13
91604,MOR174-9
91604,MOR244-3
91604,MOR256-17
93199,OR1D2
95594,OR3A1
97707,OR1D2
98118,OR1A1
98118,OR1A2
101977,OR1A1
101977,OR1A2
101977,MOR125-1
101977,MOR118-1
102861,OR1G1
105513,OR1G1
105513,OR2T34
105513,OR5B17
106442,OR1D2
108312,OR1D2
110747,OR1D2
110747,MOR103-15
110977,OR1D2
111037,OR2T10
114454,OR1D2
117568,OR1D2
122370,MOR180-1
122370,MOR244-3
159055,MOR105-1
159055,MOR136-2
159055,MOR189-1
159055,MOR1-1
159055,MOR139-1
159055,MOR277-1
159055,MOR107-1
159055,MOR106-1
159055,MOR128-2
159055,MOR185-1
159055,MOR251-1
162249,OR1D2
228769,MOR103-15
228987,OR1A1
228987,OR1D2
228987,OR1G1
228987,OR2W1
228987,OR3A1
228987,MOR175-1
228987,MOR203-1
246728,OR1A1
246728,OR2W1
246728,OR52D1
246728,MOR203-1
246728,MOR271-1
246728,MOR272-1
330573,OR1A1
330573,OR1A2
439570,OR1A1
439570,OR2J2
439570,OR2W1
439570,OR5K1
439570,OR5P3
439570,MOR105-1
439570,MOR203-1
439570,MOR232-5
439570,MOR136-6
439570,MOR189-1
439570,MOR1-1
439570,MOR204-6
439570,MOR41-1
439570,MOR139-1
439570,MOR106-1
439570,MOR271-1
439570,MOR184-1
440917,MOR276-1
443157,OR1D2
443183,OR2W1
443183,MOR203-1
443183,MOR136-2
443183,MOR182-1
443183,MOR272-1
443183,MOR184-1
444294,MOR105-1
444294,MOR136-2
444294,MOR189-1
444294,MOR1-1
444294,MOR139-1
444294,MOR277-1
444294,MOR107-1
444294,MOR106-1
444294,MOR128-2
444539,OR52D1
520296,OR1D2
521238,OR1D2
576026,MOR42-3
637511,OR5AL1
637511,OR52D1
637563,OR1G1
637563,OR52D1
637564,MOR103-15
637566,OR1A1
637566,OR1D2
637566,OR1G1
637566,OR2B11
637566,OR2M7
637566,OR2W1
637566,MOR203-1
637566,MOR236-1
637566,MOR268-1
637566,MOR139-1
637758,OR1D2
637796,MOR174-9
638011,OR1A1
638011,OR1A2
638011,OR1D2
638011,OR1G1
638011,OR52D1
638011,MOR244-3
638014,OR2B3
638014,OR52D1
642039,OR1D2
643731,MOR103-15
853433,OR2B11
853433,OR7D4
853433,OR10G4
853433,OR11H6
853433,MOR224-5
853433,MOR224-9
853433,MOR224-7P
876160,MOR204-34
876160,MOR224-9
1201521,MOR136-2
1201521,MOR189-1
1201521,MOR139-1
1201521,MOR273-1
1201521,MOR271-1
1201521,MOR272-1
1549025,OR1D2
1549026,OR1D2
1549026,OR2J1
1549026,OR4X2
1549026,OR5AL1
1549026,OR5P3
1549026,OR10A6
1549026,OR10G7
1549026,OR56A4
1549045,MOR174-9
1550846,OR1D2
1550884,MOR103-15
1551245,OR52D1
3017923,OR1D2
3033030,OR1D2
3033030,MOR103-15
3354132,OR2G2
3354132,OR2T10
3354132,OR5AC2
5281167,OR2F1
5281167,OR2J3
5281167,OR8B3
5281167,OR8K3
5281167,OR10J5
5281168,MOR103-15
5282109,OR1D2
5282714,MOR103-15
5283316,MOR103-15
5283321,MOR103-15
5283335,OR1D2
5283339,MOR103-15
5283339,MOR139-3
5283345,MOR103-15
5283349,OR1D2
5283349,MOR103-15
5283356,MOR103-15
5283363,MOR103-15
5284507,OR2B3
5284507,OR2M4
5315892,OR1D2
5352435,OR1D2
5352435,MOR103-15
5352837,OR1D2
5352972,MOR103-15
5354834,OR1C1
5354883,MOR103-15
5355853,OR1D2
5355856,OR1D2
5362620,MOR103-15
5362720,MOR103-15
5362792,OR1D2
5362814,MOR103-15
5363426,OR1D2
5364519,MOR103-15
5365587,MOR103-15
5365794,MOR103-15
5372813,OR3A1
5702654,MOR103-15
6433547,OR1D2
6435841,OR1D2
6850781,OR10G7
6850781,OR51E1
14434313,OR1D2
92043553,OR2A25
92043553,OR2J2
92043553,OR2J3
92043553,OR4N4
92043553,OR10A6
92043553,OR10H2
