Sr. No,Odorant,PubChem,Receptor,UniProt,GenBank,Organism
785,5392-40-5,638011,OR52D1,Q9H346,NM_001005163,Human
786,5392-40-5,638011,MOR244-3,Q7TQQ0,NM_020514,Mus musculus
787,79-77-6,638014,OR2B3,O76000,KP290156,Human
788,79-77-6,638014,OR52D1,Q9H346,NM_001005163,Human
789,10321-71-8,642039,OR1D2,P34982,KP290685,Human
790,557-48-2,643731,MOR103-15,O95918,NM_010983,Mus musculus
791,97-54-1,853433,OR2B11,Q5JQS5,KP290627,Human
792,97-54-1,853433,OR7D4,Q8NG98,KP290724,Human
793,97-54-1,853433,OR10G4,Q8NGN3,NM_001004462,Human
794,97-54-1,853433,OR11H6,Q8NGC7,NM_001004480,Human
795,97-54-1,853433,MOR224-5,Q9EQ84,NM_146504,Mus musculus
796,97-54-1,853433,MOR224-9,Q8VEY3,NM_146330,Mus musculus
797,97-54-1,853433,MOR224-7P,Q7TRA9,NM_001011827,Mus musculus
798,93-29-8,876160,MOR204-34,Q8VEW6,NM_146311,Mus musculus
799,93-29-8,876160,MOR224-9,Q8VEY3,NM_146330,Mus musculus
800,4695-62-9,1201521,MOR136-2,Q8VGK9,NM_146950,Mus musculus
801,4695-62-9,1201521,MOR189-1,Q8VF52,NM_146407,Mus musculus
802,4695-62-9,1201521,MOR139-1,Q8VGX5,NM_147071,Mus musculus
803,4695-62-9,1201521,MOR273-1,Q7TS51,NM_146958,Mus musculus
804,4695-62-9,1201521,MOR271-1,Q8VF05,NM_146357,Mus musculus
805,4695-62-9,1201521,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
806,141-12-8,1549025,OR1D2,P34982,KP290685,Human
807,105-87-3,1549026,OR1D2,P34982,KP290685,Human
808,105-87-3,1549026,OR2J1,Q9GZK6,NM_001348294,Human
809,105-87-3,1549026,OR4X2,Q8NGF9,NM_001004727,Human
810,105-87-3,1549026,OR5AL1,P0C617,KP290662,Human
811,105-87-3,1549026,OR5P3,Q8WZ94,NM_153445,Human
812,105-87-3,1549026,OR10A6,Q8NH74,NM_001004461,Human
813,105-87-3,1549026,OR10G7,Q8NGN6,KP290607,Human
814,105-87-3,1549026,OR56A4,Q8NGH8,NM_001005179,Human
815,6380-24-1,1549045,MOR174-9,Q920P2,NM_054090,Mus musculus
816,1885-38-7,1550846,OR1D2,P34982,KP290685,Human
817,101-86-0,1550884,MOR103-15,O95918,NM_010983,Mus musculus
818,31983-27-4,1551245,OR52D1,Q9H346,NM_001005163,Human
819,69300-15-8,3017923,OR1D2,P34982,KP290685,Human
820,51566-62-2,3033030,OR1D2,P34982,KP290685,Human
821,51566-62-2,3033030,MOR103-15,O95918,NM_010983,Mus musculus
822,65416-14-0,3354132,OR2G2,Q8NGZ5,NM_001001915,Human
823,65416-14-0,3354132,OR2T10,Q8NGZ9,NM_001004693,Human
824,65416-14-0,3354132,OR5AC2,Q9NZP5,NM_054106,Human
825,928-96-1,5281167,OR2F1,Q13607,KP290641,Human
826,928-96-1,5281167,OR2J3,O76001,KP290732,Human
827,928-96-1,5281167,OR8B3,Q8NGG8,KP290709,Human
828,928-96-1,5281167,OR8K3,Q8NH51,NM_001005202,Human
829,928-96-1,5281167,OR10J5,Q8NHC4,NM_001004469,Human
830,6728-26-3,5281168,MOR103-15,O95918,NM_010983,Mus musculus
831,105-86-2,5282109,OR1D2,P34982,KP290685,Human
832,1871-67-6,5282714,MOR103-15,O95918,NM_010983,Mus musculus
833,18829-55-5,5283316,MOR103-15,O95918,NM_010983,Mus musculus
834,4313-03--5,5283321,MOR103-15,O95918,NM_010983,Mus musculus
835,18829-56-6,5283335,OR1D2,P34982,KP290685,Human
836,5910-87-2,5283339,MOR103-15,O95918,NM_010983,Mus musculus
837,5910-87-2,5283339,MOR139-3,Q8VGU7,NM_147041,Mus musculus
838,3913-81-3,5283345,MOR103-15,O95918,NM_010983,Mus musculus
839,25152-84-5,5283349,OR1D2,P34982,KP290685,Human
840,25152-84-5,5283349,MOR103-15,O95918,NM_010983,Mus musculus
841,53448-07-0,5283356,MOR103-15,O95918,NM_010983,Mus musculus
842,7774-82-5,5283363,MOR103-15,O95918,NM_010983,Mus musculus
843,7212-44-4,5284507,OR2B3,O76000,KP290156,Human
844,7212-44-4,5284507,OR2M4,Q96R27,KP290146,Human
845,104-54-1,5315892,OR1D2,P34982,KP290685,Human
846,7549-37-3,5352435,OR1D2,P34982,KP290685,Human
847,7549-37-3,5352435,MOR103-15,O95918,NM_010983,Mus musculus
848,64275-73-6,5352837,OR1D2,P34982,KP290685,Human
849,53398-78-0,5352972,MOR103-15,O95918,NM_010983,Mus musculus
850,2497-25-8,5354834,OR1C1,Q15619,NP_036485,Human
851,104-65-4,5354883,MOR103-15,O95918,NM_010983,Mus musculus
852,105-90-8,5355853,OR1D2,P34982,KP290685,Human
853,106-29-6,5355856,OR1D2,P34982,KP290685,Human
854,21662-09-9,5362620,MOR103-15,O95918,NM_010983,Mus musculus
855,2277-19-2,5362720,MOR103-15,O95918,NM_010983,Mus musculus
856,35854-86-5,5362792,OR1D2,P34982,KP290685,Human
857,6728-31-0,5362814,MOR103-15,O95918,NM_010983,Mus musculus
858,2306-78-7,5363426,OR1D2,P34982,KP290685,Human
859,20125-84-2,5364519,MOR103-15,O95918,NM_010983,Mus musculus
860,33467-73-1,5365587,MOR103-15,O95918,NM_010983,Mus musculus
861,7492-66-2,5365794,MOR103-15,O95918,NM_010983,Mus musculus
862,15174-47-7,5372813,OR3A1,P47881,KP290644,Human
863,65405-70-1,5702654,MOR103-15,O95918,NM_010983,Mus musculus
864,10339-55-6,6433547,OR1D2,P34982,KP290685,Human
865,11050-62-7,6435841,OR1D2,P34982,KP290685,Human
866,8007-80-5,6850781,OR10G7,Q8NGN6,KP290607,Human
867,8007-80-5,6850781,OR51E1,Q8TCB6,KP290590,Human
868,83926-73-2,14434313,OR1D2,P34982,KP290685,Human
869,8022-96-6,92043553,OR2A25,A4D2G3,KP290622,Human
870,8022-96-6,92043553,OR2J2,O76002,NM_030905,Human
871,8022-96-6,92043553,OR2J3,O76001,KP290732,Human
872,8022-96-6,92043553,OR4N4,Q8N0Y3,NM_001005241,Human
873,8022-96-6,92043553,OR10A6,Q8NH74,NM_001004461,Human
874,8022-96-6,92043553,OR10H2,O60403,NM_013939,Human
