Sr. No,Odorant,PubChem,Receptor,UniProt,GenBank,Organism
237,7540-51-4,7793,OR1A1,Q9P1Q5,KP290555,Human
238,7540-51-4,7793,OR2M7,Q8NG81,NM_001004691,Human
239,7540-51-4,7793,OR2W1,Q9Y3N9,KP290589,Human
240,7540-51-4,7793,MOR203-1,Q8VGC6,NM_146865,Mus musculus
241,7540-51-4,7793,MOR136-2,Q8VGK9,NM_146950,Mus musculus
242,106-30-9,7797,OR52D1,Q9H346,NM_001005163,Human
243,106-35-4,7802,OR1A1,Q9P1Q5,KP290555,Human
244,106-35-4,7802,OR2W1,Q9Y3N9,KP290589,Human
245,106-35-4,7802,MOR175-1,Q9QY00,NM_013728,Mus musculus
246,106-35-4,7802,MOR203-1,Q8VGC6,NM_146865,Mus musculus
247,106-35-4,7802,MOR271-1,Q8VF05,NM_146357,Mus musculus
248,106-35-4,7802,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
249,106-73-0,7826,OR52D1,Q9H346,NM_001005163,Human
250,107-87-9,7895,MOR175-1,Q9QY00,NM_013728,Mus musculus
251,107-87-9,7895,MOR271-1,Q8VF05,NM_146357,Mus musculus
252,108-94-1,7967,OR1G1,P47890,KP290512,Human
253,108-94-1,7967,OR52D1,Q9H346,NM_001005163,Human
254,108-94-1,7967,MOR136-2,Q8VGK9,NM_146950,Mus musculus
255,108-94-1,7967,MOR258-1,Q7TQV4,NM_146853,Mus musculus
256,108-94-1,7967,MOR253-1,Q8VGM2,NM_146964,Mus musculus
257,108-94-1,7967,MOR41-1,E9Q549,NM_146754,Mus musculus
258,108-94-1,7967,MOR139-1,Q8VGX5,NM_147071,Mus musculus
259,108-94-1,7967,MOR277-1,Q8VGD7,NM_146877,Mus musculus
260,108-94-1,7967,MOR256-17,P23275,NM_008762,Mus musculus
261,108-94-1,7967,MOR273-1,Q7TS51,NM_146958,Mus musculus
262,108-94-1,7967,MOR271-1,Q8VF05,NM_146357,Mus musculus
263,108-94-1,7967,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
264,108-94-1,7967,MOR185-1,Q7TR71,NM_147078,Mus musculus
265,108-94-1,7967,MOR251-1,Q8VGT4,NM_147026,Mus musculus
266,109-08-0,7976,OR1G1,P47890,KP290512,Human
267,109-21-7,7983,OR52D1,Q9H346,NM_001005163,Human
268,109-52-4,7991,MOR1-1,Q9WVN6,NM_013616,Mus musculus
269,109-52-4,7991,MOR31-2,Q8VH18,NM_020290,Mus musculus
270,110-38-3,8048,OR1G1,P47890,KP290512,Human
271,110-43-0,8051,OR1A1,Q9P1Q5,KP290555,Human
272,110-43-0,8051,OR2W1,Q9Y3N9,KP290589,Human
273,110-43-0,8051,MOR175-1,Q9QY00,NM_013728,Mus musculus
274,110-43-0,8051,MOR203-1,Q8VGC6,NM_146865,Mus musculus
275,110-43-0,8051,MOR139-3,Q8VGU7,NM_147041,Mus musculus
276,110-43-0,8051,MOR271-1,Q8VF05,NM_146357,Mus musculus
277,110-43-0,8051,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
278,110-54-3,8058,MOR103-15,O95918,NM_010983,Mus musculus
279,110-62-3,8063,MOR103-15,O95918,NM_010983,Mus musculus
280,111-11-5,8091,OR52D1,Q9H346,NM_001005163,Human
281,111-13-7,8093,OR1A1,Q9P1Q5,KP290555,Human
282,111-13-7,8093,OR2W1,Q9Y3N9,KP290589,Human
283,111-13-7,8093,MOR175-1,Q9QY00,NM_013728,Mus musculus
284,111-13-7,8093,MOR203-1,Q8VGC6,NM_146865,Mus musculus
285,111-13-7,8093,MOR103-15,O95918,NM_010983,Mus musculus
286,111-13-7,8093,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
287,111-14-8,8094,OR52D1,Q9H346,NM_001005163,Human
288,111-14-8,8094,MOR22-2,Q9WVD7,NM_013621,Mus musculus
289,111-14-8,8094,MOR31-1,F8VPJ8,NM_013619,Mus musculus
290,111-14-8,8094,MOR1-1,Q9WVN6,NM_013616,Mus musculus
291,111-14-8,8094,MOR31-2,Q8VH18,NM_020290,Mus musculus
292,111-14-8,8094,MOR33-1,Q8VGX8,NM_147074,Mus musculus
293,111-14-8,8094,MOR23-1,Q8VG01,NM_146731,Mus musculus
294,111-14-8,8094,MOR30-1,Q8VGZ2,NM_147088,Mus musculus
295,111-14-8,8094,MOR8-2,Q8VH13,NM_147111,Mus musculus
296,111-14-8,8094,MOR5-1,Q8VH20,NM_147120,Mus musculus
297,111-14-8,8094,MOR40-1,Q8VGV1,NM_147045,Mus musculus
298,111-14-8,8094,MOR42-2,E9PWI5,NM_001011782,Mus musculus
299,111-14-8,8094,MOR106-1,E9Q438,NM_020288,Mus musculus
300,111-27-3,8103,OR1G1,P47890,KP290512,Human
301,111-27-3,8103,OR2W1,Q9Y3N9,KP290589,Human
