Stimulus,File
ethyl lactate,csvs/ethyl lactate_0.csv
L-bornyl acetate,csvs/L-bornyl acetate_1.csv
L-bornyl acetate,csvs/L-bornyl acetate_2.csv
lavandulol,csvs/lavandulol_0.csv
2-acetylcyclopentanone,csvs/2-acetylcyclopentanone_0.csv
2-methylcyclopropanecarboxylic acid,csvs/2-methylcyclopropanecarboxylic acid_0.csv
(1R)-(+)-camphor,csvs/(1R)-(+)-camphor_1.csv
D-camphor,csvs/D-camphor_2.csv
5-hydroxy-4-octanone,csvs/5-hydroxy-4-octanone_0.csv
phenethyl 2-furoate,csvs/phenethyl 2-furoate_0.csv
thujone,csvs/thujone_0.csv
perillyl alcohol,csvs/perillyl alcohol_0.csv
(-)-limonene,csvs/(-)-limonene_2.csv
(-)-limonene,csvs/(-)-limonene_3.csv
(-)-limonene,csvs/(-)-limonene_1.csv
carvone(-),csvs/carvone(-)_1.csv
carvone(-),csvs/carvone(-)_2.csv
(+)-limonene ,csvs/(+)-limonene _0.csv
beta-pinene,csvs/beta-pinene_2.csv
(1S)-(-)-beta-pinene,csvs/(1S)-(-)-beta-pinene_1.csv
menthofuran,csvs/menthofuran_0.csv
cyclamen aldehyde,csvs/cyclamen aldehyde_0.csv
menthyl isovalerate,csvs/menthyl isovalerate_1.csv
menthyl isovalerate,csvs/menthyl isovalerate_2.csv
"trans,trans-2,6-nonadienal","csvs/trans,trans-2,6-nonadienal_0.csv"
cinnamaldehyde,csvs/cinnamaldehyde_1.csv
cinnamaldehyde,csvs/cinnamaldehyde_2.csv
methyl cinnamate,csvs/methyl cinnamate_0.csv
geraniol,csvs/geraniol_2.csv
geraniol,csvs/geraniol_1.csv
Cyclooctene,csvs/Cyclooctene_0.csv
"trans, trans-2,4-hexadien-1-ol","csvs/trans, trans-2,4-hexadien-1-ol_0.csv"
"trans-2,cis-6-nonadienal","csvs/trans-2,cis-6-nonadienal_0.csv"
nerol,csvs/nerol_0.csv
isoeugenol,csvs/isoeugenol_0.csv
cis-jasmone,csvs/cis-jasmone_0.csv
neryl acetate,csvs/neryl acetate_0.csv
longifolene,csvs/longifolene_0.csv
(+)-terpinen-4-ol,csvs/(+)-terpinen-4-ol_0.csv
3-(5-methyl-2-furyl)butanal,csvs/3-(5-methyl-2-furyl)butanal_0.csv
phytol,csvs/phytol_0.csv
cis-3-hexen-1-ol,csvs/cis-3-hexen-1-ol_0.csv
beta-caryophyllene,csvs/beta-caryophyllene_0.csv
a-ionone,csvs/a-ionone_3.csv
a-ionone,csvs/a-ionone_4.csv
a-ionone,csvs/a-ionone_5.csv
alpha-ionone,csvs/alpha-ionone_6.csv
a-ionone,csvs/a-ionone_1.csv
a-ionone,csvs/a-ionone_2.csv
"trans,trans-2,4-decadienal","csvs/trans,trans-2,4-decadienal_0.csv"
trans-3-hexen-1-ol,csvs/trans-3-hexen-1-ol_0.csv
nerolidol,csvs/nerolidol_0.csv
cinnamyl alcohol,csvs/cinnamyl alcohol_0.csv
trans-2-hexen-1-ol,csvs/trans-2-hexen-1-ol_0.csv
tiglic aldehyde,csvs/tiglic aldehyde_0.csv
cis-2-hexen-1-ol,csvs/cis-2-hexen-1-ol_0.csv
(-)-terpinen-4-ol,csvs/(-)-terpinen-4-ol_0.csv
trans-4-octene,csvs/trans-4-octene_0.csv
cis-4-octene,csvs/cis-4-octene_0.csv
trans-2-octene,csvs/trans-2-octene_0.csv
methyl trans-2-octenoate,csvs/methyl trans-2-octenoate_0.csv
isobutyl angelate,csvs/isobutyl angelate_0.csv
celeriax,csvs/celeriax_0.csv
isoamyl tiglate,csvs/isoamyl tiglate_0.csv
santalol,csvs/santalol_0.csv
