Stimulus,Concentration,Ventrality
4-octyne,1000ppm,-4.643730824831838
methyl phenylacetate,,-4.702996628131668
ethyl butyrate,1/20 in mineral oil,-4.785165905387773
m-anisaldehyde,,-4.79537299033192
fenchone,1/20 in mineral oil,-4.92547479536459
isobutyl angelate,,-4.931159071260179
methyl salicylate,1/20 in mineral oil,-4.940041276323331
(-)-terpinen-4-ol,,-4.974984791529662
tiglic aldehyde,,-4.987384254559432
2-octanone,200 ppm,-5.026962806615069
1-butanol,,-5.054623555994933
p-tolualdehyde,125ppm,-5.068009915665935
"1,7-octadiene",1000ppm,-5.167411496953333
trans-2-octene,1000ppm,-5.2229591441676995
propylbenzene,,-5.242703234465263
methyl salicylate,0.3 ppm,-5.26692644994747
"1,5-cyclooctadiene",715.3ppm,-5.26755400855223
p-xylene,125ppm,-5.27298789981794
heptane,,-5.281002893770665
2-pentanone,,-5.408119046954749
mesitylene,,-5.444240808382576
methyl cyclohexanecarboxylate,,-5.572137401914968
ethylbenzene, 1/4,-5.6773058621523065
(+)-terpinen-4-ol,,-5.681979088218621
m-tolualdehyde,125ppm,-5.712477972688373
methyl 3-methylbutenoate,,-5.778530797073834
2-hexanone,75,-5.784171607404469
cyclooctane,,-5.787081321891165
"1,7-octadiyne",1000ppm,-5.866242325838355
2-methyl-2-pentene,,-5.881031753022037
norcamphor,1/20 in mineral oil,-6.042571445021069
cinnamaldehyde, 1/8,-6.0591036090959705
methyl salicylate,0.9 ppm,-6.101356870359522
acetone-simp,,-6.128547840273458
(1R)-(+)-camphor,1/20 in mineral oil,-6.144830105574409
3-hexanone,250ppm,-6.152800657240481
benzaldehyde,125ppm,-6.231209378344986
2-butanone,2500ppm,-6.244002397563817
"1,2,3-trimethylbenzene",125ppm,-6.392675092192324
"2,3,5,6-tetramethylpyrazine",,-6.520606539744341
2-hexanone,200 ppm,-6.6561257271360645
m-xylene,125ppm,-6.691264160232006
ethylbenzene, 1/8,-6.719482626664682
diethylacetal,,-6.904362404983187
methyl anthranilate,,-6.997058725325958
4-heptanol,,-7.040969425560711
2-acetylpyridine,,-7.053328189691085
o-xylene,125ppm,-7.122167440621048
carvone(-),,-7.169458756269588
"3,3,5-trimethylcyclohexanone",,-7.219443039433607
3-hexanone,,-7.309118482311768
acetophenone,,-7.317224551086056
"2,4-dimethylbenzaldehyde",125ppm,-7.3191740188940795
acetylcyclohexane,,-7.4540711772335735
carvone(-),,-7.486480298658673
methyl benzoate,,-7.5556738873442475
3-heptanone,,-7.572349988035485
4-methyl-3-penten-2-one,,-7.6010970530911095
"1,2,4-trimethylbenzene",125ppm,-7.642200039123459
isopropylbenzene,,-7.673960287309967
tert-butylbenzene, 1/8,-7.814411761985605
2-heptanone,,-7.870364852947487
"2,5-dimethylpyrazine",,-7.949077803249912
4-heptanone,,-8.097088598273743
5-methyl-2-hexanone,,-8.100142335217384
L-menthone,,-8.21035020119808
benzaldehyde,,-8.216307347127861
methyl benzoate,1/20 in mineral oil,-8.300170211003636
methyl benzoate,1/20 in mineral oil,-8.300170211003636
pinacolone,,-8.30277277440053
tert-butanol,,-8.413014914290743
sec-butanol,,-8.413014914290743
2-hexanone,200 ppm,-8.413255048804443
7-oxabicyclo[2.2.1]heptane,1/20 in mineral oil,-8.429709804263037
L-menthone,1/4 in mineral oil,-8.451978069918756
o-tolualdehyde,125ppm,-8.458060190720156
Cyclooctene,924.1ppm,-8.484307711455457
"2,3,5-trimethylpyrazine",,-8.540736641750007
2-methyl-3-buten-2-ol,,-8.593299204104872
L-menthone,,-8.686482942892095
thujone,,-8.746711917541633
mesitylene,125ppm,-8.774233517490504
"2,6-dimethylpyrazine",,-8.928902528703475
methyl benzoate,1/20 in mineral oil,-8.993603480442868
methyl salicylate,2.8 ppm,-9.419285716777935
cyclohexanone,,-9.960425516251824
eucalyptol, 1/8,-9.998838220124412
methyl salicylate,2.8 ppm,-10.090431337418043
4-tert-butylpyridine,,-10.215394877854852
"2,3-dimethylpyrazine",,-10.221002656272525
eucalyptol, 1/8,-11.964445606948306
