Stimulus,CID,Rep,Name,Conditions,SourceFile
5282108_1,5282108,1,a-ionone,0.05ppm,a_ionone_a_io_1_240.csv
5282108_2,5282108,2,alpha-ionone,,a_ionone_a_io_1_8.csv
5282108_3,5282108,3,a-ionone,0.15ppm,a_ionone_a_io_1_80.csv
5282108_4,5282108,4,a-ionone,,a_ionone_a_io_enr_c.csv
5282108_5,5282108,5,a-ionone,,a_ionone_a_io_enr_e.csv
5283349_0,5283349,0,"trans,trans-2,4-decadienal",1/20 in mineral oil,"trans,trans_2,4_decadienal_SG27.csv"
5284503_0,5284503,0,trans-3-hexen-1-ol,,trans_3_hexen_1_ol_c6alca.csv
5284507_0,5284507,0,nerolidol,,nerolidol_SG16.csv
5315892_0,5315892,0,cinnamyl alcohol,,cinnamylalcohol_SG17.csv
5318042_0,5318042,0,trans-2-hexen-1-ol,,trans_2_hexen_1_ol_c6alca.csv
5321950_0,5321950,0,tiglic aldehyde,,tiglicaldehyde_sg10.csv
5324489_0,5324489,0,cis-2-hexen-1-ol,,cis_2_hexen_1_ol_c6alca.csv
5325830_0,5325830,0,(-)-terpinen-4-ol,,terp4ol(_)_ster.csv
5357253_0,5357253,0,trans-4-octene,1000ppm,trans_4_octene_expc.csv
5364446_0,5364446,0,cis-4-octene,1000ppm,cis_4_octene_expc.csv
5364448_0,5364448,0,trans-2-octene,1000ppm,trans_2_octene_expc.csv
5364532_0,5364532,0,methyl trans-2-octenoate,,methyl_trans_2_octeno#89D68.csv
5367807_0,5367807,0,isobutyl angelate,,isobutylangelate_SG7.csv
5373603_0,5373603,0,celeriax,,celeriax_SG9.csv
5463682_0,5463682,0,isoamyl tiglate,,isoamyltiglate_SG7.csv
5634_0,5634,0,undecylenic acid,1/20 in mineral oil,undecylenicacid_SG27.csv
565690_0,565690,0,menthyl isovalerate,1/24 in mineral oil,menthylisoval_mint_1_24.csv
565690_1,565690,1,menthyl isovalerate,1/4 in mineral oil,menthylisoval_mint_1_4.csv
568_0,568,0,dibenzofuran,,dibenzofuran_SG20.csv
58_0,58,0,2-ketobutyric acid,,2_ketobutyricacid_Aci+Ket.csv
60997_0,60997,0,p-tolyl phenylacetate,,p_tolylphenylacetate_SG17.csv
61016_0,61016,0,"2,6-dimethyl-5-heptenal",,"2,6_dimethyl_5_hepten#89CD2.csv"
61020_0,61020,0,3-methyl-2-butenal,,3_methyl_2_butenal_SG10.csv
61138_0,61138,0,4-pentenoic acid,,4_pentenoicacid_SG18.csv
61199_0,61199,0,abhexone,,abhexone_SG17.csv
61206_0,61206,0,farnesyl acetone,,farnesylacetone_SG14.csv
61303_0,61303,0,2-pentadecanone,,2_pentadecanone_SG25.csv
61384_0,61384,0,phenethyl hexanoate,,phenethylhexanoate_SG14.csv
61814_0,61814,0,"2,4-dimethylbenzaldehyde",125ppm,"2,4_dimethylbenzaldehyde_arg1.csv"
6184_0,6184,0,hexanal,,hexanal_ald1.csv
62003_0,62003,0,4-methylnonanoic acid,1/20 in mineral oil,4_methylnonanoicacid_SG27.csv
62539_0,62539,0,"3,4-hexanedione",250ppm,"3,4_hexanedione_dione.csv"
6276_0,6276,0,1-pentanol,30 ppm,1_pentanol_alc2.csv
6276_1,6276,1,n-pentanol,20ppm,1_Pentanol_alcket.csv
6276_2,6276,2,1-pentanol,2.5ppm,1_pentanol_fgrp_2.5.csv
6276_3,6276,3,1-pentanol,79,pentanol_fgrp-79.csv
6276_4,6276,4,1-pentanol,25 ppm,pentanol_fgrp_25.csv
6276_5,6276,5,1-pentanol,250,pentanol_fgrp_250.csv
636687_0,636687,0,"trans,trans-2,6-nonadienal",,trans_trans_26_nonadi#89D9A.csv
637511_0,637511,0,cinnamaldehyde, 1/8,cinnamaldehyde_SG5.csv
637511_1,637511,1,cinnamaldehyde, 1/8,cinnamaldehyde_SG_CH.csv
637520_0,637520,0,methyl cinnamate,,mecinnamate_SG15.csv
637566_0,637566,0,geraniol, 1/8,geraniol_cis_trans1.csv
637566_1,637566,1,geraniol,,geraniol_SG3.csv
638079_0,638079,0,Cyclooctene,924.1ppm,Cyclooctene_expc.csv
6386_0,6386,0,tert-butanol,,tert_butanol_OHp1.csv
641256_0,641256,0,"trans, trans-2,4-hexadien-1-ol",,sorbicalsohol-c6alcb.csv
6416_0,6416,0,pinacolone,,pinacolone_SG11.csv
6417_0,6417,0,trimethylacetic acid,,trimethylaceticacid_SG17.csv
6425_0,6425,0,pinacol,,pinacol_SG13.csv
643731_0,643731,0,"trans-2,cis-6-nonadienal",,trans-cis-26-nonadien#89D9B.csv
643820_0,643820,0,nerol,,nerol_cis_trans1.csv
6501_0,6501,0,ethyl 3-methyl-3-phenylglycidate,,strawberryaldehyde_SG6.csv
650_0,650,0,"2,3-butanedione",2500ppm,"2,3_butanedione_dione.csv"
6549_0,6549,0,linalool,,linalool_C10Alcs.csv
6560_0,6560,0,isobutanol,,isobutanol_OHp1.csv
6568_0,6568,0,2-butanol,200ppm,2_butanol_alcket.csv
6568_1,6568,1,sec-butanol,,sec_butanol_OHp1.csv
6569_0,6569,0,2-butanone,200ppm,2_butanone_alcket.csv
6569_1,6569,1,2-butanone,2500ppm,2_butanone_dione.csv
6584_0,6584,0,methyl acetate,,methylacetate_SG19.csv
6590_0,6590,0,isobutyric acid,,isobutyricacid_SG18.csv
6669_0,6669,0,ketone moschus,1/20 in mineral oil,ketonemoschus_SG15.csv
66774_0,66774,0,methyl glycolate,,methylglycolate_Alc+Es.csv
6989_0,6989,0,thymol,,thymol_SG13.csv
69963_0,69963,0,5-hexen-1-ol,,5_hexen_1_ol_c6alca.csv
70099_0,70099,0,"1,7-octadiyne",1000ppm,"1,7_octadiyne_expc.csv"
702_0,702,0,ethanol,2500ppm,ethanol_salcohols_2500.csv
7047_0,7047,0,quinoline,1g/160 in mineral oil,quinoline_SG1.csv
70610_0,70610,0,monoethyl succinate,1/20 in mineral oil,monoethylsuccinate_acies.csv
70615_0,70615,0,monoethyl malonate,1/20 in mineral oil,monoethylmalonate_acies.csv
7144_0,7144,0,creosol,,creosol_SG26.csv
7150_0,7150,0,methyl benzoate,1/20 in mineral oil,methylbenzoate_arg1.csv
7150_1,7150,1,methyl benzoate,1/20 in mineral oil,methylbenzoate_arg2.csv
7150_2,7150,2,methyl benzoate,,methylbenzoate_HC.csv
7151_0,7151,0,methyl nicotinate,,menicotinate_SG13.csv
7169_0,7169,0,phenyl benzoate,,phenylbenzoate_SG20.csv
7237_0,7237,0,o-xylene,125ppm,o_xylene_arg1.csv
7247_0,7247,0,"1,2,4-trimethylbenzene",125ppm,"1,2,4_trimethylbenzene_arg1.csv"
7268_0,7268,0,diethyl oxalate,,dietoxalate_dies.csv
7334_0,7334,0,ethyl chrysanthemumate,,etchrysanthemumate.csv
7366_0,7366,0,tert-butylbenzene, 1/4,tertbutylbenzene_ModuleC1.csv
7366_1,7366,1,tert-butylbenzene, 1/8,tert_butylbenzene_SG10.csv
7406_0,7406,0,isopropylbenzene,,isopropylbenzene_ModuleC1.csv
7410_0,7410,0,acetophenone,,acetophenone_HC.csv
7460_0,7460,0,alpha-phellandrene,1/24 in mineral oil,a_phe_mint_1_24.csv
7460_1,7460,1,alpha-phellandrene,1/4 in mineral oil,a_phe_mint_1_4.csv
7500_0,7500,0,ethylbenzene,125ppm,ethylbenzene_arg1.csv
7500_1,7500,1,ethylbenzene, 1/8,ethylbenzene_HC.csv
7500_2,7500,2,ethylbenzene, 1/4,ethylbenzene_ModuleC1.csv
7507_0,7507,0,cyclohexylmethanol,,cyclohexylmethanol_HC.csv
7559_0,7559,0,methyl phenylacetate,,me_phenylacetate_SG9.csv
7581_0,7581,0,2-benzylpyridine,,2_benzylpyridine_SG12.csv
7583_0,7583,0,diphenyl ether,,diphenylether_SG5.csv
7668_0,7668,0,propylbenzene,,propylbenzene_ModuleC1.csv
7705_0,7705,0,butylbenzene,,butylbenzene_ModuleC1.csv
7725_0,7725,0,p-tolualdehyde,125ppm,p_tolualdehyde_arg1.csv
7749_0,7749,0,ethyl propionate,1/20 in mineral oil,ethylpropionate_acies.csv
7749_1,7749,1,ethyl propionate,12 ppm,ethylpropionate_Alc+Es.csv
7749_2,7749,2,ethyl propionate,75 ppm,ethylpropionate_es3.csv
7761_0,7761,0,diethyl malonate,,dietmalonate_dies.csv
7762_0,7762,0,ethyl butyrate,1/20 in mineral oil,ethylbutyrate_acies.csv
7762_1,7762,1,ethyl butyrate,75 ppm,ethylbutyrate_es3.csv
7762_2,7762,2,ethyl butyrate,,ethylbutyrate_est1.csv
