CID A,CID B,Subject,Rep,IA,IAmix,IB,IBmix,IAB,PA,PB,PAB
454,7590,62,1,8.2,2.5,9.3,6.5,8.2,8.4,1.3,3.5
454,7590,65,1,8.6,7.7,7.7,0.8,8.7,1.6,4.5,1.5
454,31260,2,1,7.4,5.6,7.5,3.8,6.6,2.7,1.7,2.8
454,31260,3,1,3.7,4.1,4.3,4.1,6.0,6.2,5.2,4.8
454,31260,5,1,5.6,6.4,4.7,5.2,6.3,3.4,2.8,3.3
454,31260,6,1,7.0,2.8,6.5,3.9,5.8,2.8,3.5,1.9
454,31260,7,1,2.9,1.5,5.0,3.8,6.0,4.0,1.1,2.1
454,31260,9,1,9.2,7.8,8.3,5.0,9.3,2.3,2.8,2.2
454,31260,14,1,6.5,7.2,7.0,7.7,6.4,2.1,4.1,2.0
454,31260,17,1,2.6,3.4,2.2,1.8,4.2,7.6,1.7,2.6
454,31260,25,1,5.8,3.5,5.3,4.2,5.2,3.9,6.4,5.7
454,31260,27,1,7.4,6.7,5.1,5.1,5.7,4.3,4.7,3.0
454,31260,28,1,6.7,4.0,7.3,3.7,6.2,4.3,6.0,6.0
454,31260,29,1,5.0,3.0,5.1,4.1,5.0,5.9,9.3,9.4
454,31260,32,1,3.4,1.7,5.4,4.9,1.3,6.6,2.3,3.8
454,31260,34,1,7.3,5.1,4.5,1.4,5.4,1.2,5.4,2.7
454,31260,35,1,5.9,3.0,6.3,4.7,5.3,1.3,1.7,0.6
454,31260,36,1,6.2,3.7,7.1,5.0,7.2,5.4,2.3,2.4
454,31260,39,1,6.0,6.0,3.8,2.9,6.1,8.0,7.0,8.0
454,31260,44,1,5.4,4.9,6.3,7.6,6.0,5.6,2.6,5.3
454,31260,45,1,3.7,1.3,7.4,4.4,6.4,2.2,2.2,2.7
454,31260,46,1,7.1,5.0,5.1,1.3,7.2,8.4,4.4,8.1
454,31260,49,1,6.2,6.2,6.3,4.4,5.5,2.3,4.5,2.5
454,31260,53,1,5.1,3.6,4.4,4.4,5.6,4.1,5.3,3.3
454,31260,54,1,5.0,5.5,5.0,2.5,4.9,7.2,6.4,7.1
454,31260,56,1,9.0,5.4,8.1,4.1,5.0,4.3,3.0,6.0
454,31260,57,1,4.1,4.5,5.7,3.4,5.0,4.0,3.7,3.7
454,31260,60,1,5.4,4.3,5.3,4.8,5.2,8.0,7.8,8.4
454,31260,61,1,5.7,6.0,2.5,2.5,6.7,5.6,3.6,5.7
454,31260,62,1,8.3,1.7,7.1,8.5,8.5,5.9,7.2,3.4
454,31260,63,1,2.7,1.4,2.6,3.3,2.6,5.0,5.4,5.0
454,31260,65,1,7.4,3.7,5.6,3.9,5.0,2.5,2.7,2.6
650,24020,5,1,4.4,4.8,3.9,4.3,5.6,2.2,3.0,3.0
650,24020,5,2,4.3,4.7,5.5,4.4,5.3,4.5,4.8,4.3
650,24020,7,1,5.0,6.0,7.0,7.0,5.0,2.8,2.0,5.8
650,24020,7,2,5.1,6.1,6.4,5.8,6.7,5.9,8.9,4.7
650,24020,11,1,4.0,4.8,6.7,6.7,4.1,4.0,3.7,6.1
650,24020,11,2,6.0,4.2,5.6,2.2,7.1,2.5,7.0,2.0
650,24020,13,1,3.4,0.85,5.2,2.08,9.4,4.7,4.3,0.5
650,24020,13,2,6.8,5.4,6.9,4.8,7.3,4.8,6.5,6.2
650,24020,14,1,8.9,8.9,7.0,7.0,9.0,3.0,5.5,3.1
650,24020,14,2,6.0,5.7,7.0,5.6,7.0,4.6,5.5,4.0
650,24020,16,1,3.6,2.52,7.2,5.4,5.0,6.2,4.8,4.8
650,24020,16,2,7.0,5.3,6.0,9.0,8.0,7.0,6.0,7.0
650,24020,17,1,7.5,9.0,8.0,8.0,7.0,5.5,7.0,0.0
650,24020,17,2,2.3,1.8,5.3,6.1,5.9,4.1,8.7,9.0
650,24020,23,1,7.6,3.04,4.6,1.84,9.4,3.6,5.4,1.4
650,24020,23,2,8.4,5.0,2.3,1.2,6.6,1.5,7.3,2.7
650,24020,25,1,6.0,7.5,3.8,4.37,6.0,2.0,3.0,2.0
650,24020,25,2,7.3,5.1,6.8,0.0,7.8,4.7,7.0,6.7
650,24020,27,1,5.5,7.425,4.4,5.06,6.4,5.5,4.4,3.5
650,24020,27,2,7.7,2.3,7.6,6.1,8.5,6.2,5.1,5.1
650,24020,28,1,8.2,9.84,6.2,3.1,8.0,3.3,7.6,4.6
650,24020,28,2,4.0,4.8,3.3,2.3,5.8,5.6,2.3,5.2
650,24020,29,1,5.5,7.7,9.6,11.0,6.5,5.4,3.7,3.6
650,24020,29,2,5.0,4.5,5.6,6.7,5.0,9.5,9.0,9.5
650,24020,32,1,2.8,5.6,6.0,11.0,7.5,4.6,2.6,0.0
650,24020,32,2,5.2,2.6,7.4,3.7,6.5,1.6,1.2,7.1
650,24020,33,1,7.8,11.0,4.4,5.28,4.6,3.8,4.0,4.4
650,24020,33,2,5.0,5.0,5.0,3.5,5.0,4.0,5.0,5.0
650,24020,34,1,5.0,4.75,5.6,4.48,5.0,4.6,4.3,5.4
650,24020,34,2,7.5,3.8,6.4,1.9,5.2,2.6,5.7,5.2
650,24020,35,1,5.3,4.505,5.8,4.35,5.5,6.7,7.7,6.5
650,24020,35,2,4.5,6.8,4.0,5.0,5.0,3.5,5.0,2.5
650,24020,36,1,5.4,8.1,7.6,9.5,5.2,0.5,5.7,4.5
650,24020,36,2,6.1,5.8,5.9,5.3,7.1,4.3,6.4,4.9
650,24020,44,1,5.0,2.5,5.5,2.75,5.0,5.0,5.5,4.4
650,24020,44,2,6.3,5.7,6.7,6.0,6.7,3.8,5.3,6.5
650,24020,45,1,3.6,5.4,4.5,6.75,7.4,3.6,3.4,5.5
650,24020,45,2,7.0,4.2,5.7,3.7,6.5,0.2,1.7,1.0
650,24020,46,1,5.5,5.5,6.0,5.4,6.8,2.6,3.7,5.5
650,24020,46,2,4.1,4.9,6.5,8.5,7.9,4.2,2.5,3.8
650,24020,47,1,8.0,11.0,9.0,2.25,10.0,2.0,4.2,0.1
650,24020,47,2,5.0,7.5,6.0,7.5,8.0,5.0,4.0,1.9
650,24020,48,1,9.5,9.025,7.5,7.125,8.5,3.7,6.0,4.3
650,24020,48,2,6.6,8.3,8.5,4.3,7.5,5.5,5.8,3.5
650,24020,52,1,5.6,3.36,6.4,4.48,7.0,4.6,3.5,4.4
650,24020,52,2,5.0,2.0,5.8,6.1,6.0,5.9,6.3,5.3
650,24020,54,1,5.0,4.0,5.0,2.5,5.0,5.4,7.0,6.4
650,24020,54,2,4.0,6.0,6.1,9.2,5.7,8.0,4.0,6.0
650,24020,55,1,3.5,3.5,8.0,7.6,4.4,5.5,7.0,5.6
650,24020,55,2,3.5,3.9,5.5,6.3,5.5,7.5,4.0,6.4
650,24020,56,1,3.6,6.3,6.6,11.0,9.0,2.5,3.6,9.0
650,24020,56,2,3.0,3.9,5.1,8.2,9.3,4.1,5.1,3.1
650,24020,60,1,6.4,5.12,7.2,5.76,5.3,6.0,5.3,8.0
650,24020,60,2,6.2,5.3,6.4,7.7,5.8,5.3,5.3,5.5
650,24020,61,1,2.5,5.0,4.8,4.8,5.0,7.0,5.0,9.4
650,24020,61,2,2.5,3.3,7.4,6.7,5.3,3.4,5.2,5.7
650,24020,63,1,4.5,3.2,5.0,3.5,7.0,0.5,6.0,4.4
650,24020,63,2,5.0,6.3,3.8,5.7,6.0,4.5,4.9,5.0
650,24020,64,1,4.6,0.0,8.8,9.7,7.8,4.5,5.8,7.3
650,24020,64,2,5.4,5.4,7.0,3.5,6.4,5.4,5.3,8.5
650,31260,6,1,3.4,5.8,1.9,0.0,6.5,1.3,4.9,1.4
650,31260,7,1,7.2,5.8,4.6,3.2,8.5,9.5,4.8,8.7
650,31260,9,1,7.6,5.3,7.6,4.6,6.5,5.7,2.5,5.5
650,31260,11,1,5.9,4.7,5.5,2.8,6.7,3.2,4.0,3.0
650,31260,17,1,1.7,2.6,8.0,6.4,6.7,5.8,1.8,1.2
650,31260,19,1,6.5,7.2,5.5,5.0,7.0,4.4,5.0,4.6
650,31260,20,1,5.6,5.0,6.5,4.9,7.5,5.4,5.2,3.2
650,31260,21,1,6.9,4.8,3.6,4.0,6.0,3.4,6.8,3.3
650,31260,23,1,4.4,5.3,5.3,6.1,6.8,4.4,2.1,2.7
650,31260,28,1,4.1,4.5,4.8,6.5,6.8,4.5,5.3,4.4
650,31260,30,1,6.8,5.4,0.2,0.3,4.8,0.0,3.5,0.0
650,31260,33,1,5.1,6.1,2.1,1.5,4.0,3.3,4.1,5.0
650,31260,34,1,8.7,11.0,6.6,3.3,9.3,2.3,2.7,1.4
650,31260,36,1,7.9,11.0,4.6,0.0,7.0,3.8,4.8,2.8
650,31260,37,1,7.0,5.6,1.0,0.0,8.0,0.8,5.8,0.8
650,31260,38,1,7.2,6.5,6.5,5.5,7.6,6.2,7.4,6.5
650,31260,39,1,4.5,3.6,4.4,4.4,7.5,5.8,4.8,6.8
650,31260,40,1,8.0,1.6,6.9,9.7,7.4,4.4,4.1,3.9
650,31260,45,1,6.0,5.1,6.8,1.4,6.8,1.8,2.1,2.6
650,31260,47,1,7.9,11.0,5.5,9.6,9.7,3.0,3.8,0.0
650,31260,51,1,6.4,3.8,6.5,3.3,7.3,4.9,4.8,5.5
650,31260,53,1,5.1,0.0,2.5,4.0,7.4,5.6,4.4,7.2
650,31260,57,1,4.3,5.6,5.0,3.5,5.5,4.2,4.8,4.5
