FooDB ID,Name,CAS
FDB000657,Galangin,548-83-4
FDB000658,3-Methylgalangin,6665-74-3
FDB000661,Raffinose,512-69-6
FDB000662,Gallic acid,149-91-7
FDB000663,Methyl gallate,99-24-1
FDB000666,Sanguiin H6,82978-00-5
FDB000668,Gemin D,84744-46-7
FDB000669,6''-O-Acetylgenistin,73566-30-0
FDB000670,6''-Malonylgenistin,51011-05-3
FDB000678,(S)-Naringenin,480-41-1
FDB000679,Safflor Yellow A,85532-77-0
FDB000680,Delphinidin 3-[6''-(4'''-p-coumaroylrhamnosyl)glucoside] 5-glucoside,28463-30-1
FDB000682,Xenognosin A,76907-79-4
FDB000683,Nobiletin,478-01-3
FDB000687,(-)-Ligballinol,55332-75-7
FDB000688,Eriodictyol,552-58-9
FDB000689,Eriodictyol 7-glucoside,38965-51-4
FDB000690,"3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone",112448-39-2
FDB000691,Pebrellin,13509-93-8
FDB000693,Diosmetin 7-rutinoside,520-27-4
FDB000694,Eleutheroside B1,16845-16-2
FDB000696,Isofraxidin,486-21-5
FDB000697,Amitenone,21682-47-3
FDB000698,Glycitein,40957-83-3
FDB000700,Undecanoic acid,112-37-8
FDB000701,Ethyl undecanoate,627-90-7
FDB000702,Carrotatoxin,21852-80-2
FDB000704,Glycerol trieicosanoate,620-64-4
FDB000705,"Glycerol 1,2-di-(9Z,12Z-octadecadienoate) 3-octadecanoate",2190-17-2
FDB000707,Glycerol tribenzoate,614-33-5
FDB000708,Dihydroisophorol,116-02-9
FDB000709,(R)-Synephrine,94-07-5
FDB000710,Choline,62-49-7
FDB000711,Choline chloride,67-48-1
FDB000714,Pimpinellidine,131-12-4
FDB000716,N-gamma-L-Glutamyl-L-phenylalanine,6810-81-7
FDB000717,N-gamma-L-Glutamyl-L-tyrosine,7432-23-7
FDB000718,"3-Acetyl-2,5-dimethylfuran",10599-70-9
FDB000722,Hydroxy-alpha-sanshool,83883-10-7
FDB000723,N5-Hexanoylspermidine,97141-37-2
FDB000727,Diethyl disulfide,110-81-6
FDB000728,Diethyl malonate,105-53-3
FDB000730,"(-)-trans-2,5-Diethyltetrahydrofuran",41239-48-9
FDB000734,Diisopropyl disulfide,4253-89-8
FDB000736,3-Methyl-2-butenoic acid,541-47-9
FDB000738,"(2E,4E)-2,4-Hexadienoic acid",110-44-1
FDB000739,Methyl sorbate,689-89-4
FDB000740,Lycopersiconol,20745-29-3
FDB000741,2-Pyrrolidinone,616-45-5
FDB000742,Gossypol,303-45-7
FDB000744,Methyl 10-undecenoate,111-81-9
FDB000746,Lansiol,62462-35-5
FDB000747,Sodium calcium edetate,62-33-9
FDB000748,Edetate disodium,6381-92-6
FDB000749,Edetate trisodium,150-38-9
FDB000750,Edetate sodium,64-02-8
FDB000751,Triacetin,102-76-1
FDB000753,Ethanol,64-17-5
FDB000754,Ethylene,74-85-1
FDB000755,2-Methylpropane,114438-33-4
FDB000756,Glycerol,56-81-5
FDB000757,Nonane,111-84-2
FDB000758,Octane,111-65-9
FDB000759,Butane,106-97-8
FDB000760,Chloroform,67-66-3
FDB000761,Cyclohexane,110-82-7
FDB000764,Dimethyl sulfoxide,67-68-5
FDB000765,Hexane,110-54-3
FDB000768,Pentane,109-66-0
FDB000769,2-Aminoethanol,141-43-5
FDB000770,Lubiminol,55784-92-4
FDB000771,Ginkgolide J,107438-79-9
FDB000772,Lucyoside O,163634-06-8
FDB000773,Stigmastentriol,
FDB000774,Tiglic acid,80-59-1
FDB000775,Angelic acid,565-63-9
FDB000776,5-Methyl-2(3H)-furanone,591-12-8
FDB000778,Asparagusic acid,2224-02-4
FDB000779,Asparagusic acid syn-S-oxide,42258-87-7
FDB000780,Asparagusic acid anti-S-oxide,42258-86-6
FDB000781,9-Azabicyclo[3.3.1]nonan-3-one,4390-39-0
FDB000783,(S)-2-Azetidinecarboxylic acid,2133-34-8
FDB000784,Diazenedicarboxamide,123-77-3
FDB000787,L-Asparagine,70-47-3
FDB000788,Macrophorin D,92279-92-0
FDB000790,Tricetin,520-31-0
FDB000791,Lucyoside Q,183294-29-3
FDB000793,Torvoside C,185012-38-8
FDB000794,Torvoside D,
FDB000795,3-O-Protocatechuoylceanothic acid,
FDB000796,"5alpha-Ethoxy-6beta-hydroxy-5,6-dihydrophysalin B",
FDB000801,Chalconaringenin,5071-40-9
FDB000802,Oleyl alcohol,143-28-2
FDB000803,Phenylmethanethiol,100-53-8
FDB000804,2-Methylbenzenethiol,137-06-4
FDB000806,2-Methylbenzaldehyde,529-20-4
FDB000807,3-Methylbenzaldehyde,620-23-5
FDB000808,4-Methylbenzaldehyde,104-87-0
FDB000809,(4-Methylphenyl)acetaldehyde,104-09-6
FDB000810,3-(4-Methylphenyl)-2-propenal,1504-75-2
FDB000811,"1,8,8-Trimethyl-2-oxabicyclo[3.2.1]octan-3-one",1126-91-6
FDB000812,"p-Mentha-1,3,5,8-tetraene",1195-32-0
FDB000816,Xanthoxylin,90-24-4
FDB000817,"2',6'-Dihydroxy-4'-methoxyacetophenone",7507-89-3
FDB000819,"2,4,5-Trimethoxybenzaldehyde",4460-86-0
FDB000820,Gallaldehyde,13677-79-7
FDB000821,"3,5-Dihydroxy-4-methoxybenzaldehyde",29865-85-8
FDB000822,"4-Hydroxy-3,5-dimethoxybenzaldehyde",134-96-3
FDB000823,"2,4,6-Trihydroxybenzoic acid",83-30-7
FDB000826,2-(4-Methylphenyl)-2-propanol,1197-01-9
FDB000827,1-(1-Methoxy-1-methylethyl)-4-methylbenzene,
FDB000828,"3,6-Epoxy-5,5',6,6'-tetrahydro-b,b-carotene-3',5,5',6'-tetrol",181046-82-2
FDB000829,Erinacine G,182927-59-9
FDB000830,Erinacine E,178120-47-3
FDB000831,"2,4'-Dihydroxyacetophenone",5706-85-4
FDB000832,"2',3'-Dihydroxyacetophenone",13494-10-5
FDB000833,"2',4'-Dihydroxyacetophenone",89-84-9
FDB000834,"2',6'-Dihydroxyacetophenone",699-83-2
FDB000836,Zierin,645-02-3
FDB000838,Vanillin,121-33-5
FDB000839,Vanillin acetate,881-68-5
FDB000840,Vanilloside,494-08-6
FDB000841,Ethyl vanillin,121-32-4
FDB000842,"2,4-Dihydroxybenzoic acid",89-86-1
FDB000843,2-Hydroxy-4-methoxybenzoic acid,2237-36-7
FDB000844,Gentisic acid,490-79-9
FDB000845,"2,6-Dihydroxybenzoic acid",303-07-1
FDB000846,Vanillic acid,121-34-6
FDB000848,"3,5-Dihydroxybenzoic acid",99-10-5
FDB000849,Phloretic acid,501-97-3
FDB000850,"2,3,6-Trimethylphenol",2416-94-6
FDB000855,"1,4-Dimethoxybenzene",150-78-7
FDB000857,2-Methoxy-4-vinylphenol,7786-61-0
FDB000858,"2,6-Dimethoxy-1,4-benzoquinone",530-55-2
FDB000860,"2,6-Di-tert-butyl-1,4-benzoquinone",719-22-2
FDB000861,Diosmetin,520-34-3
FDB000865,"2,6-Dimethoxy-4-methylphenol",6638-05-7
FDB000867,(+)-Asarinin,133-03-9
FDB000869,2-Hydroxy-6-pentadecylbenzoic acid,16611-84-0
FDB000872,4-Methoxybenzaldehyde,123-11-5
FDB000874,2-Ethoxynaphthalene,93-18-5
FDB000875,2-Naphthalenethiol,91-60-1
FDB000876,Octacosanal,22725-64-0
FDB000877,2-Naphthol,135-19-3
FDB000878,Wine lactone,182699-77-0
FDB000880,Sodium lactate,72-17-3
FDB000882,Salicylic acid,69-72-7
FDB000883,S-Methyl benzenecarbothioate,5925-68-8
FDB000884,Hexacosanal,26627-85-0
FDB000885,Hydroquinone,123-31-9
FDB000886,Mequinol,150-76-5
FDB000887,Cinnamyl alcohol,104-54-1
FDB000888,trans-Cinnamyl alcohol,4407-36-7
FDB000889,Cinnamyl acetate,21040-45-9
FDB000892,Erythrosine,15905-32-5
FDB000893,Phenol,108-95-2
FDB000894,Acetylsalicylic acid,50-78-2
FDB000896,Anthranilic acid,118-92-3
FDB000897,Methyl anthranilate,134-20-3
FDB000898,"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one",79-78-7
FDB000899,(±)-Leucine,328-39-2
FDB000900,"2-Amino-3-methylimidazo[4,5-f]quinoline",76180-96-6
FDB000901,"2-Amino-3,4-dimethylimidazo[4,5-f]quinoline",77094-11-2
FDB000904,"(R)-2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-glucoside",113565-32-5
FDB000906,Thiabendazole,148-79-8
FDB000907,Thiazole,288-47-1
FDB000908,"4,5-Dihydro-1-benzoxepin-3(2H)-one",35783-10-9
FDB000911,2-Thiophenecarboxaldehyde,98-03-3
FDB000912,Thiophene,110-02-1
FDB000914,2-Thiophenethiol,7774-74-5
FDB000917,Tryptamine,61-54-1
FDB000918,Saccharin,81-07-2
FDB000919,Saccharin sodium,128-44-9
FDB000920,Saccharin calcium,6485-34-3
FDB000921,Urocanic acid,104-98-3
FDB000923,"5-Ethyl-2,3-dimethylpyrazine",15707-34-3
FDB000925,5-Ethyl-2-methylpyridine,104-90-5
FDB000926,2-Ethyl-4-methylthiazole,15679-12-6
FDB000927,4-Ethyl-2-methylthiazole,32272-48-3
FDB000929,2-Ethyl-5-methylthiophene,40323-88-4
FDB000930,3-Ethylpyridine,536-78-7
FDB000933,1H-Indole-3-acetic acid,87-51-4
FDB000934,1H-Indole-3-carboxaldehyde,487-89-8
FDB000935,Indole-beta-carboxylic acid,771-50-6
FDB000936,Indole-3-methyl acetate,1912-33-0
FDB000937,1H-Indole-3-acetamide,879-37-8
FDB000938,3-(1H-Indol-3-yl)-2-propenoic acid,1204-06-4
FDB000939,1H-Indole-3-methanol,700-06-1
FDB000940,1H-Indole-3-methanamine,22259-53-6
FDB000941,1H-Indole-3-propanoic acid,830-96-6
FDB000951,2-Furancarboxylic acid,88-14-2
FDB000952,Methyl 2-furoate,611-13-2
FDB000953,Menadione,58-27-5
FDB000954,Naphthalene,91-20-3
FDB000955,Dantron,117-10-2
FDB000956,Frusemide,54-31-9
FDB000957,Furazolidone,67-45-8
FDB000958,Procyanidin B1,20315-25-7
FDB000961,4-Hydroxybenzeneacetonitrile,14191-95-8
FDB000962,Skimmin,93-39-0
FDB000963,Herniarin,531-59-9
FDB000964,2-Acetyl-1-ethylpyrrole,39741-41-8
FDB000965,"1,1-Diethoxy-2-hexene",67746-30-9
FDB000966,Ethyl (±)-2-methyl-4-pentenoate,53399-81-8
FDB000967,Methyl (±)-2-Methylbutanoate,53955-81-0
FDB000968,Pentyl pentanoate,2173-56-0
FDB000969,Allyl nonanoate,7493-72-3
FDB000970,N-Acetyl-L-serine,16354-58-8
FDB000971,Propylene glycol stearate,1323-39-3
FDB000972,9-Pentadecenoic acid,15451-50-0
FDB000974,Saringosterol 3-glucoside,14280-30-9
FDB000975,Isofucosterol glucoside,87678-84-0
FDB000976,Isoeruboside B,186545-52-8
FDB000979,"6e,9e-Dihydroxy-4,7E-megastigmadien-3-one 9-glucoside",109-04-6
FDB000980,"6e,9e-Dihydroxy-4,7E-megastigmadien-3-one 9-[apiosyl-(1->6)-glucoside]",109-04-6
FDB000984,Cymorcin monoglucoside,76859-62-6
FDB000986,2-O-Protocatechuoylalphitolic acid,182682-95-7
FDB000987,2alpha-Hydroxypyracrenic acid,182682-96-8
FDB000989,6-Epi-7-isocucurbic acid glucoside,176486-13-8
FDB000990,Mono-trans-p-coumaroylmesotartaric acid,27174-06-7
FDB000991,Unshuoside A,302-72-7
FDB000992,Protoisoeruboside B,186545-34-6
FDB001000,Dieporeticanin,
FDB001003,Montecristin,185336-15-6
FDB001004,(Z)-13-Oxo-9-octadecenoic acid,38205-11-7
FDB001005,(Z)-15-Oxo-11-eicosenoic acid,182145-55-7
FDB001006,Diisodityrosine,175889-19-7
FDB001007,(E)-2-Tetracosenoic acid,33228-63-6
FDB001008,Mangiferic acid,18402-92-1
FDB001009,8-Dotriacontenoic acid,182141-52-2
