smiles,regression_logP
C=CCC1(O)C(C)(C)CCCCC1(C)C,3.920000000000004
C=C(C(C)C(C)O)C(C)C(C)(C)C,3.2417000000000016
CC(=O)OC1CCCCC1C(C)(C)C,3.1544000000000016
O=C1CCCCCCCCCCCC(=O)OCCO1,3.3775000000000017
CC(=O)OC1(C)CCC23CC1C(C)(C)[C@@H]2CC[C@H]3C,4.1806000000000045
C/C=C(\C)C(=O)OCCc1ccccc1,2.738500000000001
C=CCOC(=O)CC1CCCCC1,2.6860000000000013
C=CCOC(=O)CCCC1CCCCC1,3.4662000000000024
CCOC(C=C(C)CCC=C(C)C)OCC,4.078200000000003
CC(C)=CCCC(C)=CC#N,3.2026800000000017
CC=C(C)C(=O)OCCCCCC,3.0761000000000016
C=CCOC(=O)CCCCCC1CCCCC1,4.246400000000004
C/C=C(/C)C(=O)OCC/C=C/CC,2.8521000000000014
O=CC=Cc1ccccc1,1.8987
CCOc1cc(C=O)ccc1O,1.6034
CCOC(C)OC/C=C(\C)CCC=C(C)C,4.078200000000003
CCCCCCO,1.5590000000000002
C=C(C)[C@@H]1CC=C(C)C(=O)C1,2.4879000000000007
CCCCCCOC(=O)c1ccccc1O,3.129300000000002
C=C(C)C1=C(C)C2(C)CC1CC2C(=O)OC,3.0981000000000014
C=CCOC(=O)CCCCC1CCCCC1,3.856300000000004
C=CCSSCC=C,2.7398000000000016
C=CCS,1.1022
C=C1C(O)CC23CC1C(C)(C)C2CCC3C,3.3858000000000024
C=CCOC(=O)CCCCCCCC,3.4662000000000024
C=CCOC(=O)CCCCCCC,3.0761000000000016
CC1=CC(=O)[C@H](C(C)C)CC1,2.567800000000001
C=CCOC(=O)Cc1ccccc1,1.9583
C=CCOC(=O)CC,1.1256
C=CCOC(=O)c1ccccc1O,1.735
C=C(C)OC(=O)C=CC=CC,2.1955
C=CCSCC=C,2.0916
C=CCN=C=S,1.2752
C=CCSC(=O)CC,1.8422
C=CCOC(=O)/C(C)=C/C,1.6818
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@]21CC[C@@]3(C)O,3.609800000000003
C=CCCCCCCCCC(=O)OCC=C,4.022400000000003
C=CCOC(=O)CC(C)C,1.7617
CC1CCC(C(C)C)C(=O)C1,2.6477000000000013
C=CCCC(=O)C1=CCCC(C)(C)C1,3.6582000000000026
CC(=O)CC(=O)OCCC(C)C,1.5548
CCCCCO,1.1689
CCCCCCOC(C)=O,2.1298000000000004
O=C(O)/C=C/c1ccccc1,1.7844
C=CCC(C)C(=O)OCC,1.7617
OCC=Cc1ccccc1,1.6921
CC(C)CCOC(=O)C(C)C,2.2317
CCCCCC(=Cc1ccccc1)C(OC)OC,4.269200000000004
CCCCC/C(=C/c1ccccc1)COC=O,3.8233000000000033
CC(=O)OCC=Cc1ccccc1,2.2629
CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C,5.239600000000006
CC(C)CC(=O)OCC=Cc1ccccc1,3.2891000000000017
CCC(C)(C)C1CCC(=O)CC1,3.181900000000001
CCCC(=O)O,0.8711
Cc1ccc(C=O)cc1,1.80752
CC(C)=CCCC(C)=CC=O,2.878000000000001
COC(C=C(C)CCC=C(C)C)OC,3.298000000000002
CCCCCCCCOC(C)=O,2.910000000000002
C/C=C/c1ccc(OCCCCC)c(OC)c1,4.297300000000004
CC(C)CCOC(=O)CCCc1ccco1,3.191600000000002
CC(=O)CC(=O)OCc1ccccc1,1.7089
CC(C)CCOC(=O)CCc1ccco1,2.8015000000000008
CC(CO)C1CCCCC1,2.1951
CC(C)CCOC(=O)CC(C)C,2.621800000000001
CC(=O)C1CCCC(C)(C)C1,2.791800000000001
CCCCCCC(=O)OCCCCC,3.6902000000000026
O=C1CCCCCCC/C=C\CCCCCCC1,5.586700000000006
CCCCCCOCC(OC)OC,2.2022000000000004
CCCCCCC(=O)OCCC(C)C,3.5461000000000027
CCC(C)CCC(C)(O)CC,2.973700000000002
CC(C)C/C=C(/CO)C(C)C,2.6072000000000006
CC(O)C1C2CCC(C2)C1(C)C,2.4395000000000007
CCC(=O)OC,0.5694
CCCCCCCCCCCC(=O)OCCC(C)C,5.496600000000004
CC1=CC[C@H](CC=O)C1(C)C,2.567800000000001
CCCCCCCOC(C)=O,2.5199000000000007
CC/C=C(\C)C(O)CCCCC,3.283900000000002
O=C1CCC2CCCCC2O1,1.8822
O=c1ccc2ccccc2o1,1.7930000000000001
Cc1ccc(O)cc1,1.7006199999999998
OCc1ccc2c(c1)OCO2,0.9076
CC(=O)Oc1ccc(C)cc1,1.92032
CC1(C)COC(C)(c2ccccc2)OC1,2.932300000000001
COC(=O)c1ccc(O)c(C)c1O,1.19282
CCCC(C)C1OCC(C)(CCC)CO1,3.6019000000000023
