smiles,regression_binding_score
CC(C)(C)Nc1nccc(C2CCCN(CCc3c[nH]c4ccccc34)C2)n1,8.28
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,7.33
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)cc1,6.1
CC(C)(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,5.92
CC(C)(CCN1C(=O)CC2(CCCC2)CC1=O)CN1CCN(c2ncccn2)CC1,6.15
CC(C)C(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21,9.0
CC(C)C(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,7.92
CC(C)CCCCCCOc1ccc2[nH]cc(CCN)c2c1,5.93
CC(C)CS(=O)(=O)NC1CCN(CCOc2ccccc2-c2ccccc2)CC1,7.13
CC(C)CS(=O)(=O)NC1CCN(CCOc2ccccc2C(C)C)CC1,6.56
CC(C)N(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1cccc2ccccc12,6.53
CC(C)N(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1ccccc1,5.47
CC(C)N1CC(CNCCCc2c[nH]c3ccccc23)Oc2ccccc21,6.76
CC(C)N=C(N)NNCCCNCC1CCc2ccccc2O1,8.1
CC(C)NC(=NCCCNCC1CCc2ccccc2O1)NC#N,7.8
CC(C)NCC(O)CCOc1cccc2[nH]ccc12,5.75
CC(C)NCC(O)COc1cccc2[nH]ccc12,6.96
CC(C)Oc1ccc2cc(C3CCN(CC(O)COc4cccc5[nH]ccc45)CC3)sc2c1,7.7
CC(C)Oc1cccc2c1NC(N)=NC2C,6.58
CC(C)Oc1cccc2sc(C3CCN(CC(O)COc4cccc5[nH]ccc45)CC3)cc12,8.13
CC(C)Oc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,9.27
CC(C)Oc1ccccc1N1CCN(CCn2cnc3sc4c(c3c2=O)CCN(C)C4)CC1,9.16
CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,8.77
CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCc4ccccc43)c2)CC1,8.47
CC(C)Oc1ccccc1OCCNCC1COC(c2ccccc2)(c2ccccc2)O1,8.77
CC(C)Oc1ccccc1OCCNCc1cccc(-c2ccccc2)c1,5.85
CC(C)Oc1ccccc1OCCNCc1cccc(-c2ccsc2)c1,7.17
CC(C)Oc1ccccc1OCCNCc1cccc(C2=CCCC2)c1,7.16
CC(C)Oc1ccccc1OCCNCc1cccc(C2=CCCCC2)c1,7.33
CC(C)Oc1ccccc1OCCNCc1cccc(C2=CCCCCC2)c1,5.81
CC(C)Oc1ccccc1OCCNCc1cccc(C2CCCC2)c1,6.71
CC(C)c1cccc(OCCN2C3CCC2CC(NS(=O)(=O)c2cnn(C)c2)C3)c1,6.37
CC(C)c1ccccc1N1CCN(CCCCC(=O)N2Cc3ccccc3CC2C(N)=O)CC1,7.47
CC(C)c1ccccc1N1CCN(CCCCCC(=O)N2CCc3ccccc3C2)CC1,8.43
CC(C)c1ccccc1N1CCN(CCCCCC(=O)N2Cc3ccccc3C2)CC1,7.66
CC(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,6.78
CC(C)c1ccccc1N1CCN(CCCCCC(=O)NCc2ccc(C#N)cc2)CC1,7.28
CC(C)c1ccccc1N1CCN(CCCCCC(=O)NCc2ccccc2)CC1,6.86
CC(C)c1ccccc1N1CCN(CCCCCC(=O)NCc2ccncc2)CC1,6.49
CC(C)c1ccccc1N1CCN(CCCCCCC(=O)N2CCCC2C(=O)N2CCCCC2)CC1,7.84
CC(C)c1ccccc1N1CCN(CCCCCCC(=O)N2CCCC2C(=O)N2CCOCC2)CC1,7.77
CC(C)c1ccccc1N1CCN(CCCCCCC(=O)N2CCCC2C(N)=O)CC1,7.8
CC(C)c1ccccc1N1CCN(CCCCCCC(=O)N2Cc3ccccc3CC2C(N)=O)CC1,7.7
CC(C)c1ccccc1OCCN1CCC(N(C)S(=O)(=O)c2ccccc2)CC1,6.85
CC(C)c1ccccc1OCCN1CCC(N(C)S(=O)(=O)c2cnn(C)c2)CC1,6.46
CC(C)c1ccccc1OCCN1CCC(N(CC2CC2)S(=O)(=O)c2cnn(C)c2)CC1,6.67
CC(C)c1ccccc1OCCN1CCC(NC(=O)c2ccc3ccccc3n2)C1,7.52
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2ccc(N)cc2)CC1,6.3
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccc3cccnc23)C1,7.64
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccc3ncccc23)CC1,6.64
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2ccccc2)CC1,6.6
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccnc2)CC1,6.43
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccs2)C1,7.68
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cncc3ccccc23)CC1,6.99
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cnn(C)c2)CC1,6.21
CC(C)n1cc(C2CCC(N3CCN(c4cccc5[nH]ccc45)CC3)CC2)c2cc(C#N)ccc21,6.16
CC(CCCN1C(=O)CC2(CCCC2)CC1=O)N1CCN(c2ncccn2)CC1,8.4
CC(CN(C(=O)c1ccc(C#N)cc1)c1ccccn1)N1CCN(c2cccc3c2OCCO3)CC1,7.984999999999999
CC(COc1ccc2c(c1)NC(=O)CO2)NCC(O)COc1cccc2[nH]ccc12,9.1
CC(Cc1c[nH]c2ccccc12)N1CCCC(c2ccnc(NC3CC3)n2)C1,7.4
CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3,5.01
CC(N)Cc1c[nH]c2ccccc12,5.49
CC(N)Cc1cn(C)c2ccc3c(c12)CCCO3,6.23
CC(N)Cn1[nH]cc2ccc(=O)cc1-2,5.945
CC(NCC1CCN(CCc2c[nH]c3ccc(CC4COC(=O)N4)cc23)C1)c1ccccc1,8.06
CC(Nc1nccc(C2CCCN(CCc3c[nH]c4ccccc34)C2)n1)C1CC1,7.49
CC(O)(CCN1C(=O)CC2(CCCC2)CC1=O)CN1CCN(c2ncccn2)CC1,5.84
CC(O)(CNC12CC3CC(CC(C3)C1)C2)COc1cccc2[nH]ccc12,6.06
CC(O)(CNC1CCCCC1)COc1cccc2[nH]ccc12,5.84
CC(Oc1ccccc1C1CC1)C1=NCCN1,8.18
CC(Oc1ccccc1CC1CC1)C1=NCCN1,7.873333333333332
CC(Oc1ccccc1OC1CC1)C1=NCCN1,7.83
CC1(C)CC(=O)N(CCCCN2CCN(c3ccc4cc([N+](=O)[O-])ccc4n3)CC2)C(=O)C1,5.68
CC1(C)CC(=O)N(CCCCN2CCN(c3ccc4ccccc4n3)CC2)C(=O)C1,7.96
CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,7.12
CC1(C)COc2c(OCCNCc3cccc(C4=CCCC4)c3)cccc21,6.95
CC1(C)Cc2cccc(N3CCN(CCc4ccc5c(c4)NC(=O)CO5)CC3)c2O1,9.3
CC1(C)Cc2cccc(OCCNCc3cccc(C4=CCCC4)c3)c2O1,8.0
CC1(C)Cc2cccc(OCCNCc3cncc(C4=CCCC4)c3)c2O1,8.54
CC1(C)OC2C=CC=CC2=C1OCCN1CCC(Oc2ccc3c(c2)NC(=O)CO3)CC1,8.7
CC1(C)Oc2cccc(OCCNCc3cccc(C4=CCCC4)c3)c2O1,7.61
CC1(Nc2nccc(C3CCCN(CCc4c[nH]c5ccccc45)C3)n2)CC1,7.5
CC1=C(CCN(C)C)c2cc(NS(=O)(=O)c3csc4ccccc34)ccc2C1,5.94
CC1C(c2ccccc2)OCCN1C,4.9
CC1CC(=O)c2c(N3CCN(C)CC3)cccc2N1S(=O)(=O)c1ccc2ccccc2c1,5.92
CC1CC(=O)c2ccc(N3CCN(C)CC3)cc2N1S(=O)(=O)c1ccc2ccccc2c1,5.8
CC1CC(C)N1C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,8.826666666666668
CC1CC(c2cc3ccccc3s2)CCN1CC(O)COc1cccc2[nH]ccc12,8.5
CC1CCCN1C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,5.025
CC1CCCN1CCN1CCc2cc(-c3ccc(C(=O)N4CCCC4)cc3)ccc2C1=O,4.91
CC1CCN(CCC2CCCCN2S(=O)(=O)c2cccc3ccccc23)CC1,5.8
CC1CCN(CCC2CCCN2S(=O)(=O)c2cccc3ccccc23)CC1,6.0
CC1CN(c2ccc3cc([N+](=O)[O-])ccc3n2)CCN1CCCCN1C(=O)CC(C)(C)CC1=O,6.66
CC1CN(c2ccc3cc([N+](=O)[O-])ccc3n2)CCN1CCCCN1C(=O)CC2(CCCC2)CC1=O,6.11
CC1CN(c2ccc3cc([N+](=O)[O-])ccc3n2)CCN1CCCCN1C(=O)CCCC1=O,6.15
CC1CN(c2ccc3ccccc3n2)CCN1CCCCN1C(=O)CC(C)(C)CC1=O,7.82
