Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Intensity1,Dilution2,Intensity2,Dilution3,Intensity3,PredictedDistance,Mix Component 1,Mix Component 2,Mix Component 3,Mix Component 4,Mix Component 5,Mix Component 6,Mix Component 7,Mix Component 8,Mix Component 9,Mix Component 10,Mix Component 11,Mix Component 12,Mix Component 13,Mix Component 14,Mix Component 15,Mix Component 16,Mix Component 17,Mix Component 18,Mix Component 19,Mix Component 20,Mix Component 21,Mix Component 22,Mix Component 23,Mix Component 24,Mix Component 25,Mix Component 26,Mix Component 27,Mix Component 28,Mix Component 29,Mix Component 30,,,,,
mono-molecule,"Exp4,5",8025,,,13,,100.00%,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",19310,,,14,,100.00%,75.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",6561,,,15,,1.00%,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",7793,,,16,,100.00%,66.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",443158,,,17,,100.00%,66.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",264,,,18,,10.00%,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",11552,,,19,,10.00%,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",12020,,,20,,100.00%,40.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",22386,,,21,,100.00%,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",62336,,,22,,100.00%,57.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",527,,,23,,10.00%,64.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",263,,,24,,100.00%,29.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",9609,,,25,,10.00%,41.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",6584,,,26,,100.00%,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",1032,,,27,,10.00%,44.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",6569,,,28,,100.00%,13.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",84682,,,29,,100.00%,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",8063,,,30,,100.00%,49.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",6276,,,31,,100.00%,29.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",10448,,,32,,1.00%,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",8857,,,33,,100.00%,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",7895,,,34,,100.00%,27.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",7284,,,35,,100.00%,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",11173,,,36,,100.00%,34.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",261,,,37,,10.00%,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",5284503,,,38,,100.00%,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",5318042,,,39,,100.00%,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",8103,,,40,,100.00%,66.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",637566,,,41,,100.00%,76.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",638011,,,42,,100.00%,82.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",637776,,,43,,10.00%,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",10890,,,44,,100.00%,77.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",24915,,,45,,100.00%,57.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",31266,,,46,,100.00%,68.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",6184,,,47,,100.00%,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",3314,,,48,,100.00%,71.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",8842,,,49,,100.00%,75.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",10430,,,50,,10.00%,81.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",Blank,,,51,,100.00%,13.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,263,,,1,,10.00%,39.03,0.01,35.58840976,0.10%,26.06041628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
