,"FRUITY,CITRUS",LEMON,GRAPEFRUIT,ORANGE,"FRUITY,OTHER THAN CITRUS",PINEAPPLE,GRAPE JUICE,STRAWBERRY,"APPLE, FRUIT",PEAR,"CANTALOUPE, HONEYDEW MELON",PEACH FRUIT,BANANA,FLORAL,ROSE,VIOLETS,LAVENDER,COLOGNE,MUSK,PERFUMERY,FRAGRANT,AROMATIC,HONEY,"CHERRY, BERRY",ALMOND,NAIL POLISH REMOVER,"NUTTY, WALNUT ETC.",SPICY,CLOVE,CINNAMON,LAUREL LEAVES,TEA LEAVES,SEASONING FOR MEAT,BLACK PEPPER,GREEN PEPPER,DILL,CARAWAY,"OAK WOOD,COGNAC","WOODY, RESINOUS",CEDARWOOD,MOTHBALLS,"MINTY, PEPPERMINT",CAMPHOR,EUCALYPTUS,CHOCOLATE,VANILLA,SWEET,MAPLE SYRUP,CARAMEL,MALTY,RAISINS,MOLASSES,COCONUT,"ANISE, LICORICE",ALCOHOLIC,"ETHERISH, ANAESTHETIC",CLEANING FLUID,"GASOLINE, SOLVENT","TURPENTINE, PINE OIL",GERANIUM LEAVES,CELERY,FRESH GREEN VEGETABLES,CRUSHED WEEDS,CRUSHED GRASS,"HERBAL, GREEN,CUTGRASS",RAW CUCUMBER,HAY,GRAINY (AS GRAIN),YEASTY,BAKERY (FRESH BREAD),SOUR MILK,"FERMENTED, ROTTEN FRUIT",BEERY,SOAPY,LEATHER,CARDBOARD,ROPE,WET PAPER,"WET WOOL,WET DOG",DIRTY LINEN,STALE,"MUSTY, EARTHY, MOLDY",RAW POTATO,MOUSE,MUSHROOM,PEANUT BUTTER,BEANY,"EGGY, FRESH EGGS","BARK,BIRCHBARK",CORK,"BURNT,SMOKY",FRESH TOBACCO SMOKE,INCENSE,COFFEE,STALE TOBACCO SMOKE,BURNT PAPER,BURNT MILK,BURNT RUBBER,TAR,CREOSOTE,"DISINFECTANT, CARBOLIC",MEDICINAL,CHEMICAL,BITTER,"SHARP, PUNGENT, ACID","SOUR, VINEGAR",SAUERKRAUT,AMMONIA,URINE,CAT URINE,FISHY,"KIPPERY,SMOKED FISH","SEMINAL, SPERM-LIKE",NEW RUBBER,SOOTY,BURNT CANDLE,KEROSENE,"OILY, FATTY","BUTTERY, FRESH BUTTER",PAINT,VARNISH,POPCORN,FRIED CHICKEN,"MEATY ( COOKED,GOOD)",SOUPY,COOKED VEGETABLES,RANCID,SWEATY,CHEESY,HOUSEHOLD GAS,SULFIDIC,"GARLIC, ONION",METALLIC,"BLOOD, RAW MEAT",ANIMAL,SEWER,"PUTRID, FOUL, DECAYED","FECAL, LIKE MANURE",CADAVEROUS,SICKENING,"DRY, POWDERY",CHALKY,LIGHT,HEAVY,"COOL,COOLING",WARM
638011,61.94,71.48,12.28,24.42,6.08,4.38,0.6,1.46,0.0,2.11,2.42,2.31,0.6,12.22,4.2,2.11,2.95,11.87,2.0,18.43,49.14,40.97,1.76,1.63,2.0,1.76,0.84,9.48,1.15,1.26,2.11,0.0,1.03,0.0,1.15,2.19,0.52,0.42,4.52,3.58,1.33,5.69,2.0,4.84,0.0,0.73,35.45,0.0,0.0,0.0,0.0,0.0,0.52,0.6,2.11,3.77,2.42,0.84,5.06,3.65,0.6,2.0,3.35,3.46,20.96,0.3,1.03,0.3,0.0,0.0,0.0,1.33,0.0,5.04,0.3,0.42,0.73,0.3,0.0,0.67,0.42,2.95,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,1.46,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.94,2.84,2.19,5.48,1.98,17.28,7.58,0.3,0.89,0.3,0.0,1.37,0.0,0.0,0.0,0.0,1.26,1.15,5.89,0.3,2.31,1.15,0.0,0.0,0.0,0.0,0.42,1.03,1.63,0.52,0.42,0.3,0.0,2.92,0.0,0.0,0.3,0.0,0.0,0.0,1.19,2.0,0.3,23.24,14.45,24.42,7.48
1551246,40.96,55.34,5.13,11.86,7.77,1.56,1.21,0.86,0.35,0.7,1.21,1.1,0.35,9.26,0.99,0.49,1.48,4.07,1.1,8.76,33.47,19.86,1.98,0.0,0.35,1.05,0.0,6.74,1.35,0.49,0.86,1.56,0.0,0.7,0.0,0.86,0.0,0.0,4.92,1.85,0.35,2.71,3.92,1.21,0.0,0.0,28.12,0.35,0.49,0.0,0.99,0.0,0.49,0.0,4.53,6.42,1.48,0.99,2.84,1.98,0.35,0.0,1.21,0.99,13.34,0.49,0.35,0.49,0.0,0.0,0.0,1.21,0.0,5.91,0.86,0.0,0.0,0.0,2.01,1.48,2.21,2.47,0.0,0.0,0.49,0.0,0.0,0.0,1.1,0.0,1.85,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.35,1.1,3.95,6.9,10.66,2.34,18.78,8.64,0.35,0.61,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,4.42,4.49,3.53,1.35,0.0,0.0,0.0,0.35,0.0,1.48,2.96,0.0,0.0,0.7,0.0,2.84,0.61,0.49,0.35,1.85,0.0,0.0,6.17,1.48,0.86,17.61,13.68,18.54,4.84
323,1.69,2.02,0.0,0.0,10.4,2.02,0.55,1.81,0.64,0.45,0.32,1.69,0.9,14.19,5.87,3.0,4.95,7.09,3.61,18.22,42.21,36.7,5.4,8.02,30.51,1.56,4.97,11.39,2.21,12.35,1.11,1.56,0.78,0.0,0.0,0.45,0.32,3.26,13.23,3.94,2.26,7.55,4.29,2.82,0.32,14.77,40.13,2.67,3.35,3.78,0.0,0.96,10.95,3.78,0.78,4.07,3.68,0.45,4.49,1.56,0.32,0.64,2.82,3.83,12.12,0.0,6.06,0.96,0.32,0.45,0.0,1.46,0.78,3.05,3.5,0.32,0.0,0.64,0.45,0.32,0.0,4.74,0.32,0.0,0.0,0.32,0.0,0.0,2.26,0.32,2.47,1.92,4.18,0.0,0.0,0.0,0.0,0.0,1.11,2.58,4.74,6.31,9.79,0.64,6.32,1.11,0.0,0.64,0.0,0.0,1.01,0.0,0.0,0.32,0.64,0.78,0.64,5.93,1.89,4.74,2.67,0.45,0.0,0.45,0.64,0.9,1.11,2.71,0.32,0.32,1.11,0.0,1.69,0.32,0.9,0.64,1.75,0.0,0.0,3.91,5.19,0.64,16.56,16.56,8.12,14.08
342,0.0,0.0,0.0,0.0,1.58,0.46,0.0,0.0,0.0,0.46,0.56,0.0,0.32,2.84,0.32,0.0,0.46,0.46,4.27,2.36,10.11,23.11,0.46,0.0,1.47,0.91,3.75,2.36,0.64,0.0,0.0,0.32,1.02,0.64,0.0,0.32,0.0,3.19,17.78,2.95,3.94,0.32,6.71,2.95,0.32,0.32,7.68,0.32,1.25,2.03,0.0,0.32,0.91,0.32,3.07,18.55,6.14,3.74,3.98,0.0,0.0,0.0,0.79,0.0,3.48,0.0,1.7,0.79,2.69,0.72,0.0,0.46,0.0,4.86,10.21,1.25,0.46,1.82,2.36,0.64,4.92,12.4,0.64,0.0,0.0,1.02,0.0,0.0,4.07,4.43,24.42,0.79,2.36,0.32,1.76,2.95,0.0,3.9,10.58,17.55,29.71,35.76,22.26,4.42,15.31,0.79,0.0,0.64,1.67,0.64,0.79,3.52,0.32,7.48,3.15,1.44,2.95,6.14,0.79,6.35,2.16,0.32,0.46,3.19,0.0,0.56,4.53,9.97,0.0,0.91,3.3,0.56,3.81,1.9,3.71,0.91,2.03,3.05,1.37,9.65,7.35,0.0,8.49,18.48,4.43,10.17
2879,0.0,0.0,0.0,0.0,0.48,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.48,0.59,0.0,0.0,2.99,2.49,10.05,12.16,0.34,0.0,2.62,0.83,0.68,2.0,0.34,0.0,0.0,0.0,0.0,0.68,0.0,0.83,0.0,1.36,15.75,2.51,1.44,0.59,3.35,0.34,0.0,0.34,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.66,6.59,5.03,2.73,2.75,1.27,0.0,0.0,1.17,0.59,1.92,0.0,1.44,0.48,0.48,0.0,0.0,0.34,0.0,2.99,4.55,2.99,1.86,1.66,1.55,0.0,3.35,8.26,0.96,2.62,0.48,0.96,0.96,0.0,3.91,1.31,10.82,0.0,3.4,0.0,0.0,0.34,0.48,2.03,4.07,3.95,14.57,21.32,15.91,2.87,5.5,4.07,0.0,1.92,4.11,0.34,1.07,0.68,0.0,5.75,1.66,0.34,1.66,6.34,0.48,6.53,2.03,0.48,0.0,1.07,0.0,0.68,3.59,7.55,0.0,0.34,1.92,0.0,6.1,2.87,6.64,3.23,5.36,11.25,2.75,8.12,3.71,0.34,10.78,13.07,3.35,7.02
8797,2.39,0.64,0.0,1.58,5.23,0.91,1.11,1.37,0.0,0.79,0.64,1.02,0.32,7.28,1.47,1.7,2.49,1.25,2.23,9.21,24.49,27.16,2.41,2.95,4.07,1.61,1.44,11.26,1.61,2.73,0.32,0.0,0.0,0.0,0.0,0.91,2.82,2.23,19.41,5.79,2.03,11.94,4.13,3.05,0.0,1.58,24.26,0.64,0.91,0.79,0.79,0.32,0.32,32.78,1.58,8.72,3.34,3.97,7.05,1.11,0.64,0.46,0.79,1.25,11.02,0.0,1.82,0.46,0.0,0.0,0.46,1.11,0.56,2.61,3.86,1.44,0.0,1.29,1.93,1.11,3.3,6.48,0.0,1.67,0.64,0.0,0.0,0.56,3.75,0.91,5.92,0.0,1.58,0.0,1.58,1.2,0.32,4.36,3.61,1.9,7.85,13.31,10.92,2.49,8.19,4.88,0.79,1.02,3.4,1.76,1.29,1.11,0.0,4.63,1.11,2.36,0.97,2.61,0.0,5.19,5.92,0.0,0.64,0.0,0.0,1.11,7.02,5.09,2.82,0.0,2.16,0.64,5.23,1.02,6.96,1.93,7.16,7.52,0.79,7.78,2.69,2.03,13.27,14.3,10.69,9.38
7731,1.0,0.64,0.0,0.21,4.04,0.21,0.0,0.45,0.15,1.11,0.6,0.89,1.59,7.08,1.37,1.96,1.64,1.79,5.9,8.72,27.49,30.46,2.91,1.86,11.32,2.7,1.84,8.45,1.93,2.15,0.15,1.22,0.0,0.52,0.21,1.22,1.21,3.59,25.4,9.68,13.46,7.66,16.44,7.15,0.0,3.03,17.55,1.53,1.3,1.47,0.85,0.93,0.37,8.8,4.42,18.13,8.6,8.0,14.57,1.03,0.67,0.3,0.75,1.6,9.47,0.3,2.18,0.3,0.67,0.21,0.0,1.16,0.45,2.18,4.68,2.92,0.64,2.77,1.88,1.74,2.97,13.12,0.42,0.45,0.15,0.21,0.21,0.21,4.82,2.65,8.7,0.52,5.36,0.21,1.69,1.72,0.0,1.43,8.29,9.09,15.29,18.47,20.46,3.4,13.23,3.53,0.15,3.49,7.93,0.84,0.0,0.37,3.5,0.52,1.59,3.93,8.84,0.0,13.75,9.78,0.0,0.0,0.43,0.15,0.48,5.53,9.36,1.21,1.1,1.97,0.0,3.23,0.75,2.99,2.01,4.36,5.12,0.82,12.24,5.46,0.42,11.55,23.22,10.37,11.01,0.0
7685,0.87,0.35,0.35,0.35,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.37,0.0,0.0,1.0,1.88,1.74,2.61,11.11,13.4,0.0,0.0,0.87,0.71,0.5,2.61,1.0,0.35,0.5,0.0,0.0,0.0,0.5,0.61,2.24,2.13,11.53,1.51,1.88,4.26,6.73,4.3,0.0,0.71,13.18,0.0,0.0,0.87,0.35,0.0,0.35,13.07,1.84,13.47,2.24,5.89,2.46,0.71,0.0,0.35,0.0,0.5,2.3,0.35,1.12,0.61,1.0,0.0,0.35,0.35,0.71,2.13,6.96,3.98,1.23,0.71,2.46,2.01,3.51,6.9,0.5,0.5,0.87,0.0,0.0,0.5,2.46,1.74,5.65,0.71,1.74,0.0,0.0,0.0,0.0,3.37,6.15,4.09,12.27,25.39,17.11,3.25,14.2,5.9,0.0,0.71,2.24,2.63,0.5,0.0,0.0,7.51,1.0,1.33,0.87,4.99,1.12,5.02,3.13,0.0,0.0,1.12,0.0,0.0,3.13,13.13,2.24,0.5,4.49,0.0,3.76,1.0,5.11,2.01,6.02,5.68,1.37,14.55,2.24,0.5,9.16,14.74,7.27,6.63
326,8.39,11.87,1.11,3.48,3.91,0.64,0.0,0.96,0.0,1.36,0.78,0.96,0.78,5.19,0.96,0.32,2.14,2.54,4.4,7.32,22.93,27.35,1.11,2.26,11.07,0.45,2.67,16.82,3.91,4.16,1.24,3.48,4.14,6.44,0.78,5.53,7.46,2.47,17.17,5.19,1.24,8.08,5.3,3.83,0.0,0.0,15.69,0.9,0.64,0.32,0.32,0.0,0.32,3.0,3.46,9.59,5.98,9.71,7.82,1.46,0.78,1.11,3.32,2.93,14.12,0.78,0.32,0.9,1.11,0.0,0.32,1.46,0.0,7.09,1.75,0.45,0.0,1.01,2.26,0.0,5.4,10.39,1.01,1.24,0.96,0.0,1.01,0.0,1.81,2.21,4.86,0.45,3.59,0.0,0.32,0.0,0.0,0.0,2.86,2.77,5.87,7.79,12.51,7.11,24.95,11.95,0.9,2.02,1.24,0.0,2.6,1.24,0.0,1.75,0.0,0.45,2.35,13.2,0.0,8.02,3.94,0.32,0.0,1.46,0.0,0.78,7.17,7.88,7.46,0.78,2.02,0.32,4.39,0.0,0.64,0.32,4.79,0.0,0.55,14.44,7.09,1.24,10.61,18.06,9.37,12.06
101150,1.99,0.0,0.76,0.0,2.7,0.0,0.0,0.0,0.38,0.0,1.21,0.0,0.94,19.3,10.68,4.29,3.52,1.62,1.87,6.88,18.75,17.09,0.0,0.0,0.38,0.94,0.0,0.38,1.21,0.0,2.16,2.02,0.0,0.54,3.35,0.0,0.0,3.08,23.71,1.75,2.16,3.38,5.38,3.5,0.0,0.0,9.05,0.0,0.0,0.0,0.54,0.0,0.0,0.0,2.7,5.38,4.29,5.92,11.14,10.14,2.83,7.61,14.67,16.32,37.05,1.62,4.05,1.32,0.0,0.0,0.0,0.85,0.38,0.66,0.38,0.94,0.0,2.09,1.08,1.48,6.51,36.52,2.56,0.0,1.21,0.0,1.08,0.0,4.63,1.32,1.62,0.0,2.16,0.0,0.54,0.54,0.0,0.0,0.38,0.54,3.78,4.87,10.92,1.21,11.81,1.32,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.38,0.0,2.29,3.5,0.0,5.62,1.99,0.0,0.0,0.0,0.38,1.08,2.76,2.7,0.0,0.0,0.54,0.0,2.42,0.85,0.0,1.43,2.42,0.0,0.94,10.7,4.19,0.0,10.37,19.19,12.97,3.52
62105,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.45,1.11,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,4.07,0.32,4.52,9.65,0.0,0.0,0.64,0.0,0.64,5.05,0.9,0.0,0.0,0.0,7.42,1.89,0.45,1.24,0.0,0.32,4.62,0.45,0.45,0.0,0.55,0.32,0.0,0.0,2.35,0.0,0.0,1.24,0.0,0.45,0.0,0.0,0.45,2.26,1.01,2.6,0.0,0.0,0.45,0.9,1.24,0.78,3.38,0.0,0.0,0.0,4.04,0.0,0.0,2.93,0.64,0.0,0.64,0.0,3.16,0.32,5.76,3.83,6.31,12.3,0.0,2.02,1.36,0.32,0.55,1.69,0.0,0.78,19.14,0.64,0.0,0.64,3.16,4.95,0.32,15.92,6.06,2.71,3.87,0.64,12.26,5.51,21.67,13.09,2.6,3.78,4.18,2.6,2.47,1.92,0.0,2.37,2.26,2.71,0.96,13.44,0.55,0.0,0.0,0.78,0.0,10.69,1.11,4.74,19.89,18.26,0.0,16.8,29.83,38.72,5.96,7.0,6.91,21.02,31.54,13.55,11.05,55.62,2.35,0.32,0.55,34.49,1.56,7.67
13006,0.0,0.32,0.0,0.0,0.79,0.0,0.0,0.0,0.32,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,1.29,5.54,13.09,1.93,0.91,5.34,0.0,9.56,6.56,0.46,0.79,0.46,0.79,5.75,2.03,0.0,0.0,0.32,1.11,14.79,1.76,0.32,0.0,1.37,0.46,0.46,2.49,6.7,6.0,5.93,3.51,0.46,4.98,0.79,2.03,2.03,10.11,1.82,2.16,1.25,0.0,1.93,0.0,0.0,0.0,1.58,0.0,0.64,0.64,4.77,0.0,0.56,1.7,0.32,0.0,0.79,2.73,1.25,0.64,0.97,0.79,6.1,9.44,0.0,0.32,0.64,1.11,0.64,0.0,0.97,1.37,39.33,0.0,0.64,2.84,5.23,11.85,1.7,8.9,12.71,5.46,6.37,21.92,12.71,3.51,17.02,2.73,0.0,1.37,0.46,0.64,0.32,0.46,0.0,3.74,3.3,2.73,0.0,6.81,0.91,0.97,0.64,0.0,0.0,3.15,0.32,1.47,1.9,3.86,0.32,0.46,4.86,1.25,1.76,0.64,0.91,2.03,3.81,0.46,1.58,18.75,5.79,0.0,3.97,27.3,0.32,12.8
7966,0.74,0.52,0.26,0.21,0.67,0.0,0.0,0.43,0.0,0.67,0.64,0.15,0.47,2.44,0.41,0.0,0.3,1.44,4.26,2.49,16.63,23.4,0.15,0.15,3.98,10.01,2.15,3.51,1.73,0.26,0.67,0.15,0.21,0.47,0.15,0.36,0.52,3.11,18.9,5.53,9.44,5.31,20.27,8.83,0.47,0.84,6.92,0.0,0.58,0.74,0.3,0.95,0.21,3.78,15.15,39.71,17.2,14.27,16.96,0.79,0.3,0.41,0.3,0.21,6.36,0.15,1.04,1.2,0.79,0.0,0.26,0.95,1.04,1.32,6.87,1.31,1.04,1.84,1.75,0.56,2.88,7.88,0.52,0.15,0.37,0.0,0.0,0.0,5.27,2.52,18.24,0.79,3.69,0.0,2.98,3.46,0.15,4.47,18.2,18.5,39.11,40.85,31.89,4.85,24.58,4.24,0.0,6.09,2.58,1.53,1.11,0.45,0.51,4.19,3.49,2.69,7.45,7.15,0.21,12.57,10.64,0.3,0.0,0.67,0.0,0.26,3.56,5.84,0.52,1.98,2.94,0.75,4.5,0.45,1.04,1.9,3.01,1.61,1.22,13.92,2.85,0.15,7.02,24.84,13.36,8.42
6660,0.0,0.0,0.0,0.61,1.31,0.7,0.0,0.49,0.0,0.0,0.0,0.0,1.98,0.99,0.0,0.0,0.0,0.0,2.32,1.71,13.8,17.54,5.06,0.0,9.22,0.61,12.76,8.84,0.0,1.1,0.0,0.35,2.71,2.71,0.0,0.0,0.49,3.46,16.54,1.82,0.35,0.35,0.7,0.7,1.85,4.45,23.68,28.7,23.38,5.55,1.85,12.22,0.86,5.34,2.21,3.63,0.7,0.0,1.35,0.0,3.03,0.35,0.0,1.48,2.1,0.35,0.49,0.49,0.86,0.0,2.01,1.35,0.0,0.0,0.86,1.1,0.35,0.49,0.0,0.0,4.69,9.14,0.35,0.0,0.0,3.46,0.86,0.35,4.57,0.86,36.31,1.05,1.48,16.71,3.2,18.05,4.64,4.53,2.47,1.48,1.6,3.7,4.24,4.42,6.78,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,2.71,0.0,4.94,3.58,0.99,0.49,1.85,0.0,2.47,0.0,0.99,1.6,1.91,0.49,0.0,0.86,1.98,0.99,0.0,0.0,0.49,2.32,0.49,0.61,9.88,5.56,0.49,3.2,26.93,0.0,26.93
236687,8.56,5.72,4.2,4.56,5.72,1.02,0.0,0.79,0.56,0.79,1.3,0.32,0.32,6.86,1.94,0.92,1.83,1.12,3.18,5.15,17.87,17.63,1.45,0.0,6.07,0.0,2.29,7.21,1.37,0.79,1.26,1.3,0.0,1.26,1.37,1.83,0.56,0.65,13.96,3.18,0.97,2.71,1.59,1.59,0.32,1.12,16.04,0.0,0.65,0.92,1.12,0.97,0.32,4.01,1.59,4.49,0.65,1.59,0.46,2.97,0.46,1.71,4.58,5.27,16.15,0.97,1.83,1.92,2.05,0.32,0.0,0.92,1.12,1.94,1.59,3.43,0.65,2.25,2.51,1.83,3.89,16.73,1.77,0.0,14.99,0.32,1.26,0.46,2.97,1.12,5.5,0.0,2.05,0.0,0.0,1.26,0.46,2.29,0.32,0.79,1.92,2.17,5.14,2.05,7.9,4.89,0.0,0.46,0.46,0.32,1.45,0.0,1.12,5.52,0.46,0.46,0.79,15.81,1.92,0.65,0.92,1.37,1.02,1.59,0.56,2.84,6.87,7.07,0.56,1.26,1.77,2.97,4.46,4.81,0.79,0.65,2.05,0.46,0.65,6.75,3.83,0.0,15.34,10.14,4.47,5.61
5283349,3.37,3.12,0.0,2.75,1.8,1.27,0.0,0.74,2.85,0.0,0.42,0.85,0.0,2.01,0.0,1.12,0.74,0.0,4.96,0.6,8.39,12.43,0.0,0.3,4.22,0.0,6.67,2.21,0.3,0.0,0.3,0.0,1.59,0.3,0.6,0.3,0.6,0.85,12.2,0.42,0.42,0.6,0.0,0.3,0.0,0.0,7.64,0.42,0.6,2.44,0.0,0.3,0.3,0.0,0.95,0.95,1.64,0.52,3.4,0.0,2.01,2.85,1.34,1.04,6.35,4.93,1.04,2.94,3.4,0.42,0.0,1.38,1.04,5.62,2.86,2.86,2.68,2.32,2.44,2.01,13.15,13.56,3.42,1.38,1.59,3.29,1.99,1.47,1.9,1.9,10.92,0.3,0.3,0.3,1.59,3.18,0.3,0.74,0.85,1.16,2.23,4.77,10.28,3.46,8.48,5.73,0.95,0.95,2.63,1.27,5.3,1.99,0.0,0.67,0.42,2.85,0.3,50.4,3.8,8.7,3.29,9.43,10.25,12.19,2.85,3.46,27.53,18.31,0.6,0.3,2.75,2.44,1.8,3.5,6.47,0.85,9.06,1.9,0.6,23.1,4.99,1.16,3.18,31.08,1.04,12.9
7044,0.65,0.53,0.38,0.0,1.3,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,1.06,0.38,0.0,0.0,0.75,2.52,1.19,9.96,9.43,0.0,0.0,1.46,0.0,0.38,4.75,0.38,0.0,0.0,0.53,0.38,0.53,0.53,1.19,0.0,0.38,17.54,6.48,3.03,3.46,3.72,0.53,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.75,2.6,1.72,3.05,6.29,1.19,0.92,1.59,1.68,3.58,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.19,1.5,2.52,0.0,3.05,2.76,1.19,4.91,25.17,0.38,0.38,0.92,0.0,0.0,0.0,2.25,0.38,3.14,0.0,1.19,0.0,1.06,0.75,0.0,0.0,1.19,1.13,5.31,4.75,4.65,1.95,3.98,5.52,0.75,0.38,0.0,0.0,2.13,0.0,0.0,0.38,0.38,0.38,1.72,1.3,0.0,1.84,0.92,0.0,0.0,0.75,0.0,0.92,1.3,2.91,0.0,1.59,2.22,6.71,0.75,0.38,0.38,0.84,1.46,0.0,0.0,5.57,6.11,0.53,16.57,8.77,6.23,6.51
8148,0.0,0.0,0.0,0.0,0.69,0.4,0.0,0.0,0.69,0.0,0.69,0.0,0.4,0.97,1.77,0.0,0.0,0.4,2.94,1.68,9.23,8.81,0.56,0.0,2.63,0.69,3.36,1.37,0.0,0.0,0.0,0.97,0.4,2.37,0.0,0.0,0.0,3.31,21.96,3.78,0.56,0.4,1.19,0.69,1.53,0.79,4.85,1.37,1.81,1.94,0.56,1.37,0.4,0.4,2.8,3.75,1.94,1.68,2.8,0.56,0.0,0.79,0.4,0.4,2.56,0.0,0.56,1.19,2.65,0.56,0.0,1.37,0.0,1.94,2.17,3.78,1.77,2.37,2.17,0.4,2.34,13.54,0.4,0.4,0.79,1.25,0.4,0.0,2.17,2.17,7.51,0.4,0.97,0.4,3.75,1.58,0.69,0.56,0.79,0.0,0.79,4.28,5.87,0.69,4.75,5.01,0.0,1.94,0.0,0.0,0.4,0.0,0.4,0.97,1.77,1.25,0.69,8.51,3.07,3.78,1.94,1.25,0.0,1.81,0.69,1.53,4.28,8.48,0.0,0.0,1.58,0.56,2.94,1.37,1.12,0.69,1.94,2.06,0.69,2.94,5.57,2.65,20.46,4.23,2.34,6.28
9609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,4.17,10.28,0.0,0.0,1.02,0.64,0.0,4.73,0.0,0.0,0.0,0.0,3.75,1.82,1.37,1.58,0.0,0.0,5.09,0.0,0.0,0.0,0.46,0.0,0.0,0.0,1.93,0.32,0.0,0.0,0.0,0.46,0.0,0.0,0.32,3.61,2.49,19.22,2.39,0.0,0.79,0.32,1.37,0.32,0.97,1.11,0.32,0.0,1.25,0.0,0.32,1.37,0.0,0.0,0.0,0.0,0.32,0.46,1.7,2.16,1.2,2.49,0.46,1.37,0.79,0.0,0.46,0.32,0.0,0.79,15.0,0.0,0.0,0.32,2.13,2.69,0.91,8.34,7.61,5.19,2.61,0.91,11.89,5.11,27.58,12.36,2.95,2.39,1.85,1.58,2.39,0.56,0.0,2.39,1.47,0.64,3.75,12.25,0.0,1.37,1.02,0.0,0.0,2.95,1.9,2.03,14.6,10.77,0.0,25.37,21.83,42.55,3.98,2.69,0.32,13.19,18.11,5.34,5.57,38.56,1.25,0.0,2.69,32.79,0.32,6.75
24915,10.39,2.95,0.36,4.19,30.44,0.36,7.82,3.45,0.36,4.08,2.18,4.93,0.36,7.97,3.62,1.26,1.89,1.54,3.85,12.57,23.16,12.85,3.35,9.02,2.82,0.0,0.0,8.6,0.73,1.92,0.51,1.26,1.03,1.89,1.54,0.63,0.0,1.92,7.04,5.27,1.26,2.67,1.92,1.89,0.36,1.26,28.74,0.51,0.36,0.36,7.64,0.0,0.0,1.67,0.36,0.36,0.36,0.36,0.89,0.51,0.36,1.41,0.36,0.36,3.41,1.03,0.51,0.36,0.36,0.0,0.0,3.98,1.54,3.04,0.36,2.18,0.73,0.36,0.0,0.51,1.54,3.47,0.0,0.0,0.51,0.0,0.0,0.0,1.89,0.89,2.15,1.09,3.21,2.41,1.09,0.51,0.0,0.0,0.89,0.36,2.41,4.5,2.06,0.51,3.85,5.27,0.63,0.36,1.63,0.81,0.0,0.0,0.63,0.0,0.36,0.89,0.36,1.26,0.0,1.26,0.0,0.0,0.0,0.51,0.36,1.26,0.73,3.45,0.0,0.0,1.03,2.62,1.03,0.0,0.0,0.0,0.36,0.0,0.0,3.67,3.09,0.0,17.65,5.86,8.91,7.07
7632,3.68,0.87,0.0,3.68,6.87,1.23,0.0,0.61,0.0,0.43,0.43,0.43,0.0,11.97,2.75,1.06,0.43,3.81,0.0,14.89,21.24,6.73,2.26,1.23,1.84,0.0,0.87,3.63,0.43,2.13,0.0,0.0,0.0,0.0,0.43,0.87,0.0,0.87,10.74,1.74,0.0,0.0,1.06,0.61,0.0,1.37,17.48,0.0,0.0,0.61,0.0,0.43,0.0,0.0,2.75,1.84,0.0,0.0,0.0,0.43,0.0,0.43,0.0,0.87,5.76,1.06,0.43,0.43,0.43,0.43,0.0,0.61,1.23,2.17,0.43,0.43,0.61,0.61,0.0,0.0,1.68,1.74,0.87,0.0,0.0,0.0,1.06,0.0,2.38,0.43,1.37,0.0,1.23,0.0,0.0,0.43,0.0,0.0,0.0,0.61,1.37,2.26,2.57,0.0,2.3,4.6,0.0,2.46,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,1.99,1.23,0.0,0.0,0.43,0.0,0.61,2.46,1.68,0.0,1.62,1.06,2.91,1.37,0.43,0.0,0.0,0.43,0.0,0.43,1.06,1.3,0.0,35.34,1.06,3.83,5.49
