Stimulus,"FRUITY,CITRUS",LEMON,GRAPEFRUIT,ORANGE,"FRUITY,OTHER THAN CITRUS",PINEAPPLE,GRAPE JUICE,STRAWBERRY,"APPLE, FRUIT",PEAR,"CANTALOUPE, HONEYDEW MELON",PEACH FRUIT,BANANA,FLORAL,ROSE,VIOLETS,LAVENDER,COLOGNE,MUSK,PERFUMERY,FRAGRANT,AROMATIC,HONEY,"CHERRY, BERRY",ALMOND,NAIL POLISH REMOVER,"NUTTY, WALNUT ETC.",SPICY,CLOVE,CINNAMON,LAUREL LEAVES,TEA LEAVES,SEASONING FOR MEAT,BLACK PEPPER,GREEN PEPPER,DILL,CARAWAY,"OAK WOOD,COGNAC","WOODY, RESINOUS",CEDARWOOD,MOTHBALLS,"MINTY, PEPPERMINT",CAMPHOR,EUCALYPTUS,CHOCOLATE,VANILLA,SWEET,MAPLE SYRUP,CARAMEL,MALTY,RAISINS,MOLASSES,COCONUT,"ANISE, LICORICE",ALCOHOLIC,"ETHERISH, ANAESTHETIC",CLEANING FLUID,"GASOLINE, SOLVENT","TURPENTINE, PINE OIL",GERANIUM LEAVES,CELERY,FRESH GREEN VEGETABLES,CRUSHED WEEDS,CRUSHED GRASS,"HERBAL, GREEN,CUTGRASS",RAW CUCUMBER,HAY,GRAINY (AS GRAIN),YEASTY,BAKERY (FRESH BREAD),SOUR MILK,"FERMENTED, ROTTEN FRUIT",BEERY,SOAPY,LEATHER,CARDBOARD,ROPE,WET PAPER,"WET WOOL,WET DOG",DIRTY LINEN,STALE,"MUSTY, EARTHY, MOLDY",RAW POTATO,MOUSE,MUSHROOM,PEANUT BUTTER,BEANY,"EGGY, FRESH EGGS","BARK,BIRCHBARK",CORK,"BURNT,SMOKY",FRESH TOBACCO SMOKE,INCENSE,COFFEE,STALE TOBACCO SMOKE,BURNT PAPER,BURNT MILK,BURNT RUBBER,TAR,CREOSOTE,"DISINFECTANT, CARBOLIC",MEDICINAL,CHEMICAL,BITTER,"SHARP, PUNGENT, ACID","SOUR, VINEGAR",SAUERKRAUT,AMMONIA,URINE,CAT URINE,FISHY,"KIPPERY,SMOKED FISH","SEMINAL, SPERM-LIKE",NEW RUBBER,SOOTY,BURNT CANDLE,KEROSENE,"OILY, FATTY","BUTTERY, FRESH BUTTER",PAINT,VARNISH,POPCORN,FRIED CHICKEN,"MEATY ( COOKED,GOOD)",SOUPY,COOKED VEGETABLES,RANCID,SWEATY,CHEESY,HOUSEHOLD GAS,SULFIDIC,"GARLIC, ONION",METALLIC,"BLOOD, RAW MEAT",ANIMAL,SEWER,"PUTRID, FOUL, DECAYED","FECAL, LIKE MANURE",CADAVEROUS,SICKENING,"DRY, POWDERY",CHALKY,LIGHT,HEAVY,"COOL,COOLING",WARM
AmylCinnamicAldehyeDiethy_high,26.81,24.64,5.8,15.94,28.26,8.7,5.8,13.77,1.45,5.8,7.25,7.97,1.45,39.86,13.77,8.7,9.42,13.04,5.07,42.75,57.97,34.78,5.07,11.59,8.7,3.62,2.17,10.87,1.45,2.17,3.62,4.35,1.45,2.17,1.45,2.9,1.45,3.62,14.49,7.97,2.9,6.52,3.62,4.35,1.45,2.17,43.48,2.17,2.9,3.62,4.35,2.17,2.9,6.52,4.35,8.7,2.9,4.35,2.9,4.35,2.9,5.07,3.62,4.35,34.06,2.17,2.9,2.9,3.62,2.17,2.17,3.62,2.9,11.59,2.9,4.35,2.17,2.17,2.17,2.17,3.62,4.35,2.9,1.45,1.45,1.45,1.45,1.45,5.8,3.62,3.62,1.45,10.14,1.45,1.45,1.45,1.45,1.45,3.62,1.45,5.07,7.25,8.7,4.35,14.49,16.67,1.45,2.9,1.45,1.45,2.17,1.45,1.45,2.9,1.45,2.17,2.9,8.7,2.9,4.35,4.35,2.17,1.45,1.45,1.45,2.9,2.17,7.97,1.45,1.45,2.9,2.17,2.17,2.17,1.45,2.17,5.07,1.45,1.45,5.07,4.35,2.17,36.96,15.22,16.67,14.49
AmylPhenylAcetate_high,6.03,3.45,0.0,1.72,16.38,5.17,0.0,3.45,0.0,3.45,3.45,2.59,0.86,19.83,7.76,5.17,9.48,9.48,4.31,22.41,32.76,19.83,5.17,3.45,4.31,0.86,1.72,5.17,0.0,0.86,1.72,0.86,1.72,0.0,0.0,0.0,0.86,0.86,15.52,4.31,0.0,4.31,2.59,3.45,0.86,0.86,34.48,0.0,1.72,0.86,2.59,0.0,0.0,0.86,2.59,4.31,0.0,4.31,2.59,4.31,0.0,3.45,2.59,4.31,11.21,0.86,1.72,0.86,0.86,0.0,0.86,0.86,1.72,5.17,2.59,1.72,1.72,1.72,4.31,0.0,3.45,9.48,0.0,0.86,2.59,0.0,0.0,0.86,1.72,1.72,0.0,0.0,2.59,0.0,1.72,1.72,0.0,1.72,0.0,0.0,2.59,6.9,9.48,0.86,12.93,13.79,0.0,2.59,7.76,6.9,0.86,0.0,0.86,0.0,0.86,0.86,3.45,11.21,0.0,3.45,3.45,0.86,0.0,0.86,0.0,0.0,8.62,16.38,0.86,0.0,3.45,3.45,3.45,0.86,3.45,0.86,5.17,5.17,0.86,18.1,6.9,0.0,25.0,12.93,9.48,14.66
AmylValerate_high,3.13,3.13,0.78,0.78,28.13,9.38,1.56,7.03,0.0,5.47,6.25,3.91,6.25,3.13,0.0,0.78,1.56,0.78,3.91,3.13,17.97,17.97,0.78,8.59,0.78,1.56,0.0,1.56,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.78,3.91,0.78,0.0,0.78,0.0,0.0,0.78,0.0,28.13,0.78,0.0,1.56,2.34,0.0,1.56,0.78,0.78,1.56,0.0,0.0,0.0,0.0,0.0,0.78,0.78,0.0,5.47,0.0,0.0,0.0,7.03,0.0,7.03,5.47,1.56,0.0,2.34,0.78,0.78,0.78,6.25,10.16,7.03,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,2.34,0.0,2.34,0.0,0.0,0.0,0.0,0.78,0.0,0.78,0.78,3.13,8.59,4.69,10.16,21.09,0.0,0.0,4.69,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,11.72,2.34,1.56,0.0,1.56,0.0,0.78,0.0,0.0,20.31,28.13,0.0,0.0,0.78,0.0,0.78,3.91,6.25,4.69,23.44,10.94,6.25,44.53,3.13,0.0,11.72,17.97,7.03,7.03
Andrane_high,1.63,1.63,0.0,0.81,0.81,0.81,0.0,0.81,0.0,0.81,0.81,0.0,0.0,9.76,3.25,4.07,2.44,3.25,5.69,8.94,33.33,30.89,1.63,2.44,1.63,2.44,0.81,15.45,3.25,0.81,0.0,0.81,1.63,1.63,0.81,0.0,0.0,4.07,53.66,56.1,8.94,6.5,15.45,8.94,0.0,0.0,18.7,1.63,0.0,0.81,0.0,0.0,0.81,0.81,5.69,10.57,6.5,4.07,10.57,0.0,0.0,0.81,3.25,1.63,11.38,0.0,0.81,0.81,0.0,0.0,0.0,0.0,0.0,1.63,1.63,0.0,0.81,0.0,0.81,0.0,2.44,12.2,0.0,0.0,0.0,0.0,0.0,0.81,7.32,1.63,8.13,0.81,11.38,0.81,1.63,0.81,0.81,0.0,0.81,3.25,8.13,11.38,12.2,0.81,8.13,2.44,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,3.25,3.25,0.0,4.88,6.5,0.81,0.0,0.0,0.0,0.81,0.81,0.81,0.0,0.0,1.63,0.81,0.81,0.81,0.81,0.0,0.81,0.81,0.0,4.88,8.13,0.81,9.76,16.26,13.82,13.82
Anethole_high,1.01,1.01,0.0,0.34,5.03,0.0,0.0,0.67,0.0,1.01,0.67,1.34,2.35,6.38,2.68,2.68,4.7,1.68,3.69,13.76,58.72,59.06,2.68,2.01,10.74,1.01,1.01,30.54,13.76,8.39,1.01,2.68,1.01,0.67,0.34,2.68,8.39,1.68,9.4,5.37,2.01,24.5,8.72,15.1,1.01,7.38,51.68,3.69,5.03,1.01,1.68,5.7,1.01,95.64,2.01,10.74,1.68,0.67,5.03,1.01,2.01,1.34,0.67,1.01,7.72,0.0,0.67,0.34,0.34,0.34,0.0,0.67,0.34,0.67,3.02,0.34,0.0,0.0,0.34,0.34,1.34,2.35,0.34,0.67,0.34,0.0,0.34,0.0,4.36,1.01,7.38,1.01,11.41,0.34,0.67,0.67,0.0,1.01,8.05,4.03,3.02,20.13,7.72,2.35,9.06,0.0,0.0,0.34,0.0,0.0,0.34,0.0,0.0,0.67,0.67,0.67,2.01,5.7,0.34,2.01,1.34,0.0,0.0,0.34,0.0,0.0,0.0,3.69,8.39,0.0,0.34,0.34,1.68,0.0,0.67,0.34,0.34,0.34,0.0,3.02,3.69,0.67,19.46,34.56,26.51,26.85
Anisole_high,0.0,0.79,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.79,0.0,0.0,0.0,1.57,4.72,13.39,22.05,0.0,0.79,3.94,24.41,1.57,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,9.45,1.57,8.66,1.57,4.72,0.79,0.0,0.79,10.24,0.0,0.0,0.79,0.0,0.0,0.0,0.0,12.6,31.5,25.98,40.94,23.62,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.0,1.57,2.36,0.79,1.57,0.79,2.36,0.0,1.57,3.15,0.0,1.57,0.0,0.0,0.0,0.0,0.79,1.57,3.94,0.0,0.0,0.0,0.0,0.79,0.0,3.94,10.24,10.24,24.41,14.96,42.52,1.57,22.05,7.87,0.0,3.15,0.0,0.0,0.0,0.0,0.79,8.66,0.79,0.79,9.45,7.09,0.0,30.71,21.26,0.0,0.0,0.79,0.0,1.57,3.94,2.36,0.0,4.72,0.0,0.79,6.3,0.79,0.79,1.57,4.72,0.0,0.79,14.17,7.09,0.79,14.96,22.83,10.24,5.51
Auralva_high,12.0,2.4,0.0,6.4,32.0,3.2,16.8,10.4,0.0,1.6,1.6,3.2,0.8,36.0,12.8,10.4,9.6,21.6,4.0,40.8,60.0,30.4,4.0,12.8,4.8,0.8,0.0,8.8,3.2,1.6,0.8,2.4,0.0,0.0,0.0,0.0,0.0,0.8,4.8,2.4,0.8,8.8,2.4,4.0,0.0,2.4,54.4,0.8,0.8,0.0,0.0,0.8,0.8,1.6,2.4,1.6,5.6,0.0,2.4,0.0,0.8,0.0,0.8,0.0,13.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,16.0,0.8,0.0,0.8,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.8,0.8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,4.8,8.0,4.0,1.6,1.6,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,4.0,0.0,0.8,0.8,0.0,3.2,0.0,0.0,0.0,1.6,0.0,0.0,4.0,8.0,0.0,24.8,12.0,16.0,12.0
Benzaldehyde_high,5.04,3.6,0.72,1.44,22.3,2.16,0.72,5.76,0.0,1.44,1.44,4.32,3.6,14.39,5.04,2.88,6.47,7.19,1.44,26.62,61.15,59.71,7.19,34.53,70.5,0.72,12.23,23.74,2.88,10.79,0.0,0.72,0.0,0.0,0.0,0.0,1.44,3.6,14.39,5.04,2.16,10.79,4.32,4.32,0.0,17.99,59.71,2.88,4.32,2.88,1.44,0.72,5.76,9.35,5.04,5.04,0.72,0.72,2.16,1.44,0.0,0.0,0.0,1.44,11.51,0.0,0.0,0.0,0.72,2.88,0.0,1.44,0.0,3.6,1.44,1.44,0.0,0.0,0.72,0.0,0.72,3.6,0.0,0.0,0.0,0.0,0.0,1.44,2.88,1.44,2.88,0.0,6.47,0.0,0.0,0.72,0.0,0.0,2.16,1.44,3.6,11.51,9.35,2.88,7.91,4.32,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,8.63,2.88,0.72,0.72,0.0,0.0,0.72,0.0,0.0,1.44,2.16,1.44,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.72,0.0,0.0,5.04,5.04,0.72,20.86,27.34,13.67,21.58
BenzoDihydropyrone_high,1.0,0.0,0.0,0.78,7.03,1.56,2.34,0.78,0.0,0.0,1.56,1.56,0.78,12.5,3.91,2.34,2.34,3.13,6.25,19.53,38.28,29.69,3.91,5.47,25.0,0.78,3.13,19.53,4.69,16.41,1.56,1.56,0.0,0.0,0.0,0.78,0.78,0.0,25.0,10.16,6.25,7.03,4.69,3.13,1.56,9.38,39.84,2.34,4.69,3.13,3.13,1.56,23.44,2.34,2.34,7.81,6.25,2.34,2.34,0.78,0.0,0.0,0.78,1.56,14.84,0.0,3.13,0.78,0.78,0.0,0.0,0.78,0.0,6.25,0.78,1.56,0.0,0.78,0.0,0.0,0.0,7.03,0.0,0.78,0.0,0.0,1.56,0.0,2.34,2.34,3.91,2.34,9.38,0.0,0.78,1.56,0.0,0.0,2.34,3.13,12.5,12.5,9.38,0.78,10.16,3.91,0.0,1.56,0.78,0.0,0.0,0.0,0.0,0.78,0.78,0.78,1.56,10.94,0.78,6.25,2.34,0.0,0.0,0.0,0.0,0.0,1.56,3.91,0.78,0.78,2.34,0.78,0.0,0.78,1.56,0.0,0.78,0.0,0.0,4.69,8.59,0.78,21.09,18.75,10.16,14.06
BornylAcetateiso-BornylA_high,2.86,2.86,0.71,0.71,2.86,0.71,0.71,0.71,0.0,0.0,1.43,0.0,0.0,17.86,2.14,4.29,5.71,9.29,6.43,32.14,57.86,38.57,2.14,0.0,2.14,7.86,1.43,8.57,3.57,0.71,0.71,0.0,0.71,1.43,0.0,0.71,0.0,4.29,35.71,33.57,12.14,13.57,35.0,14.29,0.71,0.71,18.57,0.0,0.0,0.0,0.0,0.0,0.71,2.86,2.86,11.43,13.57,6.43,34.29,2.86,0.71,0.0,1.43,2.86,28.57,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.14,1.43,0.71,1.43,1.43,0.0,1.43,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,1.43,3.57,0.0,17.14,0.71,0.71,0.71,0.0,0.71,2.86,0.71,24.29,18.57,15.0,0.71,10.71,1.43,0.0,6.43,0.71,0.0,0.0,0.0,0.0,0.71,0.0,2.14,1.43,3.57,0.0,5.71,7.86,0.0,0.0,0.0,0.0,0.0,0.71,1.43,0.0,0.0,0.0,0.0,1.43,0.0,0.71,0.0,0.0,0.0,0.0,2.14,12.86,2.14,26.43,15.71,27.14,15.0
ButanoicAcid_high,0.0,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,5.0,2.86,7.14,12.86,0.0,0.71,0.0,0.0,1.43,2.14,0.0,0.0,0.0,0.0,0.0,0.71,1.43,1.43,0.0,0.0,3.57,0.0,0.0,0.0,0.71,0.0,0.0,0.0,4.29,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.71,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.0,0.71,0.0,17.86,0.0,25.71,8.57,1.43,0.71,0.71,0.71,2.14,1.43,10.0,16.43,12.86,22.86,0.0,3.57,1.43,0.71,0.0,0.0,1.43,1.43,2.14,0.0,0.0,0.0,2.14,0.0,1.43,0.71,1.43,0.0,0.71,1.43,5.0,6.43,37.86,37.86,2.86,2.14,12.86,11.43,7.14,2.14,2.14,0.0,0.71,0.0,0.0,23.57,7.86,0.71,0.0,0.71,0.0,2.14,0.0,0.0,49.29,47.86,0.0,2.14,10.0,3.57,2.86,7.14,17.14,16.43,47.86,35.0,13.57,65.71,1.43,0.0,2.86,38.57,0.0,11.43
Butanol_high,2.03,1.68,0.67,1.35,1.69,0.67,0.0,1.01,0.34,1.36,0.0,0.67,1.68,2.03,0.34,1.01,1.36,1.69,6.45,2.69,17.61,27.43,0.68,1.01,6.75,13.9,4.05,3.73,1.37,0.68,0.0,0.34,0.68,1.02,1.36,1.01,1.01,5.41,22.05,7.78,5.42,2.38,12.89,3.39,0.34,1.36,12.2,1.68,1.01,2.72,0.68,1.01,0.0,3.74,23.01,29.13,11.51,15.9,13.56,0.0,1.01,1.35,2.36,0.67,7.12,0.0,0.68,3.07,3.71,0.0,4.4,4.73,2.36,1.69,6.09,3.04,1.71,2.37,5.09,4.73,8.14,15.6,0.68,1.36,0.68,1.01,0.34,0.68,3.4,4.75,10.82,1.02,1.36,0.67,3.39,0.67,0.68,0.67,4.4,8.82,17.31,25.41,36.96,5.43,31.47,16.29,0.34,7.47,5.41,1.69,4.07,0.34,1.7,2.36,1.36,2.03,8.81,17.95,2.73,24.7,13.56,0.0,0.0,1.7,0.34,1.02,19.66,29.83,1.01,2.72,5.44,1.7,9.14,4.07,4.41,4.75,13.9,4.4,3.38,32.53,3.38,0.68,15.93,34.86,11.2,12.85
ButylQuinolineiso_high,0.85,0.85,0.0,0.0,2.56,0.0,0.0,0.0,0.85,2.56,0.85,3.42,0.0,0.85,0.0,0.0,0.0,0.0,5.13,3.42,8.55,17.95,0.0,0.0,2.56,0.0,5.13,5.98,0.0,0.0,3.42,2.56,0.85,3.42,18.8,0.85,1.71,2.56,39.32,5.98,0.0,0.85,3.42,1.71,0.0,0.0,7.69,0.0,0.0,0.85,0.0,0.0,0.0,0.0,2.56,5.13,1.71,8.55,5.98,4.27,6.84,7.46,16.24,16.24,30.77,4.27,8.55,1.71,0.0,0.0,0.0,1.71,0.0,0.0,5.13,5.13,3.42,3.42,1.71,2.56,9.4,44.44,6.84,0.85,3.42,1.71,1.71,0.0,11.97,0.0,23.08,0.85,4.27,0.0,7.69,7.69,0.0,5.13,7.69,2.56,2.56,3.42,17.09,5.13,13.68,6.84,0.0,0.0,1.71,0.0,1.71,0.0,1.71,5.98,3.42,5.13,11.11,0.85,10.26,5.13,0.85,0.0,1.71,0.85,5.98,8.55,7.69,1.71,0.0,5.98,10.26,6.84,2.56,4.27,4.27,9.4,3.42,1.71,26.5,12.82,2.56,11.11,28.21,7.69,10.26,0.0
ButylSulfide_high,1.49,2.24,0.0,0.0,1.49,0.75,0.0,0.0,0.0,0.0,0.75,0.0,1.49,6.72,1.49,0.75,0.75,2.24,2.24,5.97,13.43,18.66,0.0,0.0,2.99,2.24,1.49,11.94,1.49,0.0,1.49,0.75,1.49,2.24,2.99,9.7,1.49,0.75,11.19,4.48,1.49,0.0,2.99,3.73,0.0,0.0,11.19,0.75,0.0,0.75,0.75,0.75,0.0,1.49,0.75,10.45,4.48,16.42,10.45,2.99,2.24,7.46,5.97,10.45,24.63,5.22,3.73,0.0,1.49,0.0,0.75,2.24,0.75,1.49,1.49,1.49,0.75,0.75,2.99,0.0,5.22,10.45,0.75,1.49,2.99,0.75,2.24,0.0,4.48,0.75,12.69,0.0,2.99,0.0,0.75,2.99,0.75,2.99,8.96,6.72,3.73,8.21,18.66,4.48,24.63,17.16,1.49,5.22,0.75,4.48,3.37,0.75,0.0,1.49,1.49,1.49,8.21,14.93,0.0,12.69,5.22,1.49,0.0,0.0,0.0,3.73,13.43,11.19,1.49,8.21,15.67,29.1,5.97,4.48,0.75,5.22,10.45,2.24,0.0,31.34,5.22,0.0,17.91,24.63,8.21,7.46
Camphordl_high,1.36,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.68,0.68,0.0,0.0,2.04,1.36,0.68,0.68,1.36,5.44,6.12,29.25,34.69,0.68,0.0,0.0,10.2,0.0,12.24,4.76,2.04,1.36,1.36,0.68,0.68,0.0,2.04,1.36,6.8,36.73,23.81,17.01,18.37,60.54,31.29,0.0,0.68,14.97,0.0,0.0,1.36,0.68,0.0,0.0,1.36,6.12,27.89,10.88,10.2,21.09,2.04,0.68,0.0,3.4,2.04,11.56,0.68,0.68,0.0,2.04,0.0,0.0,0.0,0.0,2.72,2.04,2.04,2.04,2.04,1.36,0.0,3.4,17.01,0.0,0.68,0.68,0.0,0.0,0.0,8.84,2.72,6.12,0.0,6.12,0.0,0.68,2.04,0.0,0.68,1.36,5.44,23.81,49.66,25.85,5.44,19.05,6.12,0.0,6.12,1.36,0.0,1.36,0.68,0.0,0.68,0.0,3.4,4.08,9.52,0.0,12.93,8.84,0.0,0.0,0.0,0.0,0.0,2.72,6.8,1.36,1.36,0.0,0.68,7.48,0.0,0.68,0.68,2.04,0.0,0.68,7.48,5.44,0.68,21.09,23.13,32.65,16.33
Carvone-l_high,3.37,2.01,0.0,0.34,10.07,0.68,1.01,1.68,0.0,1.34,1.34,1.68,1.34,10.42,3.36,2.02,3.36,3.02,2.36,14.1,66.77,55.03,2.02,1.0,4.03,2.02,1.01,22.48,10.41,5.38,2.02,6.73,0.68,1.0,0.68,4.71,10.08,1.35,8.41,6.71,2.34,91.59,12.74,14.09,0.34,3.36,44.3,0.68,0.67,0.34,1.01,0.67,0.67,12.42,3.36,10.07,0.33,1.34,3.36,5.36,3.37,2.01,5.7,5.36,28.53,1.01,1.35,0.68,0.67,0.68,0.0,0.67,0.0,1.67,2.68,0.67,0.33,1.0,0.0,0.67,0.0,4.03,0.34,0.0,0.0,0.33,0.33,0.0,3.69,0.34,3.03,0.34,4.36,0.34,0.0,0.0,0.0,1.34,1.01,1.0,2.35,14.44,4.71,1.35,5.7,1.34,0.0,0.34,0.34,0.0,0.33,0.0,0.0,0.67,0.0,1.01,0.0,4.69,1.34,0.68,0.67,0.0,0.0,0.0,0.0,0.34,0.0,2.69,10.08,0.34,1.01,0.34,3.02,0.0,0.34,0.34,0.0,0.34,0.33,1.34,4.37,0.33,37.93,15.78,65.78,10.39
Caryophyllene_high,0.82,1.64,0.0,1.64,9.84,0.82,0.82,0.82,0.0,1.64,0.82,0.82,0.0,11.48,5.74,2.46,5.74,4.1,0.82,13.11,35.25,33.61,0.82,1.64,0.82,1.64,0.82,36.07,19.67,28.69,0.82,3.28,1.64,0.82,0.0,1.64,0.0,3.28,28.69,21.31,3.28,18.03,8.2,4.92,0.0,1.64,29.51,0.82,1.64,0.82,2.46,0.0,0.82,8.2,0.82,1.64,1.64,4.1,7.38,2.46,0.82,3.28,2.46,1.64,16.39,0.82,2.46,0.0,0.82,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.82,0.0,3.28,10.66,0.82,0.0,0.0,1.64,0.0,0.0,4.92,1.64,9.02,0.82,7.38,0.0,1.64,0.82,0.0,0.82,0.82,1.64,4.1,7.38,5.74,4.92,9.02,5.74,0.82,0.82,0.0,0.0,0.82,0.82,0.0,0.0,0.82,0.0,2.46,1.64,0.82,4.92,2.46,0.0,0.0,0.0,0.0,0.0,0.0,5.74,0.0,0.0,0.82,0.82,2.46,0.0,0.82,0.0,0.82,0.0,0.0,0.28,6.56,0.82,22.13,7.38,19.67,12.3
Cashmeran_high,7.14,4.29,0.71,2.14,9.29,0.0,1.43,3.57,0.0,0.0,0.71,0.71,0.71,34.29,9.29,5.71,16.43,24.29,22.14,52.86,71.43,45.71,0.71,5.71,4.29,1.43,2.86,22.86,2.86,3.57,0.71,1.43,2.14,3.57,0.0,1.43,0.71,5.71,25.71,24.29,2.86,5.0,10.71,7.14,0.0,1.43,38.57,0.71,1.43,2.14,1.43,0.0,0.71,0.0,2.14,11.43,3.57,4.29,12.86,2.86,0.0,1.43,2.86,3.57,21.43,0.0,2.86,2.86,0.0,0.0,0.0,0.0,0.71,23.57,4.29,2.86,1.43,1.43,0.0,0.71,4.29,9.29,0.0,0.0,0.0,0.71,0.0,1.43,6.43,2.14,7.86,0.71,26.43,0.0,0.0,2.14,0.0,0.0,0.71,4.29,5.71,7.86,9.29,2.86,12.86,2.14,0.0,2.14,2.14,0.0,1.43,0.0,0.71,0.0,0.71,2.14,2.14,5.0,0.71,5.71,4.29,0.71,0.0,0.0,0.0,0.71,0.71,3.57,0.71,0.0,1.43,0.71,5.0,0.71,2.14,0.71,1.43,0.0,0.0,4.29,22.14,2.14,27.14,26.43,14.29,20.71
Celeriax_high,0.0,0.81,0.81,0.0,1.63,1.63,0.0,0.81,0.81,0.0,0.81,0.0,0.81,1.63,1.63,0.0,0.81,1.63,4.88,0.44,18.7,26.83,7.32,0.0,9.76,1.63,18.7,17.07,1.63,3.25,0.0,2.44,5.69,4.07,0.81,3.25,0.81,0.0,23.58,4.88,0.0,4.07,0.81,0.0,4.88,8.13,34.15,33.33,17.89,10.57,0.0,17.07,0.81,4.07,0.81,1.63,0.0,2.44,2.44,2.44,26.83,12.2,6.5,4.88,15.45,2.44,3.25,1.63,0.81,2.44,0.81,0.81,0.81,1.63,3.25,4.07,0.0,0.81,0.81,0.81,0.81,13.01,0.0,0.81,0.81,1.63,0.81,1.63,5.69,3.25,26.83,0.81,1.63,5.69,4.07,7.32,0.81,2.44,3.25,1.63,1.63,4.88,4.88,1.63,8.13,3.25,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,2.44,0.81,10.57,1.63,4.88,2.44,0.81,0.0,8.13,0.81,6.5,3.25,0.0,0.81,0.81,2.44,2.44,1.63,0.0,0.81,0.81,1.63,0.0,0.0,6.5,7.32,0.0,8.13,28.46,0.81,15.45
Chlorothymol_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.85,0.0,1.71,0.0,0.0,0.0,5.98,2.56,8.55,11.97,0.85,0.0,2.56,0.0,0.85,7.69,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85,0.85,12.82,3.42,12.82,2.56,6.84,2.56,0.0,1.71,6.84,0.0,0.0,0.85,0.85,0.0,0.0,0.0,1.71,7.69,9.4,9.4,5.98,0.0,0.0,0.85,4.27,2.56,9.4,0.0,0.85,1.71,1.71,0.0,0.0,0.85,0.0,4.27,3.42,3.42,2.56,4.27,6.84,0.85,8.55,17.09,0.0,1.71,0.85,0.0,0.0,0.85,1.71,2.56,8.55,0.85,1.71,0.0,0.85,0.85,0.0,5.98,9.4,4.27,9.4,13.68,15.38,3.42,11.97,8.55,1.71,2.56,0.0,0.85,0.0,0.0,11.11,3.42,2.56,5.13,11.97,0.0,5.13,3.42,0.0,0.0,0.85,0.85,0.0,5.98,8.55,0.85,4.27,5.98,9.4,6.84,1.71,2.56,1.71,8.55,6.84,1.71,17.95,13.68,0.85,30.77,11.11,6.84,11.11,0.0
CinnamicAldehyde_high,1.43,2.86,0.71,1.43,6.43,1.43,1.43,1.43,0.0,3.57,0.71,2.14,0.71,14.29,5.0,2.14,5.0,5.0,5.71,17.86,63.57,53.57,7.14,5.0,20.71,0.71,5.71,60.71,33.57,75.71,1.43,0.71,0.71,0.71,2.86,0.0,0.71,3.57,14.29,9.29,1.43,22.86,5.71,5.71,0.71,6.43,56.43,3.57,5.0,0.71,5.0,1.43,2.14,7.14,0.71,7.86,0.0,1.43,2.14,1.43,0.0,0.71,2.86,1.43,10.71,0.0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,2.86,2.14,0.71,0.0,0.0,0.0,0.0,2.14,5.0,0.71,0.0,0.0,0.71,0.0,0.0,7.14,0.71,5.0,0.0,12.86,0.0,0.71,0.0,0.0,0.71,0.71,1.43,1.43,10.0,5.71,2.14,14.29,0.71,0.0,0.71,0.0,0.0,2.14,0.0,0.71,0.71,0.0,2.14,0.0,9.29,1.43,0.71,3.57,1.43,0.0,0.71,0.0,0.0,1.43,6.43,0.71,0.0,0.0,0.0,1.43,0.0,0.71,0.71,0.71,0.71,0.0,2.14,5.0,0.0,22.14,23.57,10.71,34.29
