subjects,structure,odorant panel,shank,cell
plCoA_natMix_0_7,plCoA,natMix,0,7
plCoA_natMix_1_14,plCoA,natMix,1,14
plCoA_natMix_1_15,plCoA,natMix,1,15
plCoA_natMix_1_16,plCoA,natMix,1,16
plCoA_natMix_1_17,plCoA,natMix,1,17
plCoA_natMix_3_5,plCoA,natMix,3,5
plCoA_natMix_1_18,plCoA,natMix,1,18
plCoA_natMix_1_19,plCoA,natMix,1,19
plCoA_natMix_2_10,plCoA,natMix,2,10
plCoA_natMix_2_11,plCoA,natMix,2,11
plCoA_natMix_3_6,plCoA,natMix,3,6
plCoA_natMix_3_7,plCoA,natMix,3,7
plCoA_natMix_3_8,plCoA,natMix,3,8
plCoA_natMix_3_9,plCoA,natMix,3,9
plCoA_natMix_3_10,plCoA,natMix,3,10
plCoA_natMix_0_8,plCoA,natMix,0,8
plCoA_natMix_3_11,plCoA,natMix,3,11
plCoA_natMix_3_12,plCoA,natMix,3,12
plCoA_natMix_3_13,plCoA,natMix,3,13
plCoA_natMix_3_14,plCoA,natMix,3,14
plCoA_natMix_3_15,plCoA,natMix,3,15
plCoA_natMix_3_16,plCoA,natMix,3,16
plCoA_natMix_2_12,plCoA,natMix,2,12
plCoA_natMix_2_13,plCoA,natMix,2,13
plCoA_natMix_2_14,plCoA,natMix,2,14
plCoA_natMix_2_15,plCoA,natMix,2,15
plCoA_natMix_0_9,plCoA,natMix,0,9
plCoA_natMix_0_10,plCoA,natMix,0,10
plCoA_natMix_0_11,plCoA,natMix,0,11
plCoA_natMix_0_12,plCoA,natMix,0,12
plCoA_15_0_0,plCoA,15,0,0
plCoA_15_0_1,plCoA,15,0,1
plCoA_15_0_2,plCoA,15,0,2
plCoA_15_0_3,plCoA,15,0,3
plCoA_15_0_4,plCoA,15,0,4
plCoA_15_0_5,plCoA,15,0,5
plCoA_15_1_0,plCoA,15,1,0
plCoA_15_1_1,plCoA,15,1,1
plCoA_15_1_2,plCoA,15,1,2
plCoA_15_1_3,plCoA,15,1,3
plCoA_15_1_4,plCoA,15,1,4
plCoA_15_1_5,plCoA,15,1,5
plCoA_15_1_6,plCoA,15,1,6
plCoA_15_2_0,plCoA,15,2,0
plCoA_15_2_1,plCoA,15,2,1
plCoA_15_2_2,plCoA,15,2,2
plCoA_15_2_3,plCoA,15,2,3
plCoA_15_2_4,plCoA,15,2,4
plCoA_15_3_0,plCoA,15,3,0
plCoA_15_3_1,plCoA,15,3,1
plCoA_15_3_2,plCoA,15,3,2
plCoA_15_3_3,plCoA,15,3,3
plCoA_15_3_4,plCoA,15,3,4
plCoA_15_3_5,plCoA,15,3,5
plCoA_15_3_6,plCoA,15,3,6
plCoA_15_3_7,plCoA,15,3,7
plCoA_15_3_8,plCoA,15,3,8
plCoA_15_1_7,plCoA,15,1,7
plCoA_15_1_8,plCoA,15,1,8
plCoA_15_1_9,plCoA,15,1,9
plCoA_15_3_9,plCoA,15,3,9
plCoA_15_3_10,plCoA,15,3,10
plCoA_15_3_11,plCoA,15,3,11
plCoA_15_3_12,plCoA,15,3,12
plCoA_15_3_13,plCoA,15,3,13
plCoA_15_3_14,plCoA,15,3,14
plCoA_15_3_15,plCoA,15,3,15
plCoA_15_3_16,plCoA,15,3,16
plCoA_15_3_17,plCoA,15,3,17
plCoA_15_3_18,plCoA,15,3,18
plCoA_15_3_19,plCoA,15,3,19
plCoA_15_3_20,plCoA,15,3,20
plCoA_15_0_6,plCoA,15,0,6
plCoA_15_0_7,plCoA,15,0,7
plCoA_15_0_8,plCoA,15,0,8
plCoA_15_2_5,plCoA,15,2,5
plCoA_15_2_6,plCoA,15,2,6
plCoA_15_2_7,plCoA,15,2,7
plCoA_15_2_8,plCoA,15,2,8
plCoA_15_2_9,plCoA,15,2,9
plCoA_15_1_10,plCoA,15,1,10
plCoA_15_1_11,plCoA,15,1,11
plCoA_15_1_12,plCoA,15,1,12
plCoA_15_1_13,plCoA,15,1,13
plCoA_15_1_14,plCoA,15,1,14
plCoA_15_1_15,plCoA,15,1,15
plCoA_15_1_16,plCoA,15,1,16
plCoA_15_2_10,plCoA,15,2,10
plCoA_15_2_11,plCoA,15,2,11
plCoA_15_2_12,plCoA,15,2,12
plCoA_15_2_13,plCoA,15,2,13
plCoA_15_2_14,plCoA,15,2,14
plCoA_15_2_15,plCoA,15,2,15
plCoA_15_0_9,plCoA,15,0,9
plCoA_15_0_10,plCoA,15,0,10
plCoA_15_0_11,plCoA,15,0,11
aPCx_15_0_0,aPCx,15,0,0
aPCx_15_0_1,aPCx,15,0,1
aPCx_15_0_2,aPCx,15,0,2
aPCx_15_2_0,aPCx,15,2,0
aPCx_15_2_1,aPCx,15,2,1
aPCx_15_2_2,aPCx,15,2,2
aPCx_15_2_3,aPCx,15,2,3
aPCx_15_2_4,aPCx,15,2,4
aPCx_15_3_0,aPCx,15,3,0
aPCx_15_3_1,aPCx,15,3,1
aPCx_15_3_2,aPCx,15,3,2
aPCx_15_3_3,aPCx,15,3,3
aPCx_15_3_4,aPCx,15,3,4
aPCx_15_3_5,aPCx,15,3,5
aPCx_15_3_6,aPCx,15,3,6
aPCx_15_3_7,aPCx,15,3,7
aPCx_15_3_8,aPCx,15,3,8
aPCx_15_3_9,aPCx,15,3,9
aPCx_15_3_10,aPCx,15,3,10
aPCx_15_3_11,aPCx,15,3,11
aPCx_15_2_5,aPCx,15,2,5
aPCx_15_0_3,aPCx,15,0,3
aPCx_15_3_12,aPCx,15,3,12
aPCx_15_3_13,aPCx,15,3,13
aPCx_15_3_14,aPCx,15,3,14
aPCx_15_3_15,aPCx,15,3,15
aPCx_15_3_16,aPCx,15,3,16
aPCx_15_1_0,aPCx,15,1,0
aPCx_15_1_1,aPCx,15,1,1
aPCx_15_1_2,aPCx,15,1,2
aPCx_15_1_3,aPCx,15,1,3
aPCx_15_1_4,aPCx,15,1,4
aPCx_15_1_5,aPCx,15,1,5
aPCx_15_1_6,aPCx,15,1,6
aPCx_15_1_7,aPCx,15,1,7
aPCx_15_1_8,aPCx,15,1,8
aPCx_15_1_9,aPCx,15,1,9
aPCx_15_1_10,aPCx,15,1,10
aPCx_15_1_11,aPCx,15,1,11
aPCx_15_2_6,aPCx,15,2,6
aPCx_15_2_7,aPCx,15,2,7
aPCx_15_2_8,aPCx,15,2,8
aPCx_15_2_9,aPCx,15,2,9
aPCx_15_2_10,aPCx,15,2,10
aPCx_15_1_12,aPCx,15,1,12
aPCx_15_1_13,aPCx,15,1,13
aPCx_15_1_14,aPCx,15,1,14
aPCx_15_2_11,aPCx,15,2,11
aPCx_15_2_12,aPCx,15,2,12
aPCx_15_2_13,aPCx,15,2,13
aPCx_15_2_14,aPCx,15,2,14
aPCx_15_0_4,aPCx,15,0,4
plCoA_AA_0_0,plCoA,AA,0,0
plCoA_AA_0_1,plCoA,AA,0,1
plCoA_AA_0_2,plCoA,AA,0,2
plCoA_AA_0_3,plCoA,AA,0,3
plCoA_AA_0_4,plCoA,AA,0,4
plCoA_AA_2_0,plCoA,AA,2,0
plCoA_AA_2_1,plCoA,AA,2,1
plCoA_AA_3_0,plCoA,AA,3,0
plCoA_AA_3_1,plCoA,AA,3,1
plCoA_AA_3_2,plCoA,AA,3,2
plCoA_AA_3_3,plCoA,AA,3,3
plCoA_AA_0_5,plCoA,AA,0,5
plCoA_AA_0_6,plCoA,AA,0,6
plCoA_AA_0_7,plCoA,AA,0,7
plCoA_AA_0_8,plCoA,AA,0,8
plCoA_AA_0_9,plCoA,AA,0,9
plCoA_AA_1_0,plCoA,AA,1,0
plCoA_AA_1_1,plCoA,AA,1,1
plCoA_AA_1_2,plCoA,AA,1,2
plCoA_AA_2_2,plCoA,AA,2,2
plCoA_AA_2_3,plCoA,AA,2,3
plCoA_AA_2_4,plCoA,AA,2,4
plCoA_AA_2_5,plCoA,AA,2,5
plCoA_AA_2_6,plCoA,AA,2,6
plCoA_AA_3_4,plCoA,AA,3,4
plCoA_AA_3_5,plCoA,AA,3,5
plCoA_AA_1_3,plCoA,AA,1,3
plCoA_AA_1_4,plCoA,AA,1,4
plCoA_AA_2_7,plCoA,AA,2,7
plCoA_AA_2_8,plCoA,AA,2,8
plCoA_AA_2_9,plCoA,AA,2,9
plCoA_AA_2_10,plCoA,AA,2,10
plCoA_AA_3_6,plCoA,AA,3,6
plCoA_AA_3_7,plCoA,AA,3,7
plCoA_AA_3_8,plCoA,AA,3,8
plCoA_AA_3_9,plCoA,AA,3,9
plCoA_AA_3_10,plCoA,AA,3,10
plCoA_AA_3_11,plCoA,AA,3,11
plCoA_AA_3_12,plCoA,AA,3,12
plCoA_AA_3_13,plCoA,AA,3,13
plCoA_AA_3_14,plCoA,AA,3,14
plCoA_AA_3_15,plCoA,AA,3,15
plCoA_AA_0_10,plCoA,AA,0,10
plCoA_AA_0_11,plCoA,AA,0,11
plCoA_AA_0_12,plCoA,AA,0,12
plCoA_AA_0_13,plCoA,AA,0,13
plCoA_AA_0_14,plCoA,AA,0,14
plCoA_AA_1_5,plCoA,AA,1,5
plCoA_AA_1_6,plCoA,AA,1,6
plCoA_AA_2_11,plCoA,AA,2,11
plCoA_AA_0_15,plCoA,AA,0,15
plCoA_AA_0_16,plCoA,AA,0,16
plCoA_AA_0_17,plCoA,AA,0,17
plCoA_AA_0_18,plCoA,AA,0,18
plCoA_AA_0_19,plCoA,AA,0,19
plCoA_AA_0_20,plCoA,AA,0,20
plCoA_AA_0_21,plCoA,AA,0,21
plCoA_AA_0_22,plCoA,AA,0,22
plCoA_AA_0_23,plCoA,AA,0,23
plCoA_AA_2_12,plCoA,AA,2,12
plCoA_AA_2_13,plCoA,AA,2,13
plCoA_AA_2_14,plCoA,AA,2,14
plCoA_AA_2_15,plCoA,AA,2,15
plCoA_AA_2_16,plCoA,AA,2,16
plCoA_AA_2_17,plCoA,AA,2,17
plCoA_AA_2_18,plCoA,AA,2,18
plCoA_AA_2_19,plCoA,AA,2,19
plCoA_AA_2_20,plCoA,AA,2,20
plCoA_AA_2_21,plCoA,AA,2,21
plCoA_AA_2_22,plCoA,AA,2,22
plCoA_AA_2_23,plCoA,AA,2,23
aPCx_AA_0_0,aPCx,AA,0,0
aPCx_AA_0_1,aPCx,AA,0,1
aPCx_AA_0_2,aPCx,AA,0,2
aPCx_AA_0_3,aPCx,AA,0,3
aPCx_AA_0_4,aPCx,AA,0,4
aPCx_AA_0_5,aPCx,AA,0,5
aPCx_AA_0_6,aPCx,AA,0,6
aPCx_AA_0_7,aPCx,AA,0,7
aPCx_AA_0_8,aPCx,AA,0,8
aPCx_AA_0_9,aPCx,AA,0,9
aPCx_AA_0_10,aPCx,AA,0,10
aPCx_AA_0_11,aPCx,AA,0,11
aPCx_AA_0_12,aPCx,AA,0,12
aPCx_AA_1_0,aPCx,AA,1,0
aPCx_AA_1_1,aPCx,AA,1,1
aPCx_AA_1_2,aPCx,AA,1,2
aPCx_AA_1_3,aPCx,AA,1,3
aPCx_AA_2_0,aPCx,AA,2,0
aPCx_AA_2_1,aPCx,AA,2,1
aPCx_AA_2_2,aPCx,AA,2,2
aPCx_AA_2_3,aPCx,AA,2,3
aPCx_AA_2_4,aPCx,AA,2,4
aPCx_AA_2_5,aPCx,AA,2,5
aPCx_AA_2_6,aPCx,AA,2,6
aPCx_AA_2_7,aPCx,AA,2,7
aPCx_AA_2_8,aPCx,AA,2,8
aPCx_AA_2_9,aPCx,AA,2,9
aPCx_AA_3_0,aPCx,AA,3,0
aPCx_AA_3_1,aPCx,AA,3,1
aPCx_AA_3_2,aPCx,AA,3,2
aPCx_AA_3_3,aPCx,AA,3,3
aPCx_AA_1_4,aPCx,AA,1,4
aPCx_AA_3_4,aPCx,AA,3,4
aPCx_AA_3_5,aPCx,AA,3,5
aPCx_AA_3_6,aPCx,AA,3,6
aPCx_AA_3_7,aPCx,AA,3,7
aPCx_AA_3_8,aPCx,AA,3,8
aPCx_AA_3_9,aPCx,AA,3,9
aPCx_AA_3_10,aPCx,AA,3,10
aPCx_AA_3_11,aPCx,AA,3,11
aPCx_AA_3_12,aPCx,AA,3,12
aPCx_AA_3_13,aPCx,AA,3,13
aPCx_AA_3_14,aPCx,AA,3,14
aPCx_AA_3_15,aPCx,AA,3,15
aPCx_AA_3_16,aPCx,AA,3,16
aPCx_AA_3_17,aPCx,AA,3,17
aPCx_AA_3_18,aPCx,AA,3,18
aPCx_AA_3_19,aPCx,AA,3,19
aPCx_AA_3_20,aPCx,AA,3,20
