smiles,binary_classification_current_label
C=CC(C)(O)CCC=C(C)C,0
CC12CCC(CC1)C(C)(C)O2,1
CC(C)=CCCC(C)=CC=O,0
C=CCc1ccc(O)c(OC)c1,1
CC1=CCC2CC1C2(C)C,0
C=C/C(C)=C/C=C/C(C)C,0
CC(C)=CCCC(C)CC=O,0
c1ccc2[nH]ccc2c1,1
Cc1c[nH]c2ccccc12,0
CC1CCC(=O)O1,0
CCC1CCC(=O)O1,0
CCCCC1CCC(=O)O1,0
CCCCCCC1CCC(=O)O1,0
CC1=C(O)C(=O)C(C)O1,0
COC1=C(C)OC(C)C1=O,0
CCCCCCCCC1CCC(=O)O1,0
C1CCNC1,0
CC(=O)c1cccs1,0
COC(=O)c1ccccc1C(=O)OC,0
O=COCc1ccccc1,0
O=COCCc1ccccc1,0
CC(C)CC=O,0
CCCCCCCCCCCCCCCCCC(=O)OCC,0
CCCCCCCCCCCCCC(=O)O,0
CCCCCCCCCCCCCC(=O)OC,0
CCCCCCCCCCCCCCCCO,0
CC1=CCC(=C(C)C)CC1,0
CNC(=O)c1ccccc1,0
C=CC(=C)CCC=C(C)C,0
CCCCCC/C=C\CCCCCCCC(=O)O,0
CCC(=O)Oc1ccccc1,0
CC(C)C(=O)Oc1ccccc1,0
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0
c1ccc(Nc2cccc3ccccc23)cc1,0
CCc1ccccc1C,0
O=C1CSC(=O)N1,0
CC1=NCCS1,0
CCC(=O)OCCc1ccccc1,0
CCCCC/C=C\C=C\C(=O)OCC,0
CCCCCCC(C=O)=Cc1ccccc1,0
CCCC(C)=O,0
CCCCC(C)=O,0
CCCCCCC(C)=O,0
Cc1ncsc1C,0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,0
CC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0
CC/C=C\CCO,0
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0
CC1(C)C2CC[C@]1(C)C(=O)C2,0
CC=O,0
CCN(CC)C(=O)c1cccc(C)c1,1
CCC(C)OC(=O)N1CCCCC1CCO,1
CCCCN(CCC(=O)OCC)C(C)=O,1
CCOC(=O)c1ccccc1N,0
CCCCOC(=O)c1ccccc1N,0
COC(=O)c1ccccc1N(C)C,0
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)O,0
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,0
