CID,I_max,C,D
5372174,45.02,0.26,0.63
5702654,55.22,0.11,0.8
6321405,44.1,-0.78,0.61
6433547,45.38,0.61,0.69
6437428,29.58,-1.96,0.45
6438067,33.57,1.02,0.44
6438195,18.12,-0.19,0.31
6441135,61.49,0.41,0.72
6850728,61.96,1.82,0.65
9855795,27.03,0.96,0.28
10857465,29.65,-0.91,0.47
11085796,18.8,0.25,0.41
13918856,29.89,-0.94,0.29
15461361,44.85,0.01,0.63
16063567,7.05,-0.75,0.22
16070752,48.88,-1.32,0.5
16204527,59.65,1.38,0.66
19871663,36.61,1.48,0.66
44153588,24.15,-0.51,0.11
54027559,43.25,0.61,0.44
57353762,12.56,-0.72,0.73
