Test UID,Answer,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Molecule 1,Molecule 2,Molecule 3,Molecule 4,Molecule 5,Molecule 6,Molecule 7,Molecule 8,Molecule 9,Molecule 10,Molecule 11,Molecule 12,Molecule 13,Molecule 14,Molecule 15,Molecule 16,Molecule 17,Molecule 18,Molecule 19,Molecule 20,Molecule 21,Molecule 22,Molecule 23,Molecule 24,Molecule 25,Molecule 26,Molecule 27,Molecule 28,Molecule 29,Molecule 30
24,wrong,30,10,66.67,0.25,8130,7966,7731,8103,3776,62336,8025,10976,12232,612,31265,12020,326,7600,443162,454,7685,22873,11124,7460,176,26331,12178,7749,7991,22201,31276,7150,8918,6654
25,right,20,5,75.0,0.25,10821,443162,7632,7731,7714,7799,11552,6989,12348,7685,7150,12178,31249,22386,10890,2879,7059,6561,8051,8091,0,0,0,0,0,0,0,0,0,0
25,wrong,20,5,75.0,1.0,10821,443162,7632,7731,7714,7799,11552,6989,12348,7685,7150,12178,31249,22386,10890,7583,440917,3776,454,7848,0,0,0,0,0,0,0,0,0,0
25,wrong,20,5,75.0,0.5,10821,443162,7632,7731,7714,7799,11552,6989,12348,7685,7150,12178,31249,22386,10890,7583,440917,3776,454,7848,0,0,0,0,0,0,0,0,0,0
26,right,10,7,30.0,0.5,8030,8858,261,12741,1146,22386,7344,5634,62336,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,wrong,10,7,30.0,0.25,8030,8858,261,8635,12020,6184,3314,7888,7793,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,wrong,10,7,30.0,1.0,8030,8858,261,8635,12020,6184,3314,7888,7793,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,right,30,30,0.0,0.5,1140,7685,15380,5283349,176,8858,177,8091,8918,61016,5373603,440917,440967,7654,7749,6544,612,637566,22873,7793,12180,12020,10976,1127,6989,10882,7921,91497,7762,11124
27,wrong,30,30,0.0,0.25,62444,62336,7848,8051,5281515,454,7600,3776,12367,261,7714,443158,19310,62465,4133,8635,1146,8797,6561,637511,7165,31249,7799,7583,8030,6736,62433,61138,999,6654
27,wrong,30,30,0.0,1.0,62444,62336,7848,8051,5281515,454,7600,3776,12367,261,7714,443158,19310,62465,4133,8635,1146,8797,6561,637511,7165,31249,7799,7583,8030,6736,62433,61138,999,6654
28,right,20,10,50.0,0.25,176,5634,8048,10722,8635,8030,7059,7710,1060,2758,8148,7150,10821,7165,6561,7799,460,326,7410,8130,0,0,0,0,0,0,0,0,0,0
28,wrong,20,10,50.0,0.5,176,5634,8048,10722,8635,8030,7059,7710,1060,2758,61138,1068,7731,7921,1031,62433,6654,8186,8103,31265,0,0,0,0,0,0,0,0,0,0
28,wrong,20,10,50.0,1.0,176,5634,8048,10722,8635,8030,7059,7710,1060,2758,61138,1068,7731,7921,1031,62433,6654,8186,8103,31265,0,0,0,0,0,0,0,0,0,0
29,right,10,7,30.0,0.25,61016,31244,11509,8025,62336,22386,440967,7632,637511,7460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,wrong,10,7,30.0,1.0,61016,31244,11509,179,7463,5283349,176,8048,8892,6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,wrong,10,7,30.0,0.5,61016,31244,11509,179,7463,5283349,176,8048,8892,6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,right,20,1,95.0,0.5,8091,7710,6561,454,3314,612,12232,2969,10722,5283349,6654,6184,12020,62465,7583,7685,3776,7714,999,8030,0,0,0,0,0,0,0,0,0,0
30,wrong,20,1,95.0,0.25,8091,7710,6561,454,3314,612,12232,2969,10722,5283349,6654,6184,12020,62465,7583,7685,3776,7714,999,61016,0,0,0,0,0,0,0,0,0,0
30,wrong,20,1,95.0,1.0,8091,7710,6561,454,3314,612,12232,2969,10722,5283349,6654,6184,12020,62465,7583,7685,3776,7714,999,61016,0,0,0,0,0,0,0,0,0,0
31,right,20,1,95.0,0.25,22386,637566,62336,637511,440967,8858,6184,7654,2879,18827,6736,6561,7600,11552,8030,5373603,1068,14286,8892,5283349,0,0,0,0,0,0,0,0,0,0
