CID,MolecularWeight,IsomericSMILES,IUPACName,name,Odorant name,C.A.S.,% odorant,Solvent
22201,108.14,CC1=NC=CN=C1C,"2,3-dimethylpyrazine","2,3-dimethylpyrazine","2,3-dimethyl pyrazine",5910-89-4,0.2,"1,2-propanediol"
22386,88.15,CCCC(C)O,pentan-2-ol,2-pentanol,pentan-2-ol,6032-29-7,4.0,"1,2-propanediol"
22873,200.32,CCCCCCOC(=O)CCCCC,hexyl hexanoate,hexyl hexanoate,hexyl hexanoate,6378-65-0,26.66,"1,2-propanediol"
24915,220.31,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,(2-methyl-1-phenylpropan-2-yl) butanoate,10094-34-5,dimethyl benzyl carbinyl butyrate,10094-34-5,20.0,"1,2-propanediol"
26331,108.14,CCC1=NC=CN=C1,2-ethylpyrazine,2-ethylpyrazine,2-ethyl pyrazine,13925-00-3,0.4,mineral oil
31244,136.15,COC1=CC=C(C=C1)C=O,4-methoxybenzaldehyde,4-methoxybenzaldehyde,4-methoxybenzaldehyde,123-11-5,3.3,"1,2-propanediol"
31249,174.19,CCOC(=O)CCC(=O)OCC,diethyl butanedioate,diethyl succinate,diethyl butanedioate,123-25-1,100.0,None
31265,144.21,CCCCCC(=O)OCC,ethyl hexanoate,ethyl caproate,ethyl hexanoate,123-66-0,0.5,"1,2-propanediol"
31272,116.16,CCCCOC(=O)C,butyl acetate,butyl acetate,butyl acetate,123-86-4,1.0,"1,2-propanediol"
31276,130.18,CC(C)CCOC(=O)C,3-methylbutyl acetate,isoamyl acetate,isoamyl acetate,123-92-2,0.1,mineral oil
61016,140.22,CC(CCC=C(C)C)C=O,"2,6-dimethylhept-5-enal","2,6-dimethyl-5-heptenal",melonal,106-72-9,1.0,mineral oil
61138,100.12,C=CCCC(=O)O,pent-4-enoic acid,4-pentenoic acid,4-pentenoic acid,591-80-0,0.3,mineral oil
62336,180.24,CC(C1=CC=CC=C1)C(OC)OC,"1,1-dimethoxypropan-2-ylbenzene",2-phenylpropionaldehyde dimethyl acetal,2-phenyl propionaldehyde dimethyl acetal,90-87-9,15.0,mineral oil
62433,172.26,CCCCCOC(=O)CCCC,pentyl pentanoate,pentyl valerate,pentyl valerate,2173-56-0,50.0,mineral oil
62444,118.2,CCCC(=O)SC,S-methyl butanethioate,s-methyl thiobutyrate,S-(methyl thio) butyrate,2432-51-1,0.03,mineral oil
62465,152.19,CCC1=CC(=C(C=C1)O)OC,4-ethyl-2-methoxyphenol,4-ethyl-2-methoxyphenol,4-ethyl guaiacol,2785-89-9,0.1,"1,2-propanediol"
91497,258.4,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,"4,6,6,7,8,8-hexamethyl-1,3,4,7-tetrahydrocyclopenta[g]isochromene",galaxolide,musk galaxolide,1222-05-5,5.0,"1,2-propanediol"
440917,136.23,CC1=CC[C@@H](CC1)C(=C)C,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,d-limonene,limonene,5989-27-5,5.0,mineral oil
440967,136.23,CC1([C@H]2CCC(=C)[C@@H]1C2)C,"(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",(-)-beta-pinene,laevo-beta-pinene,18172-67-3,10.0,"1,2-propanediol"
443158,154.25,CC(=CCC[C@](C)(C=C)O)C,"(3R)-3,7-dimethylocta-1,6-dien-3-ol",(-)-linalool,linalool,126-91-0,2.5,mineral oil
443162,154.25,CC1=CC[C@H](CC1)C(C)(C)O,2-[(1S)-4-methylcyclohex-3-en-1-yl]propan-2-ol,(-)-alpha-terpineol,_-terpineol,10482-56-1,50.0,"1,2-propanediol"
637511,132.16,C1=CC=C(C=C1)/C=C/C=O,(E)-3-phenylprop-2-enal,cinnamaldehyde,cinnamic aldehyde,104-55-2,0.01,"1,2-propanediol"
637566,154.25,CC(=CCC/C(=C/CO)/C)C,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",geraniol,geraniol,106-24-1,50.0,"1,2-propanediol"
5281168,98.14,CCC/C=C/C=O,(E)-hex-2-enal,trans-2-hexenal,trans-2-hexenal,6728-26-3,0.1,mineral oil
5281515,204.35,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",beta-caryophyllene,caryophyllene,87-44-5,15.0,"1,2-propanediol"
5283349,152.23,CCCCC/C=C/C=C/C=O,"(2E,4E)-deca-2,4-dienal","(2e,4e)-deca-2,4-dienal","2,4-trans-trans-decadienal",25152-84-5,0.5,mineral oil
5373603,174.2,CC/C=C\1/C2=CC=CC=C2C(=O)O1,(3Z)-3-propylidene-2-benzofuran-1-one,3-propylidenephthalide,celeriax,17369-59-4,0.2,"1,2-propanediol"
5373603,174.2,CC/C=C\1/C2=CC=CC=C2C(=O)O1,(3Z)-3-propylidene-2-benzofuran-1-one,3-propylidenephthalide,celeriax,17369-59-4,0.2,"1,2-propanediol"
