Test UID,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,subject 9,subject 10,subject 11,subject 12,subject 13,subject 14,subject 15,subject 16,subject 17,subject 18,subject 19,subject 20,subject 21,subject 22,subject 23,subject 24,subject 25,subject 26
175,20,15,25,not diluted,right,2-methylpropanoic acid,4-ethyl guaiacol,ethyl 2-hydroxypropanoate,heptan-2-ol, 1-Isopropyl-4-methylbenzene,hexanal,p-cresol,toluene,S-(methyl thio) butyrate,geraniol,trans-2-hexenal,benzaldehyde,heptan-2-one,cyclohexanol,propan-2-ol,isoamyl acetate,2-phenyl propionaldehyde dimethyl acetal,ortho-acetyl pyridine,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",musk galaxolide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,20,15,25,not diluted,wrong,phenyl acetic acid,butanal,undecanal,ethyl butyrate,hexanoic acid,ethyl 2-hydroxypropanoate,bis(methylsulfanyl)methane, 1-Isopropyl-4-methylbenzene,cyclohexanol,2-methylpropanoic acid,trans-2-hexenal,"2,4-trans-trans-decadienal",2-ethyl pyrazine,guaiacol,4-methyl anisole,decanoic acid,iso-valeraldehyde,ethyl hexanoate,1-octen-3-ol,pentyl valerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,20,15,25,1/2,wrong,phenyl acetic acid,butanal,undecanal,ethyl butyrate,hexanoic acid,ethyl 2-hydroxypropanoate,bis(methylsulfanyl)methane, 1-Isopropyl-4-methylbenzene,cyclohexanol,2-methylpropanoic acid,trans-2-hexenal,"2,4-trans-trans-decadienal",2-ethyl pyrazine,guaiacol,4-methyl anisole,decanoic acid,iso-valeraldehyde,ethyl hexanoate,1-octen-3-ol,pentyl valerate,,,,,,,,,,,wrong,wrong,right,wrong,wrong,right,wrong,wrong,right,right,right,wrong,wrong,right,wrong,wrong,right,right,wrong,right,right,wrong,right,right,right,right
185,20,15,25,1/4,right,phenyl acetic acid,butanal,undecanal,ethyl butyrate,hexanoic acid,heptanal,pentan-2-ol,geraniol,nonan-2-ol,methyl benzoate,propan-2-ol,octanal,anisole,hexyl hexanoate,2-hydroxypropanoic acid,thymol,heptan-2-ol,dimethyl benzyl carbinyl butyrate,methyl salicylate,undecylenic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,20,15,25,not diluted,wrong,iso-valeric acid,hexyl hexanoate,4-methyl anisole,butyl sulfide,2-phenyl propionaldehyde dimethyl acetal,trans-2-hexenal,thiolane,methyl anthranilate,diethyl butanedioate,pentanoic acid,dimethyl benzyl carbinyl butyrate,isoamyl acetate,musk galaxolide,4-ethyl guaiacol,methylsulfanylmethane,nonyl acetate,iso-pentyl phenyl acetate,propan-2-ol,acetoin,4-pentenoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,20,15,25,1/2,wrong,iso-valeric acid,hexyl hexanoate,4-methyl anisole,butyl sulfide,2-phenyl propionaldehyde dimethyl acetal,trans-2-hexenal,thiolane,methyl anthranilate,diethyl butanedioate,pentanoic acid,dimethyl benzyl carbinyl butyrate,isoamyl acetate,musk galaxolide,4-ethyl guaiacol,methylsulfanylmethane,nonyl acetate,iso-pentyl phenyl acetate,propan-2-ol,acetoin,4-pentenoic acid,,,,,,,,,,,wrong,wrong,right,wrong,right,wrong,right,right,wrong,wrong,right,wrong,right,right,right,right,wrong,right,wrong,right,wrong,wrong,wrong,right,wrong,right
200,20,15,25,1/4,right,iso-valeric acid,hexyl hexanoate,4-methyl anisole,butyl sulfide,2-phenyl propionaldehyde dimethyl acetal,indole,gamma-nonalactone,pentyl valerate,nonan-2-ol,(methyldisulfanyl) methane,dimethyl trisulfide,pentan-2-ol,amyl butyrate,acetaldehyde,guaiacol,diphenyl oxide,butanoic acid,methyl butanoate,phenyl acetylene,cyclohexanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,20,15,25,not diluted,wrong,iso-valeraldehyde,laevo-beta-pinene,methyl benzoate,4-methoxybenzaldehyde,acetic acid,bis(methylsulfanyl)methane,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",heptanal,p-cresyl-iso-butyrate,butane-2-thiol,l-menthol,ethyl decanoate,gamma-valerolactone,geraniol,pentyl acetate,p-cresol,thiophene,eucalyptol,2-hydroxypropanoic acid,pentan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,20,15,25,1/4,wrong,iso-valeraldehyde,laevo-beta-pinene,methyl benzoate,4-methoxybenzaldehyde,acetic acid,bis(methylsulfanyl)methane,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",heptanal,p-cresyl-iso-butyrate,butane-2-thiol,l-menthol,ethyl decanoate,gamma-valerolactone,geraniol,pentyl acetate,p-cresol,thiophene,eucalyptol,2-hydroxypropanoic acid,pentan-2-ol,,,,,,,,,,,wrong,right,right,right,wrong,right,right,right,wrong,right,right,right,wrong,wrong,wrong,right,wrong,wrong,right,wrong,right,right,wrong,right,right,right
201,20,15,25,1/2,right,iso-valeraldehyde,laevo-beta-pinene,methyl benzoate,4-methoxybenzaldehyde,acetic acid,ortho-tolualdehyde,octanal,phenyl ethanol,heptan-2-ol,para-methyl quinoline,S-(methyl thio) butyrate,iso-valeric acid,acetoin,butyl acetate,methylsulfanylmethane,celeriax,propane-1-thiol,acetaldehyde,ethyl formate,4-pentenoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,20,15,25,not diluted,wrong,methylsulfanylmethane,dimethyl benzyl carbinyl butyrate,pentanoic acid,pentyl acetate,butanal,phenyl ethanol,propane-1-thiol,"(3S)-3,7-dimethyloct-6-en-1-ol",undecylenic acid,benzaldehyde,4-Methyl-3-penten-2-one,2-ethyl pyrazine,methyl propanoate,(methyldisulfanyl) methane,methyl salicylate,strawberry aldehyde,butanoic acid,4-methyl anisole,"2,3-dimethyl pyrazine",1-hexanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,20,15,25,1/4,wrong,methylsulfanylmethane,dimethyl benzyl carbinyl butyrate,pentanoic acid,pentyl acetate,butanal,phenyl ethanol,propane-1-thiol,"(3S)-3,7-dimethyloct-6-en-1-ol",undecylenic acid,benzaldehyde,4-Methyl-3-penten-2-one,2-ethyl pyrazine,methyl propanoate,(methyldisulfanyl) methane,methyl salicylate,strawberry aldehyde,butanoic acid,4-methyl anisole,"2,3-dimethyl pyrazine",1-hexanol,,,,,,,,,,,right,wrong,right,wrong,right,wrong,right,right,wrong,right,wrong,wrong,right,right,wrong,right,wrong,right,right,right,right,wrong,wrong,right,wrong,right
238,20,15,25,1/2,right,methylsulfanylmethane,dimethyl benzyl carbinyl butyrate,pentanoic acid,pentyl acetate,butanal,heptan-2-ol,diethyl butanedioate,methyl benzoate,eucalyptol,trimethyl amine,dimethyl trisulfide,toluene,methyl butanoate,ethyl decanoate,ethyl propionate,ethyl formate,propan-1-ol,pentyl valerate,thiophene,ethyl butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,20,15,25,1/2,wrong,nonyl acetate,dimethyl benzyl carbinyl butyrate,caryophyllene,hexanal, 1-Isopropyl-4-methylbenzene,ethyl 2-hydroxypropanoate,p-cresol,strawberry aldehyde,p-cresyl-iso-butyrate,4-pentenoic acid,chlorothymol,undecylenic acid,ethyl formate,laevo-beta-pinene,anisole,acetaldehyde,2-methylpropanal,phenyl acetic acid,eugenol,2-oxopropanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,20,15,25,1/4,wrong,nonyl acetate,dimethyl benzyl carbinyl butyrate,caryophyllene,hexanal, 1-Isopropyl-4-methylbenzene,ethyl 2-hydroxypropanoate,p-cresol,strawberry aldehyde,p-cresyl-iso-butyrate,4-pentenoic acid,chlorothymol,undecylenic acid,ethyl formate,laevo-beta-pinene,anisole,acetaldehyde,2-methylpropanal,phenyl acetic acid,eugenol,2-oxopropanoic acid,,,,,,,,,,,right,wrong,wrong,wrong,right,wrong,wrong,right,right,right,right,wrong,wrong,right,right,right,wrong,right,right,right,right,wrong,right,right,right,right
252,20,15,25,not diluted,right,nonyl acetate,dimethyl benzyl carbinyl butyrate,caryophyllene,hexanal, 1-Isopropyl-4-methylbenzene,4-ethyl guaiacol,methyl octanoate,gamma-nonalactone,phenyl ethanol,methylsulfanylmethane,ethyl octanoate,3-hexanol,butyl sulfide,methyl benzoate,ethyl benzoate,iso-valeric acid,2-phenyl propionaldehyde dimethyl acetal,eucalyptol,iso-valeraldehyde,iso-pentyl phenyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20,10,50,1/2,wrong,acetic acid,undecylenic acid,ethyl decanoate,ortho-tolualdehyde,methyl anthranilate,thiophene,para-methyl quinoline,gamma-nonalactone,2-oxopropanoic acid,eucalyptol,4-pentenoic acid,methylsulfanylmethane,4-methyl anisole,gamma-valerolactone,propan-1-ol,pentyl valerate,alpha-pinene,undecanal,1-hexanol,ethyl hexanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20,10,50,not diluted,wrong,acetic acid,undecylenic acid,ethyl decanoate,ortho-tolualdehyde,methyl anthranilate,thiophene,para-methyl quinoline,gamma-nonalactone,2-oxopropanoic acid,eucalyptol,4-pentenoic acid,methylsulfanylmethane,4-methyl anisole,gamma-valerolactone,propan-1-ol,pentyl valerate,alpha-pinene,undecanal,1-hexanol,ethyl hexanoate,,,,,,,,,,,wrong,wrong,wrong,right,right,right,wrong,wrong,right,right,wrong,right,wrong,right,right,right,right,right,wrong,right,right,wrong,right,wrong,right,right
28,20,10,50,1/4,right,acetic acid,undecylenic acid,ethyl decanoate,ortho-tolualdehyde,methyl anthranilate,thiophene,para-methyl quinoline,gamma-nonalactone,2-oxopropanoic acid,eucalyptol,dibutyl amine,methyl benzoate,phenyl acetylene,ethyl benzoate,2-methylpropanal,ethyl octanoate,guaiacol,cuminic aldehyde,acetophenone,heptanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20,10,50,1/4,wrong,iso-bornyl acetate,ethyl decanoate,gamma-valerolactone,hexyl hexanoate,indole,musk galaxolide,decan-2-one,methyl anthranilate,p-cresyl acetate,heptan-2-one,phenyl ethanol,eugenol,ethyl hexanoate,caryophyllene,pentanoic acid,propane-1-thiol,trans-2-hexenal,2-ethyl pyrazine,toluene,dibutyl amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20,10,50,1/2,wrong,iso-bornyl acetate,ethyl decanoate,gamma-valerolactone,hexyl hexanoate,indole,musk galaxolide,decan-2-one,methyl anthranilate,p-cresyl acetate,heptan-2-one,phenyl ethanol,eugenol,ethyl hexanoate,caryophyllene,pentanoic acid,propane-1-thiol,trans-2-hexenal,2-ethyl pyrazine,toluene,dibutyl amine,,,,,,,,,,,right,wrong,wrong,wrong,wrong,right,wrong,wrong,right,wrong,wrong,wrong,right,wrong,right,right,right,right,wrong,right,right,wrong,right,right,right,right
47,20,10,50,not diluted,right,iso-bornyl acetate,ethyl decanoate,gamma-valerolactone,hexyl hexanoate,indole,musk galaxolide,decan-2-one,methyl anthranilate,p-cresyl acetate,heptan-2-one,p-cresyl-iso-butyrate,cinnamic aldehyde,2-hydroxypropanoic acid,chlorothymol,methyl benzoate,geraniol,hydroxy citronellal,undecanal,strawberry aldehyde,"2,3-dimethyl pyrazine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,10,50,1/4,wrong,"2,3-dimethyl pyrazine",hexanoic acid,2-phenylethyl acetate,cyclohexanol,ethyl octanoate,iso-valeric acid,4-pentenoic acid,heptan-2-ol,thiophene,ortho-tolualdehyde,diethyl butanedioate,2-methylpropanoic acid,pentanoic acid,propyl sulfide,laevo-beta-pinene,musk galaxolide,4-ethyl guaiacol,methyl salicylate,amyl butyrate,dimethyl trisulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,10,50,1/2,wrong,"2,3-dimethyl pyrazine",hexanoic acid,2-phenylethyl acetate,cyclohexanol,ethyl octanoate,iso-valeric acid,4-pentenoic acid,heptan-2-ol,thiophene,ortho-tolualdehyde,diethyl butanedioate,2-methylpropanoic acid,pentanoic acid,propyl sulfide,laevo-beta-pinene,musk galaxolide,4-ethyl guaiacol,methyl salicylate,amyl butyrate,dimethyl trisulfide,,,,,,,,,,,right,wrong,wrong,wrong,right,wrong,right,wrong,wrong,wrong,wrong,right,right,wrong,right,wrong,right,wrong,right,right,right,wrong,wrong,wrong,wrong,right
76,20,10,50,not diluted,right,"2,3-dimethyl pyrazine",hexanoic acid,2-phenylethyl acetate,cyclohexanol,ethyl octanoate,iso-valeric acid,4-pentenoic acid,heptan-2-ol,thiophene,ortho-tolualdehyde,gamma-valerolactone,methyl octanoate,diphenyl oxide,l-menthol,p-cresyl acetate,hexyl hexanoate,hexanal,1-hexanol,alpha-pinene,iso-pentyl phenyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20,10,50,not diluted,wrong,propan-2-ol,heptanal,dimethyl benzyl carbinyl butyrate,ethyl decanoate,pentyl valerate,diethyl butanedioate,p-cresol,muguet carbinol,amyl butyrate,pentanoic acid,phenyl ethanol,hydroxy citronellal,_-terpineol,ethyl propionate,furfuryl mercaptan,decanoic acid,butanal,acetaldehyde,"(3S)-3,7-dimethyloct-6-en-1-ol",guaiacol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20,10,50,1/2,wrong,propan-2-ol,heptanal,dimethyl benzyl carbinyl butyrate,ethyl decanoate,pentyl valerate,diethyl butanedioate,p-cresol,muguet carbinol,amyl butyrate,pentanoic acid,phenyl ethanol,hydroxy citronellal,_-terpineol,ethyl propionate,furfuryl mercaptan,decanoic acid,butanal,acetaldehyde,"(3S)-3,7-dimethyloct-6-en-1-ol",guaiacol,,,,,,,,,,,right,wrong,wrong,wrong,wrong,right,wrong,right,wrong,wrong,right,wrong,wrong,wrong,wrong,wrong,wrong,right,wrong,wrong,wrong,wrong,right,wrong,right,right
79,20,10,50,1/4,right,propan-2-ol,heptanal,dimethyl benzyl carbinyl butyrate,ethyl decanoate,pentyl valerate,diethyl butanedioate,p-cresol,muguet carbinol,amyl butyrate,pentanoic acid,cuminic aldehyde,gamma-valerolactone,ethyl pentanoate,2-methylpropanoic acid,heptan-2-one,methyl anthranilate,eugenol,3-hexanol,limonene,methylsulfanylmethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,20,10,50,not diluted,wrong,p-cresyl acetate,toluene,eugenol,1-hexanol,phenyl acetic acid,iso-phorone,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",propyl sulfide,iso-valeraldehyde,ethyl propionate,p-cresyl-iso-butyrate,diethyl butanedioate,propan-2-one,2-methylpropanoic acid,musk galaxolide,butane-2-thiol,acetophenone,para-methyl quinoline,strawberry aldehyde,iso-bornyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,20,10,50,1/4,wrong,p-cresyl acetate,toluene,eugenol,1-hexanol,phenyl acetic acid,iso-phorone,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",propyl sulfide,iso-valeraldehyde,ethyl propionate,p-cresyl-iso-butyrate,diethyl butanedioate,propan-2-one,2-methylpropanoic acid,musk galaxolide,butane-2-thiol,acetophenone,para-methyl quinoline,strawberry aldehyde,iso-bornyl acetate,,,,,,,,,,,wrong,wrong,right,right,wrong,right,right,wrong,right,right,wrong,right,right,wrong,right,right,right,right,right,wrong,right,wrong,wrong,right,right,wrong
83,20,10,50,1/2,right,p-cresyl acetate,toluene,eugenol,1-hexanol,phenyl acetic acid,iso-phorone,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",propyl sulfide,iso-valeraldehyde,ethyl propionate,undecylenic acid,pentyl acetate,S-(methyl thio) butyrate,methyl propanoate,p-cresol,hexyl hexanoate,4-methoxybenzaldehyde,cuminic aldehyde,propan-2-ol,cinnamic aldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,20,10,50,not diluted,wrong,dimethyl trisulfide,"2,3-dimethyl pyrazine",cyclohexanol,methyl octanoate,furfuryl mercaptan,1-hexanol,eucalyptol,chlorothymol,acetic acid,musk galaxolide,butyl acetate,linalool,heptan-2-ol,ethyl hexanoate,octanal,propane-1-thiol,2-phenyl propionaldehyde dimethyl acetal,"2,4-trans-trans-decadienal",gamma-valerolactone,caryophyllene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,20,10,50,1/4,wrong,dimethyl trisulfide,"2,3-dimethyl pyrazine",cyclohexanol,methyl octanoate,furfuryl mercaptan,1-hexanol,eucalyptol,chlorothymol,acetic acid,musk galaxolide,butyl acetate,linalool,heptan-2-ol,ethyl hexanoate,octanal,propane-1-thiol,2-phenyl propionaldehyde dimethyl acetal,"2,4-trans-trans-decadienal",gamma-valerolactone,caryophyllene,,,,,,,,,,,right,wrong,right,right,wrong,wrong,right,right,right,wrong,right,right,right,wrong,right,wrong,right,right,wrong,right,wrong,wrong,wrong,right,wrong,wrong
109,20,10,50,1/2,right,dimethyl trisulfide,"2,3-dimethyl pyrazine",cyclohexanol,methyl octanoate,furfuryl mercaptan,1-hexanol,eucalyptol,chlorothymol,acetic acid,musk galaxolide,2-methylpropanal,nonyl acetate,cuminic aldehyde,4-methyl anisole,pentanoic acid,2-phenylethyl acetate,dibutyl amine,thiolane,gamma-nonalactone,diphenyl oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,20,10,50,not diluted,wrong,butyl sulfide,acetaldehyde,gamma-nonalactone,acetophenone,skatole,4-pentenoic acid,methyl octanoate,methyl propanoate,thiophene,celeriax,p-cresyl acetate,diphenyl oxide,"2,3-dimethyl pyrazine",decan-2-one,ethyl formate,iso-bornyl acetate,propyl sulfide,pent-1-en-3-ol,"(3S)-3,7-dimethyloct-6-en-1-ol",1-octen-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,20,10,50,1/4,wrong,butyl sulfide,acetaldehyde,gamma-nonalactone,acetophenone,skatole,4-pentenoic acid,methyl octanoate,methyl propanoate,thiophene,celeriax,p-cresyl acetate,diphenyl oxide,"2,3-dimethyl pyrazine",decan-2-one,ethyl formate,iso-bornyl acetate,propyl sulfide,pent-1-en-3-ol,"(3S)-3,7-dimethyloct-6-en-1-ol",1-octen-3-ol,,,,,,,,,,,right,right,wrong,right,right,wrong,wrong,wrong,right,wrong,wrong,wrong,right,wrong,right,right,right,wrong,right,right,wrong,right,wrong,wrong,wrong,right
110,20,10,50,1/2,right,butyl sulfide,acetaldehyde,gamma-nonalactone,acetophenone,skatole,4-pentenoic acid,methyl octanoate,methyl propanoate,thiophene,celeriax,ethyl 2-hydroxypropanoate,p-cresyl-iso-butyrate,nonyl acetate,4-methoxybenzaldehyde,bis(methylsulfanyl)methane,2-phenylethyl acetate,nonan-2-ol,trimethyl amine,2-ethyl pyrazine,4-Methyl-3-penten-2-one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,20,10,50,not diluted,wrong,laevo-beta-pinene,heptanal,dibutyl amine,"(3S)-3,7-dimethyloct-6-en-1-ol",iso-bornyl acetate,decanoic acid,phenyl acetylene,ethyl propionate,methyl salicylate,heptan-2-one,trans-2-hexenal,skatole,4-methoxybenzaldehyde,(methyldisulfanyl) methane,thiophene,ortho-acetyl pyridine,_-terpineol,4-pentenoic acid,chlorothymol,benzaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,20,10,50,1/2,wrong,laevo-beta-pinene,heptanal,dibutyl amine,"(3S)-3,7-dimethyloct-6-en-1-ol",iso-bornyl acetate,decanoic acid,phenyl acetylene,ethyl propionate,methyl salicylate,heptan-2-one,trans-2-hexenal,skatole,4-methoxybenzaldehyde,(methyldisulfanyl) methane,thiophene,ortho-acetyl pyridine,_-terpineol,4-pentenoic acid,chlorothymol,benzaldehyde,,,,,,,,,,,wrong,wrong,wrong,wrong,right,right,wrong,wrong,right,wrong,wrong,wrong,right,right,wrong,right,wrong,right,wrong,wrong,wrong,wrong,right,wrong,right,right
117,20,10,50,1/4,right,laevo-beta-pinene,heptanal,dibutyl amine,"(3S)-3,7-dimethyloct-6-en-1-ol",iso-bornyl acetate,decanoic acid,phenyl acetylene,ethyl propionate,methyl salicylate,heptan-2-one,4-Methyl-3-penten-2-one,eucalyptol,muguet carbinol,propane-1-thiol,furfuryl mercaptan,"2,3-dimethyl pyrazine",p-cresyl acetate,p-cresyl-iso-butyrate,caryophyllene,pent-1-en-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,20,10,50,not diluted,wrong,propyl sulfide,butanoic acid,acetoin,nonan-2-ol,3-hexanol,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",benzaldehyde,muguet carbinol,chlorothymol,methyl propanoate,para-methyl quinoline,pentan-2-ol,4-pentenoic acid,octanal,ethyl butyrate,methyl octanoate,2-oxopropanoic acid,2-methylpropanal,iso-valeric acid,skatole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,20,10,50,1/2,wrong,propyl sulfide,butanoic acid,acetoin,nonan-2-ol,3-hexanol,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",benzaldehyde,muguet carbinol,chlorothymol,methyl propanoate,para-methyl quinoline,pentan-2-ol,4-pentenoic acid,octanal,ethyl butyrate,methyl octanoate,2-oxopropanoic acid,2-methylpropanal,iso-valeric acid,skatole,,,,,,,,,,,wrong,wrong,right,wrong,wrong,right,wrong,right,wrong,wrong,right,wrong,right,right,right,right,wrong,right,wrong,right,right,wrong,right,right,right,wrong
135,20,10,50,1/4,right,propyl sulfide,butanoic acid,acetoin,nonan-2-ol,3-hexanol,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",benzaldehyde,muguet carbinol,chlorothymol,methyl propanoate,4-ethyl guaiacol,butyl sulfide,bis(methylsulfanyl)methane,ethyl decanoate,musk galaxolide,thymol,limonene,_-terpineol,eucalyptol,decan-2-one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,20,10,50,not diluted,wrong,butyl sulfide,propan-2-ol,heptan-2-ol,ethyl butyrate,pentan-2-ol,iso-valeraldehyde,eugenol,eucalyptol,p-cresyl-iso-butyrate,ethyl octanoate,anisole,propan-2-one,4-methoxybenzaldehyde,iso-phorone,isoamyl acetate,2-methylpropanal,trans-2-hexenal,methyl butanoate,linalool,hydroxy citronellal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,20,10,50,1/2,wrong,butyl sulfide,propan-2-ol,heptan-2-ol,ethyl butyrate,pentan-2-ol,iso-valeraldehyde,eugenol,eucalyptol,p-cresyl-iso-butyrate,ethyl octanoate,anisole,propan-2-one,4-methoxybenzaldehyde,iso-phorone,isoamyl acetate,2-methylpropanal,trans-2-hexenal,methyl butanoate,linalool,hydroxy citronellal,,,,,,,,,,,wrong,right,wrong,wrong,wrong,right,wrong,wrong,wrong,right,wrong,wrong,wrong,right,right,right,right,wrong,wrong,wrong,wrong,wrong,wrong,wrong,wrong,wrong
154,20,10,50,1/4,right,butyl sulfide,propan-2-ol,heptan-2-ol,ethyl butyrate,pentan-2-ol,iso-valeraldehyde,eugenol,eucalyptol,p-cresyl-iso-butyrate,ethyl octanoate,pentyl valerate,propane-1-thiol,skatole,1-octen-3-ol,acetophenone,pent-1-en-3-ol,strawberry aldehyde,methylsulfanylmethane,butanoic acid,chlorothymol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,20,10,50,1/4,wrong,acetophenone,furfuryl mercaptan,4-Methyl-3-penten-2-one,propan-2-ol,cyclohexanol,propan-1-ol,gamma-undecalactone,2-ethyl pyrazine,ethyl hexanoate,trans-2-hexenal,propane-1-thiol,butanal,2-phenylethyl acetate,p-cresol,iso-bornyl acetate,hexanoic acid, 1-Isopropyl-4-methylbenzene,2-oxopropanoic acid,ethyl butyrate,methyl anthranilate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,20,10,50,not diluted,wrong,acetophenone,furfuryl mercaptan,4-Methyl-3-penten-2-one,propan-2-ol,cyclohexanol,propan-1-ol,gamma-undecalactone,2-ethyl pyrazine,ethyl hexanoate,trans-2-hexenal,propane-1-thiol,butanal,2-phenylethyl acetate,p-cresol,iso-bornyl acetate,hexanoic acid, 1-Isopropyl-4-methylbenzene,2-oxopropanoic acid,ethyl butyrate,methyl anthranilate,,,,,,,,,,,wrong,right,wrong,wrong,wrong,wrong,wrong,wrong,wrong,right,wrong,wrong,wrong,right,wrong,right,right,wrong,right,right,right,right,right,wrong,wrong,right
159,20,10,50,1/2,right,acetophenone,furfuryl mercaptan,4-Methyl-3-penten-2-one,propan-2-ol,cyclohexanol,propan-1-ol,gamma-undecalactone,2-ethyl pyrazine,ethyl hexanoate,trans-2-hexenal,2-hydroxypropanoic acid,isoamyl acetate,undecylenic acid,S-(methyl thio) butyrate,acetoin,iso-pentyl phenyl acetate,thiolane,alpha-pinene,laevo-beta-pinene,"2,4-trans-trans-decadienal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,20,10,50,1/2,wrong,2-methylpropanal,indole,alpha-pinene,hexyl hexanoate,2-hydroxypropanoic acid,decan-2-one,cinnamic aldehyde,4-methoxybenzaldehyde,_-terpineol,ethyl formate,limonene,chlorothymol,iso-valeraldehyde,pentanoic acid,1-octen-3-ol,eugenol,"2,4-trans-trans-decadienal",muguet carbinol,iso-bornyl acetate,thiophene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,20,10,50,1/4,wrong,2-methylpropanal,indole,alpha-pinene,hexyl hexanoate,2-hydroxypropanoic acid,decan-2-one,cinnamic aldehyde,4-methoxybenzaldehyde,_-terpineol,ethyl formate,limonene,chlorothymol,iso-valeraldehyde,pentanoic acid,1-octen-3-ol,eugenol,"2,4-trans-trans-decadienal",muguet carbinol,iso-bornyl acetate,thiophene,,,,,,,,,,,right,wrong,wrong,wrong,right,wrong,right,right,right,wrong,right,wrong,right,wrong,right,wrong,wrong,wrong,wrong,right,right,right,right,right,wrong,wrong
170,20,10,50,not diluted,right,2-methylpropanal,indole,alpha-pinene,hexyl hexanoate,2-hydroxypropanoic acid,decan-2-one,cinnamic aldehyde,4-methoxybenzaldehyde,_-terpineol,ethyl formate,hexanal,iso-valeric acid,cyclohexanol,heptan-2-ol,furfuryl mercaptan,skatole,"(3S)-3,7-dimethyloct-6-en-1-ol",methylsulfanylmethane,4-Methyl-3-penten-2-one,3-hexanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,20,10,50,1/2,wrong,butanal,methyl butanoate,gamma-valerolactone,pentan-2-ol,ethyl hexanoate,undecanal,l-menthol,2-methylpropanoic acid,butyl acetate,dimethyl benzyl carbinyl butyrate,nonyl acetate,thiophene,butyl sulfide,alpha-pinene,cuminic aldehyde,thymol,ethyl benzoate,ethyl octanoate,decanoic acid,4-pentenoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
