Test UID,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,subject 9,subject 10,subject 11,subject 12,subject 13,subject 14,subject 15,subject 16,subject 17,subject 18,subject 19,subject 20,subject 21,subject 22,subject 23,subject 24,subject 25,subject 26
122,30,30,0,not diluted,wrong,trimethyl amine,eugenol,pentyl valerate,p-cresol,acetoin,caryophyllene,phenyl acetylene,heptan-2-one,iso-valeraldehyde,"2,3-dimethyl pyrazine",2-oxopropanoic acid,iso-pentyl phenyl acetate,undecylenic acid,4-methoxybenzaldehyde,decanoic acid,ethyl formate,ethyl pentanoate,decan-2-one,ethyl benzoate,melonal,gamma-nonalactone,hexanal,2-hydroxypropanoic acid,butanoic acid,hexan-3-one,nonan-2-ol,pentan-2-ol,ethyl octanoate,diphenyl oxide,musk galaxolide,,,,,,,,,,,,,,,,,,,,,,,,,,
122,30,30,0,1/2,wrong,trimethyl amine,eugenol,pentyl valerate,p-cresol,acetoin,caryophyllene,phenyl acetylene,heptan-2-one,iso-valeraldehyde,"2,3-dimethyl pyrazine",2-oxopropanoic acid,iso-pentyl phenyl acetate,undecylenic acid,4-methoxybenzaldehyde,decanoic acid,ethyl formate,ethyl pentanoate,decan-2-one,ethyl benzoate,melonal,gamma-nonalactone,hexanal,2-hydroxypropanoic acid,butanoic acid,hexan-3-one,nonan-2-ol,pentan-2-ol,ethyl octanoate,diphenyl oxide,musk galaxolide,right,right,right,right,right,right,right,right,right,wrong,wrong,wrong,wrong,right,right,right,right,right,wrong,wrong,right,right,right,wrong,right,right
122,30,30,0,1/4,right,butanal,gamma-undecalactone,dimethyl benzyl carbinyl butyrate,4-methyl anisole,methyl octanoate,laevo-beta-pinene,cyclohexanol,skatole,ortho-acetyl pyridine,thymol,eucalyptol,cinnamic aldehyde,"(3S)-3,7-dimethyloct-6-en-1-ol",methyl anthranilate,octanal,anisole,acetaldehyde,ethyl hexanoate,limonene,acetophenone,alpha-pinene,iso-bornyl acetate,pentyl acetate,celeriax,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",4-Methyl-3-penten-2-one,propyl sulfide,1-octen-3-ol,gamma-valerolactone,para-methyl quinoline,,,,,,,,,,,,,,,,,,,,,,,,,,
128,30,30,0,1/4,wrong,decanoic acid,ortho-tolualdehyde,toluene,heptan-2-ol,p-cresyl-iso-butyrate,p-cresol,para-methyl quinoline,melonal,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",pent-1-en-3-ol,nonyl acetate,ethyl pentanoate,4-Methyl-3-penten-2-one,cuminic aldehyde,trans-2-hexenal,_-terpineol,p-cresyl acetate,pentyl valerate,iso-valeraldehyde,4-pentenoic acid,nonan-2-ol,gamma-undecalactone,furfuryl mercaptan,butyl acetate,diphenyl oxide,2-phenyl propionaldehyde dimethyl acetal, 1-Isopropyl-4-methylbenzene,isoamyl acetate,4-methyl anisole,chlorothymol,,,,,,,,,,,,,,,,,,,,,,,,,,
128,30,30,0,1/2,wrong,decanoic acid,ortho-tolualdehyde,toluene,heptan-2-ol,p-cresyl-iso-butyrate,p-cresol,para-methyl quinoline,melonal,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",pent-1-en-3-ol,nonyl acetate,ethyl pentanoate,4-Methyl-3-penten-2-one,cuminic aldehyde,trans-2-hexenal,_-terpineol,p-cresyl acetate,pentyl valerate,iso-valeraldehyde,4-pentenoic acid,nonan-2-ol,gamma-undecalactone,furfuryl mercaptan,butyl acetate,diphenyl oxide,2-phenyl propionaldehyde dimethyl acetal, 1-Isopropyl-4-methylbenzene,isoamyl acetate,4-methyl anisole,chlorothymol,wrong,wrong,wrong,right,wrong,right,right,right,right,right,right,right,right,right,right,wrong,wrong,wrong,right,right,wrong,wrong,right,right,right,right
128,30,30,0,not diluted,right,1-hexanol,indole,undecanal,ethyl decanoate,ortho-acetyl pyridine,hydroxy citronellal,butanal,thiolane,methyl benzoate,2-phenylethyl acetate,linalool,propane-1-thiol,phenyl ethanol,butane-2-thiol,2-methylpropanal,2-ethyl pyrazine,methyl octanoate,ethyl octanoate,(methyldisulfanyl) methane,pentan-2-ol,methylsulfanylmethane,methyl anthranilate,strawberry aldehyde,2-oxopropanoic acid,iso-bornyl acetate,geraniol,octanal,propan-2-ol,1-octen-3-ol,acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,
137,30,30,0,not diluted,wrong,dimethyl benzyl carbinyl butyrate,anisole,ethyl octanoate,musk galaxolide,melonal,thymol,heptan-2-ol,hexan-3-one,eucalyptol,iso-bornyl acetate,butane-2-thiol,muguet carbinol,2-methylpropanal,benzaldehyde,celeriax,geraniol,"(3S)-3,7-dimethyloct-6-en-1-ol",p-cresol,butyl sulfide,2-phenyl propionaldehyde dimethyl acetal,indole,2-methylpropanoic acid,diethyl butanedioate,methyl octanoate,propan-1-ol,hexyl hexanoate,4-ethyl guaiacol,heptan-2-one,diphenyl oxide,para-methyl quinoline,,,,,,,,,,,,,,,,,,,,,,,,,,
137,30,30,0,1/4,wrong,dimethyl benzyl carbinyl butyrate,anisole,ethyl octanoate,musk galaxolide,melonal,thymol,heptan-2-ol,hexan-3-one,eucalyptol,iso-bornyl acetate,butane-2-thiol,muguet carbinol,2-methylpropanal,benzaldehyde,celeriax,geraniol,"(3S)-3,7-dimethyloct-6-en-1-ol",p-cresol,butyl sulfide,2-phenyl propionaldehyde dimethyl acetal,indole,2-methylpropanoic acid,diethyl butanedioate,methyl octanoate,propan-1-ol,hexyl hexanoate,4-ethyl guaiacol,heptan-2-one,diphenyl oxide,para-methyl quinoline,wrong,right,wrong,wrong,wrong,right,right,right,wrong,right,right,wrong,wrong,wrong,right,right,right,right,right,right,right,right,right,wrong,right,right
137,30,30,0,1/2,right,pentanoic acid,cinnamic aldehyde,amyl butyrate,skatole,methylsulfanylmethane,gamma-valerolactone,ortho-acetyl pyridine,thiophene,furfuryl mercaptan,alpha-pinene,isoamyl acetate,eugenol,phenyl acetic acid,dibutyl amine,chlorothymol,trans-2-hexenal,cuminic aldehyde,2-oxopropanoic acid,"2,3-dimethyl pyrazine",S-(methyl thio) butyrate,phenyl ethanol,decanoic acid,ethyl propionate,pent-1-en-3-ol,1-hexanol,acetoin,methyl anthranilate,limonene,butyl acetate,propan-2-one,,,,,,,,,,,,,,,,,,,,,,,,,,
146,30,30,0,1/4,wrong,furfuryl mercaptan,dimethyl benzyl carbinyl butyrate,2-hydroxypropanoic acid,1-hexanol,thiophene,butanal,celeriax,methyl anthranilate,propyl sulfide,acetophenone,ethyl hexanoate,decanoic acid,phenyl acetic acid,linalool,undecylenic acid,acetoin,iso-valeric acid,ethyl octanoate,4-methyl anisole,methylsulfanylmethane,cyclohexanol,4-methoxybenzaldehyde,alpha-pinene,p-cresyl-iso-butyrate,butane-2-thiol,ethyl decanoate,limonene,2-oxopropanoic acid,pentanoic acid,_-terpineol,,,,,,,,,,,,,,,,,,,,,,,,,,
146,30,30,0,1/2,wrong,furfuryl mercaptan,dimethyl benzyl carbinyl butyrate,2-hydroxypropanoic acid,1-hexanol,thiophene,butanal,celeriax,methyl anthranilate,propyl sulfide,acetophenone,ethyl hexanoate,decanoic acid,phenyl acetic acid,linalool,undecylenic acid,acetoin,iso-valeric acid,ethyl octanoate,4-methyl anisole,methylsulfanylmethane,cyclohexanol,4-methoxybenzaldehyde,alpha-pinene,p-cresyl-iso-butyrate,butane-2-thiol,ethyl decanoate,limonene,2-oxopropanoic acid,pentanoic acid,_-terpineol,wrong,right,right,right,wrong,right,right,right,right,right,right,right,right,right,right,wrong,right,right,wrong,right,wrong,wrong,right,wrong,right,right
146,30,30,0,not diluted,right,chlorothymol,methyl octanoate,diphenyl oxide,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",indole,phenyl ethanol,iso-pentyl phenyl acetate,nonan-2-ol,methyl salicylate,methyl butanoate,skatole,anisole,2-methylpropanal,2-phenyl propionaldehyde dimethyl acetal,butyl sulfide,toluene,ethyl pentanoate,propan-2-one,gamma-nonalactone,ethyl formate,ethyl propionate,ethyl butyrate,geraniol,butyl acetate, 1-Isopropyl-4-methylbenzene,laevo-beta-pinene,methyl benzoate,eugenol,acetic acid,benzaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,
149,30,30,0,1/2,wrong,isoamyl acetate,2-oxopropanoic acid,chlorothymol,cyclohexanol,diethyl butanedioate,ethyl pentanoate,pentanoic acid,4-Methyl-3-penten-2-one,diphenyl oxide,ethyl decanoate,2-methylpropanoic acid,1-octen-3-ol,bis(methylsulfanyl)methane,2-hydroxypropanoic acid,eucalyptol,hexan-3-one,nonyl acetate,propan-2-ol,ethyl formate,ethyl benzoate,iso-phorone,trans-2-hexenal,propyl sulfide,ortho-acetyl pyridine,ethyl propionate,heptanal,cinnamic aldehyde,trimethyl amine,butanoic acid,propan-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,
149,30,30,0,1/4,wrong,isoamyl acetate,2-oxopropanoic acid,chlorothymol,cyclohexanol,diethyl butanedioate,ethyl pentanoate,pentanoic acid,4-Methyl-3-penten-2-one,diphenyl oxide,ethyl decanoate,2-methylpropanoic acid,1-octen-3-ol,bis(methylsulfanyl)methane,2-hydroxypropanoic acid,eucalyptol,hexan-3-one,nonyl acetate,propan-2-ol,ethyl formate,ethyl benzoate,iso-phorone,trans-2-hexenal,propyl sulfide,ortho-acetyl pyridine,ethyl propionate,heptanal,cinnamic aldehyde,trimethyl amine,butanoic acid,propan-1-ol,wrong,right,wrong,wrong,wrong,wrong,wrong,right,right,right,right,wrong,right,wrong,wrong,right,right,right,right,right,wrong,right,wrong,right,right,wrong
