Plate	Well	Concentration	Luc	RL	OR	Odor	Date
1	78	100	1242	3264	1071	1116	061009
1	79	100	1304	2274	1079	1116	061009
1	80	100	1332	3662	1088	1116	061009
1	81	100	1006	1608	1098	1116	061009
1	82	100	3450	4844	1108	1116	061009
1	83	100	568	554	1067	1116	061009
1	84	10	22528	3024	2878	1155	061009
1	85	100	2080	3124	1031	1116	061009
1	86	100	2608	5510	1039	1116	061009
1	87	100	2832	8338	1047	1116	061009
1	88	100	3304	10586	1056	1116	061009
1	89	100	3408	10516	1064	1116	061009
1	90	100	3014	9668	1072	1116	061009
1	91	100	3390	4100	1080	1116	061009
1	92	100	1018	1770	1089	1116	061009
1	93	100	1628	3880	1100	1116	061009
1	94	100	3426	3820	1109	1116	061009
1	95	100	502	536	2092	1116	061009
1	96	10	21290	2874	2878	1155	061009
2	1	100	5334	8062	1024	1375	061009
2	2	100	4610	7880	1032	1375	061009
2	3	100	4582	7706	1040	1375	061009
2	4	100	2916	3606	1049	1375	061009
2	5	100	3068	6876	1057	1375	061009
2	6	100	980	1718	1065	1375	061009
2	7	100	4984	3444	1073	1375	061009
2	8	100	2996	5290	1081	1375	061009
2	9	100	2156	6956	1090	1375	061009
2	10	100	4554	7722	1101	1375	061009
2	11	100	936	1202	1111	1375	061009
2	12	100	6164	10310	2319	1375	061009
2	13	100	3638	4890	1025	1375	061009
2	14	100	2162	2074	1033	1375	061009
2	15	100	3426	6576	1041	1375	061009
2	16	100	3122	3706	1050	1375	061009
2	17	100	3126	5506	1058	1375	061009
2	18	100	702	1006	1066	1375	061009
2	19	100	3386	7594	1074	1375	061009
2	20	100	3334	7596	1082	1375	061009
2	21	100	1506	2200	1091	1375	061009
2	22	100	3320	5234	1102	1375	061009
2	23	100	1714	2348	1112	1375	061009
2	24	100	8948	9286	2214	1375	061009
2	25	100	2666	3828	1026	1375	061009
2	26	100	3424	4844	1034	1375	061009
2	27	100	2828	8734	1042	1375	061009
2	28	100	2662	3228	1051	1375	061009
2	29	100	4044	6226	1059	1375	061009
2	30	100	23818	3406	1067	1375	061009
2	31	100	1362	2368	1075	1375	061009
2	32	100	1732	4912	1083	1375	061009
2	33	100	2004	2804	1094	1375	061009
2	34	100	3234	3726	1103	1375	061009
2	35	100	4348	7568	1113	1375	061009
2	36	0	7126	3252	2878	9999	061009
2	37	100	4896	7740	1027	1375	061009
2	38	100	2848	4432	1035	1375	061009
2	39	100	2202	2884	1043	1375	061009
2	40	100	4054	7274	1052	1375	061009
2	41	100	3312	10106	1060	1375	061009
2	42	100	2664	8320	1068	1375	061009
2	43	100	3410	5208	1076	1375	061009
2	44	100	3486	5258	1085	1375	061009
2	45	100	2606	3540	1095	1375	061009
2	46	100	2996	4456	1104	1375	061009
2	47	100	1252	1236	1114	1375	061009
2	48	0	7078	3150	2878	9999	061009
2	49	100	1982	6100	1028	1375	061009
2	50	100	4064	7450	1036	1375	061009
2	51	100	4772	6476	1044	1375	061009
2	52	100	1588	2440	1053	1375	061009
2	53	100	1886	2646	1061	1375	061009
2	54	100	1518	1436	1069	1375	061009
2	55	100	2276	3598	1077	1375	061009
2	56	100	3408	5414	1086	1375	061009
2	57	100	3930	7828	1096	1375	061009
2	58	100	2212	2522	1105	1375	061009
2	59	100	15694	4234	1115	1375	061009
2	60	0	6430	2868	2878	9999	061009
2	61	100	3558	8556	1029	1375	061009
2	62	100	2394	4104	1037	1375	061009
2	63	100	1086	1892	1045	1375	061009
2	64	100	2644	2452	1054	1375	061009
2	65	100	1504	2934	1062	1375	061009
2	66	100	3532	5504	1070	1375	061009
2	67	100	1756	2190	1078	1375	061009
2	68	100	3072	6422	1087	1375	061009
2	69	100	3938	7250	1097	1375	061009
2	70	100	820	1954	1107	1375	061009
2	71	100	7094	6342	2147	1375	061009
2	72	10	23858	3044	2878	1155	061009
2	73	100	2046	4592	1030	1375	061009
2	74	100	1390	3576	1038	1375	061009
2	75	100	3606	4648	1046	1375	061009
2	76	100	2674	4640	1055	1375	061009
2	77	100	3934	6266	1063	1375	061009
2	78	100	1350	2650	1071	1375	061009
2	79	100	2258	2110	1079	1375	061009
2	80	100	1554	2954	1088	1375	061009
2	81	100	1046	1834	1098	1375	061009
2	82	100	2466	6822	1108	1375	061009
2	83	100	488	546	1067	1375	061009
2	84	10	23092	2628	2878	1155	061009
2	85	100	2220	3586	1031	1375	061009
2	86	100	3588	4404	1039	1375	061009
2	87	100	4156	5784	1047	1375	061009
2	88	100	4796	7968	1056	1375	061009
2	89	100	4350	9942	1064	1375	061009
2	90	100	4320	7634	1072	1375	061009
2	91	100	3640	4772	1080	1375	061009
2	92	100	1088	1546	1089	1375	061009
2	93	100	2112	3318	1100	1375	061009
2	94	100	2292	5132	1109	1375	061009
2	95	100	448	506	2092	1375	061009
2	96	10	24176	3282	2878	1155	061009
3	1	100	3952	9844	1024	1377	061009
3	2	100	4378	8274	1032	1377	061009
3	3	100	3242	9058	1040	1377	061009
3	4	100	2918	3294	1049	1377	061009
3	5	100	2698	6902	1057	1377	061009
3	6	100	1230	1856	1065	1377	061009
3	7	100	13112	4216	1073	1377	061009
3	8	100	2174	5030	1081	1377	061009
3	9	100	2484	6534	1090	1377	061009
3	10	100	4456	7550	1101	1377	061009
3	11	100	802	1526	1111	1377	061009
3	12	100	6302	9824	2319	1377	061009
3	13	100	3636	4956	1025	1377	061009
3	14	100	2144	2370	1033	1377	061009
3	15	100	3316	6326	1041	1377	061009
3	16	100	2648	3576	1050	1377	061009
3	17	100	3632	5506	1058	1377	061009
3	18	100	744	766	1066	1377	061009
3	19	100	3208	6694	1074	1377	061009
3	20	100	3798	6302	1082	1377	061009
3	21	100	1450	2090	1091	1377	061009
3	22	100	3396	5866	1102	1377	061009
3	23	100	1422	3124	1112	1377	061009
3	24	100	10968	5836	2214	1377	061009
3	25	100	3024	3784	1026	1377	061009
3	26	100	3104	4968	1034	1377	061009
3	27	100	3880	6666	1042	1377	061009
3	28	100	2358	3606	1051	1377	061009
3	29	100	3500	6028	1059	1377	061009
3	30	100	19352	3768	1067	1377	061009
3	31	100	1564	2536	1075	1377	061009
3	32	100	2246	3600	1083	1377	061009
3	33	100	1818	2936	1094	1377	061009
3	34	100	2038	4964	1103	1377	061009
3	35	100	4076	7256	1113	1377	061009
3	36	0	6008	2680	2878	9999	061009
3	37	100	4728	7954	1027	1377	061009
3	38	100	3792	3972	1035	1377	061009
3	39	100	2132	3254	1043	1377	061009
3	40	100	4136	6010	1052	1377	061009
3	41	100	4588	6590	1060	1377	061009
3	42	100	3112	7120	1068	1377	061009
3	43	100	2992	4946	1076	1377	061009
3	44	100	3298	4602	1085	1377	061009
3	45	100	1570	3856	1095	1377	061009
3	46	100	2714	4426	1104	1377	061009
3	47	100	904	1172	1114	1377	061009
3	48	0	5602	3978	2878	9999	061009
3	49	100	2842	3702	1028	1377	061009
3	50	100	4288	7504	1036	1377	061009
3	51	100	4312	5760	1044	1377	061009
3	52	100	1664	2236	1053	1377	061009
3	53	100	1738	3110	1061	1377	061009
3	54	100	1462	1636	1069	1377	061009
3	55	100	2230	3214	1077	1377	061009
3	56	100	2848	5360	1086	1377	061009
3	57	100	3780	6192	1096	1377	061009
3	58	100	2212	2340	1105	1377	061009
3	59	100	8318	4766	1115	1377	061009
3	60	0	6546	3278	2878	9999	061009
3	61	100	4514	7728	1029	1377	061009
3	62	100	3012	3740	1037	1377	061009
3	63	100	1256	2052	1045	1377	061009
3	64	100	3538	1756	1054	1377	061009
3	65	100	2372	2236	1062	1377	061009
3	66	100	3142	6916	1070	1377	061009
3	67	100	1964	2098	1078	1377	061009
3	68	100	3952	5730	1087	1377	061009
3	69	100	3054	8570	1097	1377	061009
3	70	100	970	2040	1107	1377	061009
3	71	100	35896	5942	2147	1377	061009
3	72	10	24112	3476	2878	1155	061009
3	73	100	2884	3316	1030	1377	061009
3	74	100	2082	3248	1038	1377	061009
3	75	100	3168	4694	1046	1377	061009
3	76	100	3258	5036	1055	1377	061009
3	77	100	2750	4484	1063	1377	061009
3	78	100	1276	2164	1071	1377	061009
3	79	100	1460	2180	1079	1377	061009
3	80	100	2110	3210	1088	1377	061009
3	81	100	1344	1738	1098	1377	061009
3	82	100	3632	4794	1108	1377	061009
3	83	100	596	502	1067	1377	061009
3	84	10	22160	2800	2878	1155	061009
3	85	100	2622	3160	1031	1377	061009
3	86	100	3556	4788	1039	1377	061009
3	87	100	3282	5978	1047	1377	061009
3	88	100	4492	6426	1056	1377	061009
3	89	100	4620	8052	1064	1377	061009
3	90	100	3436	6186	1072	1377	061009
3	91	100	3578	4140	1080	1377	061009
3	92	100	1418	1698	1089	1377	061009
3	93	100	2448	3108	1100	1377	061009
3	94	100	2590	4880	1109	1377	061009
3	95	100	554	522	2092	1377	061009
3	96	10	20410	2828	2878	1155	061009
4	1	100	5088	8130	1024	1078	061009
4	2	100	4964	8700	1032	1078	061009
4	3	100	3384	8524	1040	1078	061009
4	4	100	3240	3236	1049	1078	061009
4	5	100	3770	5622	1057	1078	061009
4	6	100	1180	1548	1065	1078	061009
4	7	100	4954	3474	1073	1078	061009
4	8	100	2788	4588	1081	1078	061009
4	9	100	3472	4950	1090	1078	061009
4	10	100	4468	7280	1101	1078	061009
4	11	100	898	1178	1111	1078	061009
4	12	100	5220	10260	2319	1078	061009
4	13	100	3016	4744	1025	1078	061009
4	14	100	1476	3024	1033	1078	061009
4	15	100	2960	7042	1041	1078	061009
4	16	100	2716	3246	1050	1078	061009
4	17	100	3832	5822	1058	1078	061009
4	18	100	574	910	1066	1078	061009
4	19	100	4366	6756	1074	1078	061009
4	20	100	3976	8190	1082	1078	061009
4	21	100	1284	2574	1091	1078	061009
4	22	100	3596	5086	1102	1078	061009
4	23	100	1406	3136	1112	1078	061009
4	24	100	10286	7062	2214	1078	061009
4	25	100	2450	4356	1026	1078	061009
4	26	100	2912	5824	1034	1078	061009
4	27	100	4040	6162	1042	1078	061009
4	28	100	3180	3494	1051	1078	061009
4	29	100	3276	7064	1059	1078	061009
4	30	100	25902	3960	1067	1078	061009
4	31	100	1594	2358	1075	1078	061009
4	32	100	2992	3916	1083	1078	061009
4	33	100	1410	4508	1094	1078	061009
4	34	100	3280	3984	1103	1078	061009
4	35	100	4554	8194	1113	1078	061009
4	36	0	6464	3900	2878	9999	061009
4	37	100	4204	8294	1027	1078	061009
4	38	100	3554	3876	1035	1078	061009
4	39	100	2034	2838	1043	1078	061009
4	40	100	3758	8972	1052	1078	061009
4	41	100	4442	6902	1060	1078	061009
4	42	100	3174	6766	1068	1078	061009
4	43	100	2280	6890	1076	1078	061009
4	44	100	2488	6198	1085	1078	061009
4	45	100	2186	3390	1095	1078	061009
4	46	100	2384	4352	1104	1078	061009
4	47	100	784	1622	1114	1078	061009
4	48	0	6190	2778	2878	9999	061009
4	49	100	1924	3940	1028	1078	061009
4	50	100	3342	9674	1036	1078	061009
4	51	100	4578	6634	1044	1078	061009
4	52	100	1336	3140	1053	1078	061009
4	53	100	2028	2736	1061	1078	061009
4	54	100	1456	1756	1069	1078	061009
4	55	100	2158	3836	1077	1078	061009
4	56	100	2746	5672	1086	1078	061009
4	57	100	3916	9224	1096	1078	061009
4	58	100	1198	3476	1105	1078	061009
4	59	100	4122	4160	1115	1078	061009
4	60	0	6524	3008	2878	9999	061009
4	61	100	3466	9168	1029	1078	061009
4	62	100	2076	3812	1037	1078	061009
4	63	100	1130	1920	1045	1078	061009
4	64	100	2514	2190	1054	1078	061009
4	65	100	2024	2704	1062	1078	061009
4	66	100	4566	6860	1070	1078	061009
4	67	100	1644	1874	1078	1078	061009
4	68	100	4300	5668	1087	1078	061009
4	69	100	3728	7416	1097	1078	061009
4	70	100	1014	1468	1107	1078	061009
4	71	100	5408	7210	2147	1078	061009
4	72	10	22188	3338	2878	1155	061009
4	73	100	2430	4050	1030	1078	061009
4	74	100	1724	3362	1038	1078	061009
4	75	100	3222	5580	1046	1078	061009
4	76	100	2912	5570	1055	1078	061009
4	77	100	4032	6112	1063	1078	061009
4	78	100	1300	2674	1071	1078	061009
4	79	100	1526	2244	1079	1078	061009
4	80	100	1958	2412	1088	1078	061009
4	81	100	1172	1536	1098	1078	061009
4	82	100	3344	5594	1108	1078	061009
4	83	100	516	602	1067	1078	061009
4	84	10	22324	2744	2878	1155	061009
4	85	100	2608	3014	1031	1078	061009
4	86	100	3596	4702	1039	1078	061009
4	87	100	4116	5710	1047	1078	061009
4	88	100	5068	8902	1056	1078	061009
4	89	100	3556	9206	1064	1078	061009
4	90	100	3812	6904	1072	1078	061009
4	91	100	3178	5318	1080	1078	061009
4	92	100	1046	1688	1089	1078	061009
4	93	100	1736	3440	1100	1078	061009
4	94	100	2936	3834	1109	1078	061009
4	95	100	484	470	2092	1078	061009
4	96	10	20334	3168	2878	1155	061009
5	1	100	3566	8328	1024	1376	061009
5	2	100	4772	7912	1032	1376	061009
5	3	100	4590	7280	1040	1376	061009
5	4	100	2544	3170	1049	1376	061009
5	5	100	2250	8082	1057	1376	061009
5	6	100	994	1488	1065	1376	061009
5	7	100	4066	3548	1073	1376	061009
5	8	100	2106	5434	1081	1376	061009
5	9	100	2040	5590	1090	1376	061009
5	10	100	3076	9810	1101	1376	061009
5	11	100	928	1506	1111	1376	061009
5	12	100	4620	10910	2319	1376	061009
5	13	100	3544	4936	1025	1376	061009
5	14	100	1786	2426	1033	1376	061009
5	15	100	2414	7982	1041	1376	061009
5	16	100	2534	4300	1050	1376	061009
5	17	100	2734	6816	1058	1376	061009
5	18	100	612	914	1066	1376	061009
5	19	100	2664	9930	1074	1376	061009
5	20	100	3524	8688	1082	1376	061009
5	21	100	1722	2454	1091	1376	061009
5	22	100	2374	8006	1102	1376	061009
5	23	100	1092	2928	1112	1376	061009
5	24	100	9780	6128	2214	1376	061009
5	25	100	2918	4706	1026	1376	061009
5	26	100	3180	5698	1034	1376	061009
5	27	100	3928	6670	1042	1376	061009
5	28	100	3474	3628	1051	1376	061009
5	29	100	4224	5528	1059	1376	061009
5	30	100	27982	5422	1067	1376	061009
5	31	100	1478	2244	1075	1376	061009
5	32	100	2622	3818	1083	1376	061009
5	33	100	2084	3268	1094	1376	061009
5	34	100	2930	3798	1103	1376	061009
5	35	100	3390	8900	1113	1376	061009
5	36	0	6232	3616	2878	9999	061009
5	37	100	5144	7786	1027	1376	061009
5	38	100	3144	3998	1035	1376	061009
5	39	100	2374	3366	1043	1376	061009
5	40	100	3326	6966	1052	1376	061009
5	41	100	3670	7456	1060	1376	061009
5	42	100	3142	7088	1068	1376	061009
5	43	100	2468	6154	1076	1376	061009
5	44	100	3080	5196	1085	1376	061009
5	45	100	2168	3528	1095	1376	061009
5	46	100	2120	6438	1104	1376	061009
5	47	100	1118	1412	1114	1376	061009
5	48	0	7700	3154	2878	9999	061009
5	49	100	2798	3730	1028	1376	061009
5	50	100	3188	8438	1036	1376	061009
5	51	100	4628	7514	1044	1376	061009
5	52	100	1664	2428	1053	1376	061009
5	53	100	2004	2840	1061	1376	061009
5	54	100	1596	2022	1069	1376	061009
5	55	100	1588	4384	1077	1376	061009
5	56	100	3294	6274	1086	1376	061009
5	57	100	3976	7886	1096	1376	061009
5	58	100	1790	2940	1105	1376	061009
5	59	100	4406	3576	1115	1376	061009
5	60	0	6160	3082	2878	9999	061009
5	61	100	4766	8578	1029	1376	061009
5	62	100	2504	3960	1037	1376	061009
5	63	100	1240	1798	1045	1376	061009
5	64	100	3286	1666	1054	1376	061009
5	65	100	1960	2334	1062	1376	061009
5	66	100	3744	7166	1070	1376	061009
5	67	100	1576	2126	1078	1376	061009
5	68	100	3876	6434	1087	1376	061009
5	69	100	3292	8140	1097	1376	061009
5	70	100	1086	1646	1107	1376	061009
5	71	100	6370	7076	2147	1376	061009
5	72	10	23704	2908	2878	1155	061009
5	73	100	2438	4512	1030	1376	061009
5	74	100	1654	3204	1038	1376	061009
5	75	100	2990	4286	1046	1376	061009
5	76	100	2892	4774	1055	1376	061009
5	77	100	3296	6370	1063	1376	061009
5	78	100	1514	2322	1071	1376	061009
5	79	100	1858	2330	1079	1376	061009
5	80	100	1398	3172	1088	1376	061009
5	81	100	1230	1626	1098	1376	061009
5	82	100	3610	4946	1108	1376	061009
5	83	100	472	474	1067	1376	061009
5	84	10	20034	3272	2878	1155	061009
5	85	100	3002	3186	1031	1376	061009
5	86	100	3334	4130	1039	1376	061009
5	87	100	4920	6048	1047	1376	061009
5	88	100	4046	9130	1056	1376	061009
5	89	100	3800	10564	1064	1376	061009
5	90	100	4274	6680	1072	1376	061009
5	91	100	3566	4358	1080	1376	061009
5	92	100	1224	1782	1089	1376	061009
5	93	100	2132	3380	1100	1376	061009
5	94	100	2432	5448	1109	1376	061009
5	95	100	410	560	2092	1376	061009
5	96	10	20540	3280	2878	1155	061009
6	1	100	3146	10142	1024	1064	061009
6	2	100	3742	8030	1032	1064	061009
6	3	100	3978	7404	1040	1064	061009
6	4	100	1924	3620	1049	1064	061009
6	5	100	2338	7170	1057	1064	061009
6	6	100	1038	1912	1065	1064	061009
6	7	100	3230	4018	1073	1064	061009
6	8	100	2204	6064	1081	1064	061009
6	9	100	2424	6238	1090	1064	061009
6	10	100	3974	8386	1101	1064	061009
6	11	100	1044	1464	1111	1064	061009
6	12	100	5492	9034	2319	1064	061009
6	13	100	2886	4508	1025	1064	061009
6	14	100	1290	3110	1033	1064	061009
6	15	100	2604	7376	1041	1064	061009
6	16	100	1962	4638	1050	1064	061009
6	17	100	3268	5870	1058	1064	061009
6	18	100	604	982	1066	1064	061009
6	19	100	2582	8242	1074	1064	061009
6	20	100	2444	9726	1082	1064	061009
6	21	100	1070	3244	1091	1064	061009
6	22	100	2788	6908	1102	1064	061009
6	23	100	1228	3418	1112	1064	061009
6	24	100	8636	9846	2214	1064	061009
6	25	100	2770	4438	1026	1064	061009
6	26	100	2924	4520	1034	1064	061009
6	27	100	3278	7412	1042	1064	061009
6	28	100	2794	3808	1051	1064	061009
6	29	100	3082	7126	1059	1064	061009
6	30	100	21562	3970	1067	1064	061009
6	31	100	1346	2610	1075	1064	061009
6	32	100	1924	4738	1083	1064	061009
6	33	100	1272	3964	1094	1064	061009
6	34	100	1832	4670	1103	1064	061009
6	35	100	4016	7688	1113	1064	061009
6	36	0	6106	3188	2878	9999	061009
6	37	100	3082	8684	1027	1064	061009
6	38	100	2160	4562	1035	1064	061009
6	39	100	1482	4544	1043	1064	061009
6	40	100	2922	8036	1052	1064	061009
6	41	100	3506	9108	1060	1064	061009
6	42	100	2568	8570	1068	1064	061009
6	43	100	2948	5780	1076	1064	061009
6	44	100	2962	4472	1085	1064	061009
6	45	100	1534	4016	1095	1064	061009
6	46	100	2196	5292	1104	1064	061009
6	47	100	878	1272	1114	1064	061009
6	48	0	5736	2810	2878	9999	061009
6	49	100	2238	3724	1028	1064	061009
6	50	100	3366	7804	1036	1064	061009
6	51	100	3782	7422	1044	1064	061009
6	52	100	1196	3090	1053	1064	061009
6	53	100	1988	2966	1061	1064	061009
6	54	100	1102	2052	1069	1064	061009
6	55	100	1500	4238	1077	1064	061009
6	56	100	2758	5752	1086	1064	061009
6	57	100	3638	7524	1096	1064	061009
6	58	100	1900	3632	1105	1064	061009
6	59	100	4046	3854	1115	1064	061009
6	60	0	6302	2878	2878	9999	061009
6	61	100	3956	7990	1029	1064	061009
6	62	100	2492	3370	1037	1064	061009
6	63	100	1052	1890	1045	1064	061009
6	64	100	2390	2200	1054	1064	061009
6	65	100	1990	1992	1062	1064	061009
6	66	100	3400	6104	1070	1064	061009
6	67	100	1630	2076	1078	1064	061009
6	68	100	3256	5996	1087	1064	061009
6	69	100	3914	7452	1097	1064	061009
6	70	100	782	1996	1107	1064	061009
6	71	100	5040	7640	2147	1064	061009
6	72	10	25328	3110	2878	1155	061009
6	73	100	2186	3796	1030	1064	061009
6	74	100	1942	3542	1038	1064	061009
6	75	100	1914	6024	1046	1064	061009
6	76	100	2056	4864	1055	1064	061009
6	77	100	2744	7548	1063	1064	061009
6	78	100	1476	2434	1071	1064	061009
6	79	100	1850	2204	1079	1064	061009
6	80	100	1870	2722	1088	1064	061009
6	81	100	876	1952	1098	1064	061009
6	82	100	2508	7518	1108	1064	061009
6	83	100	564	454	1067	1064	061009
6	84	10	21890	2786	2878	1155	061009
6	85	100	2512	2884	1031	1064	061009
6	86	100	2226	5552	1039	1064	061009
6	87	100	3968	6042	1047	1064	061009
6	88	100	4692	7780	1056	1064	061009
6	89	100	3898	9124	1064	1064	061009
6	90	100	4274	6608	1072	1064	061009
6	91	100	2132	5536	1080	1064	061009
6	92	100	1132	1692	1089	1064	061009
6	93	100	1728	3700	1100	1064	061009
6	94	100	3222	4300	1109	1064	061009
6	95	100	518	630	2092	1064	061009
6	96	10	20966	3292	2878	1155	061009
7	1	100	2284	7552	1024	1145	061009
7	2	100	2696	5236	1032	1145	061009
7	3	100	2154	8870	1040	1145	061009
7	4	100	1284	3542	1049	1145	061009
7	5	100	1898	5430	1057	1145	061009
7	6	100	762	1510	1065	1145	061009
7	7	100	2908	4006	1073	1145	061009
7	8	100	1310	5214	1081	1145	061009
7	9	100	1528	4302	1090	1145	061009
7	10	100	2310	7758	1101	1145	061009
7	11	100	710	1296	1111	1145	061009
7	12	100	3520	9164	2319	1145	061009
7	13	100	1386	4294	1025	1145	061009
7	14	100	926	2780	1033	1145	061009
7	15	100	1394	7258	1041	1145	061009
7	16	100	1452	3170	1050	1145	061009
7	17	100	2232	4372	1058	1145	061009
7	18	100	590	852	1066	1145	061009
7	19	100	2048	8440	1074	1145	061009
7	20	100	1640	7914	1082	1145	061009
7	21	100	872	2852	1091	1145	061009
7	22	100	1898	6454	1102	1145	061009
7	23	100	966	2488	1112	1145	061009
7	24	100	5924	5934	2214	1145	061009
7	25	100	1534	3330	1026	1145	061009
7	26	100	1794	5848	1034	1145	061009
7	27	100	2564	4614	1042	1145	061009
7	28	100	1708	2730	1051	1145	061009
7	29	100	1996	7454	1059	1145	061009
7	30	100	21892	2866	1067	1145	061009
7	31	100	980	3366	1075	1145	061009
7	32	100	1340	4932	1083	1145	061009
7	33	100	1104	3996	1094	1145	061009
7	34	100	1456	3396	1103	1145	061009
7	35	100	1786	7202	1113	1145	061009
7	36	0	4022	2498	2878	9999	061009
7	37	100	2384	6664	1027	1145	061009
7	38	100	1572	4738	1035	1145	061009
7	39	100	1684	2398	1043	1145	061009
7	40	100	1980	8390	1052	1145	061009
7	41	100	3024	5674	1060	1145	061009
7	42	100	2710	5392	1068	1145	061009
7	43	100	2158	4582	1076	1145	061009
7	44	100	1852	5370	1085	1145	061009
7	45	100	1074	3022	1095	1145	061009
7	46	100	1078	6692	1104	1145	061009
7	47	100	682	1192	1114	1145	061009
7	48	0	3288	3646	2878	9999	061009
7	49	100	1242	4696	1028	1145	061009
7	50	100	2062	9332	1036	1145	061009
7	51	100	1738	8438	1044	1145	061009
7	52	100	926	4448	1053	1145	061009
7	53	100	1100	5108	1061	1145	061009
7	54	100	852	3142	1069	1145	061009
7	55	100	1164	4602	1077	1145	061009
7	56	100	1928	12530	1086	1145	061009
7	57	100	1960	13906	1096	1145	061009
7	58	100	926	4730	1105	1145	061009
7	59	100	3190	4640	1115	1145	061009
7	60	0	4412	2722	2878	9999	061009
7	61	100	1994	6952	1029	1145	061009
7	62	100	1312	5966	1037	1145	061009
7	63	100	746	2834	1045	1145	061009
7	64	100	1850	3154	1054	1145	061009
7	65	100	1030	4370	1062	1145	061009
7	66	100	1978	11708	1070	1145	061009
7	67	100	1034	4492	1078	1145	061009
7	68	100	2014	12422	1087	1145	061009
7	69	100	2360	11106	1097	1145	061009
7	70	100	770	2336	1107	1145	061009
7	71	100	3416	8400	2147	1145	061009
7	72	10	19860	2414	2878	1155	061009
7	73	100	1168	5796	1030	1145	061009
7	74	100	872	5510	1038	1145	061009
7	75	100	1404	6662	1046	1145	061009
7	76	100	1418	7098	1055	1145	061009
7	77	100	1824	10022	1063	1145	061009
7	78	100	786	3934	1071	1145	061009
7	79	100	914	4384	1079	1145	061009
7	80	100	962	5144	1088	1145	061009
7	81	100	756	2390	1098	1145	061009
7	82	100	1650	6856	1108	1145	061009
7	83	100	566	600	1067	1145	061009
7	84	10	18906	3580	2878	1155	061009
7	85	100	1118	3312	1031	1145	061009
7	86	100	1758	4802	1039	1145	061009
7	87	100	2844	5078	1047	1145	061009
7	88	100	3446	7096	1056	1145	061009
7	89	100	2064	10772	1064	1145	061009
7	90	100	2172	9254	1072	1145	061009
7	91	100	1798	4932	1080	1145	061009
