ParticipantID,Group,Participant,Subsistence
184,Semaq Beri,3,Hunter-gatherer
185,Semaq Beri,4,Hunter-gatherer
186,Semaq Beri,5,Hunter-gatherer
187,Semaq Beri,6,Hunter-gatherer
188,Semaq Beri,7,Hunter-gatherer
189,Semaq Beri,8,Hunter-gatherer
190,Semaq Beri,9,Hunter-gatherer
191,Semaq Beri,10,Hunter-gatherer
192,Semaq Beri,11,Hunter-gatherer
193,Semaq Beri,12,Hunter-gatherer
194,Semaq Beri,13,Hunter-gatherer
195,Semaq Beri,14,Hunter-gatherer
196,Semaq Beri,15,Hunter-gatherer
197,Semaq Beri,16,Hunter-gatherer
198,Semaq Beri,17,Hunter-gatherer
199,Semaq Beri,18,Hunter-gatherer
200,Semaq Beri,19,Hunter-gatherer
201,Semaq Beri,20,Hunter-gatherer
202,Semaq Beri,21,Hunter-gatherer
203,Semaq Beri,22,Hunter-gatherer
204,Semaq Beri,23,Hunter-gatherer
205,Semaq Beri,24,Hunter-gatherer
206,Semaq Beri,25,Hunter-gatherer
207,Semelai,1,Farmer
208,Semelai,2,Farmer
209,Semelai,3,Farmer
210,Semelai,4,Farmer
211,Semelai,5,Farmer
212,Semelai,6,Farmer
213,Semelai,7,Farmer
214,Semelai,8,Farmer
215,Semelai,9,Farmer
216,Semelai,10,Farmer
217,Semelai,11,Farmer
218,Semelai,12,Farmer
219,Semelai,13,Farmer
220,Semelai,14,Farmer
221,Semelai,15,Farmer
222,Semelai,16,Farmer
223,Semelai,17,Farmer
224,Semelai,18,Farmer
225,Semelai,19,Farmer
226,Semelai,20,Farmer
227,Semelai,21,Farmer
228,Semelai,22,Farmer
229,Semelai,23,Farmer
230,Semelai,24,Farmer
231,Semelai,25,Farmer
232,Seri,1,Hunter-gatherer
233,Seri,2,Hunter-gatherer
234,Seri,3,Hunter-gatherer
235,Seri,4,Hunter-gatherer
236,Seri,5,Hunter-gatherer
237,Seri,6,Hunter-gatherer
238,Seri,7,Hunter-gatherer
239,Seri,8,Hunter-gatherer
240,Seri,9,Hunter-gatherer
241,Seri,10,Hunter-gatherer
242,Seri,11,Hunter-gatherer
243,Seri,12,Hunter-gatherer
244,Seri,13,Hunter-gatherer
245,Seri,14,Hunter-gatherer
246,Seri,15,Hunter-gatherer
247,Seri,16,Hunter-gatherer
248,Seri,17,Hunter-gatherer
249,Seri,18,Hunter-gatherer
250,Seri,19,Hunter-gatherer
251,Seri,20,Hunter-gatherer
252,Seri,21,Hunter-gatherer
253,Seri,22,Hunter-gatherer
254,Seri,23,Hunter-gatherer
255,Seri,24,Hunter-gatherer
256,Seri,25,Hunter-gatherer
257,Thai,1,Urban
258,Thai,2,Urban
259,Thai,3,Urban
260,Thai,4,Urban
261,Thai,5,Urban
262,Thai,6,Urban
263,Thai,7,Urban
264,Thai,8,Urban
265,Thai,9,Urban
266,Thai,10,Urban
267,Thai,11,Urban
268,Thai,12,Urban
269,Thai,13,Urban
270,Thai,14,Urban
271,Thai,15,Urban
272,Thai,16,Urban
273,Thai,17,Urban
274,Thai,18,Urban
275,Thai,19,Urban
276,Thai,20,Urban
277,Thai,21,Urban
278,Thai,22,Urban
279,Thai,23,Urban
280,Thai,24,Urban
281,Thai,25,Urban
282,Thai,26,Urban
283,Thai,27,Urban
284,Philadelphia,NAGR,
285,Philadelphia,KABE,
286,Philadelphia,MA,
287,Philadelphia,BRNG,
288,Philadelphia,JEMA,
289,Philadelphia,BOPE,
290,Philadelphia,AMHU,
291,Philadelphia,JOMA,
292,Philadelphia,SHJA,
293,Philadelphia,MAKA,
