CID,UID,Pleasant,Volatile,WeakStrong,Bitter,Chemical,Spice,Sweet,FreshRotten,CleanDirty,Burnt,Fruity,Develops,Garlic
326,8069,28,37,68,61,39,73,33,66,73,58,28,29,32
326,8071,41,100,22,56,89,80,20,46,11,79,16,15,10
326,8075,59,33,62,52,27,69,51,41,50,45,53,50,57
326,8076,1,61,64,89,100,1,1,1,1,64,58,100,25
326,8083,50,50,64,29,50,74,28,50,50,28,34,76,37
326,8085,3,2,96,68,65,46,55,12,76,21,63,34,3
326,8086,5,11,92,93,82,90,1,11,2,72,8,92,81
326,8091,62,38,64,61,58,3,58,60,71,57,61,36,7
326,8095,1,1,100,100,100,100,1,1,1,100,1,100,100
326,8100,27,50,63,1,59,53,51,65,39,56,63,81,65
326,8104,31,23,68,73,16,67,19,71,35,17,13,72,21
326,8108,32,29,100,87,70,78,1,30,28,100,1,100,100
326,8111,1,20,87,95,89,73,32,4,11,93,6,85,64
326,8116,1,18,100,100,66,100,1,63,15,100,19,100,100
326,8117,11,59,85,100,66,97,1,1,1,1,1,100,1
326,8120,34,73,98,35,77,25,17,72,94,60,65,82,9
326,8121,23,22,74,69,63,67,29,8,1,33,24,65,70
326,8122,32,33,65,32,36,8,77,58,50,6,71,66,9
326,8125,35,66,73,32,33,67,1,57,28,1,50,65,50
326,8127,1,66,69,67,18,60,1,41,1,1,1,60,56
326,8128,50,50,50,50,50,50,50,50,50,50,50,50,96
326,8129,42,50,65,53,46,84,31,38,50,79,43,63,64
326,8130,37,14,100,50,1,100,2,11,22,41,1,100,1
326,8135,53,44,45,34,55,54,41,46,52,59,57,39,3
326,8141,64,71,94,63,22,86,1,74,77,41,17,86,74
326,8143,50,57,50,50,53,63,3,50,50,41,3,53,34
326,8145,31,67,81,82,32,37,1,39,20,16,2,66,59
326,8155,2,22,1,21,2,2,1,2,3,35,2,2,3
326,8158,42,100,100,60,19,78,67,76,62,62,1,72,69
326,8159,70,22,77,64,14,69,25,100,65,22,21,100,58
326,8166,21,27,82,82,19,81,14,81,19,82,12,70,73
326,8168,46,46,60,44,66,60,32,33,41,54,54,45,54
326,8173,53,1,60,54,1,1,1,50,50,1,1,50,1
326,8175,44,55,60,57,56,59,54,53,54,54,52,50,40
326,8176,43,56,81,59,46,59,1,32,43,56,14,65,43
