Subject,Age,Gender
8449,24,
8450,20,
8451,19,
8453,33,
8454,27,
8458,24,
8459,34,
8460,33,
8461,23,
8462,27,
8465,35,
8466,28,
8467,30,
8468,52,
8471,62,
8472,22,
8473,41,
8475,58,
8476,56,
8479,31,
8480,37,
8481,39,
8482,26,
8486,24,
8487,41,
8494,39,
8495,90,
8496,28,
8497,38,
8499,65,
8500,25,
8501,35,
8502,31,
8503,30,
8504,22,
8505,30,
8506,46,
8507,38,
8510,21,
8512,21,
8513,40,
8515,55,
8516,40,
8517,29,
8518,23,
8519,53,
8520,41,
8521,38,
8522,47,
8523,33,
8524,35,
8526,25,
8527,25,
8528,25,
8529,52,
8530,29,
8532,32,
8533,39,
8534,52,
8535,27,
8537,30,
8538,35,
8539,32,
8540,29,
8541,32,
8545,33,
8547,23,
8548,28,
8549,35,
8551,21,
8552,29,
8553,63,
8555,24,
8556,32,
8557,25,
8558,45,
8560,33,
8561,47,
8562,25,
8564,37,
8566,32,
8567,48,
8570,43,
8571,36,
8572,25,
8575,31,
8576,47,
8578,35,
8580,31,
8587,59,
8588,22,
8589,38,
8590,29,
8591,42,
8592,32,
8593,34,
8594,36,
8595,27,
8596,57,
8597,32,
8600,31,
8601,26,
8602,42,
8603,27,
8604,75,
8605,36,
8606,23,
8607,28,
8608,36,
8610,39,
8611,74,
8612,51,
8613,31,
8614,24,
8615,57,
8616,28,
8617,37,
8620,23,
8621,26,
8622,45,
8623,18,
8625,23,
8626,30,
8628,24,
8629,23,
8630,29,
8631,45,
8632,29,
8633,26,
8634,27,
8635,24,
8638,31,
8639,42,
8640,26,
8641,43,
8642,29,
8643,35,
8644,25,
8645,36,
8646,24,
8648,18,
8649,34,
8650,28,
8651,69,
8652,35,
8654,32,
8655,30,
8658,19,
8661,46,
8666,38,
8667,39,
8668,24,
8669,32,
8671,66,
8672,42,
8673,67,
8674,29,
8675,50,
8676,44,
8677,29,
8678,29,
8679,41,
8681,32,
8683,28,
8686,30,
8687,32,
8688,66,
8689,57,
8691,34,
8693,39,
8694,35,
8695,24,
8697,24,
8698,26,
8699,33,
8700,38,
8701,24,
8703,29,
8704,28,
8705,24,
8707,33,
8708,31,
8709,58,
8710,39,
8712,26,
8713,33,
8714,52,
8715,24,
8716,21,
8717,29,
8718,33,
8719,36,
8720,33,
8721,22,
8723,33,
8724,31,
8725,42,
8726,27,
8728,27,
8730,36,
8731,27,
8732,26,
8736,23,
8738,22,
8742,31,
8743,30,
8745,32,
8746,20,
8747,54,
8748,21,
8750,24,
8752,47,
8753,27,
8754,24,
8755,22,
8756,24,
8758,22,
8759,23,
8760,26,
8763,28,
8764,54,
8765,28,
8766,28,
8767,21,
8768,35,
8769,24,
8770,24,
8771,39,
8774,33,
8777,27,
8778,54,
8779,22,
8780,56,
8781,21,
8782,31,
8783,36,
8784,24,
8785,31,
8786,27,
8787,31,
8788,26,
8789,29,
8792,58,
8793,44,
8794,32,
8797,31,
8799,34,
8800,21,
8801,57,
8802,51,
8803,41,
8804,25,
8806,31,
8807,29,
8808,37,
8810,32,
8811,24,
8812,66,
8814,39,
8815,28,
8816,47,
8817,30,
8818,29,
8819,59,
8820,25,
8821,42,
8822,19,
8823,42,
8824,29,
8825,28,
8826,58,
8827,18,
8830,33,
8836,51,
8838,39,
8840,53,
8855,34,
8863,51,
8880,56,
8882,27,
8888,31,
8891,31,
8900,29,
8901,25,
8903,60,
8904,27,
8905,41,
8906,28,
8907,41,
8916,28,
8917,24,
8918,60,
8920,39,
8923,37,
8931,43,
8938,26,
8939,32,
8950,30,
8958,35,
8965,39,
8966,62,
8968,30,
8969,28,
8970,27,
8975,25,
8979,25,
8980,24,
8984,26,
8985,50,
8986,45,
8987,30,
8989,31,
8997,33,
9001,26,
9002,25,
9003,24,
9006,58,
9007,23,
9009,29,
9010,19,
9011,20,
9012,29,
9014,18,
9015,50,
9018,34,
9019,27,
9020,19,
9021,54,
9022,20,
9024,22,
9025,18,
9028,20,
9029,28,
9033,18,
9035,18,
9036,21,
9037,33,
9038,22,
9039,18,
9040,29,
9041,21,
9043,41,
9045,49,
9046,35,
9047,23,
9048,26,
9049,33,
9050,33,
9051,35,
9052,44,
9054,20,
9055,31,
9057,32,
9060,31,
9062,58,
9065,43,
9066,22,
9067,18,
9068,23,
9069,52,
9070,46,
9071,23,
9073,34,
9074,19,
9075,28,
9076,31,
9077,34,
9079,33,
9081,30,
9085,27,
9087,24,
9088,28,
9092,23,
9095,53,
9098,21,
9100,41,
9101,35,
9102,53,
9103,39,
9107,34,
9109,30,
9110,27,
9112,25,
9113,38,
9115,20,
9119,36,
9120,32,
9121,18,
9123,24,
9125,33,
9127,30,
9129,29,
9131,18,
9133,55,
9134,27,
9135,23,
9136,43,
9137,36,
9138,25,
9141,35,
9142,29,
9143,28,
9144,32,
9151,21,
9153,32,
9157,41,
9158,32,
9159,33,
9162,28,
9165,32,
9167,39,
9168,19,
9169,51,
9170,25,
9171,30,
9172,22,
9173,24,
9174,40,
9175,28,
9176,21,
9177,35,
9178,29,
9179,45,
9180,52,
9184,36,
9185,41,
9186,31,
9188,22,
9189,22,
9190,28,
9192,31,
9194,31,
9195,56,
9196,38,
9197,27,
9198,28,
9199,30,
9200,25,
9204,33,
9205,48,
9206,39,
9207,75,
9208,40,
9209,27,
9211,69,
9212,41,
9213,64,
9215,36,
9218,36,
9219,28,
9220,24,
9223,35,
9224,30,
9225,59,
9226,37,
9231,31,
9232,18,
9234,29,
9235,34,
9237,28,
9238,32,
9239,37,
9241,45,
9242,32,
9244,28,
9245,41,
9246,18,
9248,28,
9249,34,
9250,36,
9251,20,
9252,29,
9253,41,
9255,33,
9256,30,
9257,32,
9259,40,
9260,32,
9261,27,
9262,24,
9263,32,
9265,54,
9266,27,
9267,28,
9268,39,
9269,26,
9270,22,
9271,18,
9273,37,
9274,30,
9275,45,
9276,28,
9277,30,
9278,49,
9279,50,
9280,42,
9281,18,
9282,66,
9283,18,
9284,43,
9288,36,
9292,37,
9293,29,
9296,42,
9298,31,
9301,18,
9304,22,
9305,19,
9306,30,
9308,26,
9309,33,
9310,70,
9311,48,
9313,27,
9314,47,
9316,22,
9317,27,
9318,33,
9319,25,
9320,25,
9322,24,
9323,52,
9324,18,
9325,23,
9326,61,
