Stimulus,odor.class,odor.class.source,dataset.assigned,transport.ML.odor.probability,many.feature.ML.odor.probability,boiling.point.experimental,boiling.point.estimate.EPISuite,boiling.point.estimate.Banks,boiling.point.estimate.Burnop,boiling.point.best.available,vapor.pressure.experimental,vapor.pressure.best.available
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,Odorless,PubChem,train,0.0063678622245788,0.0130904316902161,,513.65,289.153180490176,1288.63727114227,513.65,,6.41e-12
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,Odorless,PubChem,train,0.0147091150283813,0.0187848210334778,495.0,442.75,261.640295034379,1170.86760560368,495.0,5.49e-09,5.49e-09
C1=CC=C2C=C(C=CC2=C1)N,Odor,van Gemert 2011,train,0.980354150757194,0.999064362316858,300.0,293.14,169.170293156044,409.608358559156,300.0,0.000256,0.000256
C1=CC=C2C=C(C=CC2=C1)O,Odor,van Gemert 2011,train,0.998330995440483,0.998689856030978,285.0,282.86,170.330782236774,380.745761412929,285.0,0.00032,0.00032
C1=CC=C2C=C3C=CC=CC3=CC2=C1,Odor,PubChem,train,0.995312581304461,0.994641730096191,339.9,327.31,205.909262034062,605.375244102525,339.9,6.53e-06,6.53e-06
C1=CC=C2C=CC=CC2=C1,Odor,van Gemert 2011,train,0.999078225693665,0.998803777736612,217.9,231.64,150.195492207056,375.304492616445,217.9,0.085,0.085
C1=CC=CC=C1,Odor,van Gemert 2011,train,0.994808989576995,0.999512525682803,80.0,102.24,63.7004856273212,87.8406582850641,80.0,94.8,94.8
C1=CC=NC(=C1)N,Odor,PubChem,train,0.998874697019346,0.992325469385833,210.6,193.56,96.4368348076446,-137.304643213485,210.6,,0.0975
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Odorless,PubChem,train,0.0519558787345886,0.0028388500213623,,422.56,259.783508861398,,422.56,,4.14e-08
C1=CC=NC=C1,Odor,Lab-Tested,train,0.999523571808822,0.999532117246417,115.2,113.36,65.9109920932606,-177.630842817103,115.2,20.8,20.8
C1=CN(C=C1)CC2=CC=CO2,Odor,PubChem,train,0.998727915342897,0.999559594056336,,224.28,173.840778873588,-163.029647030103,224.28,,0.0858
C1=CN=CC=C1C(=O)NN,Odorless,PubChem,train,0.0218014717102051,0.0077789425849914,,329.79,161.817011071135,-36.5981509264255,329.79,,1.21e-05
C1=CN=CC=C1N,Odorless,PubChem,train,0.161825001239777,0.0344226360321045,273.0,193.56,96.4368348076446,-137.304643213485,273.0,0.000209,0.000209
C1=CN=CN1,Odor,PubChem,train,0.897381030023098,0.9914755448699,257.0,240.06,39.6375329472664,-200.855033127876,257.0,,0.00434
C1=COC(=C1)C=CC=O,Odor,PubChem,train,0.990490104071796,0.999702041270211,,192.92,141.851634118066,-99.3081602544501,192.92,,0.252
C1=COC(=C1)C=O,Odor,van Gemert 2011,train,0.998466454446316,0.999632985767676,161.7,143.82,100.051122622153,-154.604562919414,161.7,2.21,2.21
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,Odorless,PubChem,train,0.115794479846954,0.0044328570365905,,497.89,302.37433251601,,497.89,,3.76e-10
C1=COC(=C1)CO,Odor,PubChem,train,0.998396345996298,0.999037204193883,171.0,170.16,103.697432212242,-152.667060262292,171.0,0.609,0.609
C1=COC(=C1)CSCC2=CC=CO2,Odor,Lab-Tested,train,0.901374772191048,0.999360033485573,,275.43,220.042396181095,,275.43,,0.00328
C1=COC=C1,Odor,PubChem,train,0.997367646312341,0.999754488701001,31.5,59.3,39.6118940018478,-212.466360853448,31.5,600.0,600.0
C1=CSC=C1,Odor,PubChem,train,0.99899165215902,0.999885602504946,84.0,113.93,76.7575981883365,,84.0,79.7,79.7
C1=CSC=N1,Odor,PubChem,train,0.99273688858375,0.999553514004219,118.0,124.84,78.8121328616621,,118.0,17.1,17.1
C1=NC=NN1,Odor,PubChem,train,0.971266644075513,0.883840307593346,,189.63,42.1583709501778,-192.499282816119,189.63,,0.0627
C1=NNC(=N1)N,Odorless,PubChem,train,0.0468109250068665,0.0026871562004089,,258.3,76.6531943007068,-151.242501566411,258.3,4.4e-07,4.4e-07
C1=NNN=N1,Odorless,PubChem,train,0.0076242089271545,0.0224831104278564,,199.08,44.6452655247173,-183.445362180557,199.08,,0.0154
C1C(=O)NC(=O)NC1=O,Odorless,PubChem,train,0.0059016942977905,0.0015620589256286,,470.92,150.087982319649,212.8227230392,470.92,1.5e-08,1.5e-08
C1C(O1)C2=CC=CC=C2,Odor,van Gemert 2011,train,0.999738700338639,0.999924368428765,194.1,179.24,139.0375001795,52.9609641848241,194.1,0.3,0.3
C1C(O1)CCl,Odor,PubChem,train,0.999247123312671,0.999664167873561,117.0,99.01,93.4287035470568,-39.6011726062493,117.0,16.4,16.4
C1C(O1)CO,Odorless,PubChem,train,0.105453968048096,0.029887855052948,,124.16,54.4108216975083,-87.2000100871706,167.0,,5.59
C1C(O1)COC2=CC(=CC=C2)OCC3CO3,Odor,PubChem,train,0.846076741814613,0.994088146369904,,310.3,241.716514804713,140.757406718749,310.3,,0.000782
C1C(O1)COC2=CC=CC=C2,Odor,PubChem,train,0.957568250596523,0.999928924502456,245.0,219.84,177.259992718878,108.020916357978,245.0,0.01,0.01
C1C(O1)COCC2CO2,Odor,PubChem,train,0.887004993855953,0.996119602583349,260.0,162.86,152.833212499389,-32.6333529409832,260.0,,0.0264
C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC(=C(C=C3)O)O,Odor,PubChem,train,0.738563269376755,0.956657409667969,,460.47,273.34307309818,384.720842346352,460.47,,1.38e-10
C1C(SCC(S1)O)O,Odor,Lab-Tested,validation,0.969045983627439,0.993821376468986,,285.18,179.574800758237,,285.18,,6.6e-05
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Odorless,PubChem,train,0.0218441486358643,0.007149338722229,,400.52,244.534455701272,348.234039458241,400.52,,1.06e-08
C1C=CC2=CC=CC=C21,Odor,van Gemert 2011,train,0.999511326546781,0.999784757310408,182.0,182.37,133.182129862721,51.6488198001308,182.0,1.1,1.1
C1C=CC2C1C3CC2C=C3,Odor,van Gemert 2011,train,0.99991107108508,0.999459497630596,170.0,176.78,155.531217373537,-7.18434480745725,170.0,2.29,2.29
C1C=CC=C1,Odor,van Gemert 2011,train,0.983149541541934,0.99978767457651,41.0,69.17,34.4907269271824,-96.5192432248399,41.0,435.0,435.0
C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl,Odor,PubChem,train,0.842295125126839,0.993566669058055,,473.28,310.169343846982,,473.28,1.5e-08,1.5e-08
C1C=CCS1(=O)=O,Odor,PubChem,train,0.992107851430774,0.99946093338076,,201.11,136.143753735031,,201.11,,0.133
C1CC(=O)OC1,Odor,PubChem,train,0.998711823136546,0.999806108055054,204.0,176.93,80.7817004029754,-50.8711410874328,204.0,0.45,0.45
C1CC(=O)OC2=CC=CC=C21,Odor,PubChem,train,0.980809453874826,0.999092779238708,272.0,288.73,174.966256766888,229.292131269958,272.0,,0.00827
C1CC(C2=CC=CC=C2C1)OO,Odor,PubChem,train,0.995238719042391,0.998502905480564,,271.5,192.287924268271,245.097625013944,271.5,,0.00452
C1CC(CC=C1)[Si](Cl)(Cl)Cl,Odor,PubChem,train,0.999371690733824,0.999416028149426,,207.36,236.856603671707,,207.36,,0.249
C1CC(OC1)CO,Odor,PubChem,train,0.998022387735546,0.998117394046858,178.0,172.44,110.762172136443,-16.3242844646498,178.0,0.801,0.801
C1CC(OC1CO)N2C=CC(=NC2=O)N,Odorless,PubChem,train,0.0500356554985046,0.0020169019699096,,376.77,233.597521850906,238.243100851171,376.77,,7.91e-09
C1CC(OC=C1)C=O,Odor,PubChem,train,0.997283167671412,0.9998349762609,146.0,172.72,127.044885049639,140.957473973913,146.0,,4.83
C1CC1,Odor,PubChem,train,0.174638569355011,0.797918274998665,-32.8,4.93,-42.2378211061312,-178.894572891421,-32.8,5410.0,5410.0
C1CC2C(O2)CC1C3CO3,Odor,PubChem,train,0.999176151293796,0.996970934094861,227.0,182.56,165.561998589586,-1.37962978316409,227.0,,0.14
C1CC=COC1,Odor,PubChem,train,0.999556917347945,0.999894268497883,86.0,99.44,76.715844063791,81.5718665674939,86.0,,76.1
C1CCC(=O)C1,Odor,van Gemert 2011,train,0.999825030419743,0.999615828623064,130.5,130.58,76.715844063791,-54.0270260712413,130.5,11.4,11.4
C1CCC(=O)CC1,Odor,van Gemert 2011,train,0.998585961875506,0.999947036307276,155.4,154.98,103.786700418784,110.503038493431,155.4,4.33,4.33
C1CCC(=O)NCC1,Odor,PubChem,train,0.822654247283936,0.998032136354595,270.0,273.94,128.650981935519,29.4893024800024,270.0,0.0016,0.0016
C1CCC(=O)OCC1,Odor,PubChem,train,0.999595859408146,0.99994493961276,215.0,220.48,130.150072642504,15.1941338524597,215.0,0.135,0.135
C1CCC(C1)O,Odor,van Gemert 2011,train,0.999935053259833,0.999570298241451,140.4,137.63,80.8836777901215,-53.4633811011579,140.4,2.49,2.49
C1CCC(CC1)(O)OOC2(CCCCC2)OO,Odorless,PubChem,train,0.0028673410415649,0.0095340013504028,,346.13,257.912178908717,318.321745533687,346.13,,7.07e-07
C1CCC(CC1)N,Odor,PubChem,train,0.99953902955167,0.999920923291938,134.0,144.85,105.632874552206,130.546388919385,134.0,10.1,10.1
C1CCC(CC1)N=C=NC2CCCCC2,Odor,PubChem,train,0.973467050120234,0.999618261266733,,285.86,229.836976567392,326.503694495757,285.86,,0.00339
C1CCC(CC1)N=C=O,Odor,PubChem,train,0.999764051201055,0.999756502846139,172.0,170.58,146.126691676096,186.331462371686,172.0,1.02,1.02
C1CCC(CC1)NC2CCCCC2,Odor,PubChem,train,0.976876514032483,0.998772352933884,255.8,256.5,208.772913984752,271.78881335647,255.8,0.0338,0.0338
C1CCC(CC1)O,Odor,van Gemert 2011,train,0.999773241783259,0.99984020392003,160.8,161.73,107.354252444567,107.595851763917,160.8,0.657,0.657
C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3,Odor,PubChem,train,0.922791086137295,0.991918697953224,,394.85,302.237674305164,422.379167452668,394.85,8.69e-07,8.69e-07
C1CCC(CC1)S,Odor,PubChem,train,0.998788902885281,0.999867149614147,158.9,162.69,133.301642953303,,158.9,3.96,3.96
C1CCC(CC1)[Si](Cl)(Cl)Cl,Odor,PubChem,train,0.999674491235055,0.999299070157576,206.0,204.78,238.347079407373,,206.0,,0.267
C1CCC2=CC=CC=C2C1,Odor,PubChem,train,0.999956992432999,0.999836514878552,207.6,201.83,155.531217373537,205.153756748635,207.6,0.368,0.368
C1CCC2=NN=NN2CC1,Odor,PubChem,train,0.97640074416995,0.998486506869085,,234.16,163.108458878502,-89.2867393875732,234.16,,0.0285
C1CCC2CCCCC2C1,Odor,PubChem,train,0.999677243642509,0.999835186186829,187.3,179.54,163.207354755914,195.508109936785,187.3,1.22,1.22
C1CCC=CC1,Odor,van Gemert 2011,train,0.993213311769068,0.999963195728924,82.9,92.92,72.5538517374564,80.4550558467087,82.9,89.0,89.0
C1CCCC1,Odor,PubChem,train,0.946177933365107,0.999838248433662,49.3,62.53,44.8447685635516,-94.3972887442405,49.3,318.0,318.0
C1CCCCC1,Odor,van Gemert 2011,train,0.912783555686474,0.999926938195131,80.7,89.72,76.8202108091684,77.2391385259702,80.7,96.9,96.9
C1CCCCCC(=O)OCCOC(=O)CCCCC1,Odor,Lab-Tested,train,0.869889780879021,0.998579850536771,,434.44,272.296764802743,254.0385459259,434.44,,4.38e-07
C1CCCCCCC(=O)OCCCCCC1,Odor,van Gemert 2011,train,0.167103826999664,0.988088216632605,,351.8,244.646500943071,201.482083736567,351.8,,0.00012
C1CCCCCCC1,Odor,van Gemert 2011,train,0.999910132923105,0.999919044406852,149.0,140.86,127.200005910186,10.1798721249856,149.0,5.51,5.51
C1CCCN(CC1)C2=NC(=C(N=C2Cl)C(=O)N=C(N)N)N,Odor,PubChem,train,0.700952559709549,0.972178194671869,,491.57,293.71447539799,196.222372164139,491.57,,5.05e-10
C1CCCNCC1,Odor,PubChem,train,0.99953902955167,0.999923856797977,138.0,152.43,105.632874552206,-4.84083370489162,138.0,8.09,8.09
C1CCCO1,Odor,van Gemert 2011,train,0.999329102400225,0.999662612273823,65.0,69.36,49.6903622481967,-90.7727511110909,65.0,162.0,162.0
C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,Odorless,Lab-Tested,train,0.0046527981758117,0.004628837108612,,419.28,280.472971689278,317.511033592944,419.28,,2.81e-06
C1CCNC1,Odor,van Gemert 2011,train,0.999523571808822,0.999367024865933,86.5,102.31,47.2958653023188,-76.8117178029129,86.5,62.7,62.7
C1CCNCC1,Odor,van Gemert 2011,train,0.999556917347945,0.999790094487253,106.0,127.91,78.8740179245114,103.268797019587,106.0,32.1,32.1
C1CCOC1,Odor,PubChem,train,0.999329102400225,0.999343437608331,65.0,69.36,49.6903622481967,-90.7727511110909,65.0,162.0,162.0
C1CCSC1,Odor,van Gemert 2011,train,0.999053841514979,0.999834566158825,121.0,105.76,84.9943819385636,,121.0,18.4,18.4
C1CN(CCN1)CCN,Odor,PubChem,train,0.980250218883157,0.998752733692527,220.0,228.04,151.61310878766,223.63649447011,220.0,,0.131
C1CN(CCN1CCCN)CCCN,Odor,PubChem,train,0.763736695051193,0.99462291970849,,312.62,225.075103220865,327.329633755526,312.62,,0.000996
C1CN1,Odor,PubChem,train,0.985000962391496,0.995841999072582,56.0,47.89,-38.4179645773573,-162.273328591743,56.0,213.0,213.0
C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,Odorless,PubChem,train,0.150161921977997,0.0068483352661132,,328.23,228.186275905018,-46.6710051832399,328.23,,3.61e-05
C1CN1P(=S)(N2CC2)N3CC3,Odorless,PubChem,train,0.251533925533295,0.0286180377006531,,259.28,215.766905507597,,259.28,,0.00941
C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75,Odorless,van Gemert 2011,train,0.005612313747406,0.0026266574859619,,466.63,303.984493720594,263.68848640819,466.63,,2.35e-10
C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,Odorless,PubChem,train,0.0384318828582764,0.0060230493545532,,443.59,305.280851007785,552.887117959551,443.59,,2.38e-10
C1CNC=C1,Odor,van Gemert 2011,train,0.998550757532939,0.999069674988277,,105.45,42.2595041544351,-77.4859108973521,105.45,,29.6
C1CNCCN1,Odor,PubChem,train,0.992871072143316,0.999697530234698,146.0,163.75,80.9040661380726,130.593688807075,146.0,0.16,0.16
C1CNP(=O)(OC1)N(CCCl)CCCl,Odorless,PubChem,train,0.0462732911109924,0.0138174295425415,,359.82,266.930347247803,,359.82,,4.4e-05
C1CO1,Odor,van Gemert 2011,train,0.996641530655324,0.998083155136555,10.6,12.29,-34.705097399704,-174.304328544595,10.6,1310.0,1310.0
C1COC1,Odor,PubChem,train,0.953075550496578,0.998820705222897,47.6,41.36,12.0708682828553,-131.14925006501,47.6,324.0,324.0
C1COC1=O,Odor,PubChem,train,0.997837715083733,0.99822777218651,162.0,153.54,49.5689495386667,-88.2109152002623,162.0,,2.29
C1COCCN1,Odor,van Gemert 2011,train,0.997978775994852,0.998807985684834,128.0,134.07,82.8906767832713,104.035018294505,128.0,10.1,10.1
C1COCCN1CCCN,Odor,PubChem,train,0.974195245653391,0.999289349652827,220.0,221.62,170.413337223735,222.007285795087,220.0,,0.131
C1COCCO1,Odor,Lab-Tested,validation,0.992587838787585,0.998513613361865,101.5,102.77,84.8549228199891,79.7788912677253,101.5,38.1,38.1
C1COCO1,Odor,van Gemert 2011,train,0.992657952010632,0.99879055598285,78.0,76.12,54.4108216975083,-87.2000100871706,78.0,79.0,79.0
C1COS(=O)(=O)C1,Odor,PubChem,train,0.904173381626606,0.999388599942904,,203.85,141.894108340067,,203.85,,0.239
C1N(CN(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Odor,PubChem,train,0.0553304553031921,0.0576755404472351,,436.41,286.070686661764,791.977096726142,436.41,3.3e-14,3.3e-14
C1N2CN3CN1CN(C2)C3,Odorless,PubChem,train,0.238625943660736,0.023760974407196,,208.59,165.586337366855,493.376233125197,260.0,0.004,0.004
C1OC2=C(O1)C=C(C=C2)C=O,Odor,van Gemert 2011,train,0.790509253740311,0.994938918855041,263.0,256.96,177.203636290546,110.633383371477,263.0,0.01,0.01
C1OCOCO1,Odor,PubChem,train,0.992227532435209,0.994881331454962,114.5,109.2,88.7375473498936,81.1006620064451,114.5,17.5,17.5
C1SSCSSS1,Odor,PubChem,train,0.964339662343264,0.999729534232756,,286.73,215.038570483671,,286.73,,0.00184
C=C,Odor,van Gemert 2011,train,0.977951064705849,0.999801427082275,-103.7,-49.21,-105.316103089842,-86.5367244598985,-103.7,52100.0,52100.0
C=C(CCl)Cl,Odor,PubChem,train,0.998980491422117,0.999874286047998,94.0,92.04,125.218954151383,112.790474624436,94.0,61.2,61.2
C=C(Cl)Cl,Odor,van Gemert 2011,train,0.99783480563201,0.999944037270325,31.7,36.9,101.595016207893,84.5107797133269,31.7,634.0,634.0
C=C(F)F,Odor,PubChem,train,0.884024195373058,0.986683149822056,-85.7,-40.36,28.953792162692,2.49481661643659,-85.7,30000.0,30000.0
C=C1CC(=O)O1,Odor,PubChem,train,0.993473306298256,0.999692614976084,126.1,169.75,76.6114154018063,-51.3777212828995,126.1,10.7,10.7
C=C1CCC2CC1C2(C)C,Odor,van Gemert 2011,train,0.999766967273899,0.999814857073943,166.0,150.8,160.690633214104,198.565310182854,166.0,2.93,2.93
C=C1CCC2OC2(CCC2C1CC2(C)C)C,Odor,Lab-Tested,train,0.997354923980311,0.99970617031795,,263.48,240.371666624728,66.9319141967241,263.48,,0.01
C=C=O,Odor,PubChem,train,0.960803601890802,0.99828511022497,-49.8,-50.16,-42.4326251769142,-40.0766235134923,-49.8,10400.0,10400.0
C=CBr,Odor,PubChem,train,0.982555178925395,0.999919318463071,15.8,50.34,118.785880414488,43.7026542142548,15.8,1030.0,1030.0
C=CC#N,Odor,van Gemert 2011,train,0.946951195597649,0.998357542441227,77.3,94.65,-3.42560700300322,45.0827814004413,77.3,109.0,109.0
C=CC(=C)C,Odor,van Gemert 2011,train,0.99321656441316,0.999962584566674,34.0,34.95,39.7400532728051,33.0059955536904,34.0,550.0,550.0
C=CC(=C)Cl,Odor,PubChem,train,0.995447317138314,0.999958554082696,59.4,48.01,85.6900049452658,76.5921270313094,59.4,215.0,215.0
C=CC(=O)N,Odorless,van Gemert 2011,train,0.0180423259735107,0.0307565927505493,192.6,196.38,47.1728539474021,62.3131598110753,192.6,0.007,0.007
C=CC(=O)NCNC(=O)C=C,Odor,PubChem,train,0.621926456689835,0.972119510173798,,374.31,181.701331131856,239.76107015381,374.31,,1.96e-06
C=CC(=O)O,Odor,van Gemert 2011,train,0.999029282073025,0.986870724707842,141.0,143.35,49.5689495386667,36.1804167584771,141.0,3.97,3.97
C=CC(=O)OCC(C)C,Odor,van Gemert 2011,train,0.999286619131453,0.999966980820318,132.0,133.17,150.208925785119,151.011129111696,132.0,7.07,7.07
C=CC(=O)OCC1CCCO1,Odor,PubChem,train,0.999901736475294,0.999540078511927,,201.85,183.88429265242,99.3833699307478,201.85,,0.329
C=CC(=O)OCCCCCCOC(=O)C=C,Odor,PubChem,train,0.941209096461535,0.949060577899218,,259.18,244.576483750035,291.075984214103,259.18,,0.0166
C=CC(=O)OCCO,Odor,PubChem,train,0.982392096891999,0.998245388967916,191.0,184.08,133.12234020419,126.944145025864,191.0,0.0523,0.0523
C=CC(=O)OCCOCCOC(=O)C=C,Odor,PubChem,train,0.987463270314038,0.998297323822044,,242.4,235.85122556803,275.723180008564,242.4,,0.0408
C=CC(CCC=C(C)C)(O)C,Odor,van Gemert 2011,train,0.99964265737799,0.999972773262925,198.0,204.05,181.799761762364,195.317300551146,198.0,0.16,0.16
C=CC(OC(=O)C)(CCC=C(C)C)C,Odor,Lab-Tested,validation,0.99857809394598,0.999890602673986,220.0,228.95,221.751380473543,255.476566235793,220.0,0.111,0.111
C=CC(OC(=O)c1ccccc1)(CCC=C(C)C)C,Odor,Lab-Tested,train,0.98257434181869,0.99847591901198,,327.26,265.316741299092,348.386741085304,327.26,,0.000179
C=CC1=CC=CC=C1,Odor,van Gemert 2011,train,0.998807088821195,0.999778473822516,145.3,146.65,114.169265112497,146.064408851972,145.3,6.4,6.4
C=CC1=CC=CC=C1C=C,Odor,PubChem,train,0.999513250950258,0.999892662621278,,187.71,152.886045916004,196.091625809212,187.71,,0.663
C=CC1=CC=CC=N1,Odor,PubChem,train,0.99963376429514,0.999683631263906,159.5,156.95,115.822144282195,-118.987851831834,159.5,2.78,2.78
C=CC1CCCCC1,Odor,van Gemert 2011,train,0.991861218586564,0.999909007172391,128.0,128.43,124.037688378512,136.254230260042,128.0,,13.4
C=CC=C,Odor,van Gemert 2011,train,0.980303598567843,0.999777305667521,-4.4,15.55,-0.143958839188031,-2.90789352358189,-4.4,2110.0,2110.0
C=CC=O,Odor,van Gemert 2011,train,0.98567907884717,0.999842017845367,52.6,57.87,5.98306211571372,-1.26392740683286,52.6,274.0,274.0
C=CCBr,Odor,PubChem,train,0.993603207636625,0.999853358429391,70.1,75.71,140.214884180545,73.0466058208954,70.1,,142.0
C=CCC1=CC2=C(C=C1)OCO2,Odor,PubChem,train,0.998115059221163,0.998840432846919,234.5,246.34,190.215967869312,132.9126334924,234.5,,0.0618
C=CCCCCCCCCC(=O)OCC=C,Odor,PubChem,train,0.999313239764888,0.999706628266722,,278.77,243.224948736178,288.156127657537,278.77,,0.0057
C=CCCl,Odor,van Gemert 2011,train,0.980870688334107,0.999925488475128,45.1,61.52,60.0922711936298,42.0315660583564,45.1,368.0,368.0
C=CCI,Odor,PubChem,train,0.998736565816216,0.99971699679736,103.0,111.17,196.068286257555,112.95258519934,103.0,,38.2
C=CCN,Odor,van Gemert 2011,train,0.995006536599249,0.9993643045309,53.3,60.84,9.141331015692,24.1369578286997,53.3,242.0,242.0
C=CCN(CC=C)CC=C,Odor,PubChem,train,0.999872167827561,0.999945331957861,155.5,159.16,161.929198872587,195.523828277022,155.5,3.64,3.64
C=CCN=C=S,Odor,van Gemert 2011,train,0.999719738523709,0.999702195171267,152.0,135.84,105.579901144161,,152.0,3.7,3.7
C=CCNCC=C,Odor,PubChem,train,0.998554088058881,0.999939348192129,111.0,113.33,102.028411098976,119.971057428876,111.0,20.2,20.2
C=CCO,Odor,van Gemert 2011,train,0.998835776699707,0.999439919251017,97.4,88.13,12.0708682828553,-4.33916183946462,97.4,25.4,25.4
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,Odorless,PubChem,train,0.0839414596557617,0.0247518420219421,,309.72,257.874220873514,337.891618993826,309.72,,0.00116
C=CCOC(=O)CC1=CC=CC=C1,Odor,Lab-Tested,train,0.999506086751353,0.991077487356961,,250.84,204.033559908111,255.463692789985,250.84,,0.026
C=CCOC(=O)Cl,Odor,PubChem,train,0.999664504197426,0.999971513125274,109.5,112.39,139.584193138982,134.682126300762,109.5,20.0,20.0
C=CCOCC1CO1,Odor,PubChem,train,0.999258775671478,0.999858880139072,154.0,129.21,130.150072642504,15.1941338524597,154.0,,4.3
C=CCOCC=C,Odor,PubChem,train,0.998833202640526,0.999963512276736,94.0,93.48,103.786700418784,97.2384782430808,94.0,,55.1
C=CCS,Odor,van Gemert 2011,train,0.384971022605896,0.999953501221171,65.0,81.28,54.5763218383877,,65.0,524.0,524.0
C=CCSCC=C,Odor,van Gemert 2011,train,0.999701759894378,0.999963166057569,138.6,136.32,130.256623949309,,138.6,9.22,9.22
C=CCSS(=O)CC=C,Odor,PubChem,train,0.866133645176888,0.999760067803436,,262.21,190.319230021617,,262.21,,0.0135
C=CCSSCC=C,Odor,van Gemert 2011,train,0.999875984605751,0.999956927502353,180.0,197.44,172.811362164934,,180.0,,0.965
C=CC[Si](Cl)(Cl)Cl,Odor,PubChem,train,0.993377558887005,0.999605645658448,117.5,129.87,203.365092749323,,117.5,17.6,17.6
C=CCl,Odor,PubChem,train,0.926527924835682,0.99996119491334,-13.8,3.97,24.7260418701129,6.92293898395417,-13.8,2980.0,2980.0
C=CF,Odor,PubChem,train,0.695159584283829,0.998767784563825,-72.0,-35.33,-27.3666607556154,-41.3684717859568,-72.0,19800.0,19800.0
C=CN,Odor,PubChem,train,0.99822289054282,0.998998640221544,,34.93,-38.4179645773573,-10.9917766700879,34.93,,524.0
C=CO,Odorless,PubChem,train,0.0004190802574157,0.026214599609375,,81.63,-34.705097399704,-43.8687929749852,340.0,,51.3
C=COC=C,Odor,PubChem,train,0.998888140195049,0.999748439324321,28.3,43.13,44.7201045098916,34.5668621682895,28.3,670.0,670.0
C=C[Si](Cl)(Cl)Cl,Odor,PubChem,train,0.998980491422117,0.999500004574656,91.5,106.54,189.480716650043,,91.5,65.9,65.9
C=O,Odor,van Gemert 2011,train,0.995296989567578,0.997799439821392,-19.5,9.5,-95.2941594552319,-85.6203272605009,-19.5,3890.0,3890.0
C=[N+]=[N-],Odor,PubChem,train,0.986253555864096,0.998631867929362,-23.0,306.37,-42.3936497272005,36.1965335438745,-23.0,,3940.0
CC,Odorless,van Gemert 2011,train,0.103892087936401,0.0434364676475525,-88.6,-35.99,-95.0454384866199,-91.9720238037256,-88.6,31500.0,31500.0
CC#C,Odor,PubChem,train,0.810755118727684,0.999412930279505,-23.2,1.94,-50.25663473848,-30.5955725260052,-23.2,4310.0,4310.0
CC#CC,Odor,van Gemert 2011,train,0.99783480563201,0.999604528507916,26.9,38.81,-0.143958839188031,6.45211237527025,26.9,706.0,706.0
CC#N,Odor,van Gemert 2011,train,0.93491081148386,0.999268048617523,59.6,71.84,-46.2881103077945,7.750058108649,59.6,88.8,88.8
CC(=C)C,Odor,van Gemert 2011,train,0.912793032824993,0.999949843411741,-6.9,10.18,6.13608620710329,-6.22052448420931,-6.9,2310.0,2310.0
CC(=C)C#N,Odor,PubChem,train,0.999408156843856,0.999201734608505,90.3,112.02,37.0819336383552,75.1888482832988,90.3,71.2,71.2
CC(=C)C(=O)O,Odor,PubChem,train,0.999851132277399,0.99886650335975,163.0,159.35,80.7817004029754,68.7428579136715,163.0,0.99,0.99
CC(=C)C(=O)OC,Odor,van Gemert 2011,train,0.999642517679604,0.999892485706368,100.5,93.93,107.266851448042,98.5041513513239,100.5,38.5,38.5
CC(=C)C(=O)OC(C)(C)C,Odor,PubChem,train,0.99968223561882,0.999904832242464,,140.65,168.000913587592,174.345596554791,140.65,,6.17
CC(=C)C(=O)OCC1CO1,Odor,PubChem,train,0.999815378512722,0.999917196801107,189.0,172.01,167.941010817756,74.1497265793199,189.0,,0.622
CC(=C)C1=CC=CC=C1,Odor,van Gemert 2011,train,0.999511326546781,0.999835338559933,165.4,162.55,136.173097131922,170.276244795278,165.4,1.9,1.9
CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O,Odor,PubChem,train,0.994965126272291,0.999137420963962,,275.0,241.823806255186,296.605385892986,275.0,,0.000385
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,Odorless,van Gemert 2011,train,0.154290497303009,0.0013017654418945,,501.2,327.467376060433,416.567518228752,501.2,,6.94e-10
CC(=C)C1CCCCC1,Odor,van Gemert 2011,train,0.99814017501194,0.99995002841024,,144.86,144.825625901774,160.99410216983,144.86,,6.44
